<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCU.US,D,20200918,000000,19.83,20.377,19.83,19.908,13730,0
BSCU.US,D,20200921,000000,19.899,19.899,19.879,19.879,647,0
BSCU.US,D,20200922,000000,19.899,19.899,19.86,19.86,2363,0
BSCU.US,D,20200923,000000,19.86,19.86,19.73,19.755,11359,0
BSCU.US,D,20200924,000000,19.75,19.78,19.678,19.681,11824,0
BSCU.US,D,20200925,000000,19.701,19.701,19.646,19.646,1701,0
BSCU.US,D,20200928,000000,19.691,19.75,19.691,19.74,2210,0
BSCU.US,D,20200929,000000,19.76,19.76,19.74,19.76,8397,0
BSCU.US,D,20200930,000000,19.75,19.75,19.73,19.73,6985,0
BSCU.US,D,20201001,000000,19.77,19.79,19.77,19.79,1787,0
BSCU.US,D,20201002,000000,19.76,19.78,19.76,19.76,3719,0
BSCU.US,D,20201005,000000,19.75,19.78,19.701,19.713,10816,0
BSCU.US,D,20201006,000000,19.73,19.73,19.73,19.73,1005,0
BSCU.US,D,20201007,000000,19.72,19.78,19.72,19.73,3175,0
BSCU.US,D,20201008,000000,19.8,19.8,19.79,19.795,523,0
BSCU.US,D,20201009,000000,19.79,19.82,19.78,19.791,909,0
BSCU.US,D,20201012,000000,19.86,19.889,19.86,19.87,4473,0
BSCU.US,D,20201013,000000,19.879,19.879,19.85,19.86,2635,0
BSCU.US,D,20201015,000000,19.86,19.86,19.817,19.817,7514,0
BSCU.US,D,20201016,000000,19.85,19.86,19.83,19.831,1314,0
BSCU.US,D,20201019,000000,19.83,19.84,19.8,19.8,1922,0
BSCU.US,D,20201020,000000,19.75,19.778,19.75,19.778,185,0
BSCU.US,D,20201021,000000,19.77,19.77,19.76,19.77,550,0
BSCU.US,D,20201022,000000,19.74,19.74,19.713,19.713,809,0
BSCU.US,D,20201023,000000,19.742,19.78,19.742,19.76,2809,0
BSCU.US,D,20201026,000000,19.78,19.81,19.77,19.81,4919,0
BSCU.US,D,20201027,000000,19.83,19.83,19.81,19.83,553,0
BSCU.US,D,20201028,000000,19.79,19.79,19.765,19.765,3518,0
BSCU.US,D,20201029,000000,19.72,19.73,19.71,19.71,603,0
BSCU.US,D,20201030,000000,19.701,19.701,19.631,19.631,503,0
BSCU.US,D,20201102,000000,19.686,19.688,19.686,19.688,100,0
BSCU.US,D,20201103,000000,19.681,19.681,19.671,19.671,1173,0
BSCU.US,D,20201104,000000,19.85,19.948,19.85,19.923,834,0
BSCU.US,D,20201105,000000,19.988,19.988,19.971,19.971,200,0
BSCU.US,D,20201109,000000,19.87,19.879,19.85,19.85,5183,0
BSCU.US,D,20201110,000000,19.86,19.899,19.831,19.831,894,0
BSCU.US,D,20201111,000000,19.83,19.86,19.83,19.85,412,0
BSCU.US,D,20201112,000000,19.889,19.933,19.889,19.933,703,0
BSCU.US,D,20201113,000000,19.933,19.948,19.933,19.933,453,0
BSCU.US,D,20201116,000000,19.948,19.978,19.948,19.973,5506,0
BSCU.US,D,20201119,000000,20.128,20.128,20.128,20.128,179,0
BSCU.US,D,20201120,000000,20.118,20.128,20.098,20.098,707,0
BSCU.US,D,20201123,000000,20.098,20.098,20.098,20.098,380,0
BSCU.US,D,20201124,000000,20.118,20.118,20.118,20.118,200,0
BSCU.US,D,20201127,000000,20.168,20.168,20.158,20.158,183,0
BSCU.US,D,20201130,000000,20.168,20.205,20.168,20.205,505,0
BSCU.US,D,20201201,000000,20.228,20.228,20.128,20.14,3678,0
BSCU.US,D,20201202,000000,20.118,20.118,20.118,20.118,250,0
BSCU.US,D,20201207,000000,20.198,20.198,20.148,20.148,210,0
BSCU.US,D,20201208,000000,20.148,20.163,20.133,20.133,4629,0
BSCU.US,D,20201209,000000,20.118,20.118,20.038,20.038,4479,0
BSCU.US,D,20201210,000000,20.068,20.148,20.068,20.123,282109,0
BSCU.US,D,20201211,000000,20.148,20.158,20.108,20.123,12787,0
BSCU.US,D,20201214,000000,20.208,20.208,20.078,20.127,12832,0
BSCU.US,D,20201215,000000,20.148,20.178,20.138,20.173,7437,0
BSCU.US,D,20201216,000000,20.158,20.188,20.157,20.158,4764,0
BSCU.US,D,20201217,000000,20.168,20.168,20.158,20.158,2100,0
BSCU.US,D,20201218,000000,20.188,20.238,20.158,20.158,13767,0
BSCU.US,D,20201221,000000,20.228,20.228,20.128,20.128,21505,0
BSCU.US,D,20201222,000000,20.228,20.228,20.167,20.178,2090,0
