<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAX.US,D,20141027,000000,21.971,21.971,21.971,21.971,387,0
DAX.US,D,20141028,000000,22.333,22.394,22.333,22.394,4328,0
DAX.US,D,20141029,000000,22.525,22.534,22.525,22.534,15537,0
DAX.US,D,20141030,000000,22.289,22.289,22.289,22.289,160,0
DAX.US,D,20141031,000000,22.534,22.605,22.386,22.605,11507,0
DAX.US,D,20141103,000000,22.868,22.868,22.868,22.868,243,0
DAX.US,D,20141105,000000,22.509,22.509,22.509,22.509,343,0
DAX.US,D,20141107,000000,22.35,22.35,22.35,22.35,113,0
DAX.US,D,20141111,000000,22.612,22.612,22.612,22.612,230,0
DAX.US,D,20141112,000000,22.165,22.165,22.165,22.165,1137,0
DAX.US,D,20141118,000000,23.333,23.333,22.825,22.991,2559,0
DAX.US,D,20141119,000000,23,23,23,23,268,0
DAX.US,D,20141121,000000,23.297,23.297,23.224,23.254,1156,0
DAX.US,D,20141124,000000,23.561,24,23.536,23.57,4003,0
DAX.US,D,20141125,000000,23.789,23.789,23.789,23.789,230,0
DAX.US,D,20141126,000000,23.93,23.959,23.93,23.959,455,0
DAX.US,D,20141128,000000,23.99,23.99,23.99,23.99,113,0
DAX.US,D,20141201,000000,24.027,24.589,24.027,24.027,353,0
DAX.US,D,20141202,000000,23.832,23.832,23.832,23.832,113,0
DAX.US,D,20141203,000000,23.773,23.773,23.773,23.773,500,0
DAX.US,D,20141204,000000,23.724,23.724,23.658,23.658,296,0
DAX.US,D,20141205,000000,25.457,25.457,23.93,23.93,390,0
DAX.US,D,20141208,000000,23.789,23.789,23.789,23.789,113,0
DAX.US,D,20141209,000000,23.526,23.526,23.526,23.526,273,0
DAX.US,D,20141210,000000,23.438,23.561,23.408,23.408,1254,0
DAX.US,D,20141211,000000,23.447,23.447,23.447,23.447,113,0
DAX.US,D,20141212,000000,23.185,23.185,23.185,23.185,198,0
DAX.US,D,20141215,000000,21.419,22.525,21.419,22.491,536,0
DAX.US,D,20141216,000000,23.036,23.036,22.709,23.036,798,0
DAX.US,D,20141217,000000,23.044,23.044,22.912,22.912,733,0
DAX.US,D,20141218,000000,23.262,23.262,23.262,23.262,1265,0
DAX.US,D,20141219,000000,23.219,23.219,23.219,23.219,136,0
DAX.US,D,20141222,000000,23.342,23.357,23.342,23.357,343,0
DAX.US,D,20141223,000000,23.358,23.368,23.358,23.368,432,0
DAX.US,D,20141224,000000,23.445,23.445,23.407,23.407,230,0
DAX.US,D,20141226,000000,23.483,23.483,23.352,23.352,596,0
DAX.US,D,20141229,000000,23.245,23.306,23.245,23.306,1342,0
DAX.US,D,20141230,000000,22.965,22.965,22.965,22.965,152,0
DAX.US,D,20150105,000000,22.694,22.694,21.841,21.841,3075,0
DAX.US,D,20150108,000000,22.333,22.455,22.333,22.455,1392,0
DAX.US,D,20150112,000000,22.824,22.824,22.2,22.342,2123,0
DAX.US,D,20150113,000000,22.666,22.686,22.411,22.411,2056,0
DAX.US,D,20150115,000000,22.785,22.785,22.603,22.603,449,0
DAX.US,D,20150116,000000,22.704,22.931,22.704,22.931,1679,0
DAX.US,D,20150120,000000,23.008,23.008,22.971,22.979,1027,0
DAX.US,D,20150121,000000,23,23,22.905,22.905,764,0
DAX.US,D,20150122,000000,23.008,23.21,22.98,23.104,115663,0
DAX.US,D,20150123,000000,23.352,23.352,23.026,23.026,64755,0
DAX.US,D,20150126,000000,23.228,23.623,23.228,23.57,16923,0
DAX.US,D,20150127,000000,23.405,23.5,23.332,23.412,13094,0
DAX.US,D,20150128,000000,23.421,23.549,23.262,23.262,9895,0
DAX.US,D,20150129,000000,23.245,23.703,23.245,23.679,40259,0
DAX.US,D,20150130,000000,23.685,23.685,23.182,23.262,22531,0
DAX.US,D,20150202,000000,23.756,23.833,23.57,23.815,13277,0
DAX.US,D,20150203,000000,24.483,24.483,24.046,24.288,59558,0
DAX.US,D,20150204,000000,24.29,24.29,23.728,23.824,92045,0
DAX.US,D,20150205,000000,23.877,24.403,23.877,24.194,8366,0
DAX.US,D,20150206,000000,24.019,24.019,23.466,23.553,34821,0
DAX.US,D,20150209,000000,23.104,23.352,23.104,23.306,23109,0
DAX.US,D,20150210,000000,23.5,23.533,23.316,23.526,8618,0
DAX.US,D,20150211,000000,23.492,23.492,23.395,23.395,1312,0
DAX.US,D,20150212,000000,23.693,24.167,23.685,24.167,17260,0
DAX.US,D,20150213,000000,24.58,24.58,24.078,24.184,64042,0
DAX.US,D,20150217,000000,23.965,24.475,23.877,24.029,65026,0
DAX.US,D,20150218,000000,24.046,24.069,23.957,24.069,1978,0
DAX.US,D,20150219,000000,23.998,24.203,23.998,24.106,7325,0
DAX.US,D,20150220,000000,23.939,24.53,23.939,24.457,25233,0
DAX.US,D,20150223,000000,24.608,24.608,24.282,24.351,20467,0
DAX.US,D,20150224,000000,24.457,24.599,24.29,24.556,37359,0
DAX.US,D,20150225,000000,24.564,24.608,24.448,24.608,22941,0
DAX.US,D,20150226,000000,24.492,24.536,24.414,24.44,13247,0
DAX.US,D,20150227,000000,24.483,24.676,24.402,24.599,18009,0
DAX.US,D,20150302,000000,25.072,25.072,24.387,24.694,42946,0
DAX.US,D,20150303,000000,24.589,25.099,24.351,24.406,10707,0
DAX.US,D,20150304,000000,24.213,24.43,24.088,24.406,9796,0
DAX.US,D,20150305,000000,24.51,24.536,24.377,24.414,18000,0
DAX.US,D,20150306,000000,24.614,24.614,24.056,24.132,13896,0
DAX.US,D,20150309,000000,24.22,24.747,24.176,24.325,11961,0
DAX.US,D,20150310,000000,24.309,24.309,23.737,23.798,14467,0
DAX.US,D,20150311,000000,24.069,24.176,23.913,24.063,29162,0
DAX.US,D,20150312,000000,24.614,24.614,24.098,24.351,36679,0
DAX.US,D,20150313,000000,24.406,24.406,23.877,24.184,47161,0
DAX.US,D,20150316,000000,24.42,24.974,24.42,24.93,114824,0
DAX.US,D,20150317,000000,24.949,24.993,24.448,24.527,127584,0
DAX.US,D,20150318,000000,24.517,24.887,24.368,24.887,55135,0
DAX.US,D,20150319,000000,24.43,24.905,24.29,24.387,35883,0
DAX.US,D,20150320,000000,24.817,25.221,24.817,25.15,65045,0
DAX.US,D,20150323,000000,25.15,25.15,24.949,25.133,23694,0
DAX.US,D,20150324,000000,25.123,25.309,25.019,25.23,8316,0
DAX.US,D,20150325,000000,25.616,25.616,25.045,25.099,43174,0
DAX.US,D,20150326,000000,25.019,25.019,24.641,24.94,26088,0
DAX.US,D,20150327,000000,24.94,25.009,24.78,24.974,40782,0
DAX.US,D,20150330,000000,25.396,25.396,25.001,25.247,15493,0
DAX.US,D,20150331,000000,24.861,24.93,24.666,24.773,34175,0
DAX.US,D,20150401,000000,24.94,25.009,24.773,24.983,72792,0
DAX.US,D,20150402,000000,25.142,25.632,25.072,25.15,78144,0
DAX.US,D,20150406,000000,25.133,25.431,25.133,25.37,44995,0
DAX.US,D,20150407,000000,25.59,25.59,25.171,25.171,26478,0
DAX.US,D,20150408,000000,25.37,25.37,24.974,25.123,17886,0
DAX.US,D,20150409,000000,25.344,25.344,24.983,25.058,20848,0
DAX.US,D,20150410,000000,25.037,25.334,25.037,25.334,31440,0
DAX.US,D,20150413,000000,25.247,25.423,25.019,25.08,29389,0
DAX.US,D,20150414,000000,25.23,25.318,25.116,25.185,16859,0
DAX.US,D,20150415,000000,25.299,25.309,25.028,25.185,23770,0
DAX.US,D,20150416,000000,25.08,25.159,24.711,24.843,20447,0
DAX.US,D,20150417,000000,24.58,24.623,24.167,24.334,34629,0
DAX.US,D,20150420,000000,24.334,24.711,24.334,24.564,11267,0
DAX.US,D,20150421,000000,24.666,24.808,24.666,24.773,23160,0
DAX.US,D,20150422,000000,24.702,24.702,24.406,24.651,15541,0
DAX.US,D,20150423,000000,24.299,24.623,24.229,24.51,312924,0
DAX.US,D,20150424,000000,24.536,24.747,24.448,24.676,29960,0
DAX.US,D,20150427,000000,25.019,25.291,24.852,25.108,37592,0
DAX.US,D,20150428,000000,25.23,25.23,24.826,24.869,292078,0
DAX.US,D,20150429,000000,24.641,24.738,24.406,24.492,27453,0
DAX.US,D,20150430,000000,24.702,24.738,24.492,24.492,12074,0
DAX.US,D,20150501,000000,24.834,24.896,24.694,24.79,10707,0
DAX.US,D,20150504,000000,25.09,25.09,24.879,24.879,20845,0
DAX.US,D,20150505,000000,24.949,24.949,24.342,24.351,295835,0
DAX.US,D,20150506,000000,24.608,24.852,24.568,24.738,5643,0
DAX.US,D,20150507,000000,24.879,24.879,24.599,24.636,12947,0
DAX.US,D,20150508,000000,25.037,25.309,25.037,25.23,14467,0
DAX.US,D,20150511,000000,25.159,25.159,24.869,24.869,5240,0
DAX.US,D,20150512,000000,24.765,24.8,24.66,24.751,5855,0
DAX.US,D,20150513,000000,24.965,24.965,24.623,24.66,3416,0
DAX.US,D,20150514,000000,24.921,25.299,24.921,25.273,6835,0
DAX.US,D,20150515,000000,25.169,25.221,24.94,25.221,11852,0
DAX.US,D,20150518,000000,25.019,25.291,25.019,25.238,14168,0
DAX.US,D,20150519,000000,25.423,25.423,25.212,25.299,11621,0
DAX.US,D,20150520,000000,25.194,25.396,25.116,25.257,6037,0
DAX.US,D,20150521,000000,25.309,25.352,25.273,25.291,1366,0
DAX.US,D,20150522,000000,24.914,25.063,24.905,24.974,7290,0
DAX.US,D,20150526,000000,24.686,24.686,24.149,24.149,47070,0
DAX.US,D,20150527,000000,24.194,24.623,24.149,24.589,15606,0
DAX.US,D,20150528,000000,24.465,24.483,24.361,24.43,5600,0
DAX.US,D,20150529,000000,24.406,24.406,23.99,24.046,7634,0
DAX.US,D,20150601,000000,24.167,24.167,23.728,24.01,5354,0
DAX.US,D,20150602,000000,24.114,24.361,24.058,24.229,11276,0
DAX.US,D,20150603,000000,24.651,24.765,24.483,24.641,16403,0
DAX.US,D,20150604,000000,24.614,24.614,24.22,24.309,34858,0
DAX.US,D,20150605,000000,24.203,24.203,23.72,23.833,21188,0
DAX.US,D,20150608,000000,23.921,23.921,23.746,23.773,6265,0
DAX.US,D,20150609,000000,23.483,23.764,23.465,23.693,14359,0
DAX.US,D,20150610,000000,24.203,24.492,23.99,24.448,7867,0
DAX.US,D,20150611,000000,24.711,24.711,24.318,24.406,35961,0
DAX.US,D,20150612,000000,24.213,24.213,23.877,24.176,3644,0
DAX.US,D,20150615,000000,23.833,24.114,23.501,23.798,25174,0
DAX.US,D,20150616,000000,23.861,23.861,23.623,23.781,20617,0
DAX.US,D,20150617,000000,24.01,24.01,23.483,23.693,4898,0
DAX.US,D,20150618,000000,23.833,24.589,23.833,24.229,11734,0
DAX.US,D,20150619,000000,24.29,24.29,23.861,23.975,21642,0
DAX.US,D,20150622,000000,24.958,25.045,24.72,24.896,18909,0
DAX.US,D,20150623,000000,25.299,25.299,24.709,24.709,19441,0
DAX.US,D,20150624,000000,24.784,24.784,24.43,24.43,14213,0
DAX.US,D,20150625,000000,24.457,24.609,24.43,24.528,289586,0
DAX.US,D,20150626,000000,24.678,24.847,24.528,24.6,289020,0
DAX.US,D,20150629,000000,23.845,24.06,23.393,23.658,309889,0
DAX.US,D,20150630,000000,23.845,23.845,23.376,23.474,35753,0
DAX.US,D,20150701,000000,24.102,24.102,23.553,23.579,11733,0
DAX.US,D,20150702,000000,23.933,23.933,23.526,23.57,12973,0
DAX.US,D,20150706,000000,23.287,23.287,22.898,23.1,20758,0
DAX.US,D,20150707,000000,22.586,23.084,22.417,23.075,31926,0
DAX.US,D,20150708,000000,22.622,22.806,22.622,22.684,8686,0
DAX.US,D,20150709,000000,23.047,23.313,23.047,23.172,13539,0
DAX.US,D,20150710,000000,24.376,24.376,24.12,24.307,67008,0
DAX.US,D,20150713,000000,24.448,24.723,24.138,24.235,45915,0
DAX.US,D,20150714,000000,24.182,24.305,24.182,24.271,2844,0
DAX.US,D,20150715,000000,24.182,24.271,24.064,24.173,20894,0
DAX.US,D,20150716,000000,24.537,24.581,24.396,24.396,75131,0
DAX.US,D,20150717,000000,24.333,24.333,24.235,24.288,1578,0
DAX.US,D,20150720,000000,24.254,24.59,24.254,24.333,36326,0
DAX.US,D,20150721,000000,24.324,24.324,24.226,24.297,5414,0
DAX.US,D,20150722,000000,24.155,24.155,23.758,24.06,27976,0
DAX.US,D,20150723,000000,24.111,24.173,24.074,24.102,1693,0
DAX.US,D,20150724,000000,24.031,24.041,23.686,23.686,11055,0
DAX.US,D,20150727,000000,23.606,23.634,23.35,23.411,8123,0
DAX.US,D,20150728,000000,23.721,23.758,23.579,23.705,6882,0
DAX.US,D,20150729,000000,23.809,23.809,23.606,23.64,15907,0
DAX.US,D,20150730,000000,23.658,23.658,23.304,23.491,4062,0
DAX.US,D,20150731,000000,23.758,23.873,23.713,23.713,17486,0
DAX.US,D,20150803,000000,23.818,24.024,23.818,23.899,2516,0
DAX.US,D,20150804,000000,23.943,24.074,23.933,23.933,2482,0
DAX.US,D,20150805,000000,24.245,24.245,24.146,24.201,2032,0
DAX.US,D,20150806,000000,24.12,24.235,24.12,24.155,4256,0
DAX.US,D,20150807,000000,24.084,24.155,24.024,24.155,1918,0
DAX.US,D,20150810,000000,24.307,24.457,23.827,24.457,7785,0
DAX.US,D,20150811,000000,24.074,24.074,23.82,23.89,6586,0
DAX.US,D,20150812,000000,23.686,23.686,23.341,23.634,26736,0
DAX.US,D,20150813,000000,23.739,23.739,23.437,23.536,19177,0
DAX.US,D,20150814,000000,23.446,23.483,23.393,23.483,3046,0
DAX.US,D,20150817,000000,23.224,23.313,23.093,23.313,4962,0
DAX.US,D,20150818,000000,23.136,23.136,22.976,23.02,8123,0
DAX.US,D,20150819,000000,22.596,22.806,22.596,22.806,1242,0
DAX.US,D,20150820,000000,22.56,22.622,22.153,22.161,35874,0
DAX.US,D,20150821,000000,22.037,22.365,21.718,21.762,6882,0
DAX.US,D,20150824,000000,20.857,21.816,20.256,21.469,21342,0
DAX.US,D,20150825,000000,22.116,22.267,21.558,21.593,41177,0
DAX.US,D,20150826,000000,22.011,22.055,21.674,22.019,10604,0
DAX.US,D,20150827,000000,22.197,22.33,22.134,22.234,2369,0
DAX.US,D,20150828,000000,22.116,22.116,21.913,22.055,15681,0
DAX.US,D,20150831,000000,21.868,22.047,21.816,22.047,2144,0
DAX.US,D,20150901,000000,21.629,21.629,21.382,21.488,19404,0
DAX.US,D,20150902,000000,21.666,21.7,21.666,21.692,1578,0
DAX.US,D,20150903,000000,21.984,21.984,21.797,21.797,2820,0
DAX.US,D,20150904,000000,21.39,21.407,21.284,21.39,9588,0
DAX.US,D,20150908,000000,21.86,22.097,21.86,22.097,5075,0
DAX.US,D,20150909,000000,22.445,22.445,22.019,22.019,3385,0
DAX.US,D,20150910,000000,22.019,22.073,21.891,22.073,1157,0
DAX.US,D,20150911,000000,21.938,22.003,21.938,22.003,339,0
DAX.US,D,20150914,000000,21.956,22.019,21.877,22.019,1805,0
DAX.US,D,20150915,000000,21.947,22.073,21.947,22.073,1354,0
DAX.US,D,20150916,000000,22.169,22.169,22.107,22.116,1693,0
DAX.US,D,20150917,000000,22.295,22.543,22.116,22.543,2032,0
DAX.US,D,20150918,000000,21.629,21.656,21.407,21.407,3496,0
DAX.US,D,20150921,000000,21.374,21.397,21.231,21.231,4513,0
DAX.US,D,20150922,000000,20.699,20.699,20.37,20.522,21661,0
DAX.US,D,20150923,000000,20.759,20.759,20.443,20.592,4062,0
DAX.US,D,20150924,000000,20.273,20.53,20.221,20.434,14298,0
DAX.US,D,20150925,000000,20.815,20.815,20.564,20.592,10265,0
DAX.US,D,20150928,000000,20.397,20.443,20.236,20.291,5089,0
DAX.US,D,20150929,000000,20.184,20.414,20.184,20.38,2144,0
DAX.US,D,20150930,000000,20.682,20.768,20.574,20.628,1242,0
DAX.US,D,20151001,000000,20.707,20.707,20.203,20.397,51892,0
DAX.US,D,20151002,000000,20.335,20.768,20.327,20.768,1127,0
DAX.US,D,20151005,000000,21.092,21.158,20.984,21.142,6564,0
DAX.US,D,20151006,000000,21.134,21.354,21.134,21.344,4626,0
DAX.US,D,20151007,000000,21.593,21.611,21.461,21.479,3046,0
DAX.US,D,20151008,000000,21.496,21.736,21.488,21.692,11733,0
DAX.US,D,20151009,000000,21.93,21.947,21.825,21.886,7331,0
DAX.US,D,20151012,000000,21.896,21.967,21.896,21.967,939,0
DAX.US,D,20151013,000000,21.736,21.86,21.736,21.85,1805,0
DAX.US,D,20151014,000000,21.896,21.896,21.656,21.709,678,0
DAX.US,D,20151015,000000,21.78,21.896,21.78,21.896,1805,0
DAX.US,D,20151016,000000,21.956,21.956,21.85,21.947,901,0
DAX.US,D,20151019,000000,22.055,22.055,21.913,22.011,1805,0
DAX.US,D,20151020,000000,22.049,22.054,21.991,21.991,1242,0
DAX.US,D,20151021,000000,22.249,22.249,22.055,22.055,6204,0
DAX.US,D,20151022,000000,22.339,22.436,22.339,22.436,2708,0
DAX.US,D,20151023,000000,22.782,22.853,22.719,22.816,23916,0
DAX.US,D,20151026,000000,22.906,22.906,22.782,22.782,2820,0
DAX.US,D,20151027,000000,22.747,22.747,22.533,22.533,1693,0
DAX.US,D,20151028,000000,22.684,22.976,22.675,22.694,3836,0
DAX.US,D,20151029,000000,22.684,22.684,22.533,22.56,1242,0
DAX.US,D,20151030,000000,22.869,22.869,22.727,22.727,2032,0
DAX.US,D,20151102,000000,23.012,23.078,23.012,23.042,1033,0
DAX.US,D,20151103,000000,22.95,22.957,22.806,22.879,2933,0
DAX.US,D,20151104,000000,22.853,22.853,22.471,22.48,9245,0
DAX.US,D,20151105,000000,22.71,22.71,22.533,22.622,2933,0
DAX.US,D,20151106,000000,22.656,22.656,22.578,22.596,1354,0
DAX.US,D,20151109,000000,22.533,22.533,22.22,22.306,3294,0
DAX.US,D,20151110,000000,22.161,22.258,22.124,22.258,1693,0
DAX.US,D,20151111,000000,22.525,22.525,22.32,22.32,2708,0
DAX.US,D,20151112,000000,22.224,22.234,22.124,22.124,2820,0
DAX.US,D,20151113,000000,21.896,21.956,21.896,21.956,901,0
DAX.US,D,20151116,000000,21.956,22.011,21.956,22.011,3271,0
