<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENZL.US,D,20100908,000000,19.411,19.56,19.403,19.481,311047,0
ENZL.US,D,20100909,000000,19.683,19.683,19.431,19.511,171024,0
ENZL.US,D,20100910,000000,19.59,19.59,19.489,19.56,29116,0
ENZL.US,D,20100913,000000,19.855,19.877,19.705,19.864,318979,0
ENZL.US,D,20100914,000000,19.778,20.122,19.74,20.022,101823,0
ENZL.US,D,20100915,000000,19.819,19.827,19.69,19.793,164901,0
ENZL.US,D,20100916,000000,19.617,19.617,19.476,19.552,172303,0
ENZL.US,D,20100917,000000,19.626,19.675,19.596,19.647,14008,0
ENZL.US,D,20100920,000000,19.897,20.014,19.793,19.973,164790,0
ENZL.US,D,20100921,000000,19.973,20.201,19.891,20.058,217940,0
ENZL.US,D,20100922,000000,20.042,20.303,20.022,20.135,86835,0
ENZL.US,D,20100923,000000,19.793,19.979,19.778,19.799,93924,0
ENZL.US,D,20100924,000000,19.992,20.042,19.973,20.029,18063,0
ENZL.US,D,20100927,000000,20.264,20.264,19.992,20.065,12211,0
ENZL.US,D,20100928,000000,19.992,20.215,19.923,20.209,13094,0
ENZL.US,D,20100929,000000,19.992,20.051,19.956,19.997,10839,0
ENZL.US,D,20100930,000000,19.923,19.923,19.527,19.617,36114,0
ENZL.US,D,20101001,000000,20.107,21.324,20.085,20.294,39822,0
ENZL.US,D,20101004,000000,20.258,20.286,20.022,20.085,28080,0
ENZL.US,D,20101005,000000,20.524,20.567,20.303,20.532,28538,0
ENZL.US,D,20101006,000000,20.702,20.702,19.819,20.524,41520,0
ENZL.US,D,20101007,000000,20.662,20.662,20.258,20.366,28028,0
ENZL.US,D,20101008,000000,20.421,20.591,20.388,20.574,35216,0
ENZL.US,D,20101011,000000,20.639,20.639,20.445,20.453,23246,0
ENZL.US,D,20101012,000000,20.445,20.639,20.438,20.639,21698,0
ENZL.US,D,20101013,000000,20.748,20.942,20.711,20.841,18248,0
ENZL.US,D,20101014,000000,20.892,20.897,20.732,20.804,96332,0
ENZL.US,D,20101015,000000,20.819,20.819,20.626,20.72,27671,0
ENZL.US,D,20101018,000000,20.797,21.021,20.797,20.978,16517,0
ENZL.US,D,20101019,000000,20.411,20.431,20.209,20.209,20830,0
ENZL.US,D,20101020,000000,20.245,20.69,20.245,20.618,31409,0
ENZL.US,D,20101021,000000,20.554,20.74,20.345,20.453,29323,0
ENZL.US,D,20101022,000000,20.748,20.748,20.567,20.61,3680,0
ENZL.US,D,20101025,000000,20.897,21.079,20.876,20.904,40834,0
ENZL.US,D,20101026,000000,20.567,20.61,20.496,20.583,31770,0
ENZL.US,D,20101027,000000,20.445,20.445,20.251,20.388,14878,0
ENZL.US,D,20101028,000000,20.783,20.819,20.726,20.756,50170,0
ENZL.US,D,20101029,000000,21.114,21.186,21.072,21.149,22410,0
ENZL.US,D,20101101,000000,21.331,21.331,21.014,21.014,8222,0
ENZL.US,D,20101102,000000,21.524,21.597,21.509,21.545,14322,0
ENZL.US,D,20101103,000000,21.648,21.791,21.516,21.783,41596,0
ENZL.US,D,20101104,000000,22.437,22.437,22.343,22.401,28973,0
ENZL.US,D,20101105,000000,22.208,22.273,22.019,22.256,26520,0
ENZL.US,D,20101108,000000,21.883,21.948,21.718,21.906,50819,0
ENZL.US,D,20101109,000000,22.164,22.164,21.509,21.509,40729,0
ENZL.US,D,20101110,000000,21.971,22.028,21.711,22.028,29328,0
ENZL.US,D,20101111,000000,21.84,21.84,21.662,21.74,97505,0
ENZL.US,D,20101112,000000,21.611,21.672,21.352,21.504,23982,0
ENZL.US,D,20101115,000000,21.805,21.848,21.581,21.616,34122,0
