<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSML.US,D,20160225,000000,24.86,24.86,24.488,24.654,11876,0
JSML.US,D,20160226,000000,26.012,26.012,24.827,24.827,3585,0
JSML.US,D,20160229,000000,24.949,25.009,24.762,24.762,2515,0
JSML.US,D,20160301,000000,24.83,25.028,24.83,25.023,509,0
JSML.US,D,20160302,000000,25.056,25.127,25.056,25.127,614,0
JSML.US,D,20160303,000000,25.379,25.487,25.289,25.487,5506,0
JSML.US,D,20160304,000000,25.681,25.681,25.585,25.595,7307,0
JSML.US,D,20160307,000000,25.615,25.615,25.615,25.615,192,0
JSML.US,D,20160308,000000,25.75,25.75,25.153,25.153,4352,0
JSML.US,D,20160309,000000,25.141,25.203,25.094,25.203,5416,0
JSML.US,D,20160310,000000,24.91,24.91,24.91,24.91,716,0
JSML.US,D,20160311,000000,25.203,25.439,25.203,25.439,1065,0
JSML.US,D,20160314,000000,25.419,25.422,25.409,25.422,509,0
JSML.US,D,20160315,000000,25.203,25.203,25.203,25.203,2102,0
JSML.US,D,20160317,000000,24.94,24.94,24.94,24.94,100,0
JSML.US,D,20160318,000000,25.547,25.585,25.527,25.585,4498,0
JSML.US,D,20160321,000000,25.547,25.605,25.547,25.595,2121,0
JSML.US,D,20160322,000000,25.547,25.615,25.517,25.517,2181,0
JSML.US,D,20160323,000000,25.183,25.183,25.183,25.183,217,0
JSML.US,D,20160324,000000,24.84,24.84,24.816,24.816,606,0
JSML.US,D,20160328,000000,24.969,24.969,24.969,24.969,182,0
JSML.US,D,20160329,000000,25.419,25.72,25.419,25.72,361,0
JSML.US,D,20160331,000000,25.899,25.899,25.882,25.889,785,0
JSML.US,D,20160401,000000,25.756,25.803,25.756,25.803,1058,0
JSML.US,D,20160406,000000,25.773,25.773,25.773,25.773,509,0
JSML.US,D,20160407,000000,25.531,25.568,25.531,25.568,202,0
JSML.US,D,20160408,000000,25.85,25.85,25.707,25.707,306,0
JSML.US,D,20160411,000000,25.435,25.435,25.435,25.435,310,0
JSML.US,D,20160412,000000,25.463,25.543,25.463,25.543,1627,0
JSML.US,D,20160413,000000,25.783,26.235,25.783,26.235,1536,0
JSML.US,D,20160414,000000,26.223,26.223,26.223,26.223,260,0
JSML.US,D,20160415,000000,26.076,26.076,26.076,26.076,135,0
JSML.US,D,20160418,000000,26.282,26.316,26.282,26.316,361,0
JSML.US,D,20160420,000000,26.43,26.446,26.32,26.446,667,0
JSML.US,D,20160421,000000,26.39,26.39,26.291,26.322,1433,0
JSML.US,D,20160422,000000,26.542,26.616,26.38,26.56,1590,0
JSML.US,D,20160425,000000,26.376,26.376,26.371,26.371,423,0
JSML.US,D,20160426,000000,26.509,26.587,26.389,26.567,5663,0
JSML.US,D,20160427,000000,26.577,26.695,26.547,26.695,3862,0
JSML.US,D,20160428,000000,26.763,26.763,26.479,26.479,1114,0
JSML.US,D,20160429,000000,26.185,26.185,25.889,25.971,2629,0
JSML.US,D,20160502,000000,25.968,26.091,25.968,26.091,553,0
JSML.US,D,20160503,000000,26.018,26.018,25.756,25.783,587,0
JSML.US,D,20160504,000000,25.649,25.701,25.463,25.463,3816,0
JSML.US,D,20160505,000000,25.315,25.316,25.285,25.285,1332,0
JSML.US,D,20160506,000000,25.493,25.493,25.354,25.375,547,0
JSML.US,D,20160509,000000,25.658,25.658,25.658,25.658,207,0
JSML.US,D,20160510,000000,25.716,25.793,25.716,25.793,549,0
JSML.US,D,20160511,000000,25.582,25.591,25.563,25.563,4956,0
JSML.US,D,20160512,000000,26.058,26.058,25.256,25.313,7414,0
JSML.US,D,20160513,000000,25.354,25.395,25.354,25.395,439,0
JSML.US,D,20160516,000000,25.462,25.462,25.462,25.462,109,0
JSML.US,D,20160517,000000,25.368,25.425,25.368,25.425,320,0
JSML.US,D,20160518,000000,25.415,25.415,25.257,25.276,1183,0
JSML.US,D,20160519,000000,25.09,25.09,25.042,25.042,440,0
JSML.US,D,20160523,000000,25.649,25.667,25.62,25.62,3427,0
JSML.US,D,20160524,000000,26.233,26.233,26.136,26.233,593,0
JSML.US,D,20160525,000000,26.476,26.476,26.476,26.476,188,0
JSML.US,D,20160526,000000,26.311,26.4,26.277,26.319,5120,0
JSML.US,D,20160531,000000,26.625,26.715,26.625,26.715,1183,0
JSML.US,D,20160602,000000,27.035,27.18,27.002,27.162,4403,0
JSML.US,D,20160603,000000,27.114,27.114,27.114,27.114,509,0
JSML.US,D,20160606,000000,27.405,27.405,27.369,27.381,1122,0
JSML.US,D,20160608,000000,27.642,27.846,27.606,27.726,2889,0
JSML.US,D,20160609,000000,27.7,27.7,27.471,27.564,4521,0
JSML.US,D,20160614,000000,26.744,26.857,26.724,26.857,1107,0
JSML.US,D,20160615,000000,27.114,27.114,26.951,27.028,3405,0
JSML.US,D,20160616,000000,26.705,26.705,26.705,26.705,872,0
JSML.US,D,20160617,000000,26.83,26.83,26.717,26.717,819,0
JSML.US,D,20160620,000000,27.298,27.357,27.289,27.289,1271,0
JSML.US,D,20160621,000000,26.917,27.035,26.83,27.035,3924,0
JSML.US,D,20160623,000000,27.318,27.318,27.318,27.318,100,0
JSML.US,D,20160624,000000,26.695,26.695,26.421,26.459,2292,0
JSML.US,D,20160627,000000,25.491,25.582,25.463,25.463,568,0
JSML.US,D,20160628,000000,25.928,26.028,25.823,26.028,981,0
JSML.US,D,20160629,000000,27.642,27.642,26.33,26.33,599,0
JSML.US,D,20160630,000000,26.883,26.883,26.883,26.883,132,0
JSML.US,D,20160701,000000,27.139,27.204,26.941,27.03,3779,0
JSML.US,D,20160705,000000,26.783,26.783,26.783,26.783,119,0
JSML.US,D,20160706,000000,26.768,26.953,26.768,26.953,408,0
