<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTWO.US,D,20101116,000000,24.901,24.955,24.456,24.616,43693,0
VTWO.US,D,20101117,000000,24.638,24.726,24.55,24.726,38827,0
VTWO.US,D,20101118,000000,25.051,25.246,25.047,25.246,13323,0
VTWO.US,D,20101119,000000,25.056,25.259,24.937,25.215,75578,0
VTWO.US,D,20101122,000000,25.141,25.327,25.022,25.3,36462,0
VTWO.US,D,20101123,000000,24.995,25.101,24.995,25.083,10187,0
VTWO.US,D,20101124,000000,25.251,25.645,25.251,25.645,70739,0
VTWO.US,D,20101126,000000,25.516,25.654,25.512,25.564,24232,0
VTWO.US,D,20101129,000000,25.419,25.529,25.101,25.529,465560,0
VTWO.US,D,20101130,000000,25.233,25.406,25.155,25.273,84741,0
VTWO.US,D,20101201,000000,25.834,25.94,25.834,25.9,48808,0
VTWO.US,D,20101202,000000,25.905,26.201,25.905,26.175,118613,0
VTWO.US,D,20101203,000000,26.051,26.389,26.051,26.381,22819,0
VTWO.US,D,20101206,000000,26.351,26.527,26.316,26.527,15901,0
VTWO.US,D,20101207,000000,26.847,26.86,26.707,26.707,7603,0
VTWO.US,D,20101208,000000,26.73,26.744,26.619,26.65,34371,0
VTWO.US,D,20101209,000000,26.842,26.842,26.668,26.753,87564,0
VTWO.US,D,20101210,000000,26.815,27.101,26.766,27.088,24352,0
VTWO.US,D,20101213,000000,27.277,27.277,26.938,26.938,20347,0
VTWO.US,D,20101214,000000,27,27.048,26.89,26.89,18293,0
VTWO.US,D,20101215,000000,26.885,27.173,26.798,26.828,46668,0
VTWO.US,D,20101216,000000,26.885,27.066,26.885,27.017,12866,0
VTWO.US,D,20101217,000000,27.008,27.215,26.914,27.164,323737,0
VTWO.US,D,20101220,000000,27.197,27.424,27.197,27.327,133381,0
VTWO.US,D,20101221,000000,27.411,27.591,27.397,27.543,124842,0
VTWO.US,D,20101222,000000,27.639,27.639,27.547,27.556,63469,0
VTWO.US,D,20101223,000000,27.635,27.635,27.512,27.521,58348,0
VTWO.US,D,20101227,000000,27.295,27.561,27.291,27.512,46127,0
VTWO.US,D,20101228,000000,27.464,27.49,27.366,27.442,39642,0
VTWO.US,D,20101229,000000,27.438,27.529,27.438,27.473,66831,0
VTWO.US,D,20101230,000000,27.579,27.583,27.485,27.499,61491,0
VTWO.US,D,20101231,000000,27.411,27.461,27.241,27.277,72156,0
VTWO.US,D,20110103,000000,27.499,27.874,27.468,27.732,267993,0
VTWO.US,D,20110104,000000,27.817,27.817,27.04,27.34,134262,0
VTWO.US,D,20110105,000000,27.277,27.639,27.242,27.639,97381,0
VTWO.US,D,20110106,000000,27.561,27.694,27.429,27.499,104285,0
VTWO.US,D,20110107,000000,27.556,27.648,27.013,27.379,174958,0
VTWO.US,D,20110110,000000,27.344,27.613,27.066,27.512,89714,0
VTWO.US,D,20110111,000000,27.684,27.723,27.561,27.622,76601,0
VTWO.US,D,20110112,000000,27.834,27.914,27.728,27.826,191105,0
VTWO.US,D,20110113,000000,27.87,27.936,27.746,27.808,124732,0
VTWO.US,D,20110114,000000,27.847,28.051,27.83,28.007,52644,0
VTWO.US,D,20110118,000000,27.993,28.08,27.838,28.08,323959,0
VTWO.US,D,20110119,000000,28.086,28.099,27.327,27.371,109994,0
VTWO.US,D,20110120,000000,27.223,27.233,26.964,27.088,77835,0
VTWO.US,D,20110121,000000,27.181,27.181,26.885,26.885,22611,0
VTWO.US,D,20110124,000000,26.902,27.173,26.885,27.101,30086,0
VTWO.US,D,20110125,000000,27.044,27.141,26.876,27.137,28174,0
VTWO.US,D,20110126,000000,27.169,27.643,27.101,27.579,79178,0
VTWO.US,D,20110127,000000,27.57,27.746,27.46,27.675,53169,0
VTWO.US,D,20110128,000000,27.596,27.596,26.982,26.982,9725,0
VTWO.US,D,20110131,000000,27.131,27.255,27.073,27.18,13207,0
VTWO.US,D,20110201,000000,27.375,27.83,27.366,27.762,19053,0
VTWO.US,D,20110202,000000,27.728,27.838,27.698,27.71,10246,0
VTWO.US,D,20110203,000000,27.671,27.803,27.366,27.667,42877,0
VTWO.US,D,20110204,000000,27.728,27.86,27.653,27.834,17276,0
VTWO.US,D,20110207,000000,27.922,28.254,27.914,28.114,29228,0
VTWO.US,D,20110208,000000,28.118,28.281,28.034,28.281,24913,0
VTWO.US,D,20110209,000000,28.176,28.236,28.067,28.167,25864,0
VTWO.US,D,20110210,000000,28.007,28.311,27.97,28.276,25686,0
VTWO.US,D,20110211,000000,28.189,28.598,28.189,28.598,21026,0
VTWO.US,D,20110214,000000,28.615,28.735,28.603,28.713,13315,0
VTWO.US,D,20110215,000000,28.673,28.705,28.541,28.567,17891,0
VTWO.US,D,20110216,000000,28.677,28.862,28.664,28.82,17420,0
VTWO.US,D,20110218,000000,29.093,29.163,29.013,29.013,17859,0
VTWO.US,D,20110222,000000,28.767,28.858,28.298,28.307,32175,0
VTWO.US,D,20110223,000000,28.303,28.359,27.675,27.838,45189,0
VTWO.US,D,20110224,000000,27.988,28.059,27.75,27.98,13816,0
VTWO.US,D,20110225,000000,28.197,28.563,28.13,28.563,18580,0
VTWO.US,D,20110228,000000,28.803,28.825,28.462,28.554,89650,0
VTWO.US,D,20110301,000000,28.753,28.767,28.025,28.09,31760,0
VTWO.US,D,20110302,000000,28.09,28.339,28.059,28.221,19988,0
VTWO.US,D,20110303,000000,28.545,28.923,28.501,28.88,20948,0
VTWO.US,D,20110304,000000,28.854,28.867,28.457,28.709,24815,0
VTWO.US,D,20110307,000000,28.846,28.85,28.034,28.271,31346,0
VTWO.US,D,20110308,000000,28.197,28.82,28.197,28.78,11484,0
VTWO.US,D,20110309,000000,28.563,28.718,28.532,28.603,8284,0
VTWO.US,D,20110310,000000,28.214,28.221,27.874,27.952,28309,0
VTWO.US,D,20110311,000000,27.667,27.998,27.635,27.993,15430,0
VTWO.US,D,20110314,000000,27.648,27.94,27.521,27.812,13774,0
VTWO.US,D,20110315,000000,27.091,27.718,27.044,27.653,26772,0
VTWO.US,D,20110316,000000,27.438,27.671,27.169,27.371,54037,0
VTWO.US,D,20110317,000000,27.631,27.631,27.336,27.397,40509,0
VTWO.US,D,20110318,000000,27.653,27.71,27.604,27.643,16244,0
VTWO.US,D,20110321,000000,28.038,28.327,28.029,28.327,69898,0
VTWO.US,D,20110322,000000,28.373,28.381,28.122,28.189,154653,0
VTWO.US,D,20110323,000000,28.034,28.335,27.834,28.258,91725,0
VTWO.US,D,20110324,000000,28.47,28.537,28.206,28.462,44797,0
VTWO.US,D,20110325,000000,28.625,28.991,28.575,28.701,60962,0
VTWO.US,D,20110328,000000,28.82,28.854,28.628,28.655,61379,0
VTWO.US,D,20110329,000000,28.651,28.91,28.559,28.901,86743,0
VTWO.US,D,20110330,000000,29.048,29.318,29,29.282,60930,0
VTWO.US,D,20110331,000000,29.268,29.408,29.242,29.408,52498,0
VTWO.US,D,20110401,000000,29.581,29.675,29.42,29.48,109195,0
VTWO.US,D,20110404,000000,29.599,29.663,29.543,29.577,75553,0
VTWO.US,D,20110405,000000,29.589,29.923,29.535,29.733,73875,0
VTWO.US,D,20110406,000000,29.91,29.98,29.675,29.813,61471,0
VTWO.US,D,20110407,000000,29.844,29.897,29.586,29.645,36054,0
VTWO.US,D,20110408,000000,29.791,29.795,29.216,29.322,66967,0
VTWO.US,D,20110411,000000,29.385,29.393,28.974,29.066,52053,0
VTWO.US,D,20110412,000000,28.893,28.978,28.669,28.687,73215,0
VTWO.US,D,20110413,000000,28.85,28.901,28.515,28.718,80973,0
VTWO.US,D,20110414,000000,28.483,28.858,28.462,28.858,51564,0
VTWO.US,D,20110415,000000,28.841,29.106,28.767,29.102,55201,0
VTWO.US,D,20110418,000000,28.713,28.713,28.501,28.647,60646,0
VTWO.US,D,20110419,000000,28.78,28.872,28.537,28.701,37817,0
VTWO.US,D,20110420,000000,29.138,29.282,29.084,29.282,115372,0
VTWO.US,D,20110421,000000,29.449,29.493,29.247,29.485,175595,0
VTWO.US,D,20110425,000000,29.412,29.507,29.26,29.449,68185,0
VTWO.US,D,20110426,000000,29.475,29.891,29.472,29.737,211691,0
VTWO.US,D,20110427,000000,29.767,29.941,29.649,29.919,104471,0
VTWO.US,D,20110428,000000,29.901,30.058,29.891,30.058,60019,0
VTWO.US,D,20110429,000000,30.094,30.258,30,30.168,43543,0
VTWO.US,D,20110502,000000,30.258,30.28,29.777,29.809,65947,0
VTWO.US,D,20110503,000000,29.763,29.827,29.26,29.416,60758,0
VTWO.US,D,20110504,000000,29.463,29.468,28.901,29.071,76930,0
VTWO.US,D,20110505,000000,28.872,29.345,28.78,28.991,145848,0
VTWO.US,D,20110506,000000,29.278,29.432,28.991,29.062,49877,0
VTWO.US,D,20110509,000000,29.048,29.436,29,29.372,44939,0
VTWO.US,D,20110510,000000,29.535,29.839,29.535,29.839,98062,0
VTWO.US,D,20110511,000000,29.751,29.791,29.194,29.349,84395,0
VTWO.US,D,20110512,000000,29.154,29.64,29.038,29.531,99883,0
VTWO.US,D,20110513,000000,29.653,29.653,29.115,29.168,56735,0
VTWO.US,D,20110516,000000,29.03,29.247,28.709,28.709,70841,0
VTWO.US,D,20110517,000000,28.497,28.727,28.483,28.647,89688,0
VTWO.US,D,20110518,000000,28.691,29.08,28.659,28.982,74894,0
VTWO.US,D,20110519,000000,29.278,29.3,28.918,29.163,103842,0
VTWO.US,D,20110520,000000,29.062,29.076,28.739,28.991,109748,0
VTWO.US,D,20110523,000000,28.439,28.585,28.359,28.435,86154,0
VTWO.US,D,20110524,000000,28.497,28.593,28.244,28.281,93488,0
VTWO.US,D,20110525,000000,28.221,28.723,28.221,28.643,77092,0
VTWO.US,D,20110526,000000,28.554,29.008,28.523,29.004,44991,0
VTWO.US,D,20110527,000000,29.138,29.29,29.076,29.172,57428,0
VTWO.US,D,20110531,000000,29.539,29.586,29.252,29.586,62782,0
VTWO.US,D,20110601,000000,29.565,29.565,28.669,28.669,69503,0
VTWO.US,D,20110602,000000,28.731,28.837,28.506,28.647,66586,0
VTWO.US,D,20110603,000000,28.218,28.51,28.176,28.206,63008,0
VTWO.US,D,20110606,000000,28.214,28.285,27.771,27.784,154230,0
VTWO.US,D,20110607,000000,27.906,28.063,27.83,27.83,91897,0
VTWO.US,D,20110608,000000,27.746,27.822,27.499,27.529,118235,0
VTWO.US,D,20110609,000000,27.617,27.803,27.517,27.675,42631,0
VTWO.US,D,20110610,000000,27.507,27.539,27.119,27.233,136123,0
VTWO.US,D,20110613,000000,27.34,27.451,27.044,27.146,82874,0
VTWO.US,D,20110614,000000,27.393,27.808,27.388,27.732,132535,0
VTWO.US,D,20110615,000000,27.442,27.617,27.193,27.229,74658,0
VTWO.US,D,20110616,000000,27.295,27.525,27.008,27.299,101035,0
VTWO.US,D,20110617,000000,27.579,27.596,27.223,27.327,117377,0
VTWO.US,D,20110620,000000,27.242,27.648,27.219,27.551,121322,0
VTWO.US,D,20110621,000000,27.767,28.18,27.746,28.171,97020,0
VTWO.US,D,20110622,000000,28.02,28.289,27.944,27.944,83541,0
VTWO.US,D,20110623,000000,27.565,28.02,27.383,28.02,38704,0
VTWO.US,D,20110624,000000,28.08,28.162,27.798,27.896,177502,0
VTWO.US,D,20110627,000000,27.91,28.154,27.75,28.122,53181,0
VTWO.US,D,20110628,000000,28.24,28.523,28.221,28.497,27042,0
VTWO.US,D,20110629,000000,28.659,28.723,28.479,28.681,23743,0
VTWO.US,D,20110630,000000,28.771,28.989,28.771,28.925,18025,0
VTWO.US,D,20110701,000000,28.942,29.38,28.867,29.349,21463,0
VTWO.US,D,20110705,000000,29.388,29.468,29.272,29.407,10129,0
VTWO.US,D,20110706,000000,29.3,29.569,29.3,29.557,7807,0
VTWO.US,D,20110707,000000,29.839,30.1,29.813,30.01,95277,0
VTWO.US,D,20110708,000000,29.635,29.835,29.56,29.835,14515,0
VTWO.US,D,20110711,000000,29.432,29.56,29.158,29.158,20002,0
VTWO.US,D,20110712,000000,29.12,29.216,29.008,29.017,6617,0
VTWO.US,D,20110713,000000,29.194,29.531,29.163,29.268,10754,0
VTWO.US,D,20110714,000000,29.337,29.459,28.767,28.88,30727,0
VTWO.US,D,20110715,000000,28.901,28.995,28.803,28.995,5439,0
VTWO.US,D,20110718,000000,28.833,28.918,28.377,28.58,17893,0
VTWO.US,D,20110719,000000,28.793,29.182,28.793,29.182,16472,0
VTWO.US,D,20110720,000000,29.186,29.186,28.956,29.115,24835,0
VTWO.US,D,20110721,000000,29.182,29.463,29.178,29.412,12796,0
VTWO.US,D,20110722,000000,29.372,29.449,29.286,29.441,11355,0
VTWO.US,D,20110725,000000,29.071,29.308,28.978,29.145,40724,0
VTWO.US,D,20110726,000000,28.991,29.052,28.893,28.928,11638,0
VTWO.US,D,20110727,000000,28.664,28.664,28.002,28.002,15396,0
VTWO.US,D,20110728,000000,28.08,28.331,27.952,28.011,17280,0
VTWO.US,D,20110729,000000,27.529,28.029,27.383,27.906,26431,0
VTWO.US,D,20110801,000000,28.226,28.231,27.49,27.704,21535,0
VTWO.US,D,20110802,000000,27.631,27.838,26.89,26.89,37805,0
VTWO.US,D,20110803,000000,26.815,27.053,26.311,27.053,17450,0
VTWO.US,D,20110804,000000,26.491,26.571,25.427,25.427,39059,0
VTWO.US,D,20110805,000000,25.76,25.76,24.55,25.039,37051,0
VTWO.US,D,20110808,000000,24.178,24.673,22.858,22.858,51388,0
VTWO.US,D,20110809,000000,23.422,24.324,22.428,24.324,27000,0
VTWO.US,D,20110810,000000,23.604,24.011,23.114,23.15,52654,0
VTWO.US,D,20110811,000000,23.582,24.289,23.167,24.289,25792,0
VTWO.US,D,20110812,000000,24.581,24.62,24.125,24.444,19373,0
VTWO.US,D,20110815,000000,24.731,25.155,24.696,25.155,30705,0
VTWO.US,D,20110816,000000,24.734,24.969,24.594,24.673,21226,0
VTWO.US,D,20110817,000000,24.829,24.901,24.492,24.659,15501,0
VTWO.US,D,20110818,000000,23.851,23.882,23.18,23.184,148454,0
VTWO.US,D,20110819,000000,22.739,23.552,22.739,22.881,8024,0
VTWO.US,D,20110822,000000,23.52,23.534,22.739,22.871,22805,0
VTWO.US,D,20110823,000000,22.929,23.864,22.929,23.803,10853,0
VTWO.US,D,20110824,000000,23.859,24.302,23.809,23.895,4782,0
