<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALRS.US,D,20190913,000000,21.016,21.436,20.367,21.007,556267,0
ALRS.US,D,20190916,000000,21.369,21.369,20.817,21.343,22817,0
ALRS.US,D,20190917,000000,20.869,20.883,20.624,20.883,14201,0
ALRS.US,D,20190918,000000,20.893,21.083,20.749,20.987,17930,0
ALRS.US,D,20190919,000000,21.123,21.123,20.852,21.009,22522,0
ALRS.US,D,20190920,000000,20.949,21.074,20.949,21.054,13965,0
ALRS.US,D,20190923,000000,21.026,21.026,20.882,20.902,6142,0
ALRS.US,D,20190924,000000,20.876,20.949,20.852,20.902,5188,0
ALRS.US,D,20190925,000000,21.142,21.142,20.852,20.94,8591,0
ALRS.US,D,20190926,000000,20.915,20.997,20.915,20.997,16296,0
ALRS.US,D,20190927,000000,20.949,20.997,20.932,20.949,22453,0
ALRS.US,D,20190930,000000,20.902,20.997,20.902,20.949,1595,0
ALRS.US,D,20191001,000000,20.875,21.036,20.875,20.902,7677,0
ALRS.US,D,20191002,000000,20.902,20.922,20.852,20.869,18591,0
ALRS.US,D,20191003,000000,20.852,20.882,20.852,20.852,7367,0
ALRS.US,D,20191004,000000,20.842,20.94,20.842,20.922,26936,0
ALRS.US,D,20191007,000000,20.94,20.94,20.7,20.922,1376,0
ALRS.US,D,20191008,000000,20.852,20.852,20.421,20.421,2339,0
ALRS.US,D,20191009,000000,20.565,20.565,20.329,20.441,756,0
ALRS.US,D,20191010,000000,20.47,20.47,20.421,20.421,6753,0
ALRS.US,D,20191011,000000,20.434,20.796,20.434,20.786,900,0
ALRS.US,D,20191014,000000,20.652,20.662,20.421,20.642,5286,0
ALRS.US,D,20191015,000000,20.604,20.613,20.421,20.516,7014,0
ALRS.US,D,20191016,000000,20.604,20.604,20.431,20.594,2759,0
ALRS.US,D,20191017,000000,20.45,20.45,20.421,20.441,3960,0
ALRS.US,D,20191018,000000,20.421,20.652,20.421,20.604,2209,0
ALRS.US,D,20191021,000000,20.559,20.559,20.491,20.491,810,0
ALRS.US,D,20191022,000000,20.421,20.654,20.421,20.471,992,0
ALRS.US,D,20191023,000000,20.47,20.632,20.421,20.632,1507,0
ALRS.US,D,20191024,000000,20.931,20.931,20.488,20.632,2861,0
ALRS.US,D,20191025,000000,20.565,20.681,20.488,20.681,21397,0
ALRS.US,D,20191028,000000,20.469,20.47,20.333,20.421,37877,0
ALRS.US,D,20191029,000000,20.54,20.825,20.516,20.69,9262,0
ALRS.US,D,20191030,000000,20.498,20.882,20.498,20.852,45098,0
ALRS.US,D,20191031,000000,20.832,20.902,20.825,20.852,6404,0
ALRS.US,D,20191101,000000,20.892,20.902,20.842,20.892,13220,0
ALRS.US,D,20191104,000000,20.535,20.882,20.535,20.695,7081,0
ALRS.US,D,20191106,000000,20.852,20.852,20.852,20.852,1200,0
ALRS.US,D,20191107,000000,20.652,20.796,20.526,20.69,2204,0
ALRS.US,D,20191108,000000,20.69,20.71,20.69,20.71,683,0
ALRS.US,D,20191111,000000,20.692,20.757,20.662,20.757,6257,0
ALRS.US,D,20191112,000000,20.662,20.757,20.662,20.757,1599,0
ALRS.US,D,20191113,000000,20.662,20.834,20.662,20.801,4311,0
ALRS.US,D,20191114,000000,20.662,20.776,20.662,20.767,4724,0
ALRS.US,D,20191115,000000,20.776,20.882,20.662,20.882,15785,0
ALRS.US,D,20191118,000000,20.931,20.931,20.671,20.892,1631,0
ALRS.US,D,20191119,000000,20.892,20.902,20.681,20.7,1835,0
ALRS.US,D,20191120,000000,20.705,20.94,20.705,20.762,9615,0
ALRS.US,D,20191121,000000,20.69,20.705,20.479,20.479,13897,0
ALRS.US,D,20191122,000000,20.516,20.796,20.516,20.786,25028,0
ALRS.US,D,20191125,000000,20.94,21.036,20.781,21.016,19019,0
ALRS.US,D,20191126,000000,21.123,21.142,20.71,21.142,20855,0
ALRS.US,D,20191127,000000,20.806,21.132,20.806,21.132,2036,0
ALRS.US,D,20191129,000000,20.967,20.967,20.872,20.872,1249,0
ALRS.US,D,20191202,000000,21.142,21.142,20.757,21.142,23467,0
ALRS.US,D,20191203,000000,21.123,21.142,20.842,21.142,18405,0
ALRS.US,D,20191204,000000,21.142,21.478,20.944,21.38,31935,0
ALRS.US,D,20191205,000000,21.135,21.507,21.135,21.507,21148,0
ALRS.US,D,20191206,000000,21.498,21.602,21.151,21.574,17861,0
ALRS.US,D,20191209,000000,21.364,21.747,21.364,21.679,47439,0
ALRS.US,D,20191210,000000,21.545,21.795,21.238,21.766,30972,0
ALRS.US,D,20191211,000000,21.562,21.843,21.545,21.545,21087,0
ALRS.US,D,20191212,000000,21.555,21.795,21.545,21.766,25980,0
ALRS.US,D,20191213,000000,21.929,22.054,21.641,21.939,63264,0
ALRS.US,D,20191216,000000,22.054,22.362,21.863,21.979,110983,0
ALRS.US,D,20191217,000000,22.332,22.535,21.894,22.372,109736,0
ALRS.US,D,20191218,000000,22.342,22.66,22.318,22.66,95573,0
ALRS.US,D,20191219,000000,22.485,22.485,22.118,22.36,70019,0
ALRS.US,D,20191220,000000,22.312,22.631,22.003,22.312,520906,0
ALRS.US,D,20191223,000000,22.138,22.427,22.103,22.118,16507,0
ALRS.US,D,20191224,000000,22.263,22.263,22.244,22.244,1755,0
ALRS.US,D,20191226,000000,22.191,22.244,22.113,22.176,7569,0
ALRS.US,D,20191227,000000,22.283,22.292,21.934,22.03,32060,0
ALRS.US,D,20191230,000000,22.07,22.244,21.104,22.244,34042,0
ALRS.US,D,20191231,000000,22.215,22.244,21.446,22.099,36918,0
ALRS.US,D,20200102,000000,22.244,22.244,20.939,21.761,53785,0
ALRS.US,D,20200103,000000,21.586,22.235,21.064,22.04,48942,0
ALRS.US,D,20200106,000000,21.934,22.225,21.934,22.035,23927,0
ALRS.US,D,20200107,000000,21.77,21.858,21.373,21.644,18590,0
ALRS.US,D,20200108,000000,21.605,21.605,21.185,21.539,14683,0
ALRS.US,D,20200109,000000,21.519,21.664,21.132,21.248,37519,0
ALRS.US,D,20200110,000000,21.248,21.277,20.794,20.991,28368,0
ALRS.US,D,20200113,000000,21.18,21.257,20.644,20.804,86659,0
ALRS.US,D,20200114,000000,20.734,21.277,20.734,20.968,91044,0
ALRS.US,D,20200115,000000,20.939,21.209,20.716,20.754,17094,0
ALRS.US,D,20200116,000000,20.649,21.015,20.619,20.794,46587,0
ALRS.US,D,20200117,000000,20.958,21.219,20.958,20.996,7780,0
ALRS.US,D,20200121,000000,20.794,20.93,20.754,20.794,10908,0
ALRS.US,D,20200122,000000,20.707,20.804,20.639,20.639,23739,0
ALRS.US,D,20200123,000000,20.687,20.687,20.561,20.639,9754,0
ALRS.US,D,20200124,000000,20.639,20.639,20.6,20.6,1353,0
ALRS.US,D,20200127,000000,20.504,21.064,20.416,20.85,23567,0
ALRS.US,D,20200128,000000,20.858,20.88,20.61,20.784,4781,0
ALRS.US,D,20200129,000000,20.996,21.151,20.85,20.85,61648,0
ALRS.US,D,20200130,000000,20.774,20.794,20.504,20.678,202303,0
ALRS.US,D,20200131,000000,20.58,20.58,20.358,20.406,11124,0
ALRS.US,D,20200203,000000,20.406,20.406,20.31,20.348,45000,0
ALRS.US,D,20200204,000000,20.348,20.566,20.078,20.262,148953,0
ALRS.US,D,20200205,000000,20.282,21.243,20.155,20.93,80895,0
ALRS.US,D,20200206,000000,20.968,21.18,20.824,20.841,17407,0
ALRS.US,D,20200207,000000,20.794,21.16,20.794,20.89,6194,0
ALRS.US,D,20200210,000000,20.91,21.248,20.649,21.238,17142,0
ALRS.US,D,20200211,000000,21.257,21.267,20.939,21.035,5997,0
ALRS.US,D,20200212,000000,21.094,21.094,20.774,21.064,13669,0
ALRS.US,D,20200213,000000,21.015,21.015,20.202,20.968,11320,0
ALRS.US,D,20200214,000000,20.794,21.113,20.551,21.015,13369,0
ALRS.US,D,20200218,000000,21.014,21.014,20.89,20.977,2049,0
ALRS.US,D,20200219,000000,21.025,21.142,20.702,21.025,7893,0
ALRS.US,D,20200220,000000,20.734,21.113,20.629,20.939,5383,0
ALRS.US,D,20200221,000000,21.025,21.035,20.391,20.986,10765,0
ALRS.US,D,20200224,000000,20.179,20.92,20.179,20.734,10603,0
ALRS.US,D,20200225,000000,20.58,20.977,20.358,20.387,5678,0
ALRS.US,D,20200226,000000,20.532,20.532,20.233,20.368,1895,0
ALRS.US,D,20200227,000000,20.213,20.416,19.851,20.03,14650,0
ALRS.US,D,20200228,000000,19.769,19.971,19.392,19.787,19758,0
ALRS.US,D,20200302,000000,19.836,20.31,19.372,20.223,11568,0
ALRS.US,D,20200303,000000,19.438,20.262,18.473,18.956,44492,0
ALRS.US,D,20200304,000000,19.139,19.139,18.86,18.906,17161,0
ALRS.US,D,20200305,000000,18.82,18.82,18.134,18.501,21766,0
ALRS.US,D,20200306,000000,18.279,18.678,17.661,17.941,23807,0
ALRS.US,D,20200309,000000,17.661,17.661,16.026,16.538,33331,0
ALRS.US,D,20200310,000000,16.625,17.311,15.822,16.093,162909,0
ALRS.US,D,20200311,000000,16.103,16.992,16.103,16.644,12393,0
ALRS.US,D,20200312,000000,16.2,16.412,15.581,16.122,42187,0
ALRS.US,D,20200313,000000,16.867,16.973,15.91,16.19,22822,0
ALRS.US,D,20200316,000000,15.474,15.86,14.749,15.03,27612,0
ALRS.US,D,20200317,000000,15.252,17.098,14.555,17.098,25813,0
ALRS.US,D,20200318,000000,16.354,16.538,15.039,15.977,23476,0
ALRS.US,D,20200319,000000,15.938,15.938,15.421,15.695,14970,0
ALRS.US,D,20200320,000000,15.441,15.752,14.688,15.421,35379,0
ALRS.US,D,20200323,000000,15.469,16.085,14.737,16.085,18103,0
ALRS.US,D,20200324,000000,15.752,15.752,14.883,15.128,25633,0
ALRS.US,D,20200325,000000,15.118,15.742,14.846,15.362,45853,0
ALRS.US,D,20200326,000000,15.157,15.715,15.016,15.615,35121,0
ALRS.US,D,20200327,000000,15.285,15.615,14.962,14.962,14825,0
ALRS.US,D,20200330,000000,15.059,16.24,14.896,16.153,23860,0
ALRS.US,D,20200331,000000,16.104,17.47,15.918,16.123,72784,0
ALRS.US,D,20200401,000000,15.391,16.778,14.883,14.893,19338,0
ALRS.US,D,20200402,000000,14.787,16.835,14.787,16.573,29449,0
ALRS.US,D,20200403,000000,16.583,16.593,15.285,15.342,35210,0
ALRS.US,D,20200406,000000,16.006,17.06,15.918,16.593,35758,0
ALRS.US,D,20200407,000000,16.759,16.835,15.928,16.593,36296,0
ALRS.US,D,20200408,000000,16.972,16.972,15.88,16.679,22912,0
ALRS.US,D,20200409,000000,17.275,17.373,16.386,16.992,20178,0
ALRS.US,D,20200413,000000,16.806,16.953,15.918,16.924,5989,0
ALRS.US,D,20200414,000000,17.031,17.08,16.113,16.64,12775,0
ALRS.US,D,20200415,000000,15.586,16.269,15.391,15.695,10259,0
ALRS.US,D,20200416,000000,15.918,15.957,14.893,15.128,22147,0
ALRS.US,D,20200417,000000,15.313,15.841,15.313,15.518,11293,0
ALRS.US,D,20200420,000000,15.128,15.567,15.04,15.382,13264,0
ALRS.US,D,20200421,000000,15.186,15.909,15.069,15.715,6143,0
ALRS.US,D,20200422,000000,15.128,15.86,15.128,15.791,7444,0
ALRS.US,D,20200423,000000,15.761,16.085,15.719,15.918,13366,0
ALRS.US,D,20200424,000000,16.436,16.436,15.615,15.967,39791,0
ALRS.US,D,20200427,000000,16.172,16.299,15.685,15.811,7199,0
ALRS.US,D,20200428,000000,16.246,16.426,16.113,16.358,7794,0
ALRS.US,D,20200429,000000,16.573,17.451,16.573,16.904,8307,0
ALRS.US,D,20200430,000000,16.699,17.139,16.593,16.593,10647,0
ALRS.US,D,20200501,000000,16.475,16.645,15.89,16.289,17034,0
ALRS.US,D,20200504,000000,16.475,16.924,15.821,16.729,26517,0
ALRS.US,D,20200505,000000,16.982,17.012,16.172,16.612,16994,0
ALRS.US,D,20200506,000000,16.495,16.739,15.986,16.349,8671,0
ALRS.US,D,20200507,000000,16.319,16.593,16.211,16.513,10271,0
ALRS.US,D,20200508,000000,16.875,17.314,16.396,16.953,14373,0
ALRS.US,D,20200511,000000,17.04,17.04,16.659,16.845,16975,0
ALRS.US,D,20200512,000000,16.855,17.06,16.104,16.104,24305,0
ALRS.US,D,20200513,000000,16.396,16.533,15.909,16.104,21853,0
ALRS.US,D,20200514,000000,15.635,16.396,15.543,16.211,18005,0
ALRS.US,D,20200515,000000,16.163,17.27,15.349,17.099,36736,0
ALRS.US,D,20200518,000000,17.451,18.046,16.684,17.333,28499,0
ALRS.US,D,20200519,000000,16.654,17.567,16.654,17.139,14484,0
ALRS.US,D,20200520,000000,17.247,17.667,17.247,17.402,25508,0
ALRS.US,D,20200521,000000,17.402,17.617,17.07,17.383,27081,0
ALRS.US,D,20200522,000000,17.383,17.49,17.373,17.441,16876,0
ALRS.US,D,20200526,000000,17.647,17.723,17.343,17.567,31797,0
