<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPARU.US,D,20210519,000000,9.95,9.98,9.91,9.92,328206,0
CPARU.US,D,20210520,000000,9.92,9.97,9.92,9.97,305461,0
CPARU.US,D,20210521,000000,9.94,9.97,9.92,9.94,37841,0
CPARU.US,D,20210524,000000,9.96,10.16,9.96,9.99,123384,0
CPARU.US,D,20210525,000000,9.9989,10.01,9.99,10,92864,0
CPARU.US,D,20210526,000000,10,10.02,9.99,10.01,376320,0
CPARU.US,D,20210527,000000,10.25,10.3,10.07,10.09,555170,0
CPARU.US,D,20210528,000000,10.29,10.29,10.075,10.12,141121,0
CPARU.US,D,20210601,000000,10.25,10.2773,10.01,10.1,173436,0
CPARU.US,D,20210602,000000,10.12,10.12,10.07,10.12,44590,0
CPARU.US,D,20210603,000000,10.12,10.12,10.045,10.05,38099,0
CPARU.US,D,20210604,000000,10.12,10.12,10.02,10.06,76948,0
CPARU.US,D,20210607,000000,10.12,10.12,10.05,10.06,268707,0
CPARU.US,D,20210608,000000,10.12,10.12,10.01,10.095,63439,0
CPARU.US,D,20210609,000000,10.21,10.21,10.07,10.0916,81420,0
CPARU.US,D,20210610,000000,10.15,10.15,10.02,10.13,154046,0
CPARU.US,D,20210611,000000,10.15,10.15,10,10.02,105259,0
CPARU.US,D,20210614,000000,10.13,10.13,10.03,10.075,56524,0
CPARU.US,D,20210615,000000,10.09,10.12,10.02,10.1,14478,0
CPARU.US,D,20210616,000000,10.15,10.15,10.03,10.04,394745,0
CPARU.US,D,20210617,000000,10.05,10.1,10.05,10.05,18085,0
CPARU.US,D,20210618,000000,10.14,10.14,10.06,10.075,12319,0
CPARU.US,D,20210621,000000,10.14,10.14,10.08,10.08,7887,0
CPARU.US,D,20210622,000000,10.14,10.14,10.08,10.09,6107,0
CPARU.US,D,20210623,000000,10.1,10.1,10.05,10.09,14287,0
CPARU.US,D,20210624,000000,10.14,10.14,10.08,10.1,35644,0
CPARU.US,D,20210625,000000,10.1,10.1,10.09,10.09,4098,0
CPARU.US,D,20210628,000000,10.1,10.1,10.08,10.1,18598,0
CPARU.US,D,20210629,000000,10.1,10.1,10.0582,10.0604,23368,0
CPARU.US,D,20210630,000000,10.1,10.1,10.03,10.1,11885,0
CPARU.US,D,20210701,000000,10.14,10.14,9.98,10.005,77482,0
CPARU.US,D,20210702,000000,10.03,10.1,10.03,10.1,6858,0
CPARU.US,D,20210706,000000,10.1,10.1,10.06,10.06,10786,0
CPARU.US,D,20210707,000000,10.1,10.1,10.06,10.065,1020589,0
CPARU.US,D,20210708,000000,10.11,10.12,10.0501,10.09,31151,0
CPARU.US,D,20210709,000000,10.1,10.1,10.03,10.03,207567,0
