<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPLP.US,D,20070329,000000,52.326,52.326,52.326,52.326,0,0
CPLP.US,D,20070330,000000,63.288,65.657,62.082,65.134,3443792,0
CPLP.US,D,20070402,000000,63.432,65.569,61.075,64.606,330330,0
CPLP.US,D,20070403,000000,63.714,65.134,63.571,64.271,176947,0
CPLP.US,D,20070404,000000,63.622,64.357,62.678,63.777,167378,0
CPLP.US,D,20070405,000000,64.271,64.271,62.678,63.724,93090,0
CPLP.US,D,20070409,000000,64.249,64.249,63.455,63.777,34800,0
CPLP.US,D,20070410,000000,63.529,64.225,63.432,63.777,33219,0
CPLP.US,D,20070411,000000,63.777,65.134,63.777,64.081,33339,0
CPLP.US,D,20070412,000000,64.249,64.627,63.714,63.938,34539,0
CPLP.US,D,20070413,000000,64.225,64.249,63.714,63.777,21851,0
CPLP.US,D,20070416,000000,63.529,64.294,62.54,63.657,147628,0
CPLP.US,D,20070417,000000,63.368,63.748,63.288,63.394,71100,0
CPLP.US,D,20070418,000000,63.714,64.249,62.995,63.724,66868,0
CPLP.US,D,20070419,000000,63.069,63.724,62.73,63.724,83064,0
CPLP.US,D,20070420,000000,63.673,63.673,62.897,62.972,39171,0
CPLP.US,D,20070423,000000,63.455,63.897,62.874,63.288,27639,0
CPLP.US,D,20070424,000000,63.777,64.173,63.288,63.644,36440,0
CPLP.US,D,20070425,000000,63.622,64.357,63.455,64.037,10327,0
CPLP.US,D,20070426,000000,64.387,64.387,63.529,63.714,17415,0
CPLP.US,D,20070427,000000,64.387,64.387,63.316,64.002,12125,0
CPLP.US,D,20070430,000000,63.897,63.926,63.466,63.714,34722,0
CPLP.US,D,20070501,000000,63.657,64.506,63.178,64.294,126244,0
CPLP.US,D,20070502,000000,63.368,63.777,63.288,63.644,50756,0
CPLP.US,D,20070503,000000,63.394,63.869,63.012,63.288,58643,0
CPLP.US,D,20070504,000000,63.288,63.897,62.599,63.247,335861,0
CPLP.US,D,20070507,000000,63.024,65.519,63.024,65.3,23248,0
CPLP.US,D,20070508,000000,65.134,65.49,63.455,64.271,39399,0
CPLP.US,D,20070509,000000,65.519,65.569,63.046,64.444,57989,0
CPLP.US,D,20070510,000000,65.845,66.898,63.178,64.76,60016,0
CPLP.US,D,20070511,000000,66.323,66.323,63.811,64.271,25807,0
CPLP.US,D,20070514,000000,65.569,65.569,63.288,64.69,24636,0
CPLP.US,D,20070515,000000,64.627,65.657,63.338,64.713,15371,0
CPLP.US,D,20070516,000000,62.972,64.506,62.972,64.271,20912,0
CPLP.US,D,20070517,000000,64.627,64.627,63.338,64.535,22919,0
CPLP.US,D,20070518,000000,64.444,64.444,63.466,64.387,22912,0
CPLP.US,D,20070521,000000,64.387,64.387,63.046,64.145,20334,0
CPLP.US,D,20070522,000000,63.338,64.294,63.338,63.432,14143,0
CPLP.US,D,20070523,000000,63.394,63.897,61.741,62.933,36833,0
CPLP.US,D,20070524,000000,63.046,63.891,62.082,63.229,23916,0
CPLP.US,D,20070525,000000,62.225,62.823,61.639,62.823,30284,0
CPLP.US,D,20070529,000000,62.151,63.288,61.138,62.644,43354,0
CPLP.US,D,20070530,000000,61.666,62.57,61.415,62.57,34383,0
CPLP.US,D,20070531,000000,61.415,62.201,61.415,62.082,39049,0
CPLP.US,D,20070601,000000,63.288,63.288,62.046,62.201,15575,0
CPLP.US,D,20070604,000000,61.103,63.272,61.103,62.293,12675,0
CPLP.US,D,20070605,000000,60.92,62.599,60.902,62.109,38968,0
CPLP.US,D,20070606,000000,60.931,62.082,60.931,61.878,26375,0
CPLP.US,D,20070607,000000,61.138,61.546,58.626,60.718,53984,0
CPLP.US,D,20070608,000000,60.127,60.672,59.598,60.127,35867,0
