<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTAQW.US,D,20210203,000000,1.78,1.89,1.65,1.75,68800,0
CTAQW.US,D,20210204,000000,1.79,1.8,1.75,1.75,91605,0
CTAQW.US,D,20210205,000000,1.79,1.9614,1.7798,1.9614,39935,0
CTAQW.US,D,20210208,000000,2.05,2.48,1.88,2.04,61066,0
CTAQW.US,D,20210209,000000,2.04,2.1,2.02,2.05,47909,0
CTAQW.US,D,20210210,000000,2.01,2.13,1.77,2,332684,0
CTAQW.US,D,20210211,000000,1.95,2,1.81,1.84,72812,0
CTAQW.US,D,20210212,000000,1.82,1.85,1.76,1.81,227049,0
CTAQW.US,D,20210216,000000,1.93,1.93,1.76,1.81,157316,0
CTAQW.US,D,20210217,000000,1.8,1.91,1.75,1.81,68042,0
CTAQW.US,D,20210218,000000,1.8401,1.94,1.81,1.86,79317,0
CTAQW.US,D,20210219,000000,1.95,2,1.84,1.91,189892,0
CTAQW.US,D,20210222,000000,1.95,2,1.86,1.9,88199,0
CTAQW.US,D,20210223,000000,1.9,1.9,1.75,1.815,154643,0
CTAQW.US,D,20210224,000000,1.7801,1.8,1.72,1.73,64988,0
CTAQW.US,D,20210225,000000,1.83,1.83,1.51,1.52,124824,0
CTAQW.US,D,20210226,000000,1.51,1.51,1.25,1.4899,199879,0
CTAQW.US,D,20210301,000000,1.67,1.68,1.4,1.5,64552,0
CTAQW.US,D,20210302,000000,1.5,1.54,1.15,1.215,245427,0
CTAQW.US,D,20210303,000000,1.25,1.29,1.04,1.06,195632,0
CTAQW.US,D,20210304,000000,1.01,1.06,0.8,0.905,440259,0
CTAQW.US,D,20210305,000000,1,1.21,0.9,1.21,160150,0
CTAQW.US,D,20210308,000000,1.1999,1.2,1.02,1.16,63849,0
CTAQW.US,D,20210309,000000,1.21,1.25,1.16,1.24,67008,0
CTAQW.US,D,20210310,000000,1.21,1.25,1.12,1.25,68801,0
CTAQW.US,D,20210311,000000,1.24,1.24,1.17,1.18,104782,0
CTAQW.US,D,20210312,000000,1.18,1.24,1.175,1.2,56126,0
CTAQW.US,D,20210315,000000,1.13,1.2,1.13,1.1301,85938,0
CTAQW.US,D,20210316,000000,1.18,1.18,1.03,1.13,119949,0
CTAQW.US,D,20210317,000000,1.12,1.1401,1.1,1.14,32085,0
CTAQW.US,D,20210318,000000,1.1,1.2,1.1,1.19,122461,0
CTAQW.US,D,20210319,000000,1.21,1.22,1.1,1.2,78630,0
CTAQW.US,D,20210322,000000,1.13,1.15,1.11,1.12,22130,0
CTAQW.US,D,20210323,000000,1.11,1.13,1.01,1.08,26883,0
CTAQW.US,D,20210324,000000,1.06,1.11,0.899899,1.02,84192,0
CTAQW.US,D,20210325,000000,0.98,0.98,0.9103,0.95,72081,0
CTAQW.US,D,20210326,000000,0.9201,0.94,0.9051,0.9375,135858,0
CTAQW.US,D,20210329,000000,0.9,0.9799,0.9,0.9799,39701,0
CTAQW.US,D,20210330,000000,0.9792,0.9792,0.8826,0.8999,18081,0
CTAQW.US,D,20210331,000000,0.8801,0.8802,0.83,0.83,8130,0
CTAQW.US,D,20210401,000000,0.8799,0.920251,0.8,0.920251,15852,0
CTAQW.US,D,20210405,000000,0.8893,0.8899,0.79005,0.85,66780,0
CTAQW.US,D,20210406,000000,0.86,0.9,0.82,0.9,56695,0
CTAQW.US,D,20210407,000000,0.9,0.93,0.8995,0.924999,19296,0
CTAQW.US,D,20210408,000000,0.94,1.04,0.8808,1.04,298685,0
CTAQW.US,D,20210409,000000,0.99,1.06,0.9502,0.98,26175,0
CTAQW.US,D,20210412,000000,0.98,0.98,0.9351,0.9351,3200,0
CTAQW.US,D,20210413,000000,0.94,0.95,0.8555,0.95,67304,0
CTAQW.US,D,20210414,000000,0.94,0.970001,0.8951,0.97,28562,0
CTAQW.US,D,20210415,000000,0.98,0.980001,0.917001,0.97,32933,0
CTAQW.US,D,20210416,000000,0.850201,0.9388,0.850201,0.9388,18024,0
CTAQW.US,D,20210419,000000,0.9,0.9,0.8,0.8795,10151,0
CTAQW.US,D,20210420,000000,0.86,0.86,0.79,0.8495,6636,0
CTAQW.US,D,20210421,000000,0.79,0.8221,0.61,0.82,53997,0
CTAQW.US,D,20210422,000000,0.83,0.83,0.71,0.81,26164,0
CTAQW.US,D,20210423,000000,0.75,0.8299,0.75,0.8299,3533,0
CTAQW.US,D,20210426,000000,0.83,0.87,0.78,0.8299,12050,0
CTAQW.US,D,20210427,000000,0.9005,0.9005,0.85,0.85,2159,0
CTAQW.US,D,20210428,000000,0.849799,0.849799,0.8399,0.8399,560,0
CTAQW.US,D,20210429,000000,0.82,0.84,0.81,0.84,10769,0
CTAQW.US,D,20210430,000000,0.84,0.84,0.805,0.81,9165,0
CTAQW.US,D,20210503,000000,0.85,0.8738,0.85,0.850101,16120,0
CTAQW.US,D,20210504,000000,0.8502,0.8502,0.8022,0.84,3627,0
CTAQW.US,D,20210505,000000,0.815,0.85,0.764,0.8,7324,0
CTAQW.US,D,20210506,000000,0.8,0.81,0.8,0.81,1355,0
CTAQW.US,D,20210507,000000,0.7701,0.84,0.7701,0.83058,16236,0
CTAQW.US,D,20210510,000000,0.8,0.85,0.8,0.85,11218,0
CTAQW.US,D,20210512,000000,0.770101,0.837,0.77,0.83,40831,0
CTAQW.US,D,20210513,000000,0.8,0.830248,0.8,0.8001,47350,0
CTAQW.US,D,20210514,000000,0.79,0.8139,0.79,0.8139,4544,0
CTAQW.US,D,20210517,000000,0.8,0.8,0.8,0.8,500,0
CTAQW.US,D,20210518,000000,0.82495,0.82495,0.8,0.8,13400,0
CTAQW.US,D,20210519,000000,0.8,0.8,0.77,0.784951,2613,0
CTAQW.US,D,20210520,000000,0.8494,0.85,0.8005,0.82,11208,0
CTAQW.US,D,20210521,000000,0.8599,0.890299,0.8309,0.8309,8965,0
CTAQW.US,D,20210525,000000,0.780101,0.8115,0.780101,0.8115,49594,0
CTAQW.US,D,20210526,000000,0.795201,0.795201,0.795201,0.795201,520,0
CTAQW.US,D,20210527,000000,0.83,0.83995,0.83,0.83995,400,0
CTAQW.US,D,20210528,000000,0.85,0.8899,0.83,0.8899,4050,0
CTAQW.US,D,20210601,000000,0.83,0.89,0.83,0.8501,2586,0
CTAQW.US,D,20210602,000000,0.8302,0.85,0.799,0.8145,14212,0
CTAQW.US,D,20210603,000000,0.8,0.81,0.799,0.8005,8995,0
CTAQW.US,D,20210604,000000,0.8,0.8,0.8,0.8,222,0
CTAQW.US,D,20210607,000000,0.8001,0.8399,0.790101,0.8399,7040,0
CTAQW.US,D,20210608,000000,0.85,0.89,0.85,0.8798,18614,0
CTAQW.US,D,20210609,000000,0.8899,0.9,0.85,0.9,35077,0
