<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVBF.US,D,20050225,000000,9.917,10.295,9.917,10.295,153777,0
CVBF.US,D,20050228,000000,10.194,10.318,9.87,9.98,196731,0
CVBF.US,D,20050301,000000,10.001,10.209,9.98,10.127,153841,0
CVBF.US,D,20050302,000000,10.107,10.386,10.092,10.119,99681,0
CVBF.US,D,20050303,000000,10.304,10.343,10.143,10.165,114670,0
CVBF.US,D,20050304,000000,10.281,10.538,10.143,10.42,178193,0
CVBF.US,D,20050307,000000,10.483,10.483,10.165,10.263,249181,0
CVBF.US,D,20050308,000000,10.393,10.393,10.218,10.224,136202,0
CVBF.US,D,20050309,000000,10.224,10.224,10.017,10.07,98920,0
CVBF.US,D,20050310,000000,9.988,10.218,9.932,10.017,200683,0
CVBF.US,D,20050311,000000,10.017,10.034,9.91,9.995,112098,0
CVBF.US,D,20050314,000000,9.901,10.111,9.901,10.009,132500,0
CVBF.US,D,20050315,000000,10.092,10.209,9.885,9.893,156194,0
CVBF.US,D,20050316,000000,9.947,9.988,9.849,9.856,105911,0
CVBF.US,D,20050317,000000,9.893,10.001,9.762,9.893,126938,0
CVBF.US,D,20050318,000000,9.917,9.988,9.695,9.711,394668,0
CVBF.US,D,20050321,000000,9.864,9.953,9.623,9.739,131240,0
CVBF.US,D,20050322,000000,9.717,9.917,9.3607,9.4039,157158,0
CVBF.US,D,20050323,000000,9.3607,9.4735,9.3607,9.3961,184733,0
CVBF.US,D,20050324,000000,9.4815,9.608,9.4388,9.4616,127833,0
CVBF.US,D,20050328,000000,9.521,9.562,9.4735,9.521,129681,0
CVBF.US,D,20050329,000000,9.542,9.637,9.4039,9.535,318116,0
CVBF.US,D,20050330,000000,9.586,9.877,9.506,9.87,180021,0
CVBF.US,D,20050331,000000,9.98,10.057,9.535,9.681,366213,0
CVBF.US,D,20050401,000000,9.739,9.87,9.3489,9.506,139250,0
CVBF.US,D,20050404,000000,9.3557,9.65,9.3366,9.547,140232,0
CVBF.US,D,20050405,000000,9.4735,9.739,9.4735,9.658,146060,0
CVBF.US,D,20050406,000000,9.711,9.893,9.711,9.813,139296,0
CVBF.US,D,20050407,000000,9.717,9.917,9.681,9.856,113810,0
CVBF.US,D,20050408,000000,9.834,9.834,9.547,9.57,124046,0
CVBF.US,D,20050411,000000,9.666,9.8,9.4874,9.739,173777,0
CVBF.US,D,20050412,000000,9.739,9.96,9.608,9.856,224334,0
CVBF.US,D,20050413,000000,9.924,9.975,9.6,9.608,139462,0
CVBF.US,D,20050414,000000,9.555,9.658,9.4735,9.4735,183206,0
CVBF.US,D,20050415,000000,9.542,9.637,9.286,9.3015,160994,0
CVBF.US,D,20050418,000000,9.4177,9.586,9.2937,9.4815,208677,0
CVBF.US,D,20050419,000000,9.586,9.725,9.4108,9.681,197201,0
CVBF.US,D,20050420,000000,9.6,9.6,9.286,9.2937,155087,0
CVBF.US,D,20050421,000000,9.2937,9.506,9.286,9.3557,215371,0
CVBF.US,D,20050422,000000,9.4039,9.4458,9.0665,9.1917,264056,0
CVBF.US,D,20050425,000000,9.185,9.513,9.1513,9.4388,183935,0
CVBF.US,D,20050426,000000,9.3557,9.4815,9.0799,9.0799,257849,0
CVBF.US,D,20050427,000000,9.0733,9.213,9.0184,9.1362,387494,0
CVBF.US,D,20050428,000000,9.0733,9.2246,9.0665,9.0733,246067,0
CVBF.US,D,20050429,000000,9.101,9.213,8.9697,9.1687,268910,0
CVBF.US,D,20050502,000000,9.2782,9.608,9.213,9.6,258908,0
CVBF.US,D,20050503,000000,9.6,9.777,9.506,9.555,188125,0
CVBF.US,D,20050504,000000,9.608,9.856,9.6,9.834,175303,0
CVBF.US,D,20050505,000000,9.82,9.87,9.644,9.849,164396,0
CVBF.US,D,20050506,000000,9.885,9.901,9.63,9.777,232759,0
CVBF.US,D,20050509,000000,9.849,10.009,9.688,10.009,183559,0
CVBF.US,D,20050510,000000,9.877,9.975,9.623,9.63,204055,0
CVBF.US,D,20050511,000000,9.769,9.856,9.608,9.725,218045,0
CVBF.US,D,20050512,000000,9.828,9.953,9.57,9.63,167034,0
CVBF.US,D,20050513,000000,9.703,9.703,9.4259,9.506,143431,0
CVBF.US,D,20050516,000000,9.608,9.988,9.513,9.98,184070,0
CVBF.US,D,20050517,000000,9.87,9.975,9.65,9.901,154587,0
CVBF.US,D,20050518,000000,10.009,10.107,9.828,10.064,195223,0
CVBF.US,D,20050519,000000,10.107,10.143,9.877,9.98,100652,0
CVBF.US,D,20050520,000000,10.057,10.057,9.82,9.953,231683,0
CVBF.US,D,20050523,000000,9.947,10.107,9.87,10.034,157781,0
CVBF.US,D,20050524,000000,10.143,10.143,9.885,10.009,162891,0
CVBF.US,D,20050525,000000,10.111,10.111,9.834,9.856,120318,0
CVBF.US,D,20050526,000000,9.975,9.995,9.808,9.917,122151,0
CVBF.US,D,20050527,000000,9.834,9.988,9.813,9.885,85408,0
CVBF.US,D,20050531,000000,9.856,9.98,9.834,9.841,186456,0
CVBF.US,D,20050601,000000,9.924,10.107,9.834,10.107,177931,0
CVBF.US,D,20050602,000000,10.119,10.143,9.849,10.077,107178,0
CVBF.US,D,20050603,000000,10.143,10.158,9.947,9.947,156131,0
CVBF.US,D,20050606,000000,9.932,9.975,9.834,9.947,119520,0
CVBF.US,D,20050607,000000,9.917,10.187,9.901,10.009,145731,0
CVBF.US,D,20050608,000000,9.98,10.119,9.924,9.924,99028,0
CVBF.US,D,20050609,000000,10.009,10.173,9.856,10.127,137393,0
CVBF.US,D,20050610,000000,10.179,10.187,9.995,10.025,73490,0
CVBF.US,D,20050613,000000,9.953,10.165,9.953,10.034,88390,0
CVBF.US,D,20050614,000000,10.107,10.218,10.049,10.194,80859,0
CVBF.US,D,20050615,000000,10.143,10.304,10.127,10.304,224863,0
CVBF.US,D,20050616,000000,10.269,10.468,10.231,10.46,123530,0
CVBF.US,D,20050617,000000,10.525,10.636,10.406,10.525,326841,0
CVBF.US,D,20050620,000000,10.483,10.606,10.327,10.483,186269,0
CVBF.US,D,20050621,000000,10.436,10.576,10.393,10.495,62207,0
CVBF.US,D,20050622,000000,10.576,10.746,10.576,10.73,145759,0
CVBF.US,D,20050623,000000,10.753,10.789,10.501,10.516,164833,0
CVBF.US,D,20050624,000000,10.516,10.591,10.269,10.295,197379,0
CVBF.US,D,20050627,000000,10.224,10.46,10.218,10.413,78743,0
CVBF.US,D,20050628,000000,10.49,10.73,10.436,10.686,153581,0
CVBF.US,D,20050629,000000,10.606,10.769,10.606,10.739,76883,0
CVBF.US,D,20050630,000000,10.811,10.811,10.475,10.501,146348,0
