<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGICA.US,D,20050225,000000,9.1951,9.3374,9.1951,9.276,42834,0
DGICA.US,D,20050228,000000,9.2847,9.359,9.276,9.276,16362,0
DGICA.US,D,20050301,000000,9.2402,9.3786,9.1951,9.2334,53205,0
DGICA.US,D,20050302,000000,9.2265,9.3668,9.2265,9.2964,56642,0
DGICA.US,D,20050303,000000,9.3374,9.3913,9.2886,9.31,82221,0
DGICA.US,D,20050304,000000,9.3864,9.419,9.3433,9.4081,29485,0
DGICA.US,D,20050307,000000,9.4081,9.4358,9.3433,9.4081,11351,0
DGICA.US,D,20050308,000000,9.3992,9.4883,9.359,9.4081,43759,0
DGICA.US,D,20050309,000000,9.3512,9.4081,9.3306,9.3306,14960,0
DGICA.US,D,20050310,000000,9.4081,9.4081,9.3238,9.3512,10704,0
DGICA.US,D,20050311,000000,9.276,9.3786,9.2265,9.2334,94833,0
DGICA.US,D,20050314,000000,9.2072,9.31,9.1864,9.1864,77377,0
DGICA.US,D,20050315,000000,9.2556,9.2693,9.171,9.2693,11786,0
DGICA.US,D,20050316,000000,9.276,9.3374,9.2072,9.2402,19066,0
DGICA.US,D,20050317,000000,9.1518,9.2459,9.1354,9.2334,33674,0
DGICA.US,D,20050318,000000,9.3306,9.4972,9.1298,9.3433,92955,0
DGICA.US,D,20050321,000000,9.4616,10.001,9.4616,9.91,160787,0
DGICA.US,D,20050322,000000,10.025,10.176,9.579,9.661,89332,0
DGICA.US,D,20050323,000000,9.558,9.815,9.505,9.782,12795,0
DGICA.US,D,20050324,000000,9.936,9.936,9.757,9.757,17480,0
DGICA.US,D,20050328,000000,9.774,9.774,9.517,9.545,36620,0
DGICA.US,D,20050329,000000,9.661,9.959,9.1117,9.3374,85151,0
DGICA.US,D,20050330,000000,9.2402,9.3864,9.0973,9.3238,124646,0
DGICA.US,D,20050331,000000,9.1432,9.419,9.1432,9.4131,94011,0
DGICA.US,D,20050401,000000,9.2459,9.3512,9.2188,9.3238,57774,0
DGICA.US,D,20050404,000000,9.315,9.315,9.1298,9.2072,63279,0
DGICA.US,D,20050405,000000,9.315,9.3786,9.2334,9.3786,26216,0
DGICA.US,D,20050406,000000,9.3992,9.4269,9.3668,9.3992,15006,0
DGICA.US,D,20050407,000000,9.3992,9.4556,9.3512,9.3737,10325,0
DGICA.US,D,20050408,000000,9.4269,9.4269,9.2402,9.2402,32496,0
DGICA.US,D,20050411,000000,9.31,9.31,9.1662,9.1662,12032,0
DGICA.US,D,20050412,000000,9.1432,9.2964,8.9917,9.2334,38742,0
DGICA.US,D,20050413,000000,9.3032,9.3032,9.1051,9.1172,126415,0
DGICA.US,D,20050414,000000,9.1951,9.1951,8.9161,8.9161,28576,0
DGICA.US,D,20050415,000000,8.9012,9.0538,8.7583,8.8349,20456,0
DGICA.US,D,20050418,000000,8.9316,9.0143,8.6472,8.7777,47835,0
DGICA.US,D,20050419,000000,8.9076,8.9076,8.764,8.764,38163,0
DGICA.US,D,20050420,000000,8.7435,9.0338,8.6886,8.9843,50536,0
DGICA.US,D,20050421,000000,8.9843,9.31,8.9719,9.2459,36787,0
DGICA.US,D,20050422,000000,9.1172,9.587,9.0209,9.587,115756,0
DGICA.US,D,20050425,000000,9.505,9.661,9.505,9.607,24761,0
DGICA.US,D,20050426,000000,9.552,9.661,9.51,9.64,32473,0
DGICA.US,D,20050427,000000,9.4616,9.661,9.4616,9.661,10346,0
DGICA.US,D,20050428,000000,9.587,9.622,9.517,9.587,15217,0
DGICA.US,D,20050429,000000,9.4883,9.653,9.4556,9.653,25342,0
DGICA.US,D,20050502,000000,9.653,9.691,9.564,9.691,16202,0
DGICA.US,D,20050503,000000,9.505,9.6,9.4764,9.572,23507,0
DGICA.US,D,20050504,000000,9.6,9.73,9.4616,9.73,25991,0
DGICA.US,D,20050505,000000,9.807,9.807,9.6,9.661,12597,0
DGICA.US,D,20050506,000000,9.738,9.738,9.6,9.607,9082,0
DGICA.US,D,20050509,000000,9.738,9.738,9.538,9.678,11388,0
DGICA.US,D,20050510,000000,9.538,9.64,9.4972,9.64,9306,0
DGICA.US,D,20050511,000000,9.587,9.629,9.4764,9.4764,18950,0
DGICA.US,D,20050512,000000,9.552,9.684,9.517,9.517,16389,0
DGICA.US,D,20050513,000000,9.4556,9.587,9.3992,9.3992,16108,0
DGICA.US,D,20050516,000000,9.3913,9.517,9.2334,9.276,41226,0
DGICA.US,D,20050517,000000,9.4269,9.4269,9.171,9.171,124786,0
DGICA.US,D,20050518,000000,9.2459,9.607,9.1432,9.4616,21959,0
DGICA.US,D,20050519,000000,9.552,9.684,9.2265,9.2334,53321,0
DGICA.US,D,20050520,000000,9.419,9.419,9.3238,9.3374,7727,0
DGICA.US,D,20050523,000000,9.171,9.4131,9.171,9.3512,17367,0
DGICA.US,D,20050524,000000,9.4358,9.4358,9.3238,9.3864,19880,0
DGICA.US,D,20050525,000000,9.31,9.3512,9.31,9.3433,7858,0
DGICA.US,D,20050526,000000,9.2556,9.593,9.215,9.593,10293,0
DGICA.US,D,20050527,000000,9.75,9.75,9.564,9.587,101069,0
DGICA.US,D,20050531,000000,9.75,9.75,9.4418,9.564,43047,0
DGICA.US,D,20050601,000000,9.4358,9.587,9.3737,9.579,36015,0
DGICA.US,D,20050602,000000,9.3512,9.538,9.3512,9.525,51531,0
DGICA.US,D,20050603,000000,9.587,9.757,9.3737,9.629,13626,0
DGICA.US,D,20050606,000000,9.67,9.794,9.607,9.622,61885,0
DGICA.US,D,20050607,000000,9.607,9.977,9.587,9.862,22848,0
DGICA.US,D,20050608,000000,9.697,9.879,9.649,9.789,10707,0
DGICA.US,D,20050609,000000,9.815,9.996,9.815,9.996,4851,0
DGICA.US,D,20050610,000000,9.996,10.048,9.891,9.95,24406,0
DGICA.US,D,20050613,000000,9.839,10.057,9.839,10.048,19817,0
DGICA.US,D,20050614,000000,10.048,10.057,9.984,10.015,8319,0
DGICA.US,D,20050615,000000,10.097,10.097,9.95,10.065,22955,0
DGICA.US,D,20050616,000000,9.95,10.104,9.95,10.104,9227,0
DGICA.US,D,20050617,000000,10.163,10.163,10.015,10.015,65722,0
DGICA.US,D,20050620,000000,10.048,10.097,9.916,10.025,27095,0
DGICA.US,D,20050621,000000,10.081,10.097,9.968,10.057,17288,0
DGICA.US,D,20050622,000000,10.129,10.129,10.048,10.097,7927,0
DGICA.US,D,20050623,000000,10.006,10.124,9.95,9.95,11265,0
DGICA.US,D,20050624,000000,9.854,10.243,9.4556,10.243,196914,0
DGICA.US,D,20050627,000000,10.032,10.086,9.826,9.826,19684,0
DGICA.US,D,20050628,000000,9.943,10.334,9.64,10.334,34847,0
DGICA.US,D,20050629,000000,10.36,10.526,10.319,10.407,13919,0
DGICA.US,D,20050630,000000,10.407,10.407,10.236,10.342,17254,0
DGICA.US,D,20050701,000000,10.438,10.438,10.163,10.221,8656,0
DGICA.US,D,20050705,000000,10.415,10.415,10.29,10.407,37542,0
DGICA.US,D,20050706,000000,10.354,10.451,10.348,10.348,15217,0
DGICA.US,D,20050707,000000,10.31,10.354,10.097,10.348,5639,0
DGICA.US,D,20050708,000000,10.303,10.596,10.303,10.54,14269,0
DGICA.US,D,20050711,000000,10.407,10.643,10.407,10.643,35876,0
DGICA.US,D,20050712,000000,10.622,10.728,10.573,10.573,11314,0
DGICA.US,D,20050713,000000,10.468,10.662,10.468,10.514,11885,0
DGICA.US,D,20050714,000000,10.514,10.609,10.259,10.259,18658,0
DGICA.US,D,20050715,000000,10.097,10.264,10.097,10.229,13349,0
DGICA.US,D,20050718,000000,10.236,10.236,10.006,10.025,9025,0
DGICA.US,D,20050719,000000,10.163,10.451,10.163,10.372,12654,0
DGICA.US,D,20050720,000000,10.29,10.698,10.283,10.698,8750,0
DGICA.US,D,20050721,000000,10.622,10.75,10.296,10.734,49435,0
DGICA.US,D,20050722,000000,10.776,11.056,10.698,11.028,27325,0
DGICA.US,D,20050725,000000,11.042,11.132,10.99,11.013,12301,0
DGICA.US,D,20050726,000000,10.909,11.028,10.768,10.893,16024,0
