<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHC.US,D,20050225,000000,8.9636,9.1115,8.9218,9.1076,359134,0
DHC.US,D,20050228,000000,9.1115,9.1115,8.8775,8.9465,758320,0
DHC.US,D,20050301,000000,8.9579,9.162,8.9579,9.1314,397592,0
DHC.US,D,20050302,000000,9.1372,9.1956,8.9992,9.0113,327484,0
DHC.US,D,20050303,000000,8.9935,9.0396,8.9218,8.9795,484713,0
DHC.US,D,20050304,000000,8.9757,9.1028,8.972,9.0847,514961,0
DHC.US,D,20050307,000000,9.0847,9.2166,9.0226,9.162,320670,0
DHC.US,D,20050308,000000,9.097,9.1115,8.8618,8.9218,1074589,0
DHC.US,D,20050309,000000,8.9218,8.9218,8.7375,8.7375,660980,0
DHC.US,D,20050310,000000,8.7519,8.9023,8.6983,8.8112,423425,0
DHC.US,D,20050311,000000,8.8176,8.8545,8.6742,8.7322,411808,0
DHC.US,D,20050314,000000,8.7412,8.9173,8.7322,8.8212,393778,0
DHC.US,D,20050315,000000,8.8859,8.9173,8.6928,8.7322,437245,0
DHC.US,D,20050316,000000,8.7572,8.7762,8.6134,8.6258,327082,0
DHC.US,D,20050317,000000,8.6258,8.7474,8.6134,8.6742,223931,0
DHC.US,D,20050318,000000,8.7715,8.7715,8.5971,8.5971,616112,0
DHC.US,D,20050321,000000,8.4626,8.5577,8.4179,8.5076,658775,0
DHC.US,D,20050322,000000,8.522,8.6035,8.2979,8.313,520967,0
DHC.US,D,20050323,000000,8.2876,8.3734,8.0872,8.2371,495333,0
DHC.US,D,20050324,000000,8.2876,8.4076,8.2876,8.303,338097,0
DHC.US,D,20050328,000000,8.2979,8.4013,8.2979,8.3175,300047,0
DHC.US,D,20050329,000000,8.3175,8.4265,8.2587,8.2637,401593,0
DHC.US,D,20050330,000000,8.2637,8.4871,8.2637,8.453,492926,0
DHC.US,D,20050331,000000,8.4817,8.5382,8.326,8.326,555624,0
DHC.US,D,20050401,000000,8.326,8.453,8.2424,8.3322,652567,0
DHC.US,D,20050404,000000,8.3322,8.3445,8.1877,8.2928,360533,0
DHC.US,D,20050405,000000,8.3175,8.4381,8.303,8.3926,357929,0
DHC.US,D,20050406,000000,8.4381,8.4871,8.3864,8.3926,307055,0
DHC.US,D,20050407,000000,8.3968,8.547,8.3611,8.5382,355326,0
DHC.US,D,20050408,000000,8.582,8.5865,8.3734,8.3926,317870,0
DHC.US,D,20050411,000000,8.3926,8.4468,8.3384,8.4013,354725,0
DHC.US,D,20050412,000000,8.4013,8.582,8.2637,8.5721,380163,0
DHC.US,D,20050413,000000,8.5776,8.7287,8.4941,8.6614,614710,0
DHC.US,D,20050414,000000,8.6383,8.6821,8.5621,8.5916,478310,0
DHC.US,D,20050415,000000,8.5971,8.6517,8.5076,8.5416,534788,0
DHC.US,D,20050418,000000,8.4871,8.5022,8.3611,8.4573,429635,0
DHC.US,D,20050419,000000,8.453,8.5865,8.4223,8.5776,741893,0
DHC.US,D,20050420,000000,8.5776,8.6089,8.4738,8.5577,538196,0
DHC.US,D,20050421,000000,8.6517,8.6561,8.5166,8.6383,415016,0
DHC.US,D,20050422,000000,8.6089,8.6328,8.4941,8.5327,402592,0
DHC.US,D,20050425,000000,8.5382,8.6928,8.522,8.6928,313864,0
DHC.US,D,20050426,000000,8.6928,8.7375,8.6328,8.7027,433442,0
DHC.US,D,20050427,000000,8.7027,8.7667,8.6035,8.7109,355529,0
DHC.US,D,20050428,000000,8.7109,8.7287,8.617,8.6742,315465,0
DHC.US,D,20050429,000000,8.7109,8.7163,8.5577,8.6383,590874,0
DHC.US,D,20050502,000000,8.6614,8.7412,8.582,8.7109,328683,0
DHC.US,D,20050503,000000,8.7109,8.7715,8.5621,8.6258,341910,0
DHC.US,D,20050504,000000,8.6383,8.7817,8.5524,8.7474,399589,0
DHC.US,D,20050505,000000,8.7474,8.8959,8.6928,8.8859,587067,0
DHC.US,D,20050506,000000,8.8859,8.9126,8.6866,8.7474,377755,0
DHC.US,D,20050509,000000,8.7232,8.8212,8.7232,8.7972,341910,0
DHC.US,D,20050510,000000,8.7163,8.8075,8.6383,8.8075,384372,0
DHC.US,D,20050511,000000,8.7623,8.8959,8.6035,8.8618,458078,0
DHC.US,D,20050512,000000,8.8859,8.8859,8.6383,8.6669,547204,0
DHC.US,D,20050513,000000,8.7071,8.7572,8.6089,8.6561,402794,0
DHC.US,D,20050516,000000,8.617,8.7762,8.617,8.7071,472900,0
DHC.US,D,20050517,000000,8.7375,8.8075,8.6383,8.7623,321673,0
DHC.US,D,20050518,000000,8.7872,8.8859,8.7762,8.8112,431435,0
DHC.US,D,20050519,000000,8.8618,8.9307,8.8267,8.9307,433839,0
DHC.US,D,20050520,000000,8.9307,8.9307,8.7972,8.9307,449667,0
DHC.US,D,20050523,000000,8.9307,8.9795,8.8859,8.925,500346,0
DHC.US,D,20050524,000000,8.9579,9.033,8.8425,9.0021,760925,0
DHC.US,D,20050525,000000,9.033,9.033,8.8425,8.8683,577655,0
DHC.US,D,20050526,000000,8.8859,9.0162,8.8775,8.972,877498,0
DHC.US,D,20050527,000000,8.9935,9.0762,8.9513,9.0575,328883,0
DHC.US,D,20050531,000000,9.0847,9.1517,8.9757,8.9795,606093,0
DHC.US,D,20050601,000000,8.9878,9.165,8.9878,9.165,284224,0
DHC.US,D,20050602,000000,9.1813,9.187,9.0922,9.1764,299044,0
DHC.US,D,20050603,000000,9.1813,9.2014,9.0847,9.1372,383562,0
DHC.US,D,20050606,000000,9.1314,9.1956,9.1115,9.1908,536595,0
DHC.US,D,20050607,000000,9.2014,9.3238,9.1554,9.3238,580058,0
DHC.US,D,20050608,000000,9.3297,9.4215,9.3054,9.3705,1023119,0
DHC.US,D,20050609,000000,9.3297,9.4127,9.2568,9.3268,306456,0
DHC.US,D,20050610,000000,9.2898,9.3403,9.187,9.2753,224731,0
DHC.US,D,20050613,000000,9.2966,9.3355,9.1908,9.3171,623524,0
DHC.US,D,20050614,000000,9.286,9.511,9.2676,9.511,650159,0
DHC.US,D,20050615,000000,9.537,9.537,9.4215,9.4855,954210,0
DHC.US,D,20050616,000000,9.445,9.4855,9.3472,9.4855,723467,0
DHC.US,D,20050617,000000,9.563,9.563,9.4411,9.555,1061571,0
DHC.US,D,20050620,000000,9.555,9.71,9.4855,9.693,920964,0
DHC.US,D,20050621,000000,9.678,9.681,9.583,9.632,776148,0
DHC.US,D,20050622,000000,9.626,9.626,9.2346,9.286,2570602,0
DHC.US,D,20050623,000000,9.162,9.3569,9.1314,9.3015,966025,0
DHC.US,D,20050624,000000,9.2627,9.3238,9.1908,9.2966,736289,0
DHC.US,D,20050627,000000,9.2462,9.2676,9.1908,9.2119,569445,0
DHC.US,D,20050628,000000,9.2223,9.445,9.2223,9.445,568237,0
DHC.US,D,20050629,000000,9.4067,9.4855,9.3705,9.4855,416214,0
DHC.US,D,20050630,000000,9.3851,9.4795,9.3054,9.4411,596085,0
DHC.US,D,20050701,000000,9.4885,9.545,9.4291,9.545,286420,0
DHC.US,D,20050705,000000,9.555,9.886,9.537,9.886,921966,0
DHC.US,D,20050706,000000,9.827,9.855,9.716,9.722,610900,0
DHC.US,D,20050707,000000,9.716,9.82,9.604,9.81,514158,0
DHC.US,D,20050708,000000,9.787,9.886,9.735,9.881,484915,0
DHC.US,D,20050711,000000,9.831,9.927,9.815,9.921,858470,0
DHC.US,D,20050712,000000,9.921,9.982,9.842,9.982,1076588,0
DHC.US,D,20050713,000000,9.957,9.957,9.86,9.911,439241,0
DHC.US,D,20050714,000000,9.917,9.944,9.615,9.626,662178,0
DHC.US,D,20050715,000000,9.563,9.71,9.531,9.706,348310,0
DHC.US,D,20050718,000000,9.64,9.65,9.4955,9.549,458681,0
DHC.US,D,20050719,000000,9.583,9.678,9.518,9.537,524569,0
DHC.US,D,20050720,000000,9.4621,9.716,9.4361,9.716,506349,0
DHC.US,D,20050721,000000,9.678,9.678,9.4361,9.504,496932,0
DHC.US,D,20050722,000000,9.476,9.661,9.4621,9.661,309654,0
DHC.US,D,20050725,000000,9.609,9.71,9.537,9.595,319076,0
DHC.US,D,20050726,000000,9.583,9.71,9.555,9.678,340301,0
DHC.US,D,20050727,000000,9.678,9.706,9.572,9.661,429437,0
DHC.US,D,20050728,000000,9.661,9.795,9.632,9.795,384968,0
DHC.US,D,20050729,000000,9.787,9.881,9.735,9.846,795978,0
DHC.US,D,20050801,000000,9.86,9.876,9.81,9.85,664180,0
DHC.US,D,20050802,000000,9.735,9.949,9.735,9.949,555424,0
DHC.US,D,20050803,000000,9.886,9.961,9.81,9.936,379765,0
DHC.US,D,20050804,000000,9.886,9.892,9.735,9.787,705841,0
DHC.US,D,20050805,000000,9.71,9.71,9.162,9.4361,1072984,0
DHC.US,D,20050808,000000,9.3851,9.3851,8.8823,8.9307,1064974,0
DHC.US,D,20050809,000000,8.8823,9.1517,8.8823,8.9757,660779,0
DHC.US,D,20050810,000000,8.9878,9.1554,8.9878,9.0762,925170,0
DHC.US,D,20050811,000000,9.1115,9.2812,9.0669,9.2346,582663,0
DHC.US,D,20050812,000000,9.2346,9.3015,9.121,9.2568,387577,0
DHC.US,D,20050815,000000,9.2346,9.3665,9.121,9.3054,478507,0
DHC.US,D,20050816,000000,9.3355,9.3569,9.2414,9.2568,318268,0
DHC.US,D,20050817,000000,9.2568,9.3472,9.1421,9.1908,290630,0
DHC.US,D,20050818,000000,9.1372,9.2346,8.9992,9.187,610705,0
DHC.US,D,20050819,000000,9.187,9.187,9.0631,9.1115,402592,0
DHC.US,D,20050822,000000,9.097,9.2346,9.097,9.2287,383767,0
DHC.US,D,20050823,000000,9.2287,9.3103,9.187,9.25,323677,0
DHC.US,D,20050824,000000,9.2568,9.4127,9.2414,9.2627,306653,0
DHC.US,D,20050825,000000,9.2753,9.3803,9.25,9.3355,222327,0
DHC.US,D,20050826,000000,9.2898,9.3103,9.1115,9.1716,368940,0
DHC.US,D,20050829,000000,9.1115,9.2287,9.0358,9.165,332085,0
DHC.US,D,20050830,000000,9.1372,9.2346,9.1257,9.2014,259789,0
DHC.US,D,20050831,000000,9.2119,9.4855,9.187,9.4855,322079,0
DHC.US,D,20050901,000000,9.4411,9.684,9.4027,9.521,506749,0
DHC.US,D,20050902,000000,9.4795,9.595,9.471,9.572,504346,0
DHC.US,D,20050906,000000,9.583,9.881,9.583,9.881,558426,0
DHC.US,D,20050907,000000,9.81,9.85,9.735,9.795,336902,0
DHC.US,D,20050908,000000,9.745,9.881,9.716,9.77,368744,0
DHC.US,D,20050909,000000,9.827,9.827,9.684,9.755,334494,0
DHC.US,D,20050912,000000,9.7,9.782,9.661,9.71,436848,0
DHC.US,D,20050913,000000,9.621,9.716,9.577,9.684,413211,0
DHC.US,D,20050914,000000,9.71,9.726,9.566,9.595,321479,0
DHC.US,D,20050915,000000,9.572,9.65,9.566,9.626,297237,0
DHC.US,D,20050916,000000,9.667,9.678,9.4855,9.566,814802,0
DHC.US,D,20050919,000000,9.537,9.555,9.4255,9.4291,245163,0
DHC.US,D,20050920,000000,9.4621,9.526,9.3103,9.3297,487320,0
DHC.US,D,20050921,000000,9.286,9.3103,9.1716,9.1716,393778,0
DHC.US,D,20050922,000000,9.1115,9.2627,9.0048,9.1908,552211,0
DHC.US,D,20050923,000000,9.1517,9.3015,9.0847,9.2166,272407,0
DHC.US,D,20050926,000000,9.25,9.3355,9.187,9.3238,333295,0
DHC.US,D,20050927,000000,9.286,9.3103,9.0847,9.2346,376957,0
DHC.US,D,20050928,000000,9.2414,9.2705,9.0762,9.1257,292438,0
DHC.US,D,20050929,000000,9.162,9.4127,9.0575,9.4067,417017,0
DHC.US,D,20050930,000000,9.3608,9.678,9.2753,9.4855,296040,0
DHC.US,D,20051003,000000,9.537,9.579,9.4215,9.539,289429,0
DHC.US,D,20051004,000000,9.531,9.583,9.3958,9.4411,489521,0
DHC.US,D,20051005,000000,9.3958,9.4127,9.0922,9.0922,544607,0
DHC.US,D,20051006,000000,9.097,9.2166,9.0113,9.187,661778,0
