<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDUS.US,D,20110623,000000,5.4893,5.4966,5.4108,5.4593,156366,0
FDUS.US,D,20110624,000000,5.611,5.611,5.3384,5.4551,122780,0
FDUS.US,D,20110627,000000,5.3456,5.481,5.3456,5.4682,36136,0
FDUS.US,D,20110628,000000,5.3456,5.5225,5.3421,5.5007,37519,0
FDUS.US,D,20110629,000000,5.5151,5.5151,5.3384,5.4771,55359,0
FDUS.US,D,20110630,000000,5.4304,5.8918,5.4304,5.4505,32048,0
FDUS.US,D,20110701,000000,5.4927,5.5225,5.3567,5.5225,41558,0
FDUS.US,D,20110705,000000,5.5225,5.5225,5.4153,5.43,23085,0
FDUS.US,D,20110706,000000,5.5242,5.5242,5.4293,5.4293,9783,0
FDUS.US,D,20110707,000000,5.6146,5.6146,5.4494,5.4893,21181,0
FDUS.US,D,20110708,000000,5.5035,5.5035,5.4494,5.4771,7191,0
FDUS.US,D,20110711,000000,5.3673,5.6812,5.3673,5.4743,114567,0
FDUS.US,D,20110712,000000,5.4108,5.4494,5.3527,5.3886,76657,0
FDUS.US,D,20110713,000000,5.3818,5.4966,5.3567,5.379,111440,0
FDUS.US,D,20110714,000000,5.3718,5.4108,5.2498,5.3745,20751,0
FDUS.US,D,20110715,000000,5.3567,5.3567,5.2834,5.2834,75009,0
FDUS.US,D,20110718,000000,5.2456,5.3499,5.0401,5.1873,56515,0
FDUS.US,D,20110719,000000,5.2641,5.3546,5.1539,5.2974,48079,0
FDUS.US,D,20110720,000000,5.2314,5.309,5.1539,5.1689,54523,0
FDUS.US,D,20110721,000000,5.1397,5.1539,5.0618,5.1276,25531,0
FDUS.US,D,20110722,000000,5.0983,5.3198,5.0107,5.2869,27018,0
FDUS.US,D,20110725,000000,4.9988,5.2456,4.977,5.1211,72018,0
FDUS.US,D,20110726,000000,5.0559,5.3203,5.0559,5.1988,35993,0
FDUS.US,D,20110727,000000,5.2676,5.2676,5.0618,5.1138,24585,0
FDUS.US,D,20110728,000000,5.1841,5.1841,5.0752,5.1046,14412,0
FDUS.US,D,20110729,000000,4.9852,5.0824,4.7844,4.7844,46099,0
FDUS.US,D,20110801,000000,4.9703,5.1614,4.7861,4.988,67375,0
FDUS.US,D,20110802,000000,4.988,4.988,4.8904,4.9697,11613,0
FDUS.US,D,20110803,000000,4.9703,4.9703,4.5654,4.8971,64292,0
FDUS.US,D,20110804,000000,4.9308,4.9393,4.6038,4.6749,85103,0
FDUS.US,D,20110805,000000,4.7861,4.8446,3.6885,4.7017,110061,0
FDUS.US,D,20110808,000000,4.6014,4.9703,4.4691,4.7888,188158,0
FDUS.US,D,20110809,000000,4.8784,4.9703,4.2408,4.6939,48512,0
FDUS.US,D,20110810,000000,4.2372,4.7676,4.2372,4.6092,46941,0
FDUS.US,D,20110811,000000,4.7824,4.8227,4.6055,4.6425,30062,0
FDUS.US,D,20110812,000000,4.9703,4.9703,4.4362,4.6979,34093,0
FDUS.US,D,20110815,000000,4.6979,4.9324,4.5575,4.8006,49897,0
FDUS.US,D,20110816,000000,4.7861,4.8784,4.7861,4.8784,17562,0
FDUS.US,D,20110817,000000,4.8784,4.8784,4.6755,4.8227,19847,0
FDUS.US,D,20110818,000000,4.6678,4.8408,4.5099,4.5099,18573,0
FDUS.US,D,20110819,000000,4.6076,4.6076,4.419,4.5245,48189,0
FDUS.US,D,20110822,000000,4.5654,4.7633,4.4174,4.4174,14206,0
FDUS.US,D,20110823,000000,4.4174,4.8597,4.2408,4.7453,50882,0
FDUS.US,D,20110824,000000,4.7861,4.8597,4.4174,4.7488,36479,0
FDUS.US,D,20110825,000000,4.6643,4.7633,4.4949,4.7268,33101,0
FDUS.US,D,20110826,000000,4.6076,4.7815,4.4527,4.7276,33591,0
FDUS.US,D,20110829,000000,4.7861,4.9587,4.6014,4.8149,46640,0
FDUS.US,D,20110830,000000,4.8708,4.9703,4.6939,4.9365,24231,0
FDUS.US,D,20110831,000000,5.0247,5.0247,4.8658,4.8699,10999,0
FDUS.US,D,20110901,000000,4.8035,5.0261,4.7248,5.0141,24296,0
FDUS.US,D,20110902,000000,4.9973,5.0824,4.7111,4.827,21599,0
FDUS.US,D,20110906,000000,4.9697,4.9697,4.8408,4.9656,13622,0
FDUS.US,D,20110907,000000,4.9697,5.1046,4.807,4.9963,93709,0
FDUS.US,D,20110908,000000,4.9308,5.0861,4.788,5.0714,36995,0
FDUS.US,D,20110909,000000,4.9578,5.0559,4.788,5.0331,20686,0
FDUS.US,D,20110912,000000,4.9739,4.9739,4.6749,4.7017,28913,0
FDUS.US,D,20110913,000000,4.8713,4.9541,4.713,4.8367,16976,0
FDUS.US,D,20110914,000000,4.8262,4.9166,4.6944,4.7169,29440,0
FDUS.US,D,20110915,000000,4.7656,4.8904,4.7017,4.8787,14329,0
FDUS.US,D,20110916,000000,4.7207,4.9166,4.679,4.679,39262,0
FDUS.US,D,20110919,000000,4.6565,4.9087,4.6524,4.7695,45352,0
FDUS.US,D,20110920,000000,4.8446,4.9166,4.7585,4.8488,54482,0
FDUS.US,D,20110921,000000,4.8527,4.8561,4.6184,4.6448,25367,0
FDUS.US,D,20110922,000000,4.5809,4.6639,4.1474,4.2718,55230,0
FDUS.US,D,20110923,000000,4.2605,4.4037,4.0266,4.3397,35998,0
FDUS.US,D,20110926,000000,4.5998,4.6565,4.2605,4.6184,39830,0
FDUS.US,D,20110927,000000,4.6944,4.902,4.6263,4.902,166245,0
FDUS.US,D,20110928,000000,4.6749,4.8829,4.5281,4.7815,86772,0
FDUS.US,D,20110929,000000,4.8142,4.8142,4.4301,4.5434,48430,0
FDUS.US,D,20110930,000000,4.4878,4.7493,4.4717,4.7453,966829,0
FDUS.US,D,20111003,000000,4.7616,4.9393,4.4226,4.4226,103220,0
FDUS.US,D,20111004,000000,4.4226,4.8753,4.3397,4.8367,86995,0
FDUS.US,D,20111005,000000,4.7993,4.9918,4.751,4.9918,41567,0
FDUS.US,D,20111006,000000,4.8981,4.9505,4.7955,4.9431,87458,0
FDUS.US,D,20111007,000000,4.8446,4.9739,4.7955,4.8636,54865,0
FDUS.US,D,20111010,000000,4.8981,4.9697,4.7207,4.9308,52883,0
FDUS.US,D,20111011,000000,4.9838,4.9838,4.8107,4.9541,67581,0
FDUS.US,D,20111012,000000,4.9838,4.9838,4.8303,4.9578,37825,0
FDUS.US,D,20111013,000000,4.7096,4.9838,4.6944,4.902,24652,0
FDUS.US,D,20111014,000000,4.8142,4.9838,4.8035,4.8981,21987,0
FDUS.US,D,20111017,000000,4.924,4.9393,4.5998,4.6982,29053,0
FDUS.US,D,20111018,000000,4.8829,4.9838,4.7057,4.902,49877,0
FDUS.US,D,20111019,000000,4.8367,4.8367,4.4681,4.4904,56837,0
FDUS.US,D,20111020,000000,4.5656,4.751,4.4603,4.5396,18706,0
FDUS.US,D,20111021,000000,4.5809,4.5921,4.5055,4.5055,25308,0
FDUS.US,D,20111024,000000,4.5508,4.6904,4.4681,4.6904,30786,0
FDUS.US,D,20111025,000000,4.715,4.715,4.3354,4.4827,33788,0
FDUS.US,D,20111026,000000,4.547,4.5884,4.3698,4.5055,35536,0
FDUS.US,D,20111027,000000,4.5958,4.935,4.4943,4.8674,136819,0
FDUS.US,D,20111028,000000,4.7542,4.8829,4.6749,4.8829,46381,0
FDUS.US,D,20111031,000000,4.7964,5.1618,4.7299,4.9011,106130,0
FDUS.US,D,20111101,000000,4.7303,4.8699,4.5793,4.6331,49680,0
FDUS.US,D,20111102,000000,4.7695,4.8338,4.6639,4.7656,17864,0
FDUS.US,D,20111103,000000,4.6721,4.9014,4.6721,4.827,47976,0
FDUS.US,D,20111104,000000,4.6838,4.7111,4.5058,4.5251,44885,0
FDUS.US,D,20111107,000000,4.5624,4.6448,4.5055,4.6299,65162,0
FDUS.US,D,20111108,000000,4.6486,4.7616,4.5809,4.7542,32146,0
FDUS.US,D,20111109,000000,4.6455,4.676,4.4864,4.4942,78436,0
FDUS.US,D,20111110,000000,4.5211,4.7651,4.471,4.6293,38426,0
FDUS.US,D,20111111,000000,4.5949,4.8738,4.5949,4.8738,71395,0
FDUS.US,D,20111114,000000,4.7844,4.8035,4.5321,4.5998,50018,0
FDUS.US,D,20111115,000000,4.6678,4.7057,4.5434,4.6111,56586,0
FDUS.US,D,20111116,000000,4.5396,4.7057,4.5396,4.6038,39195,0
FDUS.US,D,20111117,000000,4.6038,4.6678,4.5434,4.5656,30456,0
FDUS.US,D,20111118,000000,4.5677,4.7651,4.5328,4.5523,85461,0
FDUS.US,D,20111121,000000,4.5695,4.6184,4.4755,4.5321,50347,0
FDUS.US,D,20111122,000000,4.5245,4.5695,4.4904,4.5281,35056,0
FDUS.US,D,20111123,000000,4.5094,4.6944,4.5094,4.5245,31926,0
FDUS.US,D,20111125,000000,4.5251,4.6415,4.5251,4.5407,12394,0
FDUS.US,D,20111128,000000,4.6375,4.6455,4.5367,4.6375,30442,0
FDUS.US,D,20111129,000000,4.471,4.6415,4.471,4.5444,26914,0
FDUS.US,D,20111130,000000,4.6921,4.7331,4.5375,4.7124,162761,0
FDUS.US,D,20111201,000000,4.6916,4.7111,4.5677,4.6415,47584,0
FDUS.US,D,20111202,000000,4.7416,4.8002,4.7035,4.7959,26396,0
FDUS.US,D,20111205,000000,4.8231,4.8231,4.6996,4.7844,52422,0
FDUS.US,D,20111206,000000,4.7035,4.7416,4.6455,4.7189,53170,0
FDUS.US,D,20111207,000000,4.7189,4.827,4.653,4.827,63912,0
FDUS.US,D,20111208,000000,4.7261,4.9117,4.7075,4.7111,68395,0
FDUS.US,D,20111209,000000,4.7111,5.0401,4.653,4.9939,90786,0
FDUS.US,D,20111212,000000,4.9891,5.0866,4.8149,4.9628,60579,0
FDUS.US,D,20111213,000000,4.8849,5.0319,4.781,4.8658,79539,0
FDUS.US,D,20111214,000000,4.8465,5.0319,4.7499,5.0285,62050,0
FDUS.US,D,20111215,000000,4.7844,5.0866,4.7499,5.0319,86257,0
FDUS.US,D,20111216,000000,5.0319,5.2254,4.9161,5.0285,269937,0
FDUS.US,D,20111219,000000,4.9547,5.1138,4.7499,4.7499,64022,0
FDUS.US,D,20111220,000000,5.0285,5.1679,4.7375,5.1679,198863,0
FDUS.US,D,20111221,000000,5.1286,5.3539,4.9473,5.2182,139892,0
FDUS.US,D,20111222,000000,5.0285,5.2338,4.9161,5.2338,57129,0
FDUS.US,D,20111223,000000,5.1138,5.2182,4.9743,5.0475,36788,0
FDUS.US,D,20111227,000000,5.0319,5.1413,4.8889,5.1286,45393,0
FDUS.US,D,20111228,000000,5.0714,5.0714,4.8971,4.9505,92308,0
FDUS.US,D,20111229,000000,4.9939,4.9939,4.8075,4.8929,64387,0
FDUS.US,D,20111230,000000,4.878,5.0209,4.8422,5.0209,91434,0
FDUS.US,D,20120103,000000,4.924,5.0319,4.924,4.9743,79803,0
FDUS.US,D,20120104,000000,4.9814,5.1254,4.924,5.0092,41443,0
FDUS.US,D,20120105,000000,4.9547,5.1482,4.9547,5.1371,43190,0
FDUS.US,D,20120106,000000,5.1482,5.2222,5.1482,5.2222,30137,0
FDUS.US,D,20120109,000000,5.2146,5.3499,5.0559,5.2488,86158,0
FDUS.US,D,20120110,000000,5.2574,5.2644,5.1444,5.2488,123103,0
FDUS.US,D,20120111,000000,5.1717,5.2417,4.9393,5.2222,111784,0
FDUS.US,D,20120112,000000,5.1482,5.1915,5.0714,5.1915,30783,0
FDUS.US,D,20120113,000000,5.1873,5.2296,5.0009,5.16,37681,0
FDUS.US,D,20120117,000000,5.2248,5.2248,5.1143,5.1907,30942,0
FDUS.US,D,20120118,000000,5.16,5.2531,5.1138,5.2488,37319,0
FDUS.US,D,20120119,000000,5.2385,5.3187,5.2254,5.2385,96506,0
FDUS.US,D,20120120,000000,5.2064,5.4472,5.1873,5.4472,117005,0
FDUS.US,D,20120123,000000,5.3187,5.4539,5.2417,5.4427,71334,0
FDUS.US,D,20120124,000000,5.3807,5.6046,5.1873,5.3921,113046,0
FDUS.US,D,20120125,000000,5.6093,5.6093,5.2385,5.4192,94456,0
FDUS.US,D,20120126,000000,5.4153,5.4304,5.2296,5.4304,62639,0
FDUS.US,D,20120127,000000,5.4192,5.4192,5.1094,5.1094,121311,0
FDUS.US,D,20120130,000000,5.1561,5.3959,5.1286,5.1915,59208,0
FDUS.US,D,20120131,000000,5.0978,5.4042,5.0978,5.2922,134606,0
FDUS.US,D,20120201,000000,5.2676,5.3034,5.2254,5.2488,98701,0
FDUS.US,D,20120202,000000,5.2848,5.2848,5.1679,5.1792,32936,0
FDUS.US,D,20120203,000000,5.2064,5.3539,5.2064,5.3384,47745,0
FDUS.US,D,20120206,000000,5.3075,5.3225,5.2644,5.3075,24693,0
FDUS.US,D,20120207,000000,5.309,5.3873,5.2293,5.3365,62533,0
FDUS.US,D,20120208,000000,5.4042,5.4042,5.2293,5.2535,87706,0
FDUS.US,D,20120209,000000,5.2691,5.3209,5.2444,5.2535,42971,0
FDUS.US,D,20120210,000000,5.2296,5.3141,5.2296,5.2385,28394,0
FDUS.US,D,20120213,000000,5.2906,5.5471,5.2574,5.5317,73768,0
FDUS.US,D,20120214,000000,5.4731,5.5128,5.2644,5.3384,46165,0
FDUS.US,D,20120215,000000,5.2676,5.5166,5.2676,5.2808,76656,0
FDUS.US,D,20120216,000000,5.2848,5.4771,5.2676,5.3959,64710,0
FDUS.US,D,20120217,000000,5.3959,5.5979,5.3959,5.4966,156046,0
FDUS.US,D,20120221,000000,5.5777,5.601,5.4064,5.5014,80803,0
FDUS.US,D,20120222,000000,5.5082,5.6046,5.4304,5.4853,50433,0
FDUS.US,D,20120223,000000,5.5166,5.5811,5.4575,5.5668,82266,0
FDUS.US,D,20120224,000000,5.5471,5.6058,5.4961,5.5189,35002,0
FDUS.US,D,20120227,000000,5.4771,5.5035,5.4349,5.4893,42160,0
FDUS.US,D,20120228,000000,5.5035,5.5272,5.4387,5.5128,43745,0
FDUS.US,D,20120229,000000,5.5306,5.5914,5.3589,5.4944,187854,0
FDUS.US,D,20120301,000000,5.3605,5.5242,5.3605,5.4701,61541,0
FDUS.US,D,20120302,000000,5.4829,5.4961,5.3807,5.3807,104993,0
FDUS.US,D,20120305,000000,5.3836,5.4961,5.3836,5.4198,51829,0
FDUS.US,D,20120306,000000,5.2493,5.2535,5.1775,5.2248,211652,0
FDUS.US,D,20120307,000000,5.2493,5.3873,5.2444,5.3209,96484,0
FDUS.US,D,20120308,000000,5.3443,5.4593,5.2651,5.3164,74911,0
FDUS.US,D,20120309,000000,5.3595,5.5822,5.3209,5.3959,124912,0
FDUS.US,D,20120312,000000,5.4524,5.5264,5.4042,5.4593,91502,0
FDUS.US,D,20120313,000000,5.4361,5.5427,5.4361,5.5116,96591,0
FDUS.US,D,20120314,000000,5.5427,5.5427,5.4361,5.4593,85824,0
FDUS.US,D,20120315,000000,5.3727,5.4915,5.2578,5.3639,143336,0
FDUS.US,D,20120316,000000,5.3527,5.4961,5.3365,5.3595,59309,0
FDUS.US,D,20120319,000000,5.3761,5.4488,5.3761,5.4361,119821,0
FDUS.US,D,20120320,000000,5.3921,5.4158,5.143,5.1539,379703,0
FDUS.US,D,20120321,000000,5.2969,5.2969,5.1775,5.2623,63874,0
FDUS.US,D,20120322,000000,5.2444,5.2969,5.1934,5.2293,51560,0
FDUS.US,D,20120323,000000,5.2535,5.2535,5.1663,5.1907,54070,0
FDUS.US,D,20120326,000000,5.197,5.3836,5.1907,5.3727,53788,0
FDUS.US,D,20120327,000000,5.3959,5.4114,5.3293,5.3443,53094,0
FDUS.US,D,20120328,000000,5.4714,5.5547,5.3492,5.5264,183191,0
FDUS.US,D,20120329,000000,5.5189,5.5189,5.3337,5.3873,78736,0
FDUS.US,D,20120330,000000,5.3807,5.6688,5.3443,5.5588,150172,0
FDUS.US,D,20120402,000000,5.5264,5.5505,5.3807,5.5311,30493,0
FDUS.US,D,20120403,000000,5.4488,5.5237,5.3807,5.4436,52097,0
FDUS.US,D,20120404,000000,5.4394,5.4394,5.3119,5.3567,40950,0
FDUS.US,D,20120405,000000,5.3293,5.4361,5.3058,5.3873,66061,0
FDUS.US,D,20120409,000000,5.3567,5.4277,5.3058,5.4277,56633,0
FDUS.US,D,20120410,000000,5.3959,5.4309,5.3365,5.3365,85551,0
FDUS.US,D,20120411,000000,5.4002,5.464,5.3119,5.4198,62729,0
FDUS.US,D,20120412,000000,5.4002,5.536,5.3873,5.4829,34263,0
FDUS.US,D,20120413,000000,5.4829,5.4829,5.3007,5.3058,25177,0
FDUS.US,D,20120416,000000,5.4042,5.4042,5.3248,5.3685,21833,0
FDUS.US,D,20120417,000000,5.4122,5.4122,5.3192,5.3589,29211,0
FDUS.US,D,20120418,000000,5.3293,5.4277,5.3293,5.3527,15258,0
FDUS.US,D,20120419,000000,5.2922,5.3836,5.277,5.3293,49636,0
FDUS.US,D,20120420,000000,5.4042,5.4114,5.3365,5.3567,41331,0
FDUS.US,D,20120423,000000,5.2819,5.3595,5.277,5.3058,30962,0
FDUS.US,D,20120424,000000,5.3595,5.4198,5.3058,5.4158,52210,0
FDUS.US,D,20120425,000000,5.4394,5.4394,5.3595,5.4042,64832,0
FDUS.US,D,20120426,000000,5.4524,5.5471,5.4114,5.4593,133801,0
FDUS.US,D,20120427,000000,5.5028,5.5983,5.3807,5.5388,135901,0
FDUS.US,D,20120430,000000,5.4994,5.5707,5.3761,5.3807,57796,0
FDUS.US,D,20120501,000000,5.3632,5.4858,5.3434,5.3477,96396,0
