<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAME.US,D,20210618,000000,10.46,10.46,8.52,9,283722,0
GAME.US,D,20210621,000000,9.24,9.6699,9.1501,9.38,54599,0
GAME.US,D,20210622,000000,9.89,11.4,9.3946,10.81,368509,0
GAME.US,D,20210623,000000,11.4,11.71,11.06,11.47,310160,0
GAME.US,D,20210624,000000,11.51,12.6,11.14,12.21,397704,0
GAME.US,D,20210625,000000,12.72,13.4,12.04,13.15,1762525,0
GAME.US,D,20210628,000000,13.15,13.2,12.56,12.87,508708,0
GAME.US,D,20210629,000000,12.91,13.4,12.03,12.24,798951,0
GAME.US,D,20210630,000000,12.12,12.73,11.6,11.81,451074,0
GAME.US,D,20210701,000000,11.93,12.54,11.12,12,515324,0
GAME.US,D,20210702,000000,12.1,12.45,11.38,12.11,459459,0
GAME.US,D,20210706,000000,12.05,12.1625,11.3001,11.74,378384,0
GAME.US,D,20210707,000000,11.86,11.86,10.76,11.1,1922265,0
GAME.US,D,20210708,000000,12.6,12.7366,10.5501,11.04,3167248,0
GAME.US,D,20210709,000000,11.29,11.39,10.63,10.74,1139417,0
