<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOMB.US,D,20060622,000000,3.1451,3.1451,3.1451,3.1451,0,0
HOMB.US,D,20060623,000000,3.7011,3.8361,3.4959,3.4959,9283256,0
HOMB.US,D,20060626,000000,3.6165,3.7552,3.5393,3.7055,1966269,0
HOMB.US,D,20060627,000000,3.7571,3.9235,3.6452,3.8256,1686183,0
HOMB.US,D,20060628,000000,3.8965,3.9587,3.8445,3.913,741565,0
HOMB.US,D,20060629,000000,3.9443,3.9755,3.7928,3.9317,374235,0
HOMB.US,D,20060630,000000,3.9399,3.967,3.8986,3.967,218244,0
HOMB.US,D,20060703,000000,3.967,4.0188,3.9337,4.0188,65788,0
HOMB.US,D,20060705,000000,4.133,4.133,3.8445,3.8924,376056,0
HOMB.US,D,20060706,000000,4.0125,4.0188,3.7719,3.7719,357760,0
HOMB.US,D,20060707,000000,3.7698,3.9982,3.7698,3.8882,466157,0
HOMB.US,D,20060710,000000,3.969,3.969,3.8445,3.8526,100224,0
HOMB.US,D,20060711,000000,3.9317,3.9317,3.8671,3.8882,112642,0
HOMB.US,D,20060712,000000,3.8882,3.9297,3.8008,3.8403,300125,0
HOMB.US,D,20060713,000000,3.8694,3.8694,3.7571,3.8093,181323,0
HOMB.US,D,20060714,000000,3.8424,3.8424,3.7571,3.7636,51991,0
HOMB.US,D,20060717,000000,3.8589,3.8798,3.7571,3.7864,102808,0
HOMB.US,D,20060718,000000,3.7824,3.8424,3.7571,3.8174,81697,0
HOMB.US,D,20060719,000000,3.8342,3.8342,3.7947,3.8196,140882,0
HOMB.US,D,20060720,000000,3.9215,3.9215,3.67,3.7386,204429,0
HOMB.US,D,20060721,000000,3.7968,4.0188,3.7552,3.7571,254564,0
HOMB.US,D,20060724,000000,3.7988,3.8174,3.7571,3.7884,35600,0
HOMB.US,D,20060725,000000,3.803,3.8073,3.6723,3.7493,187619,0
HOMB.US,D,20060726,000000,3.7988,3.7988,3.67,3.7055,112055,0
HOMB.US,D,20060727,000000,3.6845,3.7739,3.6845,3.747,75978,0
HOMB.US,D,20060728,000000,3.7493,3.803,3.6868,3.7739,73438,0
HOMB.US,D,20060731,000000,3.7739,3.8445,3.7552,3.8093,116395,0
HOMB.US,D,20060801,000000,3.6723,3.8174,3.6723,3.7571,80808,0
HOMB.US,D,20060802,000000,3.7571,3.7571,3.67,3.7305,817401,0
HOMB.US,D,20060803,000000,3.8217,3.8217,3.691,3.8217,112863,0
HOMB.US,D,20060804,000000,3.8445,3.9755,3.8256,3.9275,119287,0
HOMB.US,D,20060807,000000,3.8716,3.9235,3.8716,3.9149,43590,0
HOMB.US,D,20060808,000000,3.8965,3.9149,3.8445,3.8631,118041,0
HOMB.US,D,20060809,000000,3.8445,3.8445,3.7739,3.7884,66616,0
HOMB.US,D,20060810,000000,3.8196,3.8196,3.6723,3.72,147021,0
HOMB.US,D,20060811,000000,3.7656,3.7739,3.691,3.6991,129729,0
HOMB.US,D,20060814,000000,3.7055,3.7055,3.6432,3.6452,281756,0
HOMB.US,D,20060815,000000,3.6679,3.67,3.6349,3.6598,57310,0
HOMB.US,D,20060816,000000,3.67,3.67,3.6265,3.6598,452151,0
HOMB.US,D,20060817,000000,3.67,3.67,3.6265,3.6679,54959,0
HOMB.US,D,20060818,000000,3.6598,3.6598,3.5934,3.6244,17527,0
HOMB.US,D,20060821,000000,3.6598,3.6598,3.6202,3.6224,15623,0
HOMB.US,D,20060822,000000,3.612,3.6165,3.6076,3.6165,20981,0
HOMB.US,D,20060823,000000,3.5934,3.6513,3.5831,3.6076,29562,0
HOMB.US,D,20060824,000000,3.6391,3.6679,3.5831,3.585,61925,0
HOMB.US,D,20060825,000000,3.5996,3.6474,3.5831,3.6076,100651,0
HOMB.US,D,20060828,000000,3.6076,3.6165,3.5831,3.5996,55408,0
HOMB.US,D,20060829,000000,3.6513,3.67,3.6265,3.6349,343427,0
HOMB.US,D,20060830,000000,3.6349,3.6765,3.6349,3.67,553180,0
HOMB.US,D,20060831,000000,3.6432,3.7571,3.6432,3.6952,289040,0
HOMB.US,D,20060901,000000,3.7448,3.7493,3.6679,3.6745,139090,0
HOMB.US,D,20060905,000000,3.67,3.7159,3.67,3.6805,20198,0
HOMB.US,D,20060906,000000,3.6868,3.7365,3.6868,3.6991,98767,0
HOMB.US,D,20060907,000000,3.6889,3.7698,3.6889,3.7698,34042,0
HOMB.US,D,20060908,000000,3.7698,3.9255,3.7698,3.911,123970,0
HOMB.US,D,20060911,000000,3.8924,3.9025,3.7616,3.8093,19299,0
HOMB.US,D,20060912,000000,3.8589,3.8589,3.8008,3.8196,32042,0
HOMB.US,D,20060913,000000,3.803,3.9317,3.8008,3.8256,219486,0
HOMB.US,D,20060914,000000,3.7928,3.9317,3.7616,3.8986,184300,0
HOMB.US,D,20060915,000000,3.8924,3.9919,3.8798,3.9566,122470,0
HOMB.US,D,20060918,000000,3.9959,3.9959,3.9317,3.9485,56998,0
HOMB.US,D,20060919,000000,3.9317,3.9959,3.9171,3.9171,286560,0
HOMB.US,D,20060920,000000,3.9255,3.967,3.9171,3.967,37724,0
HOMB.US,D,20060921,000000,3.8924,3.967,3.8839,3.9005,200572,0
HOMB.US,D,20060922,000000,3.967,3.9711,3.9317,3.9523,73990,0
HOMB.US,D,20060925,000000,3.9755,3.9755,3.9025,3.9025,24145,0
HOMB.US,D,20060926,000000,3.9255,3.967,3.8445,3.9608,250376,0
HOMB.US,D,20060927,000000,3.967,3.9877,3.9485,3.9504,121133,0
HOMB.US,D,20060928,000000,3.9317,3.9523,3.8777,3.913,200896,0
HOMB.US,D,20060929,000000,3.9192,3.9235,3.7138,3.8589,4080198,0
HOMB.US,D,20061002,000000,3.8466,3.9149,3.7305,3.7884,1209211,0
HOMB.US,D,20061003,000000,3.7616,3.8798,3.7593,3.7593,563329,0
HOMB.US,D,20061004,000000,3.7305,3.8174,3.7305,3.7906,746094,0
HOMB.US,D,20061005,000000,3.8256,3.8256,3.7593,3.7739,188405,0
HOMB.US,D,20061006,000000,3.7571,3.7928,3.67,3.6723,641942,0
HOMB.US,D,20061009,000000,3.6765,3.8361,3.6765,3.8155,438778,0
HOMB.US,D,20061010,000000,3.8256,3.8256,3.7842,3.8256,139768,0
HOMB.US,D,20061011,000000,3.8445,3.8445,3.7616,3.803,101646,0
HOMB.US,D,20061012,000000,3.8256,3.8445,3.7988,3.8445,233307,0
HOMB.US,D,20061013,000000,3.8323,3.909,3.8073,3.8777,196073,0
HOMB.US,D,20061016,000000,3.8256,3.8882,3.8256,3.8671,122661,0
HOMB.US,D,20061017,000000,3.828,3.8882,3.8093,3.8817,133175,0
HOMB.US,D,20061018,000000,3.8445,3.9297,3.8256,3.8549,113657,0
HOMB.US,D,20061019,000000,3.8256,3.9255,3.8155,3.8323,90292,0
HOMB.US,D,20061020,000000,3.8716,3.8757,3.8133,3.8256,161712,0
HOMB.US,D,20061023,000000,3.8155,3.9255,3.8155,3.8924,376210,0
HOMB.US,D,20061024,000000,3.8882,3.8882,3.8445,3.8694,56573,0
HOMB.US,D,20061025,000000,3.8611,3.8965,3.8549,3.8611,189134,0
HOMB.US,D,20061026,000000,3.8526,3.8965,3.8174,3.8526,233466,0
HOMB.US,D,20061027,000000,3.8882,3.9317,3.805,3.9317,157085,0
HOMB.US,D,20061030,000000,3.9005,3.9025,3.8671,3.8924,53210,0
HOMB.US,D,20061031,000000,3.9275,3.9297,3.8549,3.8549,66181,0
HOMB.US,D,20061101,000000,3.8882,3.8882,3.7386,3.7493,96032,0
HOMB.US,D,20061102,000000,3.7386,3.7719,3.7346,3.7427,92144,0
HOMB.US,D,20061103,000000,3.7636,3.909,3.7305,3.7493,52703,0
HOMB.US,D,20061106,000000,3.7928,3.8882,3.7386,3.8301,700494,0
HOMB.US,D,20061107,000000,3.8237,3.8653,3.7884,3.8361,70689,0
HOMB.US,D,20061108,000000,3.8113,3.8882,3.7636,3.8839,40349,0
HOMB.US,D,20061109,000000,3.8839,3.9005,3.7386,3.7739,162080,0
HOMB.US,D,20061110,000000,3.776,3.8694,3.776,3.7824,52027,0
HOMB.US,D,20061113,000000,3.8073,3.8093,3.67,3.6929,249744,0
HOMB.US,D,20061114,000000,3.7138,3.8445,3.6723,3.8256,190263,0
HOMB.US,D,20061115,000000,3.828,3.9149,3.8256,3.9069,208609,0
HOMB.US,D,20061116,000000,3.9317,3.967,3.7636,3.9275,171849,0
HOMB.US,D,20061117,000000,3.9358,3.9919,3.9235,3.9919,108265,0
HOMB.US,D,20061120,000000,3.9835,3.9835,3.8611,3.9443,72572,0
HOMB.US,D,20061121,000000,3.913,3.9358,3.8445,3.8526,125891,0
HOMB.US,D,20061122,000000,3.8757,3.9485,3.8757,3.9275,86015,0
HOMB.US,D,20061124,000000,3.8942,4.0188,3.8942,3.9919,12896,0
HOMB.US,D,20061127,000000,3.9485,3.9835,3.9025,3.9192,149071,0
HOMB.US,D,20061128,000000,3.9171,4.0686,3.9005,3.9919,360247,0
HOMB.US,D,20061129,000000,4.0083,4.05,3.9855,4.0188,109630,0
HOMB.US,D,20061130,000000,4.0418,4.0418,3.8817,3.8817,161103,0
HOMB.US,D,20061201,000000,3.8694,4.0295,3.7571,3.9399,265725,0
HOMB.US,D,20061204,000000,3.9629,4.0003,3.9149,3.9818,145144,0
HOMB.US,D,20061205,000000,4.0188,4.0188,3.967,3.9755,138832,0
HOMB.US,D,20061206,000000,3.9755,4.0169,3.9755,4.0169,62808,0
HOMB.US,D,20061207,000000,4.0188,4.0188,3.9485,3.9919,163884,0
HOMB.US,D,20061208,000000,3.994,3.994,3.9025,3.9711,95513,0
HOMB.US,D,20061211,000000,3.967,4.0274,3.967,4.0024,140263,0
HOMB.US,D,20061212,000000,4.0209,4.0295,3.9608,3.9608,104504,0
HOMB.US,D,20061213,000000,3.9959,4.0395,3.9755,4.0104,38686,0
HOMB.US,D,20061214,000000,3.9959,4.1143,3.9959,4.1143,56992,0
HOMB.US,D,20061215,000000,4.1353,4.1459,4.1143,4.1143,494127,0
HOMB.US,D,20061218,000000,4.133,4.1499,3.9755,4.0148,117173,0
HOMB.US,D,20061219,000000,3.9818,4.0314,3.967,3.969,53349,0
HOMB.US,D,20061220,000000,4.0024,4.133,4.0024,4.048,49444,0
HOMB.US,D,20061221,000000,4.0188,4.0626,4.0188,4.0418,104318,0
HOMB.US,D,20061222,000000,4.0522,4.0812,4.0376,4.0666,46231,0
HOMB.US,D,20061226,000000,4.0314,4.1906,4.0314,4.1906,71929,0
HOMB.US,D,20061227,000000,4.1772,4.4001,4.1772,4.3951,269393,0
HOMB.US,D,20061228,000000,4.3951,4.4191,4.3328,4.3951,107450,0
HOMB.US,D,20061229,000000,4.4001,4.4001,4.1826,4.201,160144,0
HOMB.US,D,20070103,000000,4.2365,4.4191,4.2224,4.2409,105714,0
HOMB.US,D,20070104,000000,4.2409,4.307,4.2409,4.307,49911,0
HOMB.US,D,20070105,000000,4.3456,4.3456,4.201,4.201,94613,0
HOMB.US,D,20070108,000000,4.201,4.3221,4.1826,4.2828,535624,0
HOMB.US,D,20070109,000000,4.2907,4.3533,4.2267,4.3221,708900,0
HOMB.US,D,20070110,000000,4.3052,4.3433,4.2788,4.3137,418435,0
HOMB.US,D,20070111,000000,4.3433,4.4108,4.309,4.3885,368978,0
HOMB.US,D,20070112,000000,4.3777,4.4085,4.3243,4.3456,169875,0
HOMB.US,D,20070116,000000,4.3433,4.3669,4.3374,4.3654,424370,0
HOMB.US,D,20070117,000000,4.3265,4.3714,4.32,4.3351,238362,0
HOMB.US,D,20070118,000000,4.3265,4.3414,4.2267,4.2384,908867,0
HOMB.US,D,20070119,000000,4.245,4.2532,4.22,4.22,232612,0
HOMB.US,D,20070122,000000,4.2098,4.2098,4.0188,4.0209,202634,0
HOMB.US,D,20070123,000000,4.0458,4.2725,4.0331,4.2159,232290,0
HOMB.US,D,20070124,000000,4.2324,4.2639,4.2032,4.2244,125184,0
HOMB.US,D,20070125,000000,4.2181,4.2348,4.0937,4.1518,170111,0
HOMB.US,D,20070126,000000,4.181,4.2348,4.1479,4.2224,75156,0
HOMB.US,D,20070129,000000,4.2348,4.2788,4.2281,4.2365,128657,0
HOMB.US,D,20070130,000000,4.2348,4.3615,4.2324,4.3615,419715,0
HOMB.US,D,20070131,000000,4.3456,4.3669,4.2577,4.3669,82396,0
HOMB.US,D,20070201,000000,4.3669,4.3669,4.3265,4.3472,128501,0
HOMB.US,D,20070202,000000,4.3669,4.3736,4.3283,4.3351,77470,0
HOMB.US,D,20070205,000000,4.3576,4.3576,4.2078,4.3351,470712,0
HOMB.US,D,20070206,000000,4.2849,4.3576,4.1499,4.212,721428,0
HOMB.US,D,20070207,000000,4.2244,4.2365,4.1499,4.1928,121082,0
HOMB.US,D,20070208,000000,4.1951,4.212,4.1459,4.1729,109211,0
HOMB.US,D,20070209,000000,4.1622,4.1928,4.0812,4.1061,260611,0
HOMB.US,D,20070212,000000,4.0666,4.1162,4.0295,4.0916,242039,0
HOMB.US,D,20070213,000000,4.1538,4.2302,4.05,4.133,522427,0
HOMB.US,D,20070214,000000,4.158,4.2577,4.0916,4.1287,588944,0
HOMB.US,D,20070215,000000,4.1499,4.2365,4.0626,4.0812,433478,0
HOMB.US,D,20070216,000000,4.0979,4.2032,4.0979,4.1479,184326,0
HOMB.US,D,20070220,000000,4.1186,4.201,4.0544,4.201,141451,0
HOMB.US,D,20070221,000000,4.1772,4.2302,4.1353,4.1499,37737,0
HOMB.US,D,20070222,000000,4.1499,4.1499,4.0544,4.133,288467,0
HOMB.US,D,20070223,000000,4.133,4.1499,4.0626,4.0979,170436,0
