<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDHAW.US,D,20210518,000000,0.89,1.1,0.8895,1.05,95800,0
LDHAW.US,D,20210520,000000,1,1,1,1,100,0
LDHAW.US,D,20210525,000000,0.92,0.92,0.9,0.9002,4832,0
LDHAW.US,D,20210601,000000,1.06,1.06,1.06,1.06,1007,0
LDHAW.US,D,20210602,000000,1.05,1.05,1.05,1.05,202,0
LDHAW.US,D,20210603,000000,1.025,1.025,1.025,1.025,334973,0
LDHAW.US,D,20210607,000000,1.02,1.05,1.02,1.05,12743,0
LDHAW.US,D,20210608,000000,1.06,1.06,1.05,1.05,1000,0
LDHAW.US,D,20210609,000000,1.08,1.0841,1.08,1.08,3116,0
LDHAW.US,D,20210610,000000,1.095,1.84,1.09,1.09,9389,0
LDHAW.US,D,20210611,000000,1.18,1.18,1.18,1.18,121,0
LDHAW.US,D,20210614,000000,1.26,1.27,1.26,1.26,6927,0
LDHAW.US,D,20210615,000000,1.26,1.27,1.26,1.27,1740,0
LDHAW.US,D,20210616,000000,1.25,1.25,1.25,1.25,3738,0
LDHAW.US,D,20210622,000000,1.25,1.25,1.25,1.25,225,0
LDHAW.US,D,20210623,000000,1.2,1.2,1.19,1.19,795,0
LDHAW.US,D,20210629,000000,1.135,1.135,1.135,1.135,700,0
LDHAW.US,D,20210701,000000,1.15,1.15,1.14,1.1475,5233,0
LDHAW.US,D,20210702,000000,1.2647,1.2699,1.15,1.1975,5367,0
LDHAW.US,D,20210707,000000,1.49,1.49,1.4,1.4,1119,0
LDHAW.US,D,20210708,000000,1.4,1.4,1.4,1.4,245,0
LDHAW.US,D,20210709,000000,1.2,1.21,1.2,1.21,666,0
