<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOB.US,D,20150723,000000,17.981,18.905,17.136,18.533,2835063,0
LOB.US,D,20150724,000000,18.372,19.78,18.292,18.722,397851,0
LOB.US,D,20150727,000000,18.78,19.343,18.712,18.952,247640,0
LOB.US,D,20150728,000000,19.441,19.693,19.039,19.246,92701,0
LOB.US,D,20150729,000000,19.489,20.653,19.489,19.965,178298,0
LOB.US,D,20150730,000000,19.926,19.975,19.489,19.585,117287,0
LOB.US,D,20150731,000000,19.576,19.926,19.498,19.595,151753,0
LOB.US,D,20150803,000000,19.82,19.926,19.479,19.605,162985,0
LOB.US,D,20150804,000000,19.441,19.82,19.127,19.79,171199,0
LOB.US,D,20150805,000000,19.78,20.402,19.498,20.071,137349,0
LOB.US,D,20150806,000000,19.926,20.167,19.926,20.032,23160,0
LOB.US,D,20150807,000000,20.023,20.023,19.516,19.643,20064,0
LOB.US,D,20150810,000000,19.87,19.926,19.039,19.431,274802,0
LOB.US,D,20150811,000000,19.236,19.896,19.187,19.576,70788,0
LOB.US,D,20150812,000000,19.441,19.879,19.236,19.526,43417,0
LOB.US,D,20150813,000000,19.107,19.83,19.107,19.363,26853,0
LOB.US,D,20150814,000000,19.683,19.683,18.283,18.683,104735,0
LOB.US,D,20150817,000000,18.613,19.489,18.332,18.97,110600,0
LOB.US,D,20150818,000000,19.049,19.614,19,19.265,53497,0
LOB.US,D,20150819,000000,19.293,19.441,19.197,19.293,98873,0
LOB.US,D,20150820,000000,19.353,19.441,18.895,18.97,128604,0
LOB.US,D,20150821,000000,18.952,19.207,18.485,18.573,94550,0
LOB.US,D,20150824,000000,17.631,18.563,17.497,18.098,73558,0
LOB.US,D,20150825,000000,18.741,18.914,18.352,18.613,40022,0
LOB.US,D,20150826,000000,18.914,19.147,18.465,19.127,66255,0
LOB.US,D,20150827,000000,18.952,19.643,18.603,18.952,41670,0
LOB.US,D,20150828,000000,18.952,19.029,18.408,18.82,63685,0
LOB.US,D,20150831,000000,18.82,18.952,18.603,18.732,88582,0
