<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGIC.US,D,20050225,000000,1.8256,1.9903,1.8256,1.9903,38162,0
MGIC.US,D,20050228,000000,1.9903,2.0061,1.8883,1.9747,38691,0
MGIC.US,D,20050301,000000,1.8805,2.0924,1.8805,2.0531,42252,0
MGIC.US,D,20050302,000000,2.0061,2.0531,1.9747,2.0061,12785,0
MGIC.US,D,20050303,000000,2.0374,2.0687,1.9983,2.0061,51707,0
MGIC.US,D,20050304,000000,1.9434,2.1157,1.9434,2.1157,13129,0
MGIC.US,D,20050307,000000,2.0531,2.0845,2.0374,2.0531,15791,0
MGIC.US,D,20050308,000000,2.0531,2.0845,2.0531,2.0766,33171,0
MGIC.US,D,20050309,000000,2.0139,2.0531,2.0139,2.0451,15283,0
MGIC.US,D,20050310,000000,2.0374,2.1001,2.0139,2.0924,30569,0
MGIC.US,D,20050311,000000,2.0294,2.1157,2.0294,2.0687,7315,0
MGIC.US,D,20050314,000000,2.0139,2.0374,1.9747,1.9983,15383,0
MGIC.US,D,20050315,000000,1.9983,2.0531,1.9825,2.0139,12425,0
MGIC.US,D,20050316,000000,1.9668,1.9668,1.9199,1.9434,16462,0
MGIC.US,D,20050317,000000,1.9434,1.9747,1.9434,1.9512,14221,0
MGIC.US,D,20050318,000000,1.9199,2.0139,1.9199,2.0139,6350,0
MGIC.US,D,20050321,000000,1.9434,1.9434,1.9119,1.9434,6317,0
MGIC.US,D,20050322,000000,1.9199,1.9434,1.8728,1.9355,24802,0
MGIC.US,D,20050323,000000,1.8883,1.9434,1.8805,1.8883,27776,0
MGIC.US,D,20050324,000000,1.8572,1.9355,1.8493,1.9355,8027,0
MGIC.US,D,20050328,000000,1.9119,1.9355,1.8572,1.8572,12282,0
MGIC.US,D,20050329,000000,1.8649,1.9041,1.8415,1.8805,17996,0
MGIC.US,D,20050330,000000,1.81,1.8805,1.8023,1.8572,8258,0
MGIC.US,D,20050331,000000,1.81,1.8728,1.81,1.8649,57879,0
MGIC.US,D,20050401,000000,1.8728,1.8728,1.8415,1.8572,18682,0
MGIC.US,D,20050404,000000,1.8493,1.8805,1.8415,1.8493,19068,0
