<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIRO.US,D,20210624,000000,12,16.5212,10.96,15.24,3556948,0
MIRO.US,D,20210625,000000,14.56,15.9999,12.4,12.75,482361,0
MIRO.US,D,20210628,000000,12.75,13.92,12,12.125,156800,0
MIRO.US,D,20210629,000000,12.21,12.8964,12.02,12.595,107509,0
MIRO.US,D,20210630,000000,12.87,12.87,11.65,11.65,53413,0
MIRO.US,D,20210701,000000,11.65,11.8,10.02,10.4,80835,0
MIRO.US,D,20210702,000000,10.2037,10.758,10.01,10.3,30481,0
MIRO.US,D,20210706,000000,10.3,11.09,10.3,10.31,61425,0
MIRO.US,D,20210707,000000,10,10.2622,8.905,9.34,96929,0
MIRO.US,D,20210708,000000,8.9,9.2079,8.7,8.83,59308,0
MIRO.US,D,20210709,000000,9.83,9.83,8.445,8.65,100183,0
