<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSEC.US,D,20050225,000000,16.617,16.617,16.609,16.617,1326,0
NSEC.US,D,20050228,000000,16.609,16.609,16.07,16.129,901,0
NSEC.US,D,20050301,000000,16.456,16.609,16.456,16.609,4960,0
NSEC.US,D,20050302,000000,16.544,16.596,16.087,16.596,606,0
NSEC.US,D,20050303,000000,16.213,16.213,16.206,16.206,247,0
NSEC.US,D,20050304,000000,15.356,16.197,15.215,16.197,5233,0
NSEC.US,D,20050307,000000,16.213,16.213,16.213,16.213,359,0
NSEC.US,D,20050309,000000,15.797,15.797,15.797,15.797,359,0
NSEC.US,D,20050310,000000,15.152,15.152,15.152,15.152,258,0
NSEC.US,D,20050315,000000,16.626,16.626,16.626,16.626,183,0
NSEC.US,D,20050316,000000,16.617,16.617,16.617,16.617,304,0
NSEC.US,D,20050317,000000,16.617,16.617,16.617,16.617,288,0
NSEC.US,D,20050318,000000,16.42,16.626,16.42,16.626,314,0
NSEC.US,D,20050321,000000,16.626,16.626,16.626,16.626,3728,0
NSEC.US,D,20050323,000000,15.964,15.964,15.506,15.506,544,0
NSEC.US,D,20050328,000000,15.506,15.506,15.506,15.506,270,0
NSEC.US,D,20050329,000000,16.504,16.504,16.463,16.504,480,0
NSEC.US,D,20050330,000000,16.795,16.795,16.795,16.795,247,0
NSEC.US,D,20050401,000000,17.503,17.552,17.503,17.533,5785,0
NSEC.US,D,20050404,000000,17.873,17.873,17.873,17.873,247,0
NSEC.US,D,20050406,000000,18.026,18.197,18.026,18.197,480,0
NSEC.US,D,20050412,000000,17.274,18.125,17.274,18.125,1201,0
NSEC.US,D,20050418,000000,17.487,17.487,17.487,17.487,247,0
NSEC.US,D,20050422,000000,16.895,17.316,16.895,17.316,277,0
NSEC.US,D,20050425,000000,18.125,18.125,18.125,18.125,108,0
NSEC.US,D,20050428,000000,18.125,18.125,18.125,18.125,108,0
NSEC.US,D,20050504,000000,17.855,17.855,17.855,17.855,247,0
NSEC.US,D,20050505,000000,17.683,17.855,17.606,17.855,2404,0
NSEC.US,D,20050509,000000,17.873,17.873,17.873,17.873,703,0
NSEC.US,D,20050510,000000,18.522,18.522,18.522,18.522,108,0
NSEC.US,D,20050511,000000,18.538,18.538,18.232,18.232,1121,0
NSEC.US,D,20050512,000000,18.78,18.78,18.197,18.197,869,0
NSEC.US,D,20050513,000000,20.785,20.785,17.597,19.315,2767,0
NSEC.US,D,20050516,000000,19.315,20.194,19.315,20.194,359,0
NSEC.US,D,20050517,000000,19.954,19.954,19.954,19.954,253,0
NSEC.US,D,20050518,000000,19.512,19.512,18.656,18.656,1445,0
NSEC.US,D,20050519,000000,18.656,19.102,18.656,19.096,1804,0
NSEC.US,D,20050520,000000,19.12,19.12,19.12,19.12,247,0
NSEC.US,D,20050523,000000,18.913,18.913,18.709,18.709,1082,0
NSEC.US,D,20050524,000000,22.032,22.032,20.119,20.119,603,0
NSEC.US,D,20050531,000000,17.47,17.47,17.47,17.47,639,0
NSEC.US,D,20050601,000000,18.506,18.506,18.498,18.498,359,0
NSEC.US,D,20050602,000000,19.332,19.332,19.289,19.289,1203,0
NSEC.US,D,20050608,000000,18.831,18.931,18.831,18.931,1106,0
NSEC.US,D,20050613,000000,16.685,17.999,16.685,17.999,1495,0
NSEC.US,D,20050615,000000,18.456,18.456,17.855,17.855,264,0
NSEC.US,D,20050616,000000,18.447,18.447,18.447,18.447,247,0
NSEC.US,D,20050620,000000,18.439,18.439,17.171,17.171,1084,0
NSEC.US,D,20050621,000000,17.873,17.873,17.461,17.461,1338,0
NSEC.US,D,20050630,000000,18.3,18.3,18.3,18.3,247,0
NSEC.US,D,20050718,000000,17.958,17.958,17.958,17.958,295,0
NSEC.US,D,20050719,000000,18.283,18.283,17.966,17.966,408,0
NSEC.US,D,20050725,000000,18.291,18.291,18.291,18.291,359,0
NSEC.US,D,20050726,000000,18.291,18.291,18.291,18.291,136,0
NSEC.US,D,20050727,000000,17.873,18.291,17.873,18.291,266,0
NSEC.US,D,20050728,000000,18.3,18.498,18.3,18.498,778,0
NSEC.US,D,20050729,000000,18.291,18.291,18.291,18.291,359,0
NSEC.US,D,20050802,000000,18.3,18.3,18.3,18.3,108,0
NSEC.US,D,20050803,000000,18.291,18.291,18.291,18.291,470,0
NSEC.US,D,20050805,000000,18.291,18.291,18.291,18.291,108,0
NSEC.US,D,20050809,000000,17.461,17.461,17.274,17.274,773,0
NSEC.US,D,20050811,000000,17.052,17.052,16.643,16.643,1445,0
NSEC.US,D,20050812,000000,17.442,17.442,16.463,16.626,1017,0
NSEC.US,D,20050815,000000,16.602,16.602,16.512,16.512,480,0
NSEC.US,D,20050817,000000,16.617,16.617,16.463,16.463,843,0
NSEC.US,D,20050818,000000,16.213,16.213,16.213,16.213,359,0
NSEC.US,D,20050819,000000,16.384,16.384,16.384,16.384,723,0
NSEC.US,D,20050822,000000,15.797,16.164,15.797,16.164,2034,0
NSEC.US,D,20050823,000000,16.036,16.036,16.036,16.036,448,0
NSEC.US,D,20050824,000000,17.265,17.299,16.926,17.299,1082,0
NSEC.US,D,20050825,000000,17.25,17.25,16.659,16.659,1326,0
NSEC.US,D,20050829,000000,16.213,16.213,16.095,16.129,1817,0
NSEC.US,D,20050830,000000,16.155,16.213,16.155,16.213,843,0
NSEC.US,D,20050831,000000,16.018,16.018,16.018,16.018,108,0
NSEC.US,D,20050901,000000,16.002,16.002,16.002,16.002,482,0
NSEC.US,D,20050907,000000,15.995,15.995,15.964,15.964,603,0
NSEC.US,D,20050908,000000,15.881,15.881,15.223,15.38,2467,0
NSEC.US,D,20050909,000000,15.17,15.839,15.17,15.728,5609,0
NSEC.US,D,20050912,000000,15.839,15.839,15.839,15.839,1793,0
NSEC.US,D,20050916,000000,15.05,15.05,15.05,15.05,462,0
NSEC.US,D,20050919,000000,15.735,15.779,15.735,15.779,1203,0
NSEC.US,D,20050920,000000,16.206,16.206,16.206,16.206,108,0
NSEC.US,D,20050921,000000,15.948,15.948,15.948,15.948,108,0
NSEC.US,D,20050922,000000,15.673,15.839,15.673,15.839,412,0
NSEC.US,D,20050926,000000,15.821,15.821,15.821,15.821,108,0
NSEC.US,D,20051011,000000,15.05,15.05,14.963,14.963,261,0
NSEC.US,D,20051012,000000,14.963,15.17,14.898,15.17,1566,0
NSEC.US,D,20051013,000000,15.17,15.17,15.17,15.17,183,0
NSEC.US,D,20051014,000000,15.17,15.17,15.17,15.17,359,0
NSEC.US,D,20051026,000000,12.466,14.117,11.222,13.545,5578,0
NSEC.US,D,20051027,000000,13.522,13.522,13.522,13.522,108,0
NSEC.US,D,20051028,000000,13.383,13.383,13.246,13.302,603,0
NSEC.US,D,20051031,000000,12.492,13.177,12.492,12.509,1326,0
NSEC.US,D,20051101,000000,13.118,13.545,13.118,13.318,901,0
NSEC.US,D,20051102,000000,13.975,14.074,13.975,14.074,247,0
NSEC.US,D,20051111,000000,14.082,14.134,14.082,14.134,843,0
NSEC.US,D,20051114,000000,14.398,14.398,14.398,14.398,108,0
NSEC.US,D,20051122,000000,14.398,14.398,14.398,14.398,144,0
NSEC.US,D,20051123,000000,14.398,14.398,14.398,14.398,359,0
NSEC.US,D,20051128,000000,14.416,14.551,14.416,14.551,1300,0
NSEC.US,D,20051130,000000,14.373,14.373,13.56,13.56,1804,0
NSEC.US,D,20051201,000000,13.959,13.959,13.959,13.959,108,0
NSEC.US,D,20051202,000000,13.837,13.837,13.837,13.837,606,0
NSEC.US,D,20051205,000000,14.134,14.416,14.134,14.134,2354,0
NSEC.US,D,20051206,000000,14.134,14.134,14.134,14.134,108,0
NSEC.US,D,20051207,000000,14.065,14.134,14.065,14.134,603,0
NSEC.US,D,20051209,000000,14.134,14.134,14.134,14.134,1445,0
NSEC.US,D,20051212,000000,14.45,14.45,14.201,14.201,323,0
NSEC.US,D,20051213,000000,14.26,14.26,14.26,14.26,247,0
NSEC.US,D,20051220,000000,14.051,14.382,14.051,14.382,408,0
NSEC.US,D,20051222,000000,14.365,14.365,14.342,14.342,359,0
NSEC.US,D,20051223,000000,14.342,14.342,14.342,14.342,108,0
NSEC.US,D,20051227,000000,13.683,13.683,13.683,13.683,108,0
NSEC.US,D,20051228,000000,14.125,14.125,14.125,14.125,108,0
NSEC.US,D,20051229,000000,13.47,14.134,13.47,14.134,1447,0
NSEC.US,D,20051230,000000,13.787,14.416,13.488,13.497,2530,0
NSEC.US,D,20060103,000000,14.26,14.26,14.209,14.209,247,0
NSEC.US,D,20060104,000000,14.241,14.241,14.241,14.241,112,0
NSEC.US,D,20060110,000000,15.136,15.428,15.136,15.17,1082,0
NSEC.US,D,20060111,000000,14.382,14.76,14.342,14.76,1864,0
NSEC.US,D,20060112,000000,14.76,14.76,14.734,14.734,1565,0
NSEC.US,D,20060113,000000,14.734,14.734,14.734,14.734,247,0
NSEC.US,D,20060123,000000,14.176,14.176,14.16,14.16,247,0
NSEC.US,D,20060125,000000,14.091,14.091,14.091,14.091,247,0
NSEC.US,D,20060126,000000,14.26,14.26,12.829,13.427,1450,0
NSEC.US,D,20060127,000000,13.357,13.959,13.357,13.95,2783,0
NSEC.US,D,20060130,000000,14.01,14.042,13.008,13.052,4407,0
NSEC.US,D,20060131,000000,13.186,14.134,13.103,13.186,2050,0
NSEC.US,D,20060201,000000,13.302,13.302,13.302,13.302,480,0
NSEC.US,D,20060202,000000,13.214,13.214,13.186,13.186,247,0
NSEC.US,D,20060206,000000,13.418,15.396,13.418,14.39,4689,0
NSEC.US,D,20060208,000000,13.302,13.683,13.302,13.683,1147,0
NSEC.US,D,20060215,000000,14.298,14.298,14.298,14.298,210,0
NSEC.US,D,20060216,000000,14.298,14.298,14.298,14.298,1043,0
NSEC.US,D,20060217,000000,14.298,14.298,14.298,14.298,108,0
NSEC.US,D,20060222,000000,13.726,14.1,13.683,14.1,866,0
NSEC.US,D,20060227,000000,14.1,16.42,14.1,14.76,4471,0
NSEC.US,D,20060228,000000,14.134,14.134,13.609,13.735,359,0
NSEC.US,D,20060301,000000,14.134,16.589,14.134,15.084,9345,0
NSEC.US,D,20060302,000000,14.551,15.428,14.551,15.007,3733,0
NSEC.US,D,20060303,000000,14.972,15.696,14.752,14.914,11907,0
NSEC.US,D,20060307,000000,14.963,14.963,14.963,14.963,108,0
NSEC.US,D,20060309,000000,14.1,14.664,14.1,14.441,4087,0
NSEC.US,D,20060313,000000,14.1,14.873,14.058,14.058,5657,0
NSEC.US,D,20060314,000000,14.1,15.506,14.017,14.724,8750,0
NSEC.US,D,20060315,000000,14.774,14.889,14.647,14.664,4385,0
NSEC.US,D,20060316,000000,14.276,14.655,14.276,14.276,1445,0
NSEC.US,D,20060317,000000,14.76,14.857,14.307,14.382,5832,0
NSEC.US,D,20060320,000000,14.143,14.143,14.143,14.143,247,0
NSEC.US,D,20060322,000000,14.466,14.466,14.342,14.342,359,0
NSEC.US,D,20060323,000000,14.283,14.947,14.283,14.466,7696,0
NSEC.US,D,20060324,000000,14.45,14.517,14.45,14.466,603,0
NSEC.US,D,20060327,000000,14.342,15.196,14.342,14.715,3847,0
NSEC.US,D,20060328,000000,14.576,15.152,14.576,15.152,337,0
NSEC.US,D,20060330,000000,14.963,14.963,14.963,14.963,108,0
NSEC.US,D,20060403,000000,14.767,14.767,14.767,14.767,503,0
NSEC.US,D,20060404,000000,14.134,14.715,14.134,14.715,359,0
NSEC.US,D,20060405,000000,14.283,15.275,14.283,14.849,6015,0
NSEC.US,D,20060406,000000,14.889,15.323,14.382,14.798,7218,0
NSEC.US,D,20060407,000000,14.534,14.534,14.508,14.508,1441,0
