<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWE.US,D,20050225,000000,18.779,19.431,18.752,19.085,135889,0
NWE.US,D,20050228,000000,18.881,19.18,18.881,18.977,53810,0
NWE.US,D,20050301,000000,18.977,19.104,18.889,19.017,43998,0
NWE.US,D,20050302,000000,19.017,19.445,19.009,19.229,499731,0
NWE.US,D,20050303,000000,19.419,19.527,19.283,19.318,266145,0
NWE.US,D,20050304,000000,19.235,19.485,19.235,19.385,134345,0
NWE.US,D,20050307,000000,19.356,19.406,19.267,19.399,62193,0
NWE.US,D,20050308,000000,19.304,19.527,19.26,19.419,73919,0
NWE.US,D,20050309,000000,19.425,19.431,18.997,19.085,293118,0
NWE.US,D,20050310,000000,19.085,19.356,18.91,19.096,320099,0
NWE.US,D,20050311,000000,19.18,19.356,19.017,19.128,424389,0
NWE.US,D,20050314,000000,19.004,19.186,18.759,18.923,161140,0
NWE.US,D,20050315,000000,19.009,19.2,18.881,19.017,99288,0
NWE.US,D,20050316,000000,18.928,19.009,18.705,18.745,146232,0
NWE.US,D,20050317,000000,18.745,18.745,18.549,18.649,103959,0
NWE.US,D,20050318,000000,18.684,18.684,18.269,18.29,100007,0
NWE.US,D,20050321,000000,18.285,18.475,18.053,18.17,279733,0
NWE.US,D,20050322,000000,18.068,18.074,17.592,17.685,387623,0
NWE.US,D,20050323,000000,17.841,17.841,17.332,17.476,48914,0
NWE.US,D,20050324,000000,17.49,18.277,17.429,17.937,240010,0
NWE.US,D,20050328,000000,18.1,18.1,17.715,17.921,299301,0
NWE.US,D,20050329,000000,18.121,18.121,17.536,17.708,194752,0
NWE.US,D,20050330,000000,17.555,17.929,17.555,17.775,376672,0
NWE.US,D,20050331,000000,17.738,18,17.708,17.91,824368,0
NWE.US,D,20050401,000000,18.053,18.053,17.726,17.952,109300,0
NWE.US,D,20050404,000000,17.966,18.1,17.878,18.095,360204,0
NWE.US,D,20050405,000000,18.068,18.17,18.018,18.147,245848,0
NWE.US,D,20050406,000000,18.162,18.392,18.121,18.178,228074,0
NWE.US,D,20050407,000000,18.358,18.358,18.202,18.358,138628,0
NWE.US,D,20050408,000000,18.237,18.462,18.139,18.342,116104,0
NWE.US,D,20050411,000000,18.373,18.5,18.342,18.428,143132,0
NWE.US,D,20050412,000000,18.342,18.684,18.311,18.596,483817,0
NWE.US,D,20050413,000000,18.342,18.847,18.342,18.779,588498,0
NWE.US,D,20050414,000000,18.902,19.392,18.711,19.017,783479,0
NWE.US,D,20050415,000000,19.026,19.414,18.944,19.052,189736,0
NWE.US,D,20050418,000000,18.951,19.275,18.889,19.071,161744,0
NWE.US,D,20050419,000000,18.97,19.208,18.889,19.046,250828,0
NWE.US,D,20050420,000000,18.982,19.052,18.841,18.963,208335,0
NWE.US,D,20050421,000000,19.154,19.154,18.827,18.997,45780,0
NWE.US,D,20050422,000000,19.017,19.017,18.847,18.881,95329,0
NWE.US,D,20050425,000000,19.145,19.145,18.847,18.873,81403,0
NWE.US,D,20050426,000000,19.096,19.096,18.847,18.989,55793,0
NWE.US,D,20050427,000000,19.154,19.154,18.815,19.017,113499,0
NWE.US,D,20050428,000000,19.017,19.154,18.764,18.895,103102,0
NWE.US,D,20050429,000000,18.861,19.254,18.847,19.032,177965,0
NWE.US,D,20050502,000000,19.223,19.324,18.677,19.065,151945,0
NWE.US,D,20050503,000000,19.017,19.29,18.677,19.032,88395,0
NWE.US,D,20050504,000000,18.745,19.174,18.739,19.092,125797,0
NWE.US,D,20050505,000000,19.085,19.223,18.928,19.065,229333,0
NWE.US,D,20050506,000000,19.017,19.29,18.889,19.046,103663,0
NWE.US,D,20050509,000000,18.997,19.324,18.733,19.071,114441,0
NWE.US,D,20050510,000000,19.192,19.192,19.004,19.071,204699,0
NWE.US,D,20050511,000000,18.902,19.186,18.902,19.096,67239,0
NWE.US,D,20050512,000000,19.154,19.154,18.881,19.061,500498,0
NWE.US,D,20050513,000000,19.065,19.12,18.677,18.677,276369,0
NWE.US,D,20050516,000000,18.815,18.957,18.677,18.684,143683,0
NWE.US,D,20050517,000000,18.677,18.91,18.638,18.739,234119,0
NWE.US,D,20050518,000000,18.711,18.827,18.684,18.794,65754,0
NWE.US,D,20050519,000000,18.801,19.154,18.779,18.937,129057,0
NWE.US,D,20050520,000000,18.977,19.017,18.916,18.97,44878,0
NWE.US,D,20050523,000000,18.963,19.29,18.822,19.096,156421,0
NWE.US,D,20050524,000000,19.137,19.356,19.112,19.283,130932,0
NWE.US,D,20050525,000000,19.364,19.399,19.26,19.337,240043,0
NWE.US,D,20050526,000000,19.369,19.425,19.297,19.324,170544,0
NWE.US,D,20050527,000000,19.356,19.364,19.318,19.337,172017,0
NWE.US,D,20050531,000000,19.154,20.091,19.065,19.682,529291,0
NWE.US,D,20050601,000000,19.697,19.731,19.078,19.65,471253,0
NWE.US,D,20050602,000000,19.674,19.697,19.527,19.662,642339,0
NWE.US,D,20050603,000000,19.697,19.697,19.541,19.662,123468,0
NWE.US,D,20050606,000000,19.697,19.697,19.522,19.638,727189,0
NWE.US,D,20050607,000000,19.588,19.682,19.588,19.614,257594,0
NWE.US,D,20050608,000000,19.697,19.697,19.425,19.425,234391,0
NWE.US,D,20050609,000000,19.356,19.63,19.29,19.541,150583,0
NWE.US,D,20050610,000000,19.622,19.662,19.437,19.547,432533,0
NWE.US,D,20050613,000000,19.356,19.493,19.337,19.356,240142,0
NWE.US,D,20050614,000000,19.452,19.697,19.349,19.437,167909,0
NWE.US,D,20050615,000000,19.638,19.697,19.466,19.63,255731,0
NWE.US,D,20050616,000000,19.622,19.69,19.471,19.63,257759,0
NWE.US,D,20050617,000000,19.656,19.697,19.437,19.656,571732,0
NWE.US,D,20050620,000000,19.479,19.573,19.406,19.414,359431,0
NWE.US,D,20050621,000000,19.479,19.561,19.425,19.561,335252,0
NWE.US,D,20050622,000000,19.594,19.656,19.324,19.515,349780,0
NWE.US,D,20050623,000000,19.561,19.561,19.318,19.425,270909,0
NWE.US,D,20050624,000000,19.522,19.845,19.392,19.522,4418138,0
NWE.US,D,20050627,000000,19.493,19.697,19.186,19.541,140607,0
NWE.US,D,20050628,000000,19.638,19.697,19.419,19.63,395066,0
NWE.US,D,20050629,000000,19.656,19.731,19.376,19.602,593453,0
NWE.US,D,20050630,000000,19.561,21.58,19.507,21.407,1334057,0
NWE.US,D,20050701,000000,21.545,21.837,21.362,21.646,1554468,0
NWE.US,D,20050705,000000,21.742,21.831,21.218,21.679,2053746,0
NWE.US,D,20050706,000000,21.686,21.767,21.395,21.572,1162318,0
NWE.US,D,20050707,000000,21.376,21.58,21.259,21.382,675885,0
NWE.US,D,20050708,000000,21.427,21.646,21.278,21.327,958461,0
NWE.US,D,20050711,000000,21.347,21.587,21.272,21.443,915926,0
NWE.US,D,20050712,000000,21.395,21.491,21.218,21.278,925635,0
NWE.US,D,20050713,000000,21.067,21.395,21.067,21.306,325990,0
NWE.US,D,20050714,000000,21.401,21.427,21.212,21.246,736830,0
NWE.US,D,20050715,000000,21.089,21.341,20.884,21.169,865992,0
NWE.US,D,20050718,000000,21.13,21.427,20.994,21.045,420868,0
NWE.US,D,20050719,000000,21.119,21.218,20.986,21.036,478996,0
NWE.US,D,20050720,000000,20.964,21.24,20.964,21.045,452257,0
NWE.US,D,20050721,000000,21.048,21.089,20.905,20.986,507034,0
NWE.US,D,20050722,000000,21.024,21.388,21.017,21.354,556875,0
NWE.US,D,20050725,000000,21.347,21.491,21.054,21.156,168705,0
NWE.US,D,20050726,000000,21.177,21.414,21.138,21.369,337462,0
NWE.US,D,20050727,000000,21.395,21.551,21.312,21.421,516152,0
NWE.US,D,20050728,000000,21.421,21.646,21.048,21.457,329982,0
NWE.US,D,20050729,000000,21.449,21.557,21.369,21.463,91778,0
NWE.US,D,20050801,000000,21.514,21.742,21.224,21.407,224363,0
NWE.US,D,20050802,000000,21.471,21.735,21.471,21.699,121173,0
NWE.US,D,20050803,000000,21.597,22.092,21.597,21.632,237033,0
NWE.US,D,20050804,000000,21.58,21.837,21.566,21.632,225102,0
NWE.US,D,20050805,000000,21.566,21.632,21.327,21.407,137074,0
NWE.US,D,20050808,000000,21.605,21.668,21.13,21.191,185182,0
NWE.US,D,20050809,000000,21.054,21.212,20.954,21.024,160696,0
NWE.US,D,20050810,000000,21.103,21.376,21.024,21.036,151751,0
NWE.US,D,20050811,000000,20.964,21.024,20.877,20.986,224169,0
NWE.US,D,20050812,000000,20.899,21.036,20.803,20.871,347365,0
NWE.US,D,20050815,000000,20.75,20.899,20.737,20.871,459760,0
NWE.US,D,20050816,000000,20.778,20.986,20.64,20.714,455003,0
NWE.US,D,20050817,000000,20.648,20.778,20.612,20.64,307519,0
NWE.US,D,20050818,000000,20.629,20.75,20.412,20.579,299155,0
NWE.US,D,20050819,000000,20.552,20.695,20.412,20.476,254198,0
NWE.US,D,20050822,000000,20.412,20.69,20.412,20.666,213098,0
NWE.US,D,20050823,000000,20.661,20.864,20.557,20.64,360555,0
NWE.US,D,20050824,000000,20.506,20.75,20.432,20.513,165823,0
NWE.US,D,20050825,000000,20.548,20.612,20.506,20.579,178303,0
NWE.US,D,20050826,000000,20.445,20.565,20.439,20.526,193292,0
NWE.US,D,20050829,000000,20.374,20.648,20.267,20.497,127679,0
NWE.US,D,20050830,000000,20.403,20.629,20.403,20.534,152374,0
NWE.US,D,20050831,000000,20.565,21.254,20.403,21.177,456740,0
NWE.US,D,20050901,000000,21.024,21.183,20.864,21.067,117596,0
NWE.US,D,20050902,000000,20.864,21.081,20.75,20.784,82383,0
NWE.US,D,20050906,000000,20.884,21.045,20.884,21.024,90464,0
NWE.US,D,20050907,000000,20.98,21.081,20.954,21.067,138267,0
NWE.US,D,20050908,000000,20.964,21.24,20.94,21.081,56620,0
NWE.US,D,20050909,000000,21.156,21.183,20.857,21.169,159508,0
NWE.US,D,20050912,000000,21.24,21.24,20.986,21.191,109060,0
NWE.US,D,20050913,000000,20.921,21.096,20.857,20.857,161980,0
NWE.US,D,20050914,000000,20.864,21.045,20.463,20.572,283096,0
NWE.US,D,20050915,000000,20.579,20.755,20.419,20.548,246900,0
NWE.US,D,20050916,000000,20.666,20.714,20.526,20.612,533528,0
NWE.US,D,20050919,000000,20.557,20.905,20.467,20.77,121944,0
NWE.US,D,20050920,000000,20.905,20.98,20.73,20.73,148020,0
NWE.US,D,20050921,000000,20.661,20.742,20.497,20.513,162510,0
NWE.US,D,20050922,000000,20.49,20.69,20.424,20.452,123076,0
NWE.US,D,20050923,000000,20.565,20.648,20.315,20.594,188714,0
NWE.US,D,20050926,000000,20.709,20.851,20.2,20.661,106140,0
NWE.US,D,20050927,000000,20.552,20.709,20.467,20.548,188076,0
NWE.US,D,20050928,000000,20.49,20.572,20.381,20.557,241175,0
NWE.US,D,20050929,000000,20.432,20.548,20.331,20.52,213395,0
NWE.US,D,20050930,000000,20.463,20.52,20.362,20.506,343009,0
NWE.US,D,20051003,000000,20.395,20.629,20.294,20.381,130134,0
NWE.US,D,20051004,000000,20.331,20.424,19.853,19.969,190769,0
NWE.US,D,20051005,000000,19.899,20.023,19.392,19.674,243596,0
NWE.US,D,20051006,000000,19.547,20.145,19.547,19.859,387579,0
NWE.US,D,20051007,000000,20.062,20.271,19.867,20.023,61585,0
NWE.US,D,20051010,000000,20.2,20.2,19.806,19.882,123325,0
NWE.US,D,20051011,000000,20.043,20.055,19.515,19.656,124974,0
NWE.US,D,20051012,000000,19.515,19.71,19.328,19.452,158764,0
NWE.US,D,20051013,000000,19.29,19.561,19.046,19.541,215819,0
NWE.US,D,20051014,000000,19.697,19.859,19.471,19.832,113379,0
NWE.US,D,20051017,000000,19.773,20.22,19.773,20.031,144641,0
NWE.US,D,20051018,000000,20.091,20.091,19.71,19.792,172979,0
NWE.US,D,20051019,000000,19.638,20.003,19.186,19.792,318181,0
NWE.US,D,20051020,000000,19.867,20.374,19.867,20.173,954726,0
NWE.US,D,20051021,000000,20.151,20.439,20.118,20.235,449590,0
NWE.US,D,20051024,000000,20.247,20.386,20.165,20.235,245682,0
NWE.US,D,20051025,000000,20.173,20.355,19.899,20.031,142863,0
NWE.US,D,20051026,000000,19.982,20.2,19.792,19.982,114937,0
NWE.US,D,20051027,000000,19.887,19.887,19.561,19.588,124433,0
NWE.US,D,20051028,000000,19.703,20.009,19.697,19.997,84983,0
NWE.US,D,20051031,000000,20.031,20.287,20.031,20.206,165737,0
NWE.US,D,20051101,000000,20.023,20.2,19.745,19.867,67372,0
NWE.US,D,20051102,000000,19.745,20.206,19.745,20.191,52009,0
NWE.US,D,20051103,000000,20.323,20.323,19.594,19.69,245043,0
NWE.US,D,20051104,000000,19.832,20.031,19.703,19.853,34916,0
NWE.US,D,20051107,000000,19.99,20.062,19.875,20.023,34905,0
NWE.US,D,20051108,000000,19.859,19.997,19.573,19.71,138453,0
NWE.US,D,20051109,000000,20.126,20.612,19.859,19.914,295196,0
NWE.US,D,20051110,000000,20.118,20.126,19.724,20.031,171104,0
NWE.US,D,20051111,000000,19.975,20.173,19.614,19.662,250587,0
NWE.US,D,20051114,000000,19.887,19.887,19.052,19.2,144392,0
NWE.US,D,20051115,000000,19.16,19.392,18.895,18.937,99327,0
NWE.US,D,20051116,000000,19.174,19.192,18.944,19.092,161217,0
NWE.US,D,20051117,000000,19.2,19.342,19.009,19.216,151099,0
NWE.US,D,20051118,000000,19.527,19.867,19.208,19.738,263095,0
NWE.US,D,20051121,000000,19.674,19.826,19.376,19.718,150376,0
NWE.US,D,20051122,000000,19.718,19.882,19.697,19.738,67471,0
NWE.US,D,20051123,000000,19.682,19.955,19.614,19.8,100332,0
NWE.US,D,20051125,000000,21.742,22.028,21.312,21.597,1108198,0
NWE.US,D,20051128,000000,21.509,21.735,21.347,21.435,307559,0
NWE.US,D,20051129,000000,21.435,21.566,21.138,21.286,808043,0
NWE.US,D,20051130,000000,21.286,21.85,21.03,21.045,708781,0
NWE.US,D,20051201,000000,21.278,21.388,21.13,21.198,406803,0
