<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWL.US,D,19840719,000000,1.8977,1.9275,1.8608,1.8682,2612795,0
NWL.US,D,19840720,000000,1.8752,1.8901,1.8459,1.8529,716600,0
NWL.US,D,19840723,000000,1.8459,1.8608,1.8385,1.8385,274121,0
NWL.US,D,19840724,000000,1.8385,1.8385,1.7496,1.7938,845032,0
NWL.US,D,19840725,000000,1.7865,1.8013,1.7047,1.742,1061950,0
NWL.US,D,19840726,000000,1.757,1.7642,1.6677,1.7345,831000,0
NWL.US,D,19840727,000000,1.742,1.7642,1.7047,1.7198,295708,0
NWL.US,D,19840730,000000,1.7198,1.7198,1.6234,1.6234,355062,0
NWL.US,D,19840731,000000,1.6309,1.6309,1.5493,1.6158,702569,0
NWL.US,D,19840801,000000,1.6234,1.6384,1.579,1.6384,628107,0
NWL.US,D,19840802,000000,1.6677,1.7047,1.6309,1.6454,603285,0
NWL.US,D,19840803,000000,1.6454,1.6754,1.6309,1.6454,480257,0
NWL.US,D,19840806,000000,1.6309,1.6605,1.6014,1.6014,303262,0
NWL.US,D,19840807,000000,1.6158,1.7642,1.6158,1.6973,1201172,0
NWL.US,D,19840808,000000,1.742,1.7642,1.6973,1.6973,1465582,0
NWL.US,D,19840809,000000,1.7276,1.7276,1.6973,1.7047,333481,0
NWL.US,D,19840810,000000,1.7276,1.742,1.6677,1.6827,325921,0
NWL.US,D,19840813,000000,1.6827,1.7047,1.6677,1.6827,194260,0
NWL.US,D,19840814,000000,1.6754,1.6973,1.6754,1.6899,210449,0
NWL.US,D,19840815,000000,1.7047,1.7047,1.6677,1.6754,361540,0
NWL.US,D,19840816,000000,1.6827,1.6827,1.6454,1.6605,343193,0
NWL.US,D,19840817,000000,1.6827,1.6899,1.6454,1.6454,116556,0
NWL.US,D,19840820,000000,1.6309,1.6384,1.6158,1.6158,165120,0
NWL.US,D,19840821,000000,1.6309,1.6309,1.579,1.6086,317290,0
NWL.US,D,19840822,000000,1.6158,1.6309,1.579,1.579,278437,0
NWL.US,D,19840823,000000,1.5863,1.5863,1.5641,1.5717,763009,0
NWL.US,D,19840824,000000,1.5717,1.5863,1.5717,1.5717,365855,0
NWL.US,D,19840827,000000,1.579,1.579,1.5344,1.5569,201814,0
NWL.US,D,19840828,000000,1.5569,1.5569,1.5344,1.5344,143537,0
NWL.US,D,19840829,000000,1.5493,1.5569,1.5421,1.5493,229876,0
NWL.US,D,19840830,000000,1.5569,1.5717,1.5493,1.5641,200734,0
NWL.US,D,19840831,000000,1.5641,1.5641,1.5493,1.5493,78780,0
NWL.US,D,19840904,000000,1.5569,1.5569,1.5049,1.5266,150010,0
NWL.US,D,19840905,000000,1.5049,1.5195,1.4456,1.5195,363699,0
NWL.US,D,19840906,000000,1.5266,1.5569,1.5195,1.5493,551485,0
NWL.US,D,19840907,000000,1.5717,1.6605,1.5717,1.6086,1532494,0
NWL.US,D,19840910,000000,1.6384,1.6384,1.6158,1.6234,538532,0
NWL.US,D,19840911,000000,1.6384,1.6605,1.6234,1.6309,512631,0
NWL.US,D,19840912,000000,1.653,1.7276,1.653,1.7047,2173554,0
NWL.US,D,19840913,000000,1.7198,1.7198,1.6605,1.6827,1531408,0
NWL.US,D,19840914,000000,1.6973,1.6973,1.6309,1.6605,638903,0
NWL.US,D,19840917,000000,1.6827,1.6899,1.6605,1.6605,542849,0
NWL.US,D,19840918,000000,1.6454,1.653,1.6158,1.6158,297863,0
NWL.US,D,19840919,000000,1.6158,1.6899,1.6158,1.6754,1238948,0
