<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RELL.US,D,20050225,000000,7.9809,8.3063,7.9442,8.2994,32343,0
RELL.US,D,20050228,000000,8.3285,8.3285,7.7981,8.1905,62496,0
RELL.US,D,20050301,000000,7.996,8.1905,7.9014,8.1905,45678,0
RELL.US,D,20050302,000000,8.0309,8.0454,7.6678,7.8292,145480,0
RELL.US,D,20050303,000000,7.8793,7.8866,7.6542,7.6542,86005,0
RELL.US,D,20050304,000000,7.2915,7.3063,6.9947,7.2121,424341,0
RELL.US,D,20050307,000000,7.3063,8.0961,7.2849,7.8643,240361,0
RELL.US,D,20050308,000000,7.8429,7.9014,7.5096,7.6248,50305,0
RELL.US,D,20050309,000000,7.5528,7.7346,7.4807,7.611,76634,0
RELL.US,D,20050310,000000,7.4227,7.6914,7.1322,7.5448,23472,0
RELL.US,D,20050311,000000,7.5023,7.6248,7.4586,7.5748,15368,0
RELL.US,D,20050314,000000,7.5817,7.611,7.4076,7.5448,41581,0
RELL.US,D,20050315,000000,7.611,7.611,7.3641,7.4297,23877,0
RELL.US,D,20050316,000000,7.3063,7.5598,7.2341,7.4867,31101,0
RELL.US,D,20050317,000000,7.5598,7.5817,7.3139,7.5241,31835,0
RELL.US,D,20050318,000000,7.3641,7.611,7.3641,7.4508,39438,0
RELL.US,D,20050321,000000,7.4867,7.4867,7.2485,7.3356,17154,0
RELL.US,D,20050322,000000,7.1758,7.4737,7.1758,7.3503,20506,0
RELL.US,D,20050323,000000,7.3789,7.4297,7.0672,7.0672,36062,0
RELL.US,D,20050324,000000,6.9586,7.604,6.9586,7.3425,32600,0
RELL.US,D,20050328,000000,7.3207,7.3207,6.857,6.9224,45953,0
RELL.US,D,20050329,000000,6.8355,7.5598,6.8355,7.3861,32514,0
RELL.US,D,20050330,000000,7.2702,7.3861,7.0236,7.3063,46899,0
RELL.US,D,20050331,000000,7.0672,7.5383,6.7121,7.4444,138327,0
RELL.US,D,20050401,000000,7.6983,7.7909,7.2556,7.4737,58992,0
RELL.US,D,20050404,000000,7.5528,7.5817,7.3938,7.4664,87711,0
RELL.US,D,20050405,000000,7.3938,7.4807,7.1977,7.4151,25937,0
RELL.US,D,20050406,000000,7.3425,7.3938,7.1034,7.2485,89717,0
RELL.US,D,20050407,000000,7.2556,7.3063,7.2196,7.2556,48797,0
RELL.US,D,20050408,000000,7.2631,7.2992,7.2341,7.2774,39327,0
RELL.US,D,20050411,000000,7.2485,7.3207,6.9802,7.0672,19101,0
RELL.US,D,20050412,000000,6.9586,6.9586,6.5237,6.596,86317,0
RELL.US,D,20050413,000000,6.567,6.6975,6.5237,6.5815,73792,0
RELL.US,D,20050414,000000,6.6614,6.6686,6.3352,6.4655,29106,0
RELL.US,D,20050415,000000,6.3206,6.4006,6.2844,6.3787,14836,0
RELL.US,D,20050418,000000,6.3497,6.6036,6.3352,6.3352,12312,0
RELL.US,D,20050419,000000,6.3352,6.5815,6.3206,6.5091,10586,0
RELL.US,D,20050420,000000,6.502,6.5237,6.1614,6.5237,44844,0
RELL.US,D,20050421,000000,6.5237,6.5237,6.1178,6.2989,31855,0
RELL.US,D,20050422,000000,6.0959,6.5237,6.0959,6.5237,83038,0
RELL.US,D,20050425,000000,6.3861,6.5237,6.3787,6.4148,29040,0
RELL.US,D,20050426,000000,6.5237,6.7046,6.4291,6.5164,43920,0
RELL.US,D,20050427,000000,6.4219,6.5237,6.3787,6.5237,1815,0
RELL.US,D,20050428,000000,6.5237,6.5237,6.0959,6.2337,15894,0
RELL.US,D,20050429,000000,6.364,6.5237,6.1687,6.5237,8802,0
RELL.US,D,20050502,000000,6.4802,6.6614,6.2481,6.5091,35421,0
RELL.US,D,20050503,000000,6.3206,6.5164,6.016,6.0306,32346,0
RELL.US,D,20050504,000000,6.2772,6.4006,5.5519,5.8784,31403,0
RELL.US,D,20050505,000000,5.8784,6.0523,5.661,5.6681,46408,0
RELL.US,D,20050506,000000,5.8275,5.8275,5.4074,5.7701,38189,0
RELL.US,D,20050509,000000,5.8349,6.4365,5.7265,6.3352,12296,0
