<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCAQU.US,D,20210315,000000,10,10,9.96,10,439507,0
SCAQU.US,D,20210316,000000,10,10,9.94,10,1436849,0
SCAQU.US,D,20210317,000000,9.94,10.02,9.94,10,429184,0
SCAQU.US,D,20210318,000000,9.98,10.02,9.92,9.99,791279,0
SCAQU.US,D,20210319,000000,9.99,10.02,9.99,10,5229,0
SCAQU.US,D,20210322,000000,10.04,10.05,9.94,10,103101,0
SCAQU.US,D,20210323,000000,9.96,10,9.91,10,1280001,0
SCAQU.US,D,20210324,000000,9.98,10.06,9.8505,9.94,334736,0
SCAQU.US,D,20210325,000000,9.87,10,9.85,9.98,836755,0
SCAQU.US,D,20210326,000000,9.9,10,9.89,10,29507,0
SCAQU.US,D,20210329,000000,9.9404,10.02,9.9404,10,8379,0
SCAQU.US,D,20210330,000000,9.924,10.01,9.9,10,56411,0
SCAQU.US,D,20210331,000000,10,10,10,10,225,0
SCAQU.US,D,20210401,000000,10.01,10.02,10,10,6450,0
SCAQU.US,D,20210405,000000,10,10.03,10,10,20938,0
SCAQU.US,D,20210406,000000,10,10,10,10,792050,0
SCAQU.US,D,20210407,000000,9.9817,10,9.9817,10,2760,0
SCAQU.US,D,20210408,000000,9.9901,10.04,9.9901,10.03,61350,0
SCAQU.US,D,20210409,000000,10,10.02,10,10.02,3232,0
SCAQU.US,D,20210414,000000,10,10,10,10,250000,0
SCAQU.US,D,20210415,000000,10,10,10,10,1208,0
SCAQU.US,D,20210416,000000,9.975,9.975,9.975,9.975,6650,0
SCAQU.US,D,20210419,000000,10,10,10,10,746,0
SCAQU.US,D,20210420,000000,9.97,10.02,9.965,9.965,164483,0
SCAQU.US,D,20210421,000000,9.95,9.99,9.9,9.9,550929,0
SCAQU.US,D,20210423,000000,9.95,9.98,9.95,9.95,7985,0
SCAQU.US,D,20210426,000000,9.95,9.98,9.95,9.98,8880,0
SCAQU.US,D,20210427,000000,9.99,9.99,9.99,9.99,350041,0
SCAQU.US,D,20210428,000000,9.9401,9.975,9.9401,9.97,3323,0
SCAQU.US,D,20210429,000000,9.98,9.98,9.96,9.98,12001,0
SCAQU.US,D,20210430,000000,9.97,9.97,9.97,9.97,200,0
SCAQU.US,D,20210503,000000,10,10,9.98,10,80754,0
SCAQU.US,D,20210505,000000,10,10.01,10,10.01,10518,0
SCAQU.US,D,20210506,000000,10,10.02,10,10.02,112306,0
SCAQU.US,D,20210507,000000,9.98,10.02,9.98,9.98,100100,0
SCAQU.US,D,20210511,000000,10,10.01,10,10.01,2529,0
SCAQU.US,D,20210512,000000,9.985,9.985,9.985,9.985,1001,0
SCAQU.US,D,20210514,000000,9.99,9.99,9.99,9.99,250000,0
SCAQU.US,D,20210517,000000,9.9921,9.9921,9.99,9.9909,3510,0
SCAQU.US,D,20210518,000000,9.98,9.99,9.9,9.93,179180,0
SCAQU.US,D,20210519,000000,9.9306,10,9.93,10,13620,0
SCAQU.US,D,20210520,000000,9.94,9.99,9.94,9.95,266261,0
SCAQU.US,D,20210521,000000,9.96,9.96,9.96,9.96,1610,0
SCAQU.US,D,20210524,000000,9.955,9.97,9.95,9.97,7875,0
SCAQU.US,D,20210527,000000,9.9,9.96,9.9,9.95,14734,0
SCAQU.US,D,20210601,000000,9.95,10,9.95,10,10945,0
SCAQU.US,D,20210602,000000,9.9,9.9,9.9,9.9,500,0
SCAQU.US,D,20210608,000000,9.93,9.93,9.93,9.93,3107,0
SCAQU.US,D,20210609,000000,9.95,9.99,9.95,9.95,42501,0
SCAQU.US,D,20210611,000000,9.95,9.95,9.95,9.95,4859,0
SCAQU.US,D,20210614,000000,9.95,9.95,9.95,9.95,5301,0
SCAQU.US,D,20210615,000000,9.95,9.95,9.95,9.95,2300,0
SCAQU.US,D,20210617,000000,9.95,9.95,9.95,9.95,2820,0
SCAQU.US,D,20210621,000000,9.95,9.95,9.95,9.95,500,0
SCAQU.US,D,20210622,000000,9.93,10,9.93,10,5234,0
SCAQU.US,D,20210624,000000,9.96,9.96,9.96,9.96,1400,0
SCAQU.US,D,20210625,000000,9.97,9.97,9.96,9.96,2000,0
SCAQU.US,D,20210628,000000,9.99,10,9.99,10,4900,0
SCAQU.US,D,20210701,000000,9.98,9.98,9.98,9.98,6208,0
SCAQU.US,D,20210702,000000,10,10,10,10,362,0
SCAQU.US,D,20210706,000000,9.96,9.96,9.96,9.96,1113,0
SCAQU.US,D,20210708,000000,10,10,9.98,10,708,0
