<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWBI.US,D,20050225,000000,2.7165,2.7264,2.6272,2.7165,102179,0
SWBI.US,D,20050228,000000,2.6768,2.6966,2.429,2.5875,247932,0
SWBI.US,D,20050301,000000,2.5875,2.5875,2.4388,2.5578,146560,0
SWBI.US,D,20050302,000000,2.5479,2.5479,2.2307,2.419,252168,0
SWBI.US,D,20050303,000000,2.2802,2.3397,2.2307,2.2802,214342,0
SWBI.US,D,20050304,000000,2.1316,2.3298,2.1018,2.2504,200524,0
SWBI.US,D,20050307,000000,2.2107,2.2901,2.191,2.2901,82610,0
SWBI.US,D,20050308,000000,2.2802,2.2802,2.2406,2.2704,21788,0
SWBI.US,D,20050309,000000,2.2704,2.3794,2.0324,2.1613,214242,0
SWBI.US,D,20050310,000000,2.1316,2.2107,1.9035,2.0324,341738,0
SWBI.US,D,20050311,000000,2.201,2.3893,2.1316,2.3298,442100,0
SWBI.US,D,20050314,000000,2.3893,2.4587,2.2802,2.419,177929,0
SWBI.US,D,20050315,000000,2.4587,2.5578,2.3794,2.4785,174803,0
SWBI.US,D,20050316,000000,2.4984,2.5777,2.4785,2.5281,156343,0
SWBI.US,D,20050317,000000,2.5281,2.5777,2.429,2.429,77365,0
SWBI.US,D,20050318,000000,2.429,2.5182,2.3298,2.429,102179,0
SWBI.US,D,20050321,000000,2.4685,2.538,2.4388,2.4685,74742,0
SWBI.US,D,20050322,000000,2.5281,2.5777,2.4587,2.4984,129917,0
SWBI.US,D,20050323,000000,2.4388,2.5281,2.429,2.4984,60520,0
SWBI.US,D,20050324,000000,2.5182,2.538,2.429,2.4488,110349,0
SWBI.US,D,20050328,000000,2.4785,2.4785,2.2307,2.2704,83417,0
SWBI.US,D,20050329,000000,2.2802,2.3794,2.2307,2.3298,123563,0
SWBI.US,D,20050330,000000,2.3496,2.429,2.2704,2.419,268105,0
SWBI.US,D,20050331,000000,2.3695,2.429,2.3001,2.3893,102279,0
SWBI.US,D,20050401,000000,2.3397,2.4785,2.31,2.4785,30865,0
SWBI.US,D,20050404,000000,2.3794,2.5281,2.3595,2.4884,110753,0
SWBI.US,D,20050405,000000,2.5281,2.538,2.419,2.4685,65261,0
SWBI.US,D,20050406,000000,2.5182,2.5479,2.4685,2.5479,76659,0
SWBI.US,D,20050407,000000,2.538,2.5875,2.4884,2.5082,85939,0
SWBI.US,D,20050408,000000,2.5677,2.5777,2.5182,2.5182,71717,0
SWBI.US,D,20050411,000000,2.5677,2.5677,2.3794,2.429,96227,0
SWBI.US,D,20050412,000000,2.429,2.4488,2.3893,2.4388,104902,0
SWBI.US,D,20050413,000000,2.4685,2.5082,2.3794,2.4388,78273,0
SWBI.US,D,20050414,000000,2.4685,2.4685,2.3992,2.429,47912,0
SWBI.US,D,20050415,000000,2.4488,2.4685,2.3298,2.3893,113980,0
SWBI.US,D,20050418,000000,2.3893,2.5281,2.3893,2.5281,157352,0
SWBI.US,D,20050419,000000,2.538,2.538,2.4388,2.4785,44281,0
SWBI.US,D,20050420,000000,2.4488,2.4984,2.4488,2.4984,92394,0
SWBI.US,D,20050421,000000,2.4984,2.5281,2.4785,2.5281,77163,0
SWBI.US,D,20050422,000000,2.5281,2.5677,2.4785,2.5677,93605,0
SWBI.US,D,20050425,000000,2.5677,2.6272,2.4984,2.6272,133447,0
SWBI.US,D,20050426,000000,2.6173,2.7065,2.5777,2.6272,119023,0
SWBI.US,D,20050427,000000,2.6471,2.6868,2.5875,2.6471,89267,0
SWBI.US,D,20050428,000000,2.7759,2.9147,2.6768,2.8354,410530,0
SWBI.US,D,20050429,000000,2.7859,2.8751,2.7759,2.8156,102783,0
SWBI.US,D,20050502,000000,2.8453,2.8651,2.7759,2.7957,150898,0
SWBI.US,D,20050503,000000,2.7859,2.8553,2.7659,2.8553,90679,0
SWBI.US,D,20050504,000000,2.8751,3.0733,2.8553,2.9742,309461,0
SWBI.US,D,20050505,000000,2.9742,3.0733,2.885,2.9642,230381,0
SWBI.US,D,20050506,000000,2.9742,3.0238,2.8949,3.0139,121746,0
SWBI.US,D,20050509,000000,3.0238,3.2419,3.0139,3.1724,412850,0
SWBI.US,D,20050510,000000,3.1229,3.232,3.0833,3.1824,322775,0
SWBI.US,D,20050511,000000,3.1724,3.2121,3.1427,3.1427,71717,0
SWBI.US,D,20050512,000000,3.1824,3.3708,3.1427,3.1527,286060,0
SWBI.US,D,20050513,000000,3.1626,3.1824,2.7759,3.0238,319951,0
SWBI.US,D,20050516,000000,3.0238,3.2121,2.9247,3.0139,108735,0
SWBI.US,D,20050517,000000,2.994,3.0932,2.9742,3.0733,69800,0
SWBI.US,D,20050518,000000,3.113,3.1229,3.0336,3.1229,52048,0
SWBI.US,D,20050519,000000,3.1229,3.1527,2.9842,3.1329,131126,0
SWBI.US,D,20050520,000000,3.0336,3.1626,3.0238,3.1626,68590,0
SWBI.US,D,20050523,000000,3.1724,3.1824,3.1329,3.1626,98647,0
SWBI.US,D,20050524,000000,3.1527,3.3211,3.0733,3.3211,416481,0
SWBI.US,D,20050525,000000,3.3211,3.5096,3.1724,3.4897,353742,0
SWBI.US,D,20050526,000000,3.4997,3.6385,3.3311,3.4303,251159,0
SWBI.US,D,20050527,000000,3.4897,3.6185,3.45,3.6185,247124,0
SWBI.US,D,20050531,000000,3.6682,3.8169,3.4699,3.7673,309057,0
SWBI.US,D,20050601,000000,3.7971,3.8169,3.7178,3.7574,214848,0
SWBI.US,D,20050602,000000,3.7673,3.7971,3.7178,3.7673,198002,0
SWBI.US,D,20050603,000000,3.7673,3.7673,3.6782,3.7178,89671,0
SWBI.US,D,20050606,000000,3.8169,3.8665,3.6979,3.7574,156343,0
SWBI.US,D,20050607,000000,3.7574,3.7673,3.6185,3.6782,107927,0
SWBI.US,D,20050608,000000,3.6484,3.6682,3.4798,3.5988,196187,0
SWBI.US,D,20050609,000000,3.4997,3.7673,3.4997,3.6979,103692,0
SWBI.US,D,20050610,000000,3.6979,3.7574,3.6782,3.7277,82913,0
SWBI.US,D,20050613,000000,3.7574,3.7673,3.6484,3.7376,103590,0
SWBI.US,D,20050614,000000,3.7673,4.0449,3.7673,3.9953,647467,0
SWBI.US,D,20050615,000000,3.9259,4.0152,3.8962,3.9656,224430,0
SWBI.US,D,20050616,000000,4.0152,4.1143,3.916,3.9855,209198,0
SWBI.US,D,20050617,000000,3.8863,4.154,3.8665,4.0647,195480,0
SWBI.US,D,20050620,000000,4.0647,4.1143,3.9755,4.1143,110450,0
SWBI.US,D,20050621,000000,4.1143,4.1639,4.0152,4.035,129715,0
SWBI.US,D,20050622,000000,4.0846,4.144,3.916,3.9458,96832,0
SWBI.US,D,20050623,000000,3.8764,3.916,3.688,3.7772,268609,0
SWBI.US,D,20050624,000000,3.7178,3.7772,3.5691,3.6285,127395,0
SWBI.US,D,20050627,000000,3.6385,3.8665,3.6385,3.807,252874,0
SWBI.US,D,20050628,000000,3.9458,3.9458,3.8268,3.8665,113475,0
SWBI.US,D,20050629,000000,3.8764,3.9557,3.8665,3.9458,149283,0
SWBI.US,D,20050630,000000,3.9656,4.0449,3.8665,3.9855,277283,0
SWBI.US,D,20050701,000000,3.9755,3.9953,3.916,3.9656,62437,0
SWBI.US,D,20050705,000000,3.9656,3.9656,3.7475,3.8665,188722,0
SWBI.US,D,20050706,000000,3.9458,3.9458,3.8169,3.8466,29252,0
SWBI.US,D,20050707,000000,3.8268,3.9557,3.7277,3.9557,115795,0
SWBI.US,D,20050708,000000,3.9557,4.2035,3.9557,4.2035,169659,0
SWBI.US,D,20050711,000000,4.1837,4.2333,4.1143,4.2333,245410,0
SWBI.US,D,20050712,000000,4.2134,4.4117,4.2035,4.2829,156143,0
SWBI.US,D,20050713,000000,4.3622,4.4811,4.2631,4.4614,252672,0
SWBI.US,D,20050714,000000,4.4614,4.5108,4.3622,4.4811,191043,0
SWBI.US,D,20050715,000000,4.4811,4.4911,4.392,4.4712,75045,0
SWBI.US,D,20050718,000000,4.4217,4.4614,4.1639,4.3523,203650,0
SWBI.US,D,20050719,000000,4.4117,4.4614,4.3622,4.4217,87149,0
SWBI.US,D,20050720,000000,4.4514,4.6595,4.4316,4.6497,241678,0
SWBI.US,D,20050721,000000,4.6497,4.6595,4.6199,4.6595,203550,0
SWBI.US,D,20050722,000000,4.6595,4.6595,4.5605,4.6497,91184,0
SWBI.US,D,20050725,000000,4.6595,4.6595,4.5605,4.6595,202642,0
SWBI.US,D,20050726,000000,4.6595,4.6595,4.5208,4.5208,107524,0
SWBI.US,D,20050727,000000,4.5605,4.6497,4.4117,4.4316,148980,0
SWBI.US,D,20050728,000000,4.4514,4.848,4.3126,4.7191,1962774,0
SWBI.US,D,20050729,000000,5.7006,6.9002,5.651,5.9186,6882977,0
SWBI.US,D,20050801,000000,6.0673,6.2062,5.7006,5.7798,1691947,0
SWBI.US,D,20050802,000000,5.7798,5.8195,5.304,5.4824,1100561,0
SWBI.US,D,20050803,000000,5.2842,5.4428,4.9966,5.3337,871796,0
SWBI.US,D,20050804,000000,5.4329,5.651,5.3634,5.5816,426668,0
SWBI.US,D,20050805,000000,5.4527,5.5618,5.3536,5.5518,281521,0
SWBI.US,D,20050808,000000,5.3833,5.4527,5.2247,5.2544,463989,0
SWBI.US,D,20050809,000000,5.0463,5.2049,5.0363,5.066,363022,0
SWBI.US,D,20050810,000000,5.0166,5.1553,4.9669,5.076,275064,0
SWBI.US,D,20050811,000000,5.076,5.3536,5.0264,5.304,201230,0
SWBI.US,D,20050812,000000,5.4031,5.641,5.3734,5.6312,426568,0
SWBI.US,D,20050815,000000,5.7006,5.8295,5.6212,5.7898,427072,0
SWBI.US,D,20050816,000000,5.9385,5.9484,5.7798,5.879,719587,0
SWBI.US,D,20050817,000000,5.879,5.8889,5.651,5.651,290397,0
SWBI.US,D,20050818,000000,5.5618,5.641,5.304,5.5816,299272,0
SWBI.US,D,20050819,000000,5.4527,5.5518,5.3536,5.4627,153621,0
SWBI.US,D,20050822,000000,5.4627,5.7501,5.4527,5.641,255496,0
SWBI.US,D,20050823,000000,5.7006,5.7998,5.5618,5.5717,136675,0
SWBI.US,D,20050824,000000,5.5518,5.6015,5.4527,5.4824,133246,0
SWBI.US,D,20050825,000000,5.4725,5.5023,5.3634,5.3933,134961,0
SWBI.US,D,20050826,000000,5.3734,5.423,5.0066,5.1355,347286,0
SWBI.US,D,20050829,000000,5.1057,5.2446,5.076,5.2446,152612,0
SWBI.US,D,20050830,000000,5.2148,5.304,5.0958,5.185,192757,0
SWBI.US,D,20050831,000000,5.1553,5.2446,5.0363,5.2049,253278,0
SWBI.US,D,20050901,000000,5.1157,5.2049,5.0166,5.0264,219285,0
SWBI.US,D,20050902,000000,5.0066,5.1553,5.0066,5.1454,159068,0
SWBI.US,D,20050906,000000,5.1057,5.304,5.1057,5.2643,172988,0
SWBI.US,D,20050907,000000,5.304,5.423,4.6595,4.9075,944823,0
SWBI.US,D,20050908,000000,4.9966,5.1255,4.9569,4.9669,561225,0
SWBI.US,D,20050909,000000,4.9669,4.9669,4.8578,4.8876,342949,0
SWBI.US,D,20050912,000000,4.8876,4.8876,4.4614,4.6794,596529,0
SWBI.US,D,20050913,000000,4.6398,4.6794,4.3423,4.3622,584525,0
SWBI.US,D,20050914,000000,4.3622,4.4712,4.1143,4.4514,634757,0
SWBI.US,D,20050915,000000,4.6398,4.6595,4.1937,4.4414,814503,0
SWBI.US,D,20050916,000000,4.5307,4.61,4.4614,4.5902,461063,0
SWBI.US,D,20050919,000000,4.7389,4.8083,4.5307,4.6001,443009,0
SWBI.US,D,20050920,000000,4.848,5.2247,4.8281,5.185,1416276,0
SWBI.US,D,20050921,000000,5.2842,5.4031,4.9769,5.2643,745308,0
SWBI.US,D,20050922,000000,5.2743,5.5518,5.2643,5.542,672885,0
SWBI.US,D,20050923,000000,5.641,5.651,5.3536,5.4924,517045,0
SWBI.US,D,20050926,000000,5.4031,5.5816,5.4031,5.4725,296046,0
SWBI.US,D,20050927,000000,5.4924,5.651,5.2346,5.6015,568084,0
SWBI.US,D,20050928,000000,5.6312,5.651,5.4527,5.5518,213333,0
SWBI.US,D,20050929,000000,5.5518,5.5717,5.4527,5.5121,209904,0
SWBI.US,D,20050930,000000,5.4627,5.5717,5.2544,5.5717,416885,0
SWBI.US,D,20051003,000000,5.5915,5.6709,5.3238,5.4924,780914,0
SWBI.US,D,20051004,000000,5.4527,5.5023,5.3536,5.413,363323,0
SWBI.US,D,20051005,000000,5.413,5.4329,5.2346,5.2346,270829,0
SWBI.US,D,20051006,000000,5.2049,5.2544,4.8778,4.9669,391970,0
SWBI.US,D,20051007,000000,4.8778,5.066,4.8778,4.9769,120234,0
SWBI.US,D,20051010,000000,5.4725,5.4725,4.9669,5.0066,94210,0
SWBI.US,D,20051011,000000,5.0264,5.1057,4.8876,4.9075,203550,0
SWBI.US,D,20051012,000000,4.8778,4.8778,4.4614,4.6199,401552,0
SWBI.US,D,20051013,000000,4.6398,4.9272,4.5605,4.8281,153722,0
SWBI.US,D,20051014,000000,4.9075,5.0561,4.8578,4.9372,214848,0
SWBI.US,D,20051017,000000,5.0264,5.076,4.8876,4.9669,84022,0
SWBI.US,D,20051018,000000,4.8876,4.9867,4.8876,4.9174,76458,0
SWBI.US,D,20051019,000000,4.9966,4.9966,4.7587,4.8578,218781,0
SWBI.US,D,20051020,000000,4.8678,5.1553,4.8678,4.9272,480935,0
SWBI.US,D,20051021,000000,5.0066,5.1355,4.9867,5.0264,310368,0
SWBI.US,D,20051024,000000,5.1255,5.1355,4.9867,5.0561,88058,0
SWBI.US,D,20051025,000000,5.0166,5.1255,5.0166,5.1057,192657,0
SWBI.US,D,20051026,000000,5.1255,5.1553,5.0463,5.1355,177829,0
SWBI.US,D,20051027,000000,5.1949,5.2049,5.0463,5.1057,480229,0
SWBI.US,D,20051028,000000,5.1057,5.1949,5.0561,5.1454,242989,0
SWBI.US,D,20051031,000000,5.1454,5.2049,4.9669,5.0561,284849,0
