<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TACO.US,D,20140110,000000,9.51,9.56,9.4605,9.56,10142,0
TACO.US,D,20140113,000000,9.66,9.66,9.66,9.66,100,0
TACO.US,D,20140114,000000,10.327,10.327,9.66,9.66,2510,0
TACO.US,D,20140116,000000,9.52,9.59,9.52,9.56,402,0
TACO.US,D,20140117,000000,9.6,9.6,9.4605,9.4605,803,0
TACO.US,D,20140121,000000,9.64,9.839,9.4804,9.709,5925,0
TACO.US,D,20140122,000000,9.66,9.66,9.4804,9.61,5826,0
TACO.US,D,20140124,000000,9.53,9.66,9.51,9.54,15053,0
TACO.US,D,20140127,000000,9.709,9.709,9.4605,9.56,11946,0
TACO.US,D,20140128,000000,9.54,9.68,9.54,9.63,9339,0
TACO.US,D,20140129,000000,9.66,9.66,9.56,9.56,2812,0
TACO.US,D,20140131,000000,9.66,9.66,9.57,9.57,1406,0
TACO.US,D,20140203,000000,9.61,9.66,9.59,9.61,472414,0
TACO.US,D,20140204,000000,9.759,9.759,9.561,9.635,26534,0
TACO.US,D,20140205,000000,9.779,9.779,9.61,9.61,7632,0
TACO.US,D,20140206,000000,9.61,9.63,9.61,9.61,703,0
TACO.US,D,20140207,000000,9.56,9.56,9.56,9.56,4280,0
TACO.US,D,20140210,000000,9.61,9.61,9.61,9.61,100,0
TACO.US,D,20140212,000000,9.67,9.7,9.63,9.65,32435,0
TACO.US,D,20140213,000000,9.65,9.68,9.57,9.66,25807,0
TACO.US,D,20140214,000000,9.759,9.759,9.759,9.759,299,0
TACO.US,D,20140218,000000,9.769,9.779,9.58,9.69,65874,0
TACO.US,D,20140219,000000,9.749,9.749,9.61,9.66,111171,0
TACO.US,D,20140220,000000,9.64,9.779,9.59,9.59,95992,0
TACO.US,D,20140221,000000,9.64,9.69,9.58,9.63,61219,0
TACO.US,D,20140224,000000,9.59,9.65,9.59,9.63,8005,0
TACO.US,D,20140225,000000,9.63,9.67,9.6,9.66,13124,0
TACO.US,D,20140226,000000,9.66,9.66,9.57,9.59,8210,0
TACO.US,D,20140227,000000,9.61,9.61,9.61,9.61,703,0
TACO.US,D,20140304,000000,9.67,9.769,9.61,9.61,9151,0
TACO.US,D,20140307,000000,9.6,9.6,9.6,9.6,2008,0
TACO.US,D,20140310,000000,9.67,9.67,9.63,9.63,952,0
TACO.US,D,20140311,000000,9.65,9.65,9.65,9.65,2510,0
TACO.US,D,20140313,000000,9.6,9.68,9.6,9.63,6693,0
TACO.US,D,20140314,000000,9.6,9.6,9.6,9.6,253,0
TACO.US,D,20140318,000000,9.6,9.68,9.6,9.64,637,0
TACO.US,D,20140319,000000,9.61,9.61,9.6,9.6,1940,0
TACO.US,D,20140320,000000,9.67,9.67,9.6,9.6,201,0
TACO.US,D,20140325,000000,9.6,9.61,9.6,9.6,4017,0
TACO.US,D,20140326,000000,9.6,9.6,9.6,9.6,9038,0
TACO.US,D,20140327,000000,9.6,9.6,9.6,9.6,4017,0
TACO.US,D,20140328,000000,9.62,9.709,9.6,9.6,59789,0
TACO.US,D,20140331,000000,9.63,9.789,9.61,9.65,9279,0
TACO.US,D,20140401,000000,9.64,9.65,9.64,9.65,5262,0
TACO.US,D,20140404,000000,9.66,9.709,9.61,9.615,48946,0
TACO.US,D,20140407,000000,9.62,9.65,9.6,9.65,2008,0
TACO.US,D,20140410,000000,9.6,9.6,9.6,9.6,254,0
TACO.US,D,20140411,000000,9.63,9.66,9.61,9.61,61960,0
TACO.US,D,20140414,000000,9.63,9.65,9.6,9.6,10144,0
TACO.US,D,20140415,000000,9.6,9.6,9.6,9.6,623,0
TACO.US,D,20140417,000000,9.65,9.7,9.65,9.7,2711,0
TACO.US,D,20140422,000000,9.61,9.61,9.6,9.6,1727,0
TACO.US,D,20140425,000000,9.66,9.68,9.66,9.68,803,0
TACO.US,D,20140429,000000,9.61,9.65,9.61,9.64,1546,0
TACO.US,D,20140430,000000,9.639,9.639,9.639,9.639,1205,0
TACO.US,D,20140502,000000,9.65,9.69,9.61,9.61,146334,0
TACO.US,D,20140506,000000,9.61,9.66,9.6,9.64,14482,0
TACO.US,D,20140508,000000,9.61,9.677,9.61,9.677,2510,0
TACO.US,D,20140512,000000,9.6,9.67,9.6,9.6,7912,0
TACO.US,D,20140516,000000,9.68,9.698,9.61,9.61,15263,0
TACO.US,D,20140520,000000,9.65,9.68,9.62,9.65,603,0
TACO.US,D,20140523,000000,9.69,9.69,9.66,9.66,803,0
TACO.US,D,20140527,000000,9.66,9.66,9.66,9.66,10042,0
TACO.US,D,20140528,000000,9.65,9.65,9.65,9.65,2008,0
TACO.US,D,20140530,000000,9.66,9.66,9.66,9.66,301,0
TACO.US,D,20140603,000000,9.7,9.7,9.689,9.69,603509,0
TACO.US,D,20140609,000000,9.909,9.909,9.63,9.67,28619,0
TACO.US,D,20140610,000000,9.69,9.69,9.64,9.64,10544,0
TACO.US,D,20140611,000000,9.68,9.68,9.64,9.66,22795,0
TACO.US,D,20140612,000000,9.68,9.7,9.64,9.64,7582,0
TACO.US,D,20140613,000000,9.68,9.69,9.64,9.66,6838,0
TACO.US,D,20140618,000000,9.64,9.64,9.64,9.64,650,0
TACO.US,D,20140624,000000,9.64,9.64,9.64,9.64,496,0
TACO.US,D,20140625,000000,9.65,9.65,9.64,9.64,1956,0
TACO.US,D,20140626,000000,9.64,9.69,9.64,9.69,14429,0
TACO.US,D,20140630,000000,9.65,9.721,9.64,9.7,12335,0
TACO.US,D,20140702,000000,9.64,9.709,9.64,9.66,10946,0
TACO.US,D,20140711,000000,9.66,9.68,9.66,9.66,8736,0
TACO.US,D,20140714,000000,9.67,9.726,9.67,9.719,8134,0
TACO.US,D,20140715,000000,9.66,9.7,9.64,9.7,5925,0
TACO.US,D,20140717,000000,9.65,9.69,9.65,9.69,15866,0
TACO.US,D,20140718,000000,9.68,9.709,9.67,9.68,17372,0
TACO.US,D,20140724,000000,9.69,9.709,9.69,9.69,6527,0
TACO.US,D,20140725,000000,9.68,9.7,9.68,9.7,4619,0
TACO.US,D,20140728,000000,9.68,9.709,9.67,9.7,9624,0
TACO.US,D,20140729,000000,9.65,9.709,9.64,9.68,7071,0
TACO.US,D,20140730,000000,9.64,9.64,9.64,9.64,101,0
TACO.US,D,20140731,000000,9.62,9.62,9.62,9.62,712940,0
TACO.US,D,20140801,000000,9.67,9.709,9.65,9.65,7531,0
TACO.US,D,20140806,000000,9.739,9.759,9.709,9.709,4218,0
TACO.US,D,20140807,000000,9.749,9.759,9.739,9.739,9941,0
TACO.US,D,20140808,000000,9.66,9.749,9.66,9.749,724,0
TACO.US,D,20140812,000000,9.67,9.67,9.661,9.661,201,0
TACO.US,D,20140814,000000,9.66,9.66,9.6,9.64,424,0
TACO.US,D,20140818,000000,9.63,9.65,9.6,9.61,4535,0
TACO.US,D,20140820,000000,9.7,9.7,9.62,9.62,2008,0
TACO.US,D,20140822,000000,9.62,9.64,9.6,9.6,2109,0
TACO.US,D,20140825,000000,9.65,9.65,9.65,9.65,351,0
TACO.US,D,20140828,000000,9.675,9.679,9.675,9.676,1707,0
TACO.US,D,20140829,000000,9.664,9.664,9.659,9.663,1556,0
TACO.US,D,20140902,000000,9.58,9.63,9.56,9.56,2670,0
TACO.US,D,20140903,000000,9.66,9.66,9.66,9.66,100,0
TACO.US,D,20140904,000000,9.65,9.739,9.65,9.739,2209,0
TACO.US,D,20140905,000000,9.66,9.749,9.66,9.749,1908,0
TACO.US,D,20140908,000000,9.7,9.7,9.7,9.7,72610,0
TACO.US,D,20140912,000000,9.61,9.7,9.58,9.7,1848,0
TACO.US,D,20140915,000000,9.6,9.67,9.6,9.67,1097,0
TACO.US,D,20140916,000000,9.66,9.66,9.66,9.66,100,0
TACO.US,D,20140919,000000,9.681,9.681,9.681,9.681,1607,0
TACO.US,D,20140923,000000,9.65,9.65,9.64,9.64,226188,0
TACO.US,D,20140926,000000,9.68,9.69,9.68,9.69,1839,0
TACO.US,D,20140929,000000,9.7,9.709,9.7,9.7,3013,0
TACO.US,D,20140930,000000,9.64,9.64,9.64,9.64,116712,0
TACO.US,D,20141001,000000,9.62,9.673,9.62,9.673,4440,0
