<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAIT.US,D,20050225,000000,1.6371,1.6371,1.5218,1.5218,1527,0
TAIT.US,D,20050228,000000,1.5072,1.608,1.4566,1.4566,4477,0
TAIT.US,D,20050301,000000,1.608,1.608,1.4566,1.4566,2293,0
TAIT.US,D,20050302,000000,1.4926,1.6439,1.4566,1.5577,3049,0
TAIT.US,D,20050303,000000,1.4926,1.5505,1.4495,1.4495,2358,0
TAIT.US,D,20050304,000000,1.4782,1.4782,1.4782,1.4782,3189,0
TAIT.US,D,20050307,000000,1.5288,1.5863,1.4495,1.5218,9290,0
TAIT.US,D,20050308,000000,1.5792,1.5792,1.4278,1.4421,11925,0
TAIT.US,D,20050310,000000,1.4421,1.5288,1.4278,1.5288,5162,0
TAIT.US,D,20050311,000000,1.4421,1.4421,1.435,1.435,1108,0
TAIT.US,D,20050315,000000,1.435,1.435,1.4278,1.4278,1389,0
TAIT.US,D,20050317,000000,1.4278,1.4278,1.4135,1.4135,1070,0
TAIT.US,D,20050321,000000,1.4062,1.4062,1.3053,1.37,14563,0
TAIT.US,D,20050322,000000,1.4278,1.4278,1.4278,1.4278,416,0
TAIT.US,D,20050323,000000,1.4278,1.4782,1.4278,1.471,4989,0
TAIT.US,D,20050324,000000,1.3485,1.3485,1.3485,1.3485,279,0
TAIT.US,D,20050328,000000,1.3414,1.3414,1.1899,1.262,25169,0
TAIT.US,D,20050330,000000,1.2258,1.2763,1.2258,1.2763,2885,0
TAIT.US,D,20050331,000000,1.2691,1.2691,1.2691,1.2691,416,0
TAIT.US,D,20050401,000000,1.2836,1.3268,1.2836,1.3268,13867,0
TAIT.US,D,20050404,000000,1.5863,1.5863,1.3629,1.37,1941,0
TAIT.US,D,20050405,000000,1.3341,1.3845,1.3341,1.3341,1249,0
TAIT.US,D,20050406,000000,1.3341,1.3341,1.3053,1.3053,3465,0
TAIT.US,D,20050407,000000,1.3053,1.3123,1.3053,1.3123,553,0
TAIT.US,D,20050408,000000,1.37,1.3774,1.37,1.37,4577,0
TAIT.US,D,20050411,000000,1.4135,1.4135,1.4062,1.4062,4265,0
TAIT.US,D,20050412,000000,1.3123,1.3123,1.3123,1.3123,693,0
TAIT.US,D,20050413,000000,1.3123,1.3123,1.3123,1.3123,1389,0
TAIT.US,D,20050415,000000,1.3194,1.3194,1.3194,1.3194,1527,0
TAIT.US,D,20050419,000000,1.3194,1.3194,1.3194,1.3194,416,0
TAIT.US,D,20050420,000000,1.3268,1.3341,1.3194,1.3194,3328,0
TAIT.US,D,20050422,000000,1.3414,1.3414,1.2979,1.2979,2775,0
TAIT.US,D,20050425,000000,1.2979,1.2979,1.2979,1.2979,1942,0
TAIT.US,D,20050427,000000,1.2836,1.2836,1.2836,1.2836,281,0
TAIT.US,D,20050502,000000,1.2333,1.2333,1.2333,1.2333,2775,0
TAIT.US,D,20050505,000000,1.2979,1.4206,1.2979,1.4206,1389,0
TAIT.US,D,20050506,000000,1.2333,1.2333,1.2333,1.2333,15882,0
TAIT.US,D,20050509,000000,1.2404,1.2404,1.2404,1.2404,6977,0
TAIT.US,D,20050510,000000,1.2404,1.2404,1.2404,1.2404,1389,0
TAIT.US,D,20050512,000000,1.1828,1.3194,1.1828,1.3194,6239,0
TAIT.US,D,20050513,000000,1.1754,1.1754,1.096,1.096,9334,0
TAIT.US,D,20050517,000000,1.2258,1.2258,1.2258,1.2258,1941,0
TAIT.US,D,20050518,000000,1.2258,1.2258,1.2258,1.2258,1389,0
TAIT.US,D,20050519,000000,1.3629,1.37,1.3558,1.37,4717,0
TAIT.US,D,20050520,000000,1.2333,1.3414,1.1536,1.3414,5272,0
TAIT.US,D,20050523,000000,1.2979,1.37,1.2979,1.2979,3465,0
TAIT.US,D,20050524,000000,1.2979,1.3845,1.2979,1.3845,2775,0
TAIT.US,D,20050525,000000,1.3845,1.3845,1.2979,1.2979,8043,0
TAIT.US,D,20050526,000000,1.2979,1.2979,1.2979,1.2979,1108,0
TAIT.US,D,20050527,000000,1.37,1.37,1.3194,1.3194,1527,0
TAIT.US,D,20050531,000000,1.3341,1.3341,1.262,1.262,1666,0
TAIT.US,D,20050601,000000,1.2979,1.2979,1.2979,1.2979,229,0
TAIT.US,D,20050603,000000,1.3991,1.4495,1.3991,1.4421,20197,0
TAIT.US,D,20050607,000000,1.4421,1.4421,1.4421,1.4421,2911,0
TAIT.US,D,20050608,000000,1.4206,1.4206,1.4206,1.4206,1039,0
TAIT.US,D,20050609,000000,1.4206,1.4854,1.4206,1.4854,4984,0
TAIT.US,D,20050610,000000,1.4421,1.4566,1.4421,1.4421,3400,0
TAIT.US,D,20050613,000000,1.4206,1.4206,1.4206,1.4206,279,0
TAIT.US,D,20050615,000000,1.4278,1.5072,1.4278,1.4421,6344,0
