<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBCPW.US,D,20210401,000000,0.9305,0.9305,0.88,0.88,11850,0
TBCPW.US,D,20210405,000000,0.9,0.9,0.8,0.88,12025,0
TBCPW.US,D,20210406,000000,0.88,0.89,0.85,0.89,84355,0
TBCPW.US,D,20210407,000000,0.9,1.19,0.8994,1.19,39883,0
TBCPW.US,D,20210408,000000,1.0899,1.0899,0.98,1,5963,0
TBCPW.US,D,20210409,000000,1.003,1.28,1,1.28,7015,0
TBCPW.US,D,20210413,000000,1.05,1.06,1.04,1.06,4011,0
TBCPW.US,D,20210414,000000,1.08,1.08,0.99,1.08,134136,0
TBCPW.US,D,20210415,000000,1.09,1.1,1.09,1.09,6608,0
TBCPW.US,D,20210416,000000,1.09,1.09,1.09,1.09,100,0
TBCPW.US,D,20210420,000000,1,1,0.95005,1,23600,0
TBCPW.US,D,20210421,000000,1,1.01,0.9495,1,42652,0
TBCPW.US,D,20210422,000000,1,1,1,1,3000,0
TBCPW.US,D,20210423,000000,1,1.09,0.915,1.09,16417,0
TBCPW.US,D,20210426,000000,1.09,1.1,0.95,0.99,30285,0
TBCPW.US,D,20210427,000000,1,1.085,1,1.085,6158,0
TBCPW.US,D,20210428,000000,0.9001,1.01,0.9001,1.01,24821,0
TBCPW.US,D,20210429,000000,1.01,1.02,1.01,1.02,7944,0
TBCPW.US,D,20210430,000000,1.02,1.06,1.02,1.03,62629,0
TBCPW.US,D,20210503,000000,1.02,1.17,1.02,1.17,3999,0
TBCPW.US,D,20210504,000000,1.05,1.05,1.05,1.05,3688,0
TBCPW.US,D,20210505,000000,1.11,1.15,1,1.08,59175,0
TBCPW.US,D,20210511,000000,1.215,1.215,1.1,1.1345,8150,0
TBCPW.US,D,20210512,000000,0.9601,0.9601,0.9601,0.9601,279,0
TBCPW.US,D,20210513,000000,0.97005,1,0.9501,1,22088,0
TBCPW.US,D,20210514,000000,1.01,1.01,1.01,1.01,289,0
TBCPW.US,D,20210517,000000,1.01,1.09,0.9996,1.05,90322,0
TBCPW.US,D,20210518,000000,1.1,1.15,1.1,1.15,1034,0
TBCPW.US,D,20210519,000000,0.9029,0.9029,0.9029,0.9029,350,0
TBCPW.US,D,20210524,000000,0.91,0.95,0.8,0.95,67626,0
TBCPW.US,D,20210525,000000,0.85,0.8923,0.845,0.865,124053,0
TBCPW.US,D,20210526,000000,0.8,0.8801,0.8,0.87,211475,0
TBCPW.US,D,20210527,000000,0.88,0.88,0.87,0.88,4112,0
TBCPW.US,D,20210528,000000,0.83,0.97,0.83,0.93,53568,0
TBCPW.US,D,20210601,000000,0.9,0.93,0.88,0.93,97257,0
TBCPW.US,D,20210602,000000,0.91,0.91,0.8799,0.879998,25791,0
TBCPW.US,D,20210603,000000,0.8699,0.900533,0.82,0.900533,61024,0
TBCPW.US,D,20210604,000000,0.8537,0.8657,0.8536,0.8657,1630,0
TBCPW.US,D,20210607,000000,0.8601,0.9397,0.8601,0.9,15366,0
TBCPW.US,D,20210608,000000,0.92,0.97,0.9,0.97,8500,0
TBCPW.US,D,20210609,000000,0.931,0.985,0.93,0.98,4953,0
TBCPW.US,D,20210610,000000,0.9801,1.09,0.9801,1.09,42819,0
TBCPW.US,D,20210611,000000,1.17,1.17,1.17,1.17,10495,0
TBCPW.US,D,20210614,000000,1.08,1.135,1.08,1.135,1215,0
TBCPW.US,D,20210615,000000,1.11,1.11,1.11,1.11,201,0
TBCPW.US,D,20210617,000000,1.1,1.11,1.05,1.05,25116,0
TBCPW.US,D,20210618,000000,1.13,1.13,1.13,1.13,4810,0
TBCPW.US,D,20210621,000000,1.11,1.11,1.11,1.11,539,0
TBCPW.US,D,20210622,000000,1.1101,1.1105,1.095,1.1,3730,0
TBCPW.US,D,20210623,000000,1.095,1.1,1.07,1.0799,19249,0
TBCPW.US,D,20210624,000000,1.1,1.1006,1.09,1.1,11207,0
TBCPW.US,D,20210625,000000,1.08,1.09,1.08,1.0858,40841,0
TBCPW.US,D,20210628,000000,1.09,1.11,1.09,1.11,5437,0
TBCPW.US,D,20210629,000000,1.1,1.24,1.1,1.22,34230,0
TBCPW.US,D,20210630,000000,1.22,1.4,1.22,1.3,34104,0
TBCPW.US,D,20210701,000000,1.3,1.3064,1.3,1.3064,2132,0
TBCPW.US,D,20210702,000000,1.34,1.371,1.32,1.35,30670,0
TBCPW.US,D,20210706,000000,1.35,1.38,1.35,1.35,2481,0
TBCPW.US,D,20210707,000000,1.35,1.35,1.35,1.35,200,0
