<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRMR.US,D,20210618,000000,19,19,16.16,17.9,3058078,0
TRMR.US,D,20210621,000000,17.55,18.53,17.33,18.22,747432,0
TRMR.US,D,20210622,000000,18.5,18.51,17.8,18.005,264565,0
TRMR.US,D,20210623,000000,18.53,18.7,18.02,18.17,592383,0
TRMR.US,D,20210624,000000,18.26,18.88,18.26,18.85,404417,0
TRMR.US,D,20210625,000000,19.23,19.41,18.24,19.02,488730,0
TRMR.US,D,20210628,000000,18.4,19.33,18.25,18.99,259878,0
TRMR.US,D,20210629,000000,18.82,19.85,18.7622,19.54,461358,0
TRMR.US,D,20210630,000000,19.7,20.17,19.64,19.9,582910,0
TRMR.US,D,20210701,000000,19.98,20.03,19.42,19.67,185471,0
TRMR.US,D,20210702,000000,19.67,20.09,19.5,19.9,367758,0
TRMR.US,D,20210706,000000,19.65,19.94,19.546,19.78,246753,0
TRMR.US,D,20210707,000000,19.8,20.19,18.81,18.94,277819,0
TRMR.US,D,20210708,000000,18.95,19.27,18.55,18.98,222980,0
TRMR.US,D,20210709,000000,19.28,21.53,19.11,21.01,1118892,0
