<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSFS.US,D,20050225,000000,17.313,17.506,17.31,17.461,36551,0
WSFS.US,D,20050228,000000,17.357,17.444,17.266,17.444,71062,0
WSFS.US,D,20050301,000000,17.335,17.652,17.266,17.563,133916,0
WSFS.US,D,20050302,000000,17.45,17.796,17.45,17.729,49761,0
WSFS.US,D,20050303,000000,17.597,17.697,17.217,17.441,72252,0
WSFS.US,D,20050304,000000,17.591,17.748,17.297,17.748,101793,0
WSFS.US,D,20050307,000000,17.777,17.796,17.646,17.79,39867,0
WSFS.US,D,20050308,000000,17.796,17.796,17.281,17.281,30860,0
WSFS.US,D,20050309,000000,17.284,17.284,17.205,17.205,29890,0
WSFS.US,D,20050310,000000,17.174,17.25,17.174,17.18,38884,0
WSFS.US,D,20050311,000000,17.195,17.259,16.992,17.135,51723,0
WSFS.US,D,20050314,000000,17.006,17.207,17.006,17.106,117644,0
WSFS.US,D,20050315,000000,17.115,17.115,16.808,16.872,83480,0
WSFS.US,D,20050316,000000,16.894,16.96,16.749,16.749,139802,0
WSFS.US,D,20050317,000000,16.706,16.773,16.706,16.712,133885,0
WSFS.US,D,20050318,000000,16.883,16.883,16.632,16.695,117755,0
WSFS.US,D,20050321,000000,16.783,16.887,16.681,16.681,655292,0
WSFS.US,D,20050322,000000,16.632,16.719,16.39,16.472,57640,0
WSFS.US,D,20050323,000000,16.367,16.5,16.204,16.207,118833,0
WSFS.US,D,20050324,000000,16.204,16.436,16.204,16.347,90173,0
WSFS.US,D,20050328,000000,16.367,16.367,16.098,16.098,28053,0
WSFS.US,D,20050329,000000,16.158,16.158,15.858,15.93,66442,0
WSFS.US,D,20050330,000000,15.825,15.94,15.798,15.81,76915,0
WSFS.US,D,20050331,000000,15.782,15.921,15.719,15.921,169384,0
WSFS.US,D,20050401,000000,15.927,15.966,15.746,15.785,94275,0
WSFS.US,D,20050404,000000,15.886,15.886,15.706,15.794,86484,0
WSFS.US,D,20050405,000000,15.764,15.764,15.712,15.764,21243,0
WSFS.US,D,20050406,000000,15.819,15.886,15.75,15.75,78946,0
WSFS.US,D,20050407,000000,15.75,15.779,15.719,15.75,135348,0
WSFS.US,D,20050408,000000,15.75,15.75,15.688,15.702,30743,0
WSFS.US,D,20050411,000000,15.746,15.75,15.688,15.688,84061,0
WSFS.US,D,20050412,000000,15.688,15.98,15.688,15.98,50153,0
WSFS.US,D,20050413,000000,16.023,16.023,15.688,15.688,49339,0
WSFS.US,D,20050414,000000,15.688,15.943,15.657,15.657,46794,0
WSFS.US,D,20050415,000000,15.776,15.849,15.298,15.298,52738,0
WSFS.US,D,20050418,000000,15.437,15.437,14.993,15.284,90795,0
WSFS.US,D,20050419,000000,15.171,15.44,15.114,15.409,49158,0
WSFS.US,D,20050420,000000,15.194,15.712,15.194,15.651,101892,0
WSFS.US,D,20050421,000000,15.651,15.883,15.494,15.674,174194,0
WSFS.US,D,20050422,000000,15.674,15.674,15.117,15.126,100737,0
WSFS.US,D,20050425,000000,15.083,15.353,15.083,15.278,40369,0
WSFS.US,D,20050426,000000,15.204,15.218,15.055,15.083,44210,0
WSFS.US,D,20050427,000000,15.555,16.04,15.114,15.934,130286,0
WSFS.US,D,20050428,000000,15.764,15.899,15.466,15.466,78519,0
WSFS.US,D,20050429,000000,15.485,15.602,15.324,15.446,54271,0
WSFS.US,D,20050502,000000,15.587,15.983,15.587,15.983,198836,0
WSFS.US,D,20050503,000000,15.93,16.402,15.908,16.176,51657,0
WSFS.US,D,20050504,000000,16.173,16.299,16.056,16.297,72426,0
WSFS.US,D,20050505,000000,16.22,16.317,16.189,16.251,27395,0
WSFS.US,D,20050506,000000,16.356,16.356,15.858,15.902,86769,0
WSFS.US,D,20050509,000000,15.994,16.356,15.956,16.356,43320,0
WSFS.US,D,20050510,000000,16.294,16.294,15.785,15.902,111592,0
