<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XOMAO.US,D,20210413,000000,24.85,24.85,24.72,24.76,91276,0
XOMAO.US,D,20210414,000000,24.8,24.85,24.75,24.76,38371,0
XOMAO.US,D,20210415,000000,24.8,24.83,24.75,24.81,71581,0
XOMAO.US,D,20210416,000000,24.85,24.85,24.77,24.77,49452,0
XOMAO.US,D,20210419,000000,24.8,24.8,24.6998,24.7094,31848,0
XOMAO.US,D,20210420,000000,24.75,24.75,24.63,24.69,12982,0
XOMAO.US,D,20210421,000000,24.67,24.7207,24.62,24.67,40465,0
XOMAO.US,D,20210422,000000,24.65,24.7,24.65,24.67,27283,0
XOMAO.US,D,20210423,000000,24.7,24.7,24.6401,24.66,28456,0
XOMAO.US,D,20210426,000000,24.7,24.7,24.63,24.649,36618,0
XOMAO.US,D,20210427,000000,24.74,24.8,24.52,24.5995,40461,0
XOMAO.US,D,20210428,000000,24.65,24.65,24.54,24.61,29565,0
XOMAO.US,D,20210429,000000,24.6599,24.67,24.56,24.61,17909,0
XOMAO.US,D,20210430,000000,24.6101,24.6497,24.6,24.6239,19263,0
XOMAO.US,D,20210503,000000,24.67,24.67,24.62,24.63,45625,0
XOMAO.US,D,20210504,000000,24.63,24.64,24.55,24.64,16105,0
XOMAO.US,D,20210505,000000,24.65,24.65,24.55,24.55,20747,0
XOMAO.US,D,20210506,000000,24.54,24.54,24.36,24.39,22679,0
XOMAO.US,D,20210507,000000,24.44,24.44,24.16,24.33,38416,0
XOMAO.US,D,20210510,000000,24.43,24.43,24.28,24.29,20634,0
XOMAO.US,D,20210511,000000,24.29,24.33,24.18,24.3,20060,0
XOMAO.US,D,20210512,000000,24.28,24.28,24.22,24.28,8497,0
XOMAO.US,D,20210513,000000,24.26,24.28,24.25,24.28,5438,0
XOMAO.US,D,20210514,000000,24.06,24.25,24.05,24.1,8127,0
XOMAO.US,D,20210517,000000,24.1001,24.35,24.1001,24.35,9871,0
XOMAO.US,D,20210518,000000,24.37,24.44,24.303,24.41,16052,0
XOMAO.US,D,20210519,000000,24.4,24.4,24.35,24.3686,4600,0
XOMAO.US,D,20210520,000000,24.35,24.42,24.2,24.325,20099,0
XOMAO.US,D,20210521,000000,24.35,24.42,24.34,24.34,15185,0
XOMAO.US,D,20210524,000000,24.4,24.42,24.23,24.23,9592,0
XOMAO.US,D,20210525,000000,24.39,24.5,24.25,24.28,24323,0
XOMAO.US,D,20210526,000000,24.3394,24.4,24.25,24.25,14923,0
XOMAO.US,D,20210527,000000,24.35,24.4,24.24,24.32,27848,0
XOMAO.US,D,20210528,000000,24.3304,24.38,24.3,24.35,10308,0
XOMAO.US,D,20210601,000000,24.42,24.42,24.34,24.3594,10877,0
XOMAO.US,D,20210602,000000,24.31,24.35,24.3,24.32,18283,0
XOMAO.US,D,20210603,000000,24.32,24.32,24.2701,24.29,5593,0
XOMAO.US,D,20210604,000000,24.33,24.38,24.29,24.29,16716,0
XOMAO.US,D,20210607,000000,24.28,24.35,24.25,24.3,10493,0
XOMAO.US,D,20210608,000000,24.35,24.35,24.24,24.26,12477,0
XOMAO.US,D,20210609,000000,24.329,24.329,24.15,24.1557,21320,0
XOMAO.US,D,20210610,000000,24.2,24.44,24.18,24.42,14684,0
XOMAO.US,D,20210611,000000,24.42,24.45,24.3,24.45,11020,0
XOMAO.US,D,20210614,000000,24.42,24.5,24.42,24.49,6578,0
XOMAO.US,D,20210615,000000,24.5,24.5,24.42,24.44,14389,0
XOMAO.US,D,20210616,000000,24.49,24.59,24.42,24.58,18023,0
XOMAO.US,D,20210617,000000,24.431,24.67,24.431,24.6,18121,0
XOMAO.US,D,20210618,000000,24.5275,24.65,24.5,24.6499,6180,0
XOMAO.US,D,20210621,000000,24.73,24.875,24.7,24.83,21993,0
XOMAO.US,D,20210622,000000,24.8,24.89,24.79,24.865,24963,0
XOMAO.US,D,20210623,000000,24.875,24.9,24.86,24.9,17231,0
XOMAO.US,D,20210624,000000,24.9,24.9,24.8635,24.89,12147,0
XOMAO.US,D,20210625,000000,24.91,25.0714,24.91,25.0499,30454,0
XOMAO.US,D,20210628,000000,25.17,25.2075,25.095,25.15,24170,0
XOMAO.US,D,20210629,000000,25.17,25.2,25.14,25.18,12622,0
XOMAO.US,D,20210630,000000,25.2273,25.32,25.198,25.2999,30076,0
XOMAO.US,D,20210701,000000,24.74,25.1,24.6892,25.07,24796,0
XOMAO.US,D,20210702,000000,25.04,25.1399,24.99,25.05,14386,0
XOMAO.US,D,20210706,000000,25.14,25.14,24.98,25.14,31238,0
XOMAO.US,D,20210707,000000,25.18,25.19,24.9995,24.9995,24711,0
XOMAO.US,D,20210708,000000,25.05,25.1623,25,25.11,22751,0
XOMAO.US,D,20210709,000000,25.01,25.1714,24.969,25.142,31348,0
