<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YORW.US,D,20050225,000000,10.116,10.139,10.035,10.05,7781,0
YORW.US,D,20050228,000000,10.035,10.188,10.035,10.123,1519,0
YORW.US,D,20050301,000000,10.065,10.243,10.065,10.227,8431,0
YORW.US,D,20050302,000000,10.243,10.279,10.219,10.251,8234,0
YORW.US,D,20050303,000000,10.243,10.243,10.1,10.1,3661,0
YORW.US,D,20050304,000000,10.194,10.691,10.194,10.48,26505,0
YORW.US,D,20050307,000000,10.48,10.82,10.415,10.567,14505,0
YORW.US,D,20050308,000000,10.402,10.671,10.402,10.511,7766,0
YORW.US,D,20050309,000000,10.448,10.558,10.035,10.32,31855,0
YORW.US,D,20050310,000000,10.314,10.472,10.035,10.472,14750,0
YORW.US,D,20050311,000000,10.567,10.567,10.466,10.511,32317,0
YORW.US,D,20050314,000000,10.043,10.52,10.043,10.511,27074,0
YORW.US,D,20050315,000000,10.377,10.448,10.18,10.219,4238,0
YORW.US,D,20050316,000000,10.369,10.369,10.035,10.058,19681,0
YORW.US,D,20050317,000000,10.043,10.377,9.949,10.035,7597,0
YORW.US,D,20050318,000000,10.043,10.043,9.9,9.908,10480,0
YORW.US,D,20050321,000000,9.957,10.083,9.777,9.784,7245,0
YORW.US,D,20050322,000000,10.18,10.298,9.9,10.298,10063,0
YORW.US,D,20050323,000000,10.092,10.211,10.005,10.139,11535,0
YORW.US,D,20050324,000000,10.194,10.194,9.975,10.139,2527,0
YORW.US,D,20050328,000000,9.957,10.116,9.957,10.083,21037,0
YORW.US,D,20050329,000000,10.155,10.203,10.083,10.083,4892,0
YORW.US,D,20050330,000000,9.926,10.288,9.926,10.116,9450,0
YORW.US,D,20050331,000000,10.092,10.092,10.043,10.058,20406,0
YORW.US,D,20050401,000000,9.926,10.043,9.831,9.861,5718,0
YORW.US,D,20050404,000000,9.9,9.9,9.769,9.777,18214,0
YORW.US,D,20050405,000000,9.769,9.769,9.562,9.743,5006,0
YORW.US,D,20050406,000000,9.891,10.035,9.823,9.917,5632,0
YORW.US,D,20050408,000000,9.917,9.944,9.639,9.9,3692,0
YORW.US,D,20050411,000000,9.992,10.083,9.949,10.083,2744,0
YORW.US,D,20050412,000000,10.194,10.298,9.769,10.298,25649,0
YORW.US,D,20050413,000000,10.614,11.091,10.035,10.306,59431,0
YORW.US,D,20050414,000000,10.298,10.353,10.298,10.353,27531,0
YORW.US,D,20050415,000000,10.511,10.875,10.32,10.558,33794,0
YORW.US,D,20050418,000000,10.875,11.193,10.48,10.988,41652,0
YORW.US,D,20050419,000000,11.193,12.065,11.193,11.652,106265,0
YORW.US,D,20050420,000000,11.622,11.715,11.226,11.622,96473,0
YORW.US,D,20050421,000000,11.487,11.715,11.487,11.667,47552,0
YORW.US,D,20050422,000000,11.564,11.723,11.511,11.511,56993,0
YORW.US,D,20050425,000000,11.226,11.463,10.853,11.091,15787,0
YORW.US,D,20050426,000000,10.543,11.318,10.543,11.096,39015,0
YORW.US,D,20050427,000000,11.091,11.342,10.969,11.135,9433,0
YORW.US,D,20050428,000000,11.043,11.2,10.969,10.969,8858,0
YORW.US,D,20050429,000000,10.969,11.035,10.726,10.726,5120,0
YORW.US,D,20050502,000000,10.717,10.908,10.691,10.82,9817,0
YORW.US,D,20050503,000000,10.861,10.861,10.812,10.812,9528,0
YORW.US,D,20050504,000000,10.861,10.861,10.78,10.82,17695,0
YORW.US,D,20050505,000000,10.875,10.875,10.805,10.867,20267,0
YORW.US,D,20050506,000000,10.885,10.885,9.609,10.497,62453,0
YORW.US,D,20050509,000000,10.497,10.7,10.353,10.511,14057,0
YORW.US,D,20050510,000000,10.717,10.717,10.48,10.7,9090,0
YORW.US,D,20050511,000000,10.772,10.772,10.691,10.717,14046,0
YORW.US,D,20050512,000000,10.766,10.798,10.717,10.78,10745,0
YORW.US,D,20050513,000000,11.66,11.66,10.691,10.922,53788,0
YORW.US,D,20050516,000000,10.93,11.193,10.93,10.969,21419,0
YORW.US,D,20050517,000000,11.013,11.264,10.997,11.161,31261,0
YORW.US,D,20050518,000000,11.013,11.144,10.962,11.091,12916,0
YORW.US,D,20050519,000000,11.091,11.295,10.988,10.997,16263,0
YORW.US,D,20050520,000000,11.091,11.242,10.954,10.988,8384,0
YORW.US,D,20050523,000000,11.242,11.302,10.954,10.969,8973,0
YORW.US,D,20050524,000000,10.988,11.091,10.954,10.954,3537,0
YORW.US,D,20050525,000000,11.091,11.096,10.969,10.978,5058,0
YORW.US,D,20050526,000000,10.954,11.096,10.954,11.091,7910,0
YORW.US,D,20050527,000000,11.081,11.193,11.081,11.091,14230,0
YORW.US,D,20050531,000000,10.867,11.302,10.867,11.234,7148,0
YORW.US,D,20050601,000000,11.302,11.302,11.2,11.226,10700,0
YORW.US,D,20050602,000000,11.035,11.35,10.962,11.35,10273,0
YORW.US,D,20050603,000000,11.35,11.383,11.2,11.35,21267,0
YORW.US,D,20050606,000000,11.302,11.302,11.161,11.219,5740,0
YORW.US,D,20050607,000000,11.318,11.318,11.127,11.226,5732,0
YORW.US,D,20050608,000000,11.272,11.383,11.272,11.35,9269,0
YORW.US,D,20050609,000000,11.35,11.375,11.35,11.359,2431,0
YORW.US,D,20050610,000000,11.144,11.375,11.067,11.342,15444,0
YORW.US,D,20050613,000000,11.144,11.383,11.144,11.35,13363,0
YORW.US,D,20050614,000000,11.431,11.496,11.318,11.496,11726,0
YORW.US,D,20050615,000000,11.496,11.539,11.415,11.463,6629,0
YORW.US,D,20050616,000000,11.613,11.622,11.487,11.622,6718,0
YORW.US,D,20050617,000000,11.622,11.622,11.487,11.496,12471,0
YORW.US,D,20050620,000000,11.638,11.638,11.415,11.555,5395,0
YORW.US,D,20050621,000000,11.383,11.723,11.335,11.555,33338,0
YORW.US,D,20050622,000000,11.605,11.638,11.383,11.596,6961,0
YORW.US,D,20050623,000000,11.407,11.622,11.35,11.605,9227,0
YORW.US,D,20050624,000000,11.622,11.622,11.496,11.622,11074,0
YORW.US,D,20050627,000000,11.431,11.638,11.335,11.471,9671,0
YORW.US,D,20050628,000000,11.463,11.78,11.25,11.589,14581,0
YORW.US,D,20050629,000000,11.63,11.667,11.226,11.226,1423,0
YORW.US,D,20050630,000000,11.667,11.667,11.051,11.161,8258,0
YORW.US,D,20050701,000000,11.161,11.511,11.161,11.398,7336,0
YORW.US,D,20050705,000000,11.605,11.667,11.25,11.511,8136,0
YORW.US,D,20050706,000000,11.504,11.555,11.258,11.555,6228,0
YORW.US,D,20050707,000000,11.25,11.667,11.25,11.589,6303,0
YORW.US,D,20050708,000000,11.667,11.667,11.35,11.564,6687,0
YORW.US,D,20050711,000000,11.35,11.622,11.35,11.622,4866,0
YORW.US,D,20050712,000000,11.622,11.697,11.21,11.35,24317,0
YORW.US,D,20050713,000000,11.288,11.463,11.264,11.35,4476,0
YORW.US,D,20050714,000000,11.264,11.35,11.178,11.35,2955,0
YORW.US,D,20050715,000000,11.613,11.697,11.335,11.646,14970,0
YORW.US,D,20050718,000000,11.646,11.652,11.479,11.52,10210,0
YORW.US,D,20050719,000000,11.511,11.63,11.383,11.63,13331,0
YORW.US,D,20050720,000000,11.622,11.826,11.622,11.826,17285,0
YORW.US,D,20050721,000000,11.732,12.586,11.622,12.412,21769,0
YORW.US,D,20050722,000000,12.159,12.412,11.749,12.072,11814,0
YORW.US,D,20050725,000000,12.094,12.636,12.002,12.422,31429,0
YORW.US,D,20050726,000000,13.206,13.251,12.698,13.184,58945,0
YORW.US,D,20050727,000000,13.893,13.893,13.054,13.114,51021,0
YORW.US,D,20050728,000000,13.184,13.427,13.176,13.176,53166,0
YORW.US,D,20050729,000000,13.411,13.411,12.752,12.96,14251,0
