<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFIX.US,D,20210222,000000,20.04,20.04,19.88,19.88,746,0
EFIX.US,D,20210223,000000,19.85,19.86,19.83,19.83,5406,0
EFIX.US,D,20210224,000000,19.81,19.86,19.81,19.86,4406,0
EFIX.US,D,20210225,000000,19.72,19.78,19.603,19.603,3416,0
EFIX.US,D,20210226,000000,19.67,19.67,19.635,19.635,1701,0
EFIX.US,D,20210301,000000,19.72,19.72,19.72,19.72,2,0
EFIX.US,D,20210302,000000,19.7348,19.7348,19.7348,19.7348,113,0
EFIX.US,D,20210303,000000,19.69,19.69,19.6594,19.6594,3593,0
EFIX.US,D,20210304,000000,19.66,19.66,19.52,19.5202,2502,0
EFIX.US,D,20210305,000000,19.445,19.445,19.445,19.445,2,0
EFIX.US,D,20210308,000000,19.17,19.1708,19.17,19.1708,106,0
EFIX.US,D,20210309,000000,19.35,19.35,19.3294,19.3294,459,0
EFIX.US,D,20210310,000000,19.42,19.465,19.41,19.465,804,0
EFIX.US,D,20210311,000000,19.64,19.64,19.605,19.605,3108,0
EFIX.US,D,20210312,000000,19.41,19.46,19.38,19.42,8911,0
EFIX.US,D,20210315,000000,19.505,19.505,19.505,19.505,15,0
EFIX.US,D,20210316,000000,19.5733,19.5733,19.5733,19.5733,1,0
EFIX.US,D,20210317,000000,19.645,19.645,19.645,19.645,23,0
EFIX.US,D,20210318,000000,19.52,19.52,19.4454,19.4454,352,0
EFIX.US,D,20210319,000000,19.47,19.5134,19.47,19.5134,102,0
EFIX.US,D,20210322,000000,19.44,19.4604,19.43,19.4604,6103,0
EFIX.US,D,20210323,000000,19.49,19.49,19.485,19.485,106,0
EFIX.US,D,20210324,000000,19.5287,19.5287,19.5287,19.5287,5,0
EFIX.US,D,20210325,000000,19.41,19.41,19.41,19.41,6,0
EFIX.US,D,20210326,000000,19.409,19.409,19.409,19.409,5000,0
EFIX.US,D,20210329,000000,19.34,19.34,19.34,19.34,1,0
EFIX.US,D,20210330,000000,19.25,19.25,19.25,19.25,11,0
EFIX.US,D,20210331,000000,19.3038,19.3038,19.3038,19.3038,3,0
EFIX.US,D,20210401,000000,18.93,19.4187,18.93,19.4187,4608,0
EFIX.US,D,20210405,000000,19.3976,19.3976,19.3976,19.3976,25,0
EFIX.US,D,20210406,000000,19.5105,19.5105,19.5105,19.5105,21,0
EFIX.US,D,20210407,000000,19.47,19.48,19.45,19.48,1500,0
EFIX.US,D,20210408,000000,19.5688,19.5688,19.5688,19.5688,10,0
EFIX.US,D,20210409,000000,19.5176,19.5176,19.5176,19.5176,5,0
EFIX.US,D,20210412,000000,19.55,19.55,19.49,19.49,4302,0
EFIX.US,D,20210413,000000,19.5734,19.5734,19.5734,19.5734,200,0
EFIX.US,D,20210414,000000,19.555,19.555,19.555,19.555,2,0
EFIX.US,D,20210415,000000,19.72,19.73,19.71,19.7102,10305,0
EFIX.US,D,20210416,000000,19.6669,19.6669,19.6669,19.6669,5,0
EFIX.US,D,20210419,000000,19.73,19.75,19.675,19.675,3808,0
EFIX.US,D,20210420,000000,19.6596,19.6596,19.6596,19.6596,3,0
EFIX.US,D,20210421,000000,19.6326,19.6326,19.6326,19.6326,3,0
EFIX.US,D,20210422,000000,19.65,19.65,19.65,19.65,1,0
EFIX.US,D,20210423,000000,19.715,19.715,19.6788,19.6788,101,0
EFIX.US,D,20210426,000000,19.6,19.6,19.6,19.6,1,0
EFIX.US,D,20210427,000000,19.51,19.52,19.51,19.5154,3505,0
EFIX.US,D,20210428,000000,19.59,19.59,19.59,19.59,2,0
EFIX.US,D,20210429,000000,19.57,19.57,19.57,19.57,2,0
EFIX.US,D,20210430,000000,19.6665,19.67,19.6665,19.67,1567,0
EFIX.US,D,20210503,000000,19.6125,19.6125,19.6125,19.6125,12,0
EFIX.US,D,20210504,000000,19.56,19.63,19.55,19.6232,25401,0
EFIX.US,D,20210505,000000,19.62,19.62,19.615,19.615,502,0
EFIX.US,D,20210506,000000,19.6863,19.6863,19.6863,19.6863,1,0
EFIX.US,D,20210507,000000,19.74,19.75,19.74,19.74,302,0
EFIX.US,D,20210510,000000,19.67,19.69,19.67,19.69,56309,0
EFIX.US,D,20210511,000000,19.67,19.699,19.65,19.65,600,0
EFIX.US,D,20210512,000000,19.5127,19.5127,19.5127,19.5127,2,0
EFIX.US,D,20210513,000000,19.57,19.66,19.56,19.6048,13802,0
