<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBCV.US,D,20200605,000000,21.552,21.552,21.273,21.278,109055,0
FBCV.US,D,20200608,000000,21.702,21.86,21.382,21.85,66065,0
FBCV.US,D,20200609,000000,21.721,21.721,21.302,21.452,32919,0
FBCV.US,D,20200610,000000,21.462,21.462,20.731,20.733,44532,0
FBCV.US,D,20200611,000000,20.258,20.258,19.232,19.392,42701,0
FBCV.US,D,20200612,000000,19.96,19.99,19.317,19.642,14444,0
FBCV.US,D,20200615,000000,19.362,19.87,19.043,19.796,14024,0
FBCV.US,D,20200616,000000,20.198,20.457,20.009,20.123,51585,0
FBCV.US,D,20200617,000000,20.298,20.298,19.978,19.978,24281,0
FBCV.US,D,20200618,000000,19.92,19.92,19.64,19.87,15162,0
FBCV.US,D,20200619,000000,20.148,20.178,19.72,19.875,34114,0
FBCV.US,D,20200622,000000,21.623,21.623,19.591,19.77,27325,0
FBCV.US,D,20200623,000000,19.74,20.088,19.74,19.943,7280,0
FBCV.US,D,20200624,000000,19.89,19.89,19.192,19.322,22035,0
FBCV.US,D,20200625,000000,18.993,19.42,18.993,19.42,19725,0
FBCV.US,D,20200626,000000,19.521,19.521,18.933,19.023,20290,0
FBCV.US,D,20200629,000000,19.103,19.372,19.103,19.335,7770,0
FBCV.US,D,20200630,000000,19.481,19.658,19.402,19.658,9974,0
FBCV.US,D,20200701,000000,19.76,19.8,19.521,19.557,11367,0
FBCV.US,D,20200702,000000,19.85,19.945,19.629,19.629,12958,0
FBCV.US,D,20200706,000000,20,20,19.81,19.89,7191,0
FBCV.US,D,20200707,000000,19.91,19.91,19.541,19.547,6693,0
FBCV.US,D,20200708,000000,19.566,19.566,19.392,19.435,2037,0
FBCV.US,D,20200709,000000,19.471,19.471,18.973,19.13,23406,0
FBCV.US,D,20200710,000000,19.202,19.541,19.202,19.511,11071,0
FBCV.US,D,20200713,000000,19.72,19.78,19.55,19.55,17168,0
FBCV.US,D,20200714,000000,19.571,19.808,19.451,19.808,15843,0
FBCV.US,D,20200715,000000,20.915,20.915,19.99,20.198,98784,0
FBCV.US,D,20200716,000000,20.118,20.298,20.118,20.208,16237,0
FBCV.US,D,20200717,000000,20.318,20.348,20.178,20.227,32418,0
