<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFSG.US,D,20171101,000000,23.936,23.936,23.754,23.764,142155,0
FFSG.US,D,20171102,000000,23.754,23.774,23.737,23.774,2633,0
FFSG.US,D,20171103,000000,23.776,23.784,23.764,23.764,1578,0
FFSG.US,D,20171106,000000,23.875,23.897,23.875,23.886,841,0
FFSG.US,D,20171107,000000,23.784,23.784,23.773,23.773,1375,0
FFSG.US,D,20171108,000000,23.88,23.88,23.871,23.877,1141,0
FFSG.US,D,20171109,000000,23.774,23.774,23.718,23.762,2220,0
FFSG.US,D,20171110,000000,23.737,23.764,23.737,23.762,1801,0
FFSG.US,D,20171113,000000,23.794,23.806,23.745,23.751,881,0
FFSG.US,D,20171114,000000,23.704,23.728,23.704,23.728,3572,0
FFSG.US,D,20171115,000000,23.64,23.64,23.613,23.613,580,0
FFSG.US,D,20171116,000000,23.86,23.861,23.844,23.844,1139,0
FFSG.US,D,20171117,000000,23.814,23.861,23.814,23.851,1741,0
FFSG.US,D,20171120,000000,23.784,23.901,23.784,23.901,2728,0
FFSG.US,D,20171121,000000,24.116,24.117,24.097,24.097,4378,0
FFSG.US,D,20171122,000000,24.123,24.137,24.123,24.137,407,0
FFSG.US,D,20171124,000000,24.15,24.15,24.15,24.15,368,0
FFSG.US,D,20171127,000000,24.155,24.155,24.117,24.155,4590,0
FFSG.US,D,20171128,000000,24.155,24.284,24.155,24.284,2698,0
FFSG.US,D,20171129,000000,24.279,24.284,24.279,24.284,652,0
FFSG.US,D,20171130,000000,24.322,24.353,24.322,24.353,1566,0
FFSG.US,D,20171201,000000,24.344,24.344,24.165,24.26,21600,0
FFSG.US,D,20171204,000000,24.386,24.386,24.298,24.298,1030,0
FFSG.US,D,20171205,000000,24.24,24.24,24.132,24.132,2475,0
FFSG.US,D,20171206,000000,24.046,24.078,24.046,24.078,1019,0
FFSG.US,D,20171207,000000,24.137,24.155,24.127,24.132,3570,0
FFSG.US,D,20171208,000000,24.255,24.255,24.227,24.227,1364,0
FFSG.US,D,20171211,000000,24.279,24.279,24.232,24.26,1503,0
FFSG.US,D,20171212,000000,24.317,24.317,24.298,24.298,1518,0
FFSG.US,D,20171213,000000,24.421,24.421,24.341,24.393,2896,0
FFSG.US,D,20171214,000000,24.193,24.193,24.177,24.177,811,0
FFSG.US,D,20171215,000000,24.431,24.431,24.431,24.431,761,0
FFSG.US,D,20171218,000000,24.566,24.612,24.563,24.612,898,0
FFSG.US,D,20171219,000000,24.45,24.48,24.445,24.48,3756,0
FFSG.US,D,20171220,000000,24.47,24.47,24.436,24.436,4288,0
FFSG.US,D,20171221,000000,24.535,24.535,24.513,24.535,418,0
FFSG.US,D,20171222,000000,24.518,24.518,24.5,24.509,1180,0
FFSG.US,D,20171226,000000,24.525,24.536,24.504,24.527,1846,0
FFSG.US,D,20171227,000000,24.555,24.555,24.555,24.555,1264,0
FFSG.US,D,20171228,000000,24.604,24.624,24.604,24.624,1644,0
FFSG.US,D,20171229,000000,24.65,24.65,24.628,24.65,2002,0
FFSG.US,D,20180102,000000,24.694,24.728,24.694,24.728,1603,0
FFSG.US,D,20180103,000000,24.843,24.852,24.843,24.852,2959,0
FFSG.US,D,20180104,000000,24.918,24.92,24.918,24.92,1204,0
FFSG.US,D,20180105,000000,25.01,25.044,25.01,25.044,532,0
FFSG.US,D,20180108,000000,25.094,25.12,25.094,25.097,1233,0
FFSG.US,D,20180109,000000,25.12,25.12,25.12,25.12,388,0
FFSG.US,D,20180110,000000,24.976,24.976,24.976,24.976,627,0
FFSG.US,D,20180111,000000,25.191,25.191,25.191,25.191,237,0
FFSG.US,D,20180112,000000,25.303,25.341,25.303,25.317,949,0
FFSG.US,D,20180116,000000,25.303,25.303,25.258,25.258,1587,0
FFSG.US,D,20180117,000000,25.446,25.463,25.446,25.454,2574,0
FFSG.US,D,20180118,000000,25.407,25.407,25.407,25.407,724,0
FFSG.US,D,20180119,000000,25.493,25.542,25.493,25.522,809,0
FFSG.US,D,20180122,000000,25.602,25.675,25.597,25.646,1210,0
FFSG.US,D,20180123,000000,25.771,25.798,25.771,25.79,5179,0
FFSG.US,D,20180124,000000,25.771,25.798,25.771,25.776,1449,0
FFSG.US,D,20180125,000000,25.781,25.781,25.74,25.74,3042,0
FFSG.US,D,20180126,000000,25.904,25.952,25.884,25.952,2852,0
FFSG.US,D,20180129,000000,25.828,25.837,25.797,25.798,3733,0
FFSG.US,D,20180130,000000,25.517,25.542,25.517,25.542,4146,0
FFSG.US,D,20180131,000000,25.445,25.454,25.445,25.454,2684,0
FFSG.US,D,20180201,000000,25.417,25.473,25.417,25.427,2904,0
FFSG.US,D,20180202,000000,25.263,25.263,25.005,25.005,1428,0
FFSG.US,D,20180205,000000,24.354,24.354,24.25,24.25,474,0
FFSG.US,D,20180206,000000,24.212,24.354,23.952,24.336,3988,0
FFSG.US,D,20180207,000000,24.336,24.388,24.336,24.388,2231,0
FFSG.US,D,20180208,000000,23.816,23.816,23.713,23.713,531,0
FFSG.US,D,20180209,000000,23.447,23.601,23.426,23.601,2295,0
