<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLMI.US,D,20181210,000000,23.335,23.335,23.335,23.335,3,0
FLMI.US,D,20181211,000000,23.316,23.316,23.316,23.316,3,0
FLMI.US,D,20181212,000000,23.311,23.311,23.311,23.311,3,0
FLMI.US,D,20181213,000000,23.31,23.31,23.31,23.31,3,0
FLMI.US,D,20181214,000000,23.326,23.326,23.326,23.326,3,0
FLMI.US,D,20181217,000000,23.345,23.345,23.345,23.345,3,0
FLMI.US,D,20181218,000000,23.365,23.365,23.365,23.365,3,0
FLMI.US,D,20181219,000000,23.394,23.394,23.394,23.394,3,0
FLMI.US,D,20181220,000000,23.432,23.432,23.432,23.432,53,0
FLMI.US,D,20181221,000000,23.432,23.432,23.432,23.432,3,0
FLMI.US,D,20181224,000000,23.461,23.461,23.461,23.461,3,0
FLMI.US,D,20181226,000000,23.441,23.441,23.441,23.441,3,0
FLMI.US,D,20181227,000000,23.471,23.471,23.471,23.471,3,0
FLMI.US,D,20181228,000000,23.471,23.471,23.471,23.471,3,0
FLMI.US,D,20181231,000000,23.51,23.51,23.51,23.51,3,0
FLMI.US,D,20190102,000000,23.514,23.514,23.514,23.514,3,0
FLMI.US,D,20190103,000000,23.598,23.598,23.598,23.598,3,0
FLMI.US,D,20190104,000000,23.534,23.534,23.534,23.534,3,0
FLMI.US,D,20190107,000000,23.571,23.571,23.571,23.571,3,0
FLMI.US,D,20190108,000000,23.553,23.553,23.553,23.553,3,0
FLMI.US,D,20190109,000000,23.539,23.539,23.539,23.539,3,0
FLMI.US,D,20190110,000000,23.58,23.58,23.543,23.543,895,0
FLMI.US,D,20190111,000000,23.575,23.575,23.575,23.575,3,0
FLMI.US,D,20190114,000000,23.589,23.589,23.589,23.589,3,0
FLMI.US,D,20190115,000000,23.608,23.608,23.608,23.608,3,0
