<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAA.US,D,20141215,000000,20.827,20.853,20.523,20.523,38829,0
GAA.US,D,20141216,000000,20.441,20.659,20.441,20.523,13388,0
GAA.US,D,20141217,000000,20.568,20.811,20.568,20.744,16107,0
GAA.US,D,20141218,000000,20.905,21.361,20.818,20.889,11193,0
GAA.US,D,20141219,000000,20.914,21.14,20.898,20.971,7320,0
GAA.US,D,20141222,000000,21.008,21.073,20.981,21.008,17930,0
GAA.US,D,20141223,000000,21.02,21.02,20.953,20.953,6179,0
GAA.US,D,20141224,000000,21.454,21.454,20.935,20.971,8938,0
GAA.US,D,20141226,000000,21.02,21.02,20.998,20.998,5574,0
GAA.US,D,20141229,000000,21.074,21.115,20.981,21.008,17044,0
GAA.US,D,20141230,000000,20.998,21.014,20.971,20.998,7435,0
GAA.US,D,20141231,000000,20.989,20.989,20.913,20.913,20990,0
GAA.US,D,20150102,000000,20.971,21.149,20.859,20.905,27033,0
GAA.US,D,20150105,000000,21.047,21.047,20.761,20.786,93359,0
GAA.US,D,20150106,000000,20.77,21.258,20.691,20.706,12326,0
GAA.US,D,20150107,000000,20.77,20.869,20.716,20.859,24555,0
GAA.US,D,20150108,000000,20.943,21.02,20.93,20.989,19791,0
GAA.US,D,20150109,000000,21.183,21.183,20.878,20.961,11722,0
GAA.US,D,20150112,000000,20.922,21.008,20.878,20.905,19907,0
GAA.US,D,20150113,000000,20.971,20.989,20.81,20.888,10696,0
GAA.US,D,20150114,000000,20.913,20.922,20.826,20.922,23521,0
GAA.US,D,20150115,000000,20.943,20.943,20.888,20.897,49618,0
GAA.US,D,20150116,000000,20.734,20.943,20.734,20.943,8813,0
GAA.US,D,20150120,000000,21.047,21.047,20.93,20.961,16947,0
GAA.US,D,20150121,000000,21.167,21.167,20.998,21.02,25058,0
GAA.US,D,20150122,000000,21.107,21.149,21.066,21.141,56394,0
GAA.US,D,20150123,000000,21.141,21.236,21.057,21.123,55174,0
GAA.US,D,20150126,000000,21.141,21.175,21.107,21.158,40955,0
GAA.US,D,20150127,000000,21.191,21.191,21.115,21.149,32373,0
GAA.US,D,20150128,000000,21.167,21.167,21.029,21.057,25141,0
