<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCOW.US,D,20160224,000000,20.313,20.649,20.313,20.63,5794,0
GCOW.US,D,20160225,000000,20.681,20.681,20.681,20.681,1272,0
GCOW.US,D,20160226,000000,20.875,20.875,20.8,20.8,7408,0
GCOW.US,D,20160229,000000,20.806,20.81,20.789,20.789,993,0
GCOW.US,D,20160301,000000,20.958,21.235,20.958,21.235,4811,0
GCOW.US,D,20160302,000000,21.307,21.307,21.307,21.307,271,0
GCOW.US,D,20160303,000000,21.601,21.62,21.435,21.62,2511,0
GCOW.US,D,20160304,000000,21.895,21.895,21.885,21.886,1320,0
GCOW.US,D,20160307,000000,21.975,22.028,21.975,22.028,1485,0
GCOW.US,D,20160308,000000,21.962,21.962,21.637,21.637,7553,0
GCOW.US,D,20160309,000000,21.754,21.81,21.746,21.81,1962,0
GCOW.US,D,20160310,000000,21.795,21.795,21.671,21.746,1751,0
GCOW.US,D,20160311,000000,22.088,22.205,22.081,22.189,4709,0
GCOW.US,D,20160314,000000,22.122,22.122,22.122,22.122,380,0
GCOW.US,D,20160315,000000,21.885,21.885,21.836,21.846,4820,0
GCOW.US,D,20160316,000000,21.846,21.862,21.811,21.811,2166,0
GCOW.US,D,20160317,000000,22.541,22.55,22.516,22.516,3704,0
GCOW.US,D,20160318,000000,22.556,22.557,22.469,22.557,3703,0
GCOW.US,D,20160321,000000,22.439,23.562,22.439,22.55,4683,0
GCOW.US,D,20160322,000000,22.357,22.533,22.351,22.473,1462,0
GCOW.US,D,20160323,000000,22.315,22.315,22.188,22.188,4616,0
GCOW.US,D,20160324,000000,22.173,22.173,22.097,22.097,1392,0
GCOW.US,D,20160328,000000,22.064,26.625,22.06,26.625,3134,0
GCOW.US,D,20160329,000000,26.542,26.542,22.015,22.449,10314,0
GCOW.US,D,20160330,000000,22.556,22.608,22.533,22.608,4030,0
GCOW.US,D,20160331,000000,22.533,22.55,22.489,22.489,8434,0
GCOW.US,D,20160401,000000,22.188,22.323,22.169,22.323,5591,0
GCOW.US,D,20160404,000000,22.297,22.315,22.22,22.239,6163,0
GCOW.US,D,20160405,000000,22.188,22.188,21.772,21.923,10885,0
GCOW.US,D,20160406,000000,21.862,22.188,21.862,22.188,11332,0
GCOW.US,D,20160407,000000,21.978,21.985,21.772,21.828,12915,0
GCOW.US,D,20160408,000000,22.139,22.139,22.005,22.097,2387,0
GCOW.US,D,20160411,000000,22.256,22.289,22.188,22.196,21101,0
GCOW.US,D,20160412,000000,22.297,22.415,22.193,22.397,5323,0
GCOW.US,D,20160413,000000,22.834,22.834,22.582,22.733,5253,0
GCOW.US,D,20160414,000000,22.808,22.808,22.764,22.764,1871,0
GCOW.US,D,20160415,000000,22.814,22.814,22.764,22.764,2028,0
GCOW.US,D,20160418,000000,22.85,22.926,22.742,22.926,4691,0
GCOW.US,D,20160419,000000,23.119,23.294,23.101,23.286,14183,0
GCOW.US,D,20160420,000000,23.278,23.369,23.269,23.321,6231,0
GCOW.US,D,20160421,000000,23.696,23.696,23.027,23.027,31430,0
GCOW.US,D,20160422,000000,22.941,23.05,22.926,23.019,11500,0
GCOW.US,D,20160425,000000,22.85,23.321,22.83,22.893,29433,0
GCOW.US,D,20160426,000000,23.077,23.077,22.916,22.975,6999,0
GCOW.US,D,20160427,000000,22.916,23.05,22.901,23.019,8514,0
GCOW.US,D,20160428,000000,23.001,23.135,22.929,22.929,7274,0
GCOW.US,D,20160429,000000,22.916,22.985,22.799,22.877,11422,0
GCOW.US,D,20160502,000000,22.916,23.05,22.916,23.05,3712,0
GCOW.US,D,20160503,000000,22.799,22.799,22.642,22.675,14673,0
GCOW.US,D,20160504,000000,22.415,22.457,22.223,22.34,24510,0
GCOW.US,D,20160505,000000,22.297,22.34,22.193,22.239,6349,0
GCOW.US,D,20160506,000000,22.188,22.348,22.088,22.326,9363,0
GCOW.US,D,20160509,000000,22.252,22.252,22.179,22.239,6173,0
GCOW.US,D,20160510,000000,22.196,22.423,22.196,22.369,4928,0
GCOW.US,D,20160511,000000,22.349,22.439,22.34,22.34,8481,0
GCOW.US,D,20160512,000000,22.415,22.423,22.188,22.331,9219,0
GCOW.US,D,20160513,000000,22.239,22.239,21.938,21.938,9572,0
GCOW.US,D,20160516,000000,22.046,22.661,22.046,22.235,49290,0
GCOW.US,D,20160517,000000,22.188,22.214,22.074,22.074,6666,0
GCOW.US,D,20160518,000000,22.106,22.106,21.895,21.895,2493,0
GCOW.US,D,20160519,000000,21.821,21.88,21.694,21.795,4125,0
GCOW.US,D,20160520,000000,22.006,22.088,21.978,21.978,5487,0
GCOW.US,D,20160523,000000,22.014,22.028,21.978,22.023,3059,0
GCOW.US,D,20160524,000000,22.088,22.281,22.088,22.281,10276,0
GCOW.US,D,20160525,000000,22.372,22.516,22.372,22.516,6637,0
GCOW.US,D,20160526,000000,22.541,22.598,22.525,22.58,3676,0
GCOW.US,D,20160527,000000,22.589,22.633,22.556,22.589,7354,0
GCOW.US,D,20160531,000000,22.608,22.625,22.439,22.439,6351,0
GCOW.US,D,20160601,000000,22.357,22.49,22.342,22.466,44082,0
GCOW.US,D,20160602,000000,22.407,22.525,22.407,22.525,11439,0
GCOW.US,D,20160603,000000,22.525,22.708,22.525,22.708,3274,0
GCOW.US,D,20160606,000000,22.808,22.941,22.808,22.941,6390,0
GCOW.US,D,20160607,000000,23.119,23.143,23.027,23.071,19845,0
GCOW.US,D,20160608,000000,23.154,23.196,23.141,23.186,10054,0
GCOW.US,D,20160609,000000,22.941,22.941,22.834,22.916,3699,0
GCOW.US,D,20160610,000000,22.565,22.565,22.354,22.381,7444,0
GCOW.US,D,20160613,000000,22.272,22.331,22.129,22.18,11807,0
GCOW.US,D,20160614,000000,22.112,22.112,21.892,21.983,19223,0
GCOW.US,D,20160615,000000,22.12,22.971,22.12,22.281,12123,0
GCOW.US,D,20160616,000000,22.499,22.499,21.959,22.25,20435,0
GCOW.US,D,20160617,000000,22.323,22.389,22.213,22.341,5227,0
GCOW.US,D,20160620,000000,22.669,22.83,22.669,22.688,4220,0
GCOW.US,D,20160621,000000,22.6,22.879,22.591,22.758,22821,0
GCOW.US,D,20160622,000000,22.754,22.812,22.61,22.618,15771,0
GCOW.US,D,20160623,000000,22.913,23.193,22.913,23.193,10295,0
