<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDNA.US,D,20190617,000000,25.711,26.229,25.711,26.208,3429,0
IDNA.US,D,20190618,000000,26.621,26.734,26.422,26.657,4121,0
IDNA.US,D,20190619,000000,26.779,26.779,26.66,26.692,3480,0
IDNA.US,D,20190620,000000,26.959,26.959,26.568,26.568,10959,0
IDNA.US,D,20190621,000000,26.503,26.503,26.196,26.494,5056,0
IDNA.US,D,20190624,000000,26.65,26.65,25.969,25.969,1376,0
IDNA.US,D,20190625,000000,26.195,26.196,25.889,25.889,2901,0
IDNA.US,D,20190626,000000,25.665,25.665,25.665,25.665,26,0
IDNA.US,D,20190627,000000,25.89,26.213,25.89,26.213,2443,0
IDNA.US,D,20190628,000000,26.503,26.877,26.503,26.877,322,0
IDNA.US,D,20190701,000000,27.274,27.274,26.957,27.04,22078,0
IDNA.US,D,20190702,000000,26.799,26.813,26.799,26.813,355,0
IDNA.US,D,20190703,000000,27.136,27.239,27.136,27.239,363,0
IDNA.US,D,20190705,000000,27.294,27.294,26.931,26.931,679,0
IDNA.US,D,20190708,000000,26.67,26.67,26.423,26.567,691,0
IDNA.US,D,20190709,000000,26.885,26.927,26.849,26.927,579,0
IDNA.US,D,20190710,000000,27.165,27.165,26.909,26.909,453,0
IDNA.US,D,20190711,000000,26.68,26.72,26.68,26.72,272,0
IDNA.US,D,20190712,000000,26.643,26.661,26.611,26.661,810,0
IDNA.US,D,20190715,000000,26.561,26.869,26.561,26.845,5834,0
IDNA.US,D,20190716,000000,27.046,27.046,26.778,26.794,1853,0
IDNA.US,D,20190717,000000,27.017,27.086,26.75,27.025,20350,0
IDNA.US,D,20190718,000000,27.428,27.428,27.402,27.402,20398,0
IDNA.US,D,20190719,000000,27.591,27.591,27.057,27.057,5657,0
IDNA.US,D,20190722,000000,27.185,27.245,27.169,27.169,731,0
IDNA.US,D,20190723,000000,27.205,27.205,27.056,27.09,5072,0
IDNA.US,D,20190724,000000,27.298,27.298,27.298,27.298,130,0
IDNA.US,D,20190725,000000,27.086,27.086,26.846,26.846,250,0
IDNA.US,D,20190726,000000,27.082,27.358,27.082,27.358,553,0
IDNA.US,D,20190729,000000,27.235,27.307,27.225,27.307,1913,0
IDNA.US,D,20190730,000000,27.284,27.382,27.19,27.382,664,0
IDNA.US,D,20190731,000000,27.541,27.649,27.349,27.349,1228,0
IDNA.US,D,20190801,000000,27.353,27.353,27.195,27.232,749,0
IDNA.US,D,20190802,000000,27.026,27.026,26.551,26.674,1268,0
IDNA.US,D,20190805,000000,26.112,26.112,25.711,25.916,2307,0
IDNA.US,D,20190806,000000,25.939,26.31,25.939,26.31,598,0
IDNA.US,D,20190807,000000,26.483,26.545,26.483,26.545,412,0
IDNA.US,D,20190808,000000,26.77,27.048,26.77,27.048,473,0
IDNA.US,D,20190809,000000,27.046,27.046,26.641,26.825,3028,0
IDNA.US,D,20190812,000000,26.581,26.581,26.236,26.236,1139,0
IDNA.US,D,20190813,000000,26.591,26.591,26.463,26.534,2887,0
IDNA.US,D,20190814,000000,26.315,26.315,26.137,26.137,1340,0
IDNA.US,D,20190815,000000,26.038,26.043,26.007,26.043,526,0
IDNA.US,D,20190816,000000,26.513,26.623,26.513,26.623,202,0
IDNA.US,D,20190819,000000,26.834,26.882,26.834,26.882,422,0
IDNA.US,D,20190820,000000,26.417,26.417,26.417,26.417,74,0
IDNA.US,D,20190821,000000,26.582,26.582,26.582,26.582,69,0
IDNA.US,D,20190822,000000,26.087,26.087,26.044,26.044,381,0
IDNA.US,D,20190823,000000,26.01,26.01,25.312,25.312,848,0
IDNA.US,D,20190826,000000,25.583,25.583,25.529,25.529,149,0
IDNA.US,D,20190827,000000,25.553,25.701,25.059,25.163,1530,0
IDNA.US,D,20190828,000000,25.119,25.415,25.119,25.415,108,0
IDNA.US,D,20190829,000000,25.663,25.663,25.663,25.663,133,0
IDNA.US,D,20190830,000000,25.484,25.542,25.484,25.536,4877,0
IDNA.US,D,20190903,000000,25.275,25.275,25.153,25.153,836,0
IDNA.US,D,20190904,000000,25.259,25.259,25.259,25.259,55,0
IDNA.US,D,20190905,000000,25.573,25.573,25.363,25.524,727,0
IDNA.US,D,20190906,000000,25.593,25.593,25.333,25.333,3068,0
IDNA.US,D,20190909,000000,25.514,25.514,25.068,25.068,2282,0
IDNA.US,D,20190910,000000,24.97,25.399,24.723,25.399,4559,0
IDNA.US,D,20190911,000000,25.634,25.793,25.634,25.793,646,0
IDNA.US,D,20190912,000000,25.86,25.86,25.731,25.759,1130,0
IDNA.US,D,20190913,000000,25.632,25.632,25.632,25.632,30,0
IDNA.US,D,20190916,000000,25.335,25.825,25.335,25.825,405,0
IDNA.US,D,20190917,000000,25.869,25.869,25.869,25.869,107,0
IDNA.US,D,20190918,000000,25.84,25.84,25.613,25.781,2000,0
IDNA.US,D,20190919,000000,25.719,25.719,25.719,25.719,37,0
IDNA.US,D,20190920,000000,26.013,26.013,25.914,25.949,1332,0
IDNA.US,D,20190923,000000,26.048,26.048,25.656,25.656,845,0
IDNA.US,D,20190924,000000,25.553,25.553,25.203,25.203,123,0
IDNA.US,D,20190925,000000,25.02,25.02,24.968,24.968,537,0
IDNA.US,D,20190926,000000,24.663,24.663,24.382,24.382,513,0
IDNA.US,D,20190927,000000,24.287,24.505,24.188,24.205,1198,0
IDNA.US,D,20190930,000000,24.23,24.23,24.23,24.23,208,0
IDNA.US,D,20191001,000000,24.159,24.159,23.625,23.625,2637,0
IDNA.US,D,20191002,000000,23.521,23.521,23.508,23.508,544,0
IDNA.US,D,20191003,000000,23.358,23.784,23.358,23.784,356,0
IDNA.US,D,20191004,000000,24,24,24,24,150,0
IDNA.US,D,20191007,000000,24.069,24.069,23.982,23.982,1279,0
IDNA.US,D,20191008,000000,23.664,23.664,23.54,23.54,899,0
IDNA.US,D,20191009,000000,23.654,23.654,23.461,23.461,607,0
IDNA.US,D,20191010,000000,23.388,23.543,23.388,23.543,154,0
IDNA.US,D,20191011,000000,23.945,23.945,23.787,23.787,1094,0
IDNA.US,D,20191014,000000,23.922,23.922,23.806,23.806,1175,0
IDNA.US,D,20191015,000000,24.198,24.248,24.198,24.238,797,0
IDNA.US,D,20191016,000000,24.268,24.292,24.238,24.28,1164,0
IDNA.US,D,20191017,000000,24.634,24.659,24.584,24.659,507,0
IDNA.US,D,20191018,000000,24.377,24.378,24.356,24.378,410,0
IDNA.US,D,20191021,000000,24.683,24.826,24.683,24.826,611,0
IDNA.US,D,20191022,000000,25.119,25.119,24.96,24.991,533,0
IDNA.US,D,20191023,000000,24.974,25.091,24.974,24.977,957,0
IDNA.US,D,20191024,000000,25.01,25.082,25.01,25.082,798,0
IDNA.US,D,20191025,000000,24.97,25.365,24.97,25.365,3217,0
IDNA.US,D,20191028,000000,25.464,25.691,25.315,25.691,6637,0
IDNA.US,D,20191029,000000,25.919,25.919,25.681,25.728,1768,0
IDNA.US,D,20191030,000000,25.8,25.843,25.761,25.843,3368,0
IDNA.US,D,20191031,000000,25.603,25.662,25.585,25.654,1524,0
IDNA.US,D,20191101,000000,26.078,26.194,26.019,26.194,996,0
IDNA.US,D,20191104,000000,26.216,26.513,26.058,26.114,12650,0
IDNA.US,D,20191105,000000,26.236,26.395,26.236,26.353,1152,0
IDNA.US,D,20191106,000000,26.305,26.305,25.86,25.86,5010,0
IDNA.US,D,20191107,000000,26.107,26.107,25.889,25.889,723,0
IDNA.US,D,20191108,000000,25.711,26.508,25.711,26.508,26557,0
IDNA.US,D,20191111,000000,26.493,26.493,26.206,26.217,7445,0
IDNA.US,D,20191112,000000,26.275,26.442,26.275,26.311,3709,0
IDNA.US,D,20191113,000000,26.315,26.561,26.216,26.459,7468,0
IDNA.US,D,20191114,000000,26.541,26.541,26.166,26.303,7291,0
IDNA.US,D,20191115,000000,26.487,26.6,26.487,26.579,1359,0
IDNA.US,D,20191118,000000,26.673,26.744,26.571,26.744,775,0
IDNA.US,D,20191119,000000,27.195,27.348,27.195,27.335,3225,0
IDNA.US,D,20191120,000000,27.412,27.593,27.344,27.521,1756,0
IDNA.US,D,20191121,000000,27.521,27.521,27.373,27.473,2172,0
IDNA.US,D,20191122,000000,27.689,27.689,27.422,27.484,3983,0
IDNA.US,D,20191125,000000,28.006,28.351,28.006,28.296,5195,0
IDNA.US,D,20191126,000000,28.481,28.52,28.282,28.489,4901,0
IDNA.US,D,20191127,000000,28.658,28.728,28.481,28.688,5263,0
IDNA.US,D,20191129,000000,28.787,28.945,28.678,28.816,4138,0
IDNA.US,D,20191202,000000,28.945,28.945,28.619,28.641,1204,0
IDNA.US,D,20191203,000000,28.639,29.047,28.441,29.047,2078,0
IDNA.US,D,20191204,000000,29.063,29.311,29.053,29.293,2844,0
IDNA.US,D,20191205,000000,29.449,29.449,29.058,29.058,3947,0
IDNA.US,D,20191206,000000,29.262,29.291,29.215,29.215,4036,0
IDNA.US,D,20191209,000000,29.647,29.647,29.144,29.144,2514,0
IDNA.US,D,20191210,000000,29.4,29.4,29.371,29.392,1629,0
IDNA.US,D,20191211,000000,29.45,29.554,29.023,29.054,4858,0
IDNA.US,D,20191212,000000,29.072,29.22,29.033,29.22,1230,0
IDNA.US,D,20191213,000000,29.697,29.697,29.42,29.591,9922,0
IDNA.US,D,20191216,000000,29.954,30.103,29.775,29.994,9655,0
IDNA.US,D,20191217,000000,29.735,29.959,29.735,29.959,5042,0
IDNA.US,D,20191218,000000,29.854,29.854,29.675,29.723,1535,0
IDNA.US,D,20191219,000000,29.595,30.03,29.595,30.03,2398,0
IDNA.US,D,20191220,000000,30.089,30.125,29.994,30.125,2909,0
IDNA.US,D,20191223,000000,30.472,30.671,30.192,30.569,4425,0
IDNA.US,D,20191224,000000,30.721,30.735,30.559,30.735,2474,0
IDNA.US,D,20191226,000000,30.751,30.751,30.549,30.549,3200,0
IDNA.US,D,20191227,000000,30.552,30.552,30.034,30.034,6699,0
IDNA.US,D,20191230,000000,30.173,30.173,29.575,29.655,5983,0
IDNA.US,D,20191231,000000,29.475,29.864,29.455,29.771,6081,0
IDNA.US,D,20200102,000000,29.505,29.555,29.426,29.516,7458,0
IDNA.US,D,20200103,000000,29.308,29.475,29.136,29.164,7294,0
IDNA.US,D,20200106,000000,29.086,29.416,28.897,29.413,6461,0
IDNA.US,D,20200107,000000,29.406,29.454,29.266,29.37,3711,0
IDNA.US,D,20200108,000000,29.545,29.884,29.525,29.785,7244,0
IDNA.US,D,20200109,000000,29.904,30.064,29.78,29.892,6260,0
IDNA.US,D,20200110,000000,30.502,30.502,29.73,29.73,5387,0
IDNA.US,D,20200113,000000,29.525,29.525,29.146,29.342,19482,0
IDNA.US,D,20200114,000000,29.306,29.696,29.096,29.696,4408,0
IDNA.US,D,20200115,000000,29.835,30.083,29.835,29.875,4697,0
IDNA.US,D,20200116,000000,30.119,30.193,29.872,30.053,6098,0
IDNA.US,D,20200117,000000,30.272,30.272,29.777,29.777,5656,0
IDNA.US,D,20200121,000000,29.725,29.822,29.387,29.387,9919,0
IDNA.US,D,20200122,000000,29.655,29.655,29.417,29.417,3039,0
IDNA.US,D,20200123,000000,29.436,29.436,29.007,29.201,5998,0
IDNA.US,D,20200124,000000,29.326,29.326,28.599,28.647,10064,0
IDNA.US,D,20200127,000000,28.419,28.495,28.359,28.437,2884,0
IDNA.US,D,20200128,000000,28.489,28.708,28.479,28.664,2481,0
IDNA.US,D,20200129,000000,28.877,28.877,28.517,28.517,7511,0
IDNA.US,D,20200130,000000,28.589,28.589,28.091,28.26,6954,0
IDNA.US,D,20200131,000000,28.329,28.329,27.661,27.865,6977,0
IDNA.US,D,20200203,000000,28.179,28.22,28.13,28.22,1364,0
IDNA.US,D,20200204,000000,28.389,28.886,28.389,28.844,7219,0
IDNA.US,D,20200205,000000,28.977,29.218,28.977,29.114,4731,0
IDNA.US,D,20200206,000000,29.625,29.625,29.366,29.504,2703,0
IDNA.US,D,20200207,000000,29.585,29.585,29.306,29.407,2809,0
IDNA.US,D,20200210,000000,29.39,29.857,29.39,29.857,4814,0
IDNA.US,D,20200211,000000,30.034,30.103,29.72,29.785,4453,0
IDNA.US,D,20200212,000000,29.785,29.854,29.582,29.793,1490,0
IDNA.US,D,20200213,000000,29.914,29.914,29.663,29.663,555,0
IDNA.US,D,20200214,000000,29.665,29.795,29.665,29.761,5968,0
IDNA.US,D,20200218,000000,29.775,29.79,29.565,29.79,3178,0
IDNA.US,D,20200219,000000,29.888,30.024,29.888,29.935,1490,0
IDNA.US,D,20200220,000000,29.924,29.924,29.392,29.645,8878,0
IDNA.US,D,20200221,000000,29.605,29.665,29.386,29.585,7246,0
IDNA.US,D,20200224,000000,29.106,29.106,28.608,28.846,10449,0
IDNA.US,D,20200225,000000,29.106,29.106,28.658,28.891,2630,0
IDNA.US,D,20200226,000000,29.396,29.661,29.056,29.584,21443,0
IDNA.US,D,20200227,000000,29.964,30.064,28.857,28.857,37282,0
IDNA.US,D,20200228,000000,28.907,28.907,27.778,28.87,15564,0
IDNA.US,D,20200302,000000,29.685,30.412,29.046,30.41,19134,0
IDNA.US,D,20200303,000000,30.642,30.642,29.326,29.786,15363,0
IDNA.US,D,20200304,000000,30.592,30.803,30.201,30.803,12627,0
IDNA.US,D,20200305,000000,30.203,31.001,30.203,30.572,13388,0
IDNA.US,D,20200306,000000,30.322,30.512,30.056,30.502,14198,0
IDNA.US,D,20200309,000000,28.409,29.007,27.885,27.93,119630,0
IDNA.US,D,20200310,000000,28.678,28.678,26.762,27.865,10394,0
IDNA.US,D,20200311,000000,27.512,27.859,26.682,26.682,7750,0
IDNA.US,D,20200312,000000,24.551,26.037,22.776,23.834,25921,0
IDNA.US,D,20200313,000000,24.92,24.92,22.801,24.6,27407,0
IDNA.US,D,20200316,000000,22.816,23.929,22.248,22.509,14237,0
IDNA.US,D,20200317,000000,23.525,24.601,22.698,23.963,26280,0
IDNA.US,D,20200318,000000,22.876,24.402,22.876,24.004,110043,0
IDNA.US,D,20200319,000000,23.764,24.831,23.381,24.325,31206,0
IDNA.US,D,20200320,000000,24.382,24.909,23.664,23.794,28041,0
IDNA.US,D,20200323,000000,24.072,24.46,23.275,23.838,72647,0
IDNA.US,D,20200324,000000,25.488,25.488,24.571,25.338,166897,0
IDNA.US,D,20200325,000000,25.697,26.156,25.249,25.556,59576,0
IDNA.US,D,20200326,000000,26.126,26.973,25.747,26.625,95387,0
IDNA.US,D,20200327,000000,26.465,27.007,26.072,26.414,25729,0
IDNA.US,D,20200330,000000,26.704,26.985,26.286,26.985,18562,0
IDNA.US,D,20200331,000000,27.043,27.043,26.351,26.784,58724,0
IDNA.US,D,20200401,000000,25.897,26.275,24.685,25.427,27216,0
IDNA.US,D,20200402,000000,25.408,26.256,25.06,26.057,35874,0
IDNA.US,D,20200403,000000,26.256,26.415,25.828,26.126,54636,0
IDNA.US,D,20200406,000000,27.233,27.362,26.834,27.362,31675,0
IDNA.US,D,20200407,000000,28.688,28.688,26.794,26.794,34056,0
IDNA.US,D,20200408,000000,27.123,27.412,26.676,27.303,20449,0
IDNA.US,D,20200409,000000,27.91,27.98,27.552,27.89,26316,0
IDNA.US,D,20200413,000000,28.409,29.353,27.482,27.82,29008,0
IDNA.US,D,20200414,000000,28.469,29.006,28.469,28.986,39272,0
IDNA.US,D,20200415,000000,28.519,28.828,28.199,28.559,30240,0
IDNA.US,D,20200416,000000,29.086,29.356,28.648,29.356,36604,0
IDNA.US,D,20200417,000000,30.941,30.951,30.263,30.924,76326,0
IDNA.US,D,20200420,000000,31.021,32.594,30.936,31.918,114481,0
IDNA.US,D,20200421,000000,31.908,32.167,30.462,31.13,314852,0
