<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILF.US,D,20050225,000000,13.747,13.898,13.695,13.889,669947,0
ILF.US,D,20050228,000000,13.952,13.952,13.625,13.787,889823,0
ILF.US,D,20050301,000000,13.787,13.795,13.601,13.617,535183,0
ILF.US,D,20050302,000000,13.57,13.67,13.438,13.625,581611,0
ILF.US,D,20050303,000000,13.747,13.81,13.64,13.711,526802,0
ILF.US,D,20050304,000000,13.802,13.973,13.795,13.966,716376,0
ILF.US,D,20050307,000000,14.059,14.112,13.966,13.995,729914,0
ILF.US,D,20050308,000000,13.957,13.98,13.795,13.834,483598,0
ILF.US,D,20050309,000000,13.795,13.802,13.554,13.554,1060695,0
ILF.US,D,20050310,000000,13.554,13.562,13.245,13.245,2407036,0
ILF.US,D,20050311,000000,13.29,13.493,13.253,13.307,734427,0
ILF.US,D,20050314,000000,13.198,13.29,12.924,12.964,1585562,0
ILF.US,D,20050315,000000,12.918,12.974,12.762,12.762,881444,0
ILF.US,D,20050316,000000,12.717,12.762,12.623,12.702,1328936,0
ILF.US,D,20050317,000000,12.671,13.048,12.671,13.042,775692,0
ILF.US,D,20050318,000000,13.026,13.026,12.866,12.911,274688,0
ILF.US,D,20050321,000000,12.902,12.902,12.693,12.725,1100674,0
ILF.US,D,20050322,000000,12.827,13.005,12.623,12.631,526160,0
ILF.US,D,20050323,000000,12.64,12.64,12.267,12.291,1125177,0
ILF.US,D,20050324,000000,12.407,12.538,12.407,12.477,586125,0
ILF.US,D,20050328,000000,12.454,12.469,12.359,12.365,249538,0
ILF.US,D,20050329,000000,12.43,12.469,12.203,12.212,358508,0
ILF.US,D,20050330,000000,12.203,12.46,12.203,12.46,448134,0
ILF.US,D,20050331,000000,12.469,12.664,12.469,12.631,315950,0
ILF.US,D,20050401,000000,12.762,12.918,12.71,12.778,409446,0
ILF.US,D,20050404,000000,12.71,12.71,12.556,12.617,275976,0
ILF.US,D,20050405,000000,12.656,12.786,12.513,12.631,294028,0
ILF.US,D,20050406,000000,12.617,12.693,12.593,12.593,276618,0
ILF.US,D,20050407,000000,12.64,12.833,12.617,12.833,158623,0
ILF.US,D,20050408,000000,12.857,12.857,12.786,12.812,571290,0
ILF.US,D,20050411,000000,12.866,12.866,12.75,12.794,471348,0
ILF.US,D,20050412,000000,12.812,12.902,12.64,12.902,513260,0
ILF.US,D,20050413,000000,12.933,12.982,12.743,12.757,281777,0
ILF.US,D,20050414,000000,12.77,12.77,12.424,12.454,242447,0
ILF.US,D,20050415,000000,12.3,12.33,12.136,12.142,602244,0
ILF.US,D,20050418,000000,12.033,12.127,11.973,12.12,441686,0
ILF.US,D,20050419,000000,12.521,12.617,12.46,12.617,364957,0
ILF.US,D,20050420,000000,12.608,12.608,12.282,12.282,351417,0
ILF.US,D,20050421,000000,12.365,12.547,12.267,12.547,248894,0
ILF.US,D,20050422,000000,12.587,12.593,12.359,12.384,114130,0
ILF.US,D,20050425,000000,12.477,12.702,12.437,12.685,99298,0
ILF.US,D,20050426,000000,12.717,12.895,12.656,12.812,284998,0
ILF.US,D,20050427,000000,12.77,12.77,12.556,12.677,270171,0
ILF.US,D,20050428,000000,12.608,12.608,12.282,12.282,427502,0
ILF.US,D,20050429,000000,12.484,12.484,12.275,12.469,130894,0
ILF.US,D,20050502,000000,12.564,12.617,12.501,12.617,149594,0
ILF.US,D,20050503,000000,12.656,12.743,12.6,12.677,108328,0
ILF.US,D,20050504,000000,12.685,13.048,12.685,13.048,296606,0
ILF.US,D,20050505,000000,13.048,13.236,12.974,13.128,713151,0
ILF.US,D,20050506,000000,13.245,13.245,13.145,13.159,495206,0
ILF.US,D,20050509,000000,13.198,13.26,13.159,13.26,299188,0
ILF.US,D,20050510,000000,13.206,13.206,12.902,12.902,357865,0
ILF.US,D,20050511,000000,12.902,12.974,12.75,12.974,183124,0
ILF.US,D,20050512,000000,12.998,13.011,12.677,12.725,561620,0
ILF.US,D,20050513,000000,12.656,12.757,12.477,12.578,282423,0
ILF.US,D,20050516,000000,12.578,12.71,12.578,12.685,164425,0
ILF.US,D,20050517,000000,12.717,12.833,12.677,12.827,196665,0
ILF.US,D,20050518,000000,12.982,13.19,12.949,13.167,402352,0
ILF.US,D,20050519,000000,13.182,13.19,13.089,13.145,230838,0
ILF.US,D,20050520,000000,13.104,13.173,13.084,13.173,152818,0
ILF.US,D,20050523,000000,13.173,13.22,13.136,13.198,208918,0
ILF.US,D,20050524,000000,13.198,13.281,13.111,13.281,221166,0
ILF.US,D,20050525,000000,13.315,13.358,13.253,13.315,258564,0
ILF.US,D,20050526,000000,13.331,13.453,13.331,13.431,448779,0
ILF.US,D,20050527,000000,13.461,13.554,13.461,13.554,150883,0
ILF.US,D,20050531,000000,13.57,13.579,13.431,13.525,162491,0
ILF.US,D,20050601,000000,13.453,13.702,13.453,13.664,467480,0
ILF.US,D,20050602,000000,13.685,13.98,13.685,13.966,551304,0
ILF.US,D,20050603,000000,13.98,14.012,13.827,13.889,644797,0
ILF.US,D,20050606,000000,13.795,13.795,13.593,13.735,379787,0
ILF.US,D,20050607,000000,13.609,13.711,13.546,13.546,283711,0
ILF.US,D,20050608,000000,13.579,13.664,13.546,13.562,412029,0
ILF.US,D,20050609,000000,13.438,13.546,13.401,13.461,476503,0
ILF.US,D,20050610,000000,13.562,13.648,13.562,13.625,310795,0
ILF.US,D,20050613,000000,13.677,13.726,13.648,13.726,206337,0
ILF.US,D,20050614,000000,13.787,13.966,13.67,13.934,328845,0
ILF.US,D,20050615,000000,13.917,14.08,13.873,14.08,546789,0
ILF.US,D,20050616,000000,14.112,14.299,14.112,14.283,777629,0
ILF.US,D,20050617,000000,14.446,14.464,14.391,14.446,525513,0
ILF.US,D,20050620,000000,14.377,14.484,14.299,14.478,341744,0
ILF.US,D,20050621,000000,14.516,14.516,14.347,14.354,560331,0
ILF.US,D,20050622,000000,14.416,14.416,14.26,14.299,289515,0
ILF.US,D,20050623,000000,14.275,14.292,14.012,14.037,351417,0
ILF.US,D,20050624,000000,13.995,14.053,13.966,14.012,257921,0
ILF.US,D,20050627,000000,13.903,14.299,13.889,14.292,321113,0
ILF.US,D,20050628,000000,14.183,14.422,14.183,14.36,280486,0
ILF.US,D,20050629,000000,14.446,14.47,14.391,14.431,312726,0
ILF.US,D,20050630,000000,14.438,14.478,14.36,14.368,344326,0
ILF.US,D,20050701,000000,14.377,14.446,14.377,14.438,103166,0
ILF.US,D,20050705,000000,14.384,14.508,14.354,14.4,372052,0
ILF.US,D,20050706,000000,14.368,14.464,14.292,14.408,280486,0
ILF.US,D,20050707,000000,14.089,14.446,14.089,14.446,449424,0
ILF.US,D,20050708,000000,14.539,14.61,14.501,14.579,632547,0
ILF.US,D,20050711,000000,14.655,14.803,14.642,14.718,462964,0
ILF.US,D,20050712,000000,14.773,14.859,14.765,14.843,295317,0
ILF.US,D,20050713,000000,14.927,14.934,14.859,14.897,237286,0
ILF.US,D,20050714,000000,15.044,15.044,14.859,14.889,369470,0
ILF.US,D,20050715,000000,14.773,14.796,14.702,14.765,444267,0
ILF.US,D,20050718,000000,14.711,14.796,14.702,14.765,321759,0
ILF.US,D,20050719,000000,14.773,14.881,14.756,14.881,373984,0
ILF.US,D,20050720,000000,14.873,15.072,14.851,15.072,336586,0
ILF.US,D,20050721,000000,15.177,15.19,14.994,15.044,450068,0
ILF.US,D,20050722,000000,15.097,15.106,14.986,15.021,177319,0
ILF.US,D,20050725,000000,14.865,14.897,14.524,14.524,553883,0
ILF.US,D,20050726,000000,14.524,14.749,14.464,14.671,361087,0
ILF.US,D,20050727,000000,14.756,14.889,14.663,14.889,458451,0
ILF.US,D,20050728,000000,14.966,15.222,14.966,15.159,683488,0
ILF.US,D,20050729,000000,15.269,15.319,15.19,15.222,591282,0
ILF.US,D,20050801,000000,15.355,15.549,15.355,15.515,544858,0
ILF.US,D,20050802,000000,15.696,15.82,15.696,15.814,774407,0
ILF.US,D,20050803,000000,15.975,15.99,15.79,15.814,553883,0
ILF.US,D,20050804,000000,15.849,15.927,15.712,15.781,1174826,0
ILF.US,D,20050805,000000,15.881,15.881,15.563,15.663,1085844,0
ILF.US,D,20050808,000000,15.756,15.875,15.748,15.814,508745,0
ILF.US,D,20050809,000000,15.897,16.122,15.858,16.122,482954,0
ILF.US,D,20050810,000000,16.284,16.44,16.215,16.268,1345697,0
ILF.US,D,20050811,000000,16.307,16.346,15.944,16.02,1159995,0
ILF.US,D,20050812,000000,15.756,15.952,15.679,15.937,729914,0
ILF.US,D,20050815,000000,16.067,16.207,15.975,16.199,341098,0
ILF.US,D,20050816,000000,16.261,16.268,15.867,15.867,443626,0
ILF.US,D,20050817,000000,15.867,15.981,15.84,15.875,929156,0
ILF.US,D,20050818,000000,15.867,15.881,15.696,15.718,447492,0
ILF.US,D,20050819,000000,15.734,15.805,15.307,15.424,1009759,0
ILF.US,D,20050822,000000,15.626,15.825,15.626,15.825,452648,0
ILF.US,D,20050823,000000,15.825,15.825,15.542,15.61,717665,0
ILF.US,D,20050824,000000,15.494,15.578,15.377,15.377,430082,0
ILF.US,D,20050825,000000,15.494,15.756,15.494,15.756,989765,0
ILF.US,D,20050826,000000,15.781,15.79,15.563,15.626,400423,0
ILF.US,D,20050829,000000,15.556,15.79,15.556,15.79,212784,0
ILF.US,D,20050830,000000,15.825,15.832,15.61,15.679,265014,0
ILF.US,D,20050831,000000,15.875,16.106,15.858,16.082,426214,0
ILF.US,D,20050901,000000,16.245,16.354,16.098,16.291,555818,0
ILF.US,D,20050902,000000,16.44,16.602,16.4,16.594,480376,0
ILF.US,D,20050906,000000,16.84,16.951,16.741,16.951,925287,0
ILF.US,D,20050907,000000,16.937,17.005,16.828,16.997,836948,0
ILF.US,D,20050908,000000,16.967,16.99,16.905,16.928,434595,0
ILF.US,D,20050909,000000,16.975,17.214,16.928,17.158,638350,0
ILF.US,D,20050912,000000,17.176,17.206,17.044,17.098,735068,0
ILF.US,D,20050913,000000,17.066,17.066,16.828,16.828,562265,0
ILF.US,D,20050914,000000,16.928,16.959,16.866,16.937,422344,0
ILF.US,D,20050915,000000,17.158,17.26,17.114,17.199,520995,0
ILF.US,D,20050916,000000,17.439,17.485,17.347,17.47,560331,0
ILF.US,D,20050919,000000,17.503,17.588,17.494,17.573,664142,0
ILF.US,D,20050920,000000,17.681,17.736,17.494,17.54,759575,0
ILF.US,D,20050921,000000,17.556,18.067,17.556,17.976,2184582,0
ILF.US,D,20050922,000000,18.014,18.02,17.704,17.944,849203,0
ILF.US,D,20050923,000000,17.967,18.083,17.874,18.075,757642,0
ILF.US,D,20050926,000000,18.059,18.199,17.92,18.145,807289,0
ILF.US,D,20050927,000000,18.137,18.153,17.912,18.006,806646,0
ILF.US,D,20050928,000000,18.191,18.384,18.191,18.298,709923,0
ILF.US,D,20050929,000000,17.998,18.479,17.593,18.44,1176761,0
ILF.US,D,20050930,000000,18.433,18.602,18.392,18.593,1045223,0
ILF.US,D,20051003,000000,18.289,18.804,18.289,18.782,1328287,0
ILF.US,D,20051004,000000,18.867,18.881,18.363,18.363,1027169,0
ILF.US,D,20051005,000000,18.145,18.222,17.704,17.711,3506419,0
ILF.US,D,20051006,000000,17.424,17.54,16.719,16.897,4006789,0
ILF.US,D,20051007,000000,17.06,17.642,17.036,17.503,1771909,0
ILF.US,D,20051010,000000,17.803,17.829,17.617,17.642,1387610,0
ILF.US,D,20051011,000000,17.912,17.912,17.781,17.821,1087776,0
ILF.US,D,20051012,000000,17.794,17.794,17.036,17.15,2485058,0
ILF.US,D,20051013,000000,17.192,17.222,16.719,16.928,2682368,0
ILF.US,D,20051014,000000,17.564,17.564,16.619,17.06,1215449,0
ILF.US,D,20051017,000000,17.06,17.417,17.06,17.367,811801,0
ILF.US,D,20051018,000000,17.518,17.518,17.06,17.06,653181,0
ILF.US,D,20051019,000000,16.774,17.192,16.594,17.167,1170313,0
ILF.US,D,20051020,000000,17.267,17.274,16.393,16.414,1630053,0
ILF.US,D,20051021,000000,16.611,16.82,16.477,16.82,729268,0
ILF.US,D,20051024,000000,17.005,17.316,16.967,17.283,857582,0
ILF.US,D,20051025,000000,17.324,17.573,17.167,17.267,753125,0
ILF.US,D,20051026,000000,17.292,17.494,17.292,17.393,1145164,0
ILF.US,D,20051027,000000,17.347,17.385,16.897,17.022,1243174,0
ILF.US,D,20051028,000000,17.09,17.377,17.09,17.367,375276,0
ILF.US,D,20051031,000000,17.6,17.89,17.58,17.821,1555900,0
ILF.US,D,20051101,000000,18.014,18.083,17.874,18.02,3097620,0
ILF.US,D,20051102,000000,18.036,18.289,17.991,18.246,1381159,0
ILF.US,D,20051103,000000,18.425,18.525,17.92,18.153,1744184,0
ILF.US,D,20051104,000000,18.272,18.272,17.936,18.174,1587499,0
ILF.US,D,20051107,000000,18.363,18.363,18.12,18.263,1444353,0
ILF.US,D,20051108,000000,18.075,18.384,18.075,18.338,721532,0
ILF.US,D,20051109,000000,18.378,18.433,18.263,18.324,665432,0
ILF.US,D,20051110,000000,18.255,18.338,18.092,18.298,671237,0
ILF.US,D,20051111,000000,18.306,18.401,18.285,18.378,535183,0
ILF.US,D,20051114,000000,18.183,18.355,18.183,18.289,464255,0
ILF.US,D,20051115,000000,18.363,18.446,18.246,18.285,341744,0
ILF.US,D,20051116,000000,18.392,18.495,18.285,18.495,615785,0
ILF.US,D,20051117,000000,18.795,18.89,18.563,18.867,697031,0
ILF.US,D,20051118,000000,18.835,18.835,18.65,18.719,1425653,0
ILF.US,D,20051121,000000,18.822,18.976,18.758,18.976,1588788,0
ILF.US,D,20051122,000000,18.633,19.114,18.557,19.114,702832,0
ILF.US,D,20051123,000000,19.145,19.314,19.044,19.106,729268,0
ILF.US,D,20051125,000000,19.178,19.307,19.169,19.292,993636,0
ILF.US,D,20051128,000000,19.47,19.479,19.091,19.136,1432745,0
ILF.US,D,20051129,000000,19.161,19.292,19.069,19.084,601600,0
ILF.US,D,20051130,000000,19.006,19.091,18.928,19.006,855649,0
ILF.US,D,20051201,000000,19.292,19.634,19.254,19.634,2448305,0
ILF.US,D,20051202,000000,19.781,19.873,19.689,19.844,1553323,0
ILF.US,D,20051205,000000,19.826,19.89,19.649,19.89,1265097,0
ILF.US,D,20051206,000000,20.107,20.214,20.031,20.214,1266389,0
ILF.US,D,20051207,000000,20.192,20.192,19.572,19.697,1818338,0
ILF.US,D,20051208,000000,19.705,19.705,19.332,19.402,2025964,0
ILF.US,D,20051209,000000,19.402,19.479,19.199,19.463,682844,0
ILF.US,D,20051212,000000,19.619,19.625,19.394,19.454,832437,0
ILF.US,D,20051213,000000,19.757,19.757,19.425,19.689,939475,0
ILF.US,D,20051214,000000,19.649,19.649,19.502,19.605,943343,0
ILF.US,D,20051215,000000,19.495,19.502,19.323,19.417,458451,0
ILF.US,D,20051216,000000,19.409,19.417,19.128,19.222,1049090,0
ILF.US,D,20051219,000000,19.044,19.169,18.75,18.795,2429609,0
ILF.US,D,20051220,000000,18.822,19.052,18.804,19.052,796975,0
ILF.US,D,20051221,000000,19.27,19.487,19.222,19.417,862742,0
ILF.US,D,20051222,000000,19.454,19.479,19.307,19.385,524224,0
ILF.US,D,20051223,000000,19.076,19.161,18.991,19.106,1059406,0
ILF.US,D,20051227,000000,19.121,19.184,18.843,18.928,722822,0
ILF.US,D,20051228,000000,18.852,18.881,18.618,18.743,812448,0
ILF.US,D,20051229,000000,18.758,19.084,18.75,19.036,471348,0
ILF.US,D,20051230,000000,18.946,18.984,18.813,18.984,609983,0
ILF.US,D,20060103,000000,19.3,19.727,19.254,19.719,1794475,0
ILF.US,D,20060104,000000,19.999,20.237,19.913,20.23,3746285,0
ILF.US,D,20060105,000000,20.27,20.286,20.082,20.131,1488198,0
ILF.US,D,20060106,000000,20.417,20.534,20.323,20.503,1561706,0
ILF.US,D,20060109,000000,20.621,20.797,20.518,20.727,1563639,0
ILF.US,D,20060110,000000,20.534,20.58,20.323,20.565,1197392,0
ILF.US,D,20060111,000000,20.665,20.921,20.65,20.913,749258,0
ILF.US,D,20060112,000000,21.122,21.122,20.781,20.867,1337960,0
ILF.US,D,20060113,000000,20.844,20.906,20.766,20.906,942053,0
ILF.US,D,20060117,000000,20.952,20.96,20.426,20.503,1582984,0
ILF.US,D,20060118,000000,19.999,20.301,19.999,20.254,1830586,0
ILF.US,D,20060119,000000,20.665,20.883,20.621,20.804,4100279,0
ILF.US,D,20060120,000000,21.093,21.122,20.665,20.673,1941492,0
ILF.US,D,20060123,000000,20.789,21.006,20.673,20.946,1459827,0
ILF.US,D,20060124,000000,21.315,21.503,21.223,21.465,1031033,0
ILF.US,D,20060125,000000,21.688,21.797,21.371,21.371,1368266,0
ILF.US,D,20060126,000000,21.658,22.091,21.558,22.091,2444435,0
ILF.US,D,20060127,000000,22.395,22.425,21.906,21.969,1995657,0
ILF.US,D,20060130,000000,22.008,22.107,21.884,22.078,1408888,0
ILF.US,D,20060131,000000,22.046,22.325,21.876,22.301,929802,0
ILF.US,D,20060201,000000,22.255,22.31,22.098,22.199,2906758,0
ILF.US,D,20060202,000000,22.222,22.222,21.524,21.704,1494004,0
ILF.US,D,20060203,000000,21.465,21.629,21.023,21.433,2341267,0
ILF.US,D,20060206,000000,21.901,21.906,21.674,21.859,1130334,0
ILF.US,D,20060207,000000,21.541,21.629,21.13,21.202,1225121,0
ILF.US,D,20060208,000000,21.214,21.51,21.093,21.223,1714522,0
ILF.US,D,20060209,000000,21.385,21.587,21.324,21.324,1207711,0
ILF.US,D,20060210,000000,21.587,21.68,21.154,21.315,936246,0
ILF.US,D,20060213,000000,21.202,21.202,20.797,20.867,1775134,0
ILF.US,D,20060214,000000,20.85,21.223,20.657,21.145,1272191,0
ILF.US,D,20060215,000000,21.239,21.518,21.176,21.441,1027169,0
ILF.US,D,20060216,000000,21.629,22.123,21.533,22.107,1165799,0
ILF.US,D,20060217,000000,22.17,22.217,22.03,22.114,936246,0
ILF.US,D,20060221,000000,22.217,22.448,21.991,22.03,1317971,0
ILF.US,D,20060222,000000,22.07,22.263,22.008,22.185,740230,0
ILF.US,D,20060223,000000,22.31,22.341,22.03,22.301,706703,0
ILF.US,D,20060224,000000,22.402,22.495,22.355,22.441,837594,0
ILF.US,D,20060227,000000,22.575,22.575,22.248,22.362,1392120,0
ILF.US,D,20060228,000000,22.238,22.238,21.851,22.063,1584273,0
ILF.US,D,20060301,000000,22.091,22.697,22.091,22.689,3208524,0
ILF.US,D,20060302,000000,22.674,22.775,22.511,22.689,1027813,0
ILF.US,D,20060303,000000,22.402,22.758,22.301,22.697,1383739,0
ILF.US,D,20060306,000000,22.767,22.791,22.078,22.133,1096161,0
ILF.US,D,20060307,000000,21.901,21.901,21.04,21.379,3498685,0
ILF.US,D,20060308,000000,21.093,21.169,20.635,21.083,3381329,0
ILF.US,D,20060309,000000,21.324,21.503,20.743,20.836,1357305,0
ILF.US,D,20060310,000000,20.83,21.239,20.759,21.138,1510766,0
ILF.US,D,20060313,000000,21.315,21.503,21.239,21.293,1443707,0
ILF.US,D,20060314,000000,21.324,21.805,21.308,21.79,875638,0
ILF.US,D,20060315,000000,22.024,22.255,21.969,22.248,1285731,0
ILF.US,D,20060316,000000,22.402,22.487,22.123,22.285,944630,0
ILF.US,D,20060317,000000,22.362,22.362,22.133,22.161,1198040,0
ILF.US,D,20060320,000000,22.325,22.425,22.133,22.222,577092,0
ILF.US,D,20060321,000000,22.217,22.217,21.658,21.728,1101315,0
ILF.US,D,20060322,000000,21.635,21.893,21.441,21.884,1024586,0
ILF.US,D,20060323,000000,22.085,22.114,21.572,21.611,1415336,0
ILF.US,D,20060324,000000,21.758,21.936,21.649,21.842,1383094,0
ILF.US,D,20060327,000000,21.658,21.743,21.533,21.658,1782226,0
ILF.US,D,20060328,000000,21.324,21.495,21.015,21.023,2506338,0
ILF.US,D,20060329,000000,21.116,21.433,21.067,21.418,2590160,0
ILF.US,D,20060330,000000,21.758,21.893,21.478,21.658,2368996,0
ILF.US,D,20060331,000000,21.766,21.766,21.524,21.666,1103251,0
ILF.US,D,20060403,000000,21.893,22.325,21.884,22.208,1153547,0
ILF.US,D,20060404,000000,22.369,22.481,22.248,22.369,804712,0
ILF.US,D,20060405,000000,22.519,22.557,22.238,22.548,867255,0
ILF.US,D,20060406,000000,22.603,22.72,22.378,22.54,878215,0
ILF.US,D,20060407,000000,22.61,22.61,22.024,22.114,1515279,0
ILF.US,D,20060410,000000,22.078,22.222,21.936,22.056,1117440,0
ILF.US,D,20060411,000000,22.17,22.238,21.783,21.828,2686882,0
ILF.US,D,20060412,000000,21.969,22.015,21.783,21.876,962686,0
ILF.US,D,20060413,000000,21.766,22.008,21.642,21.884,506168,0
ILF.US,D,20060417,000000,22.056,22.248,22.046,22.199,762155,0
ILF.US,D,20060418,000000,22.425,22.882,22.402,22.783,1546874,0
ILF.US,D,20060419,000000,22.868,23.046,22.758,23.029,948501,0
ILF.US,D,20060420,000000,23.582,23.582,22.751,22.892,941409,0
ILF.US,D,20060421,000000,23.021,23.432,22.999,23.27,1118081,0
ILF.US,D,20060424,000000,23.177,23.177,22.945,23.147,738942,0
ILF.US,D,20060425,000000,23.233,23.254,22.92,23.015,602890,0
ILF.US,D,20060426,000000,23.169,23.441,23.163,23.301,713151,0
ILF.US,D,20060427,000000,23.177,23.319,22.704,22.961,875638,0
ILF.US,D,20060428,000000,23.177,23.481,23.163,23.441,489401,0
ILF.US,D,20060501,000000,23.644,23.851,23.565,23.595,667369,0
ILF.US,D,20060502,000000,23.653,24.123,23.595,24.117,3434203,0
ILF.US,D,20060503,000000,24.154,24.154,23.766,24.015,1129689,0
ILF.US,D,20060504,000000,24.055,24.201,24.023,24.132,734427,0
ILF.US,D,20060505,000000,24.295,24.552,24.295,24.48,1893780,0
ILF.US,D,20060508,000000,24.526,24.713,24.418,24.713,942697,0
ILF.US,D,20060509,000000,24.759,25.031,24.675,25.031,1143230,0
ILF.US,D,20060510,000000,24.992,25.155,24.722,24.913,1778355,0
ILF.US,D,20060511,000000,24.822,24.822,24.015,24.224,1732575,0
