<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWN.US,D,20050225,000000,50.967,51.888,50.889,51.888,3873913,0
IWN.US,D,20050228,000000,51.806,51.919,51.187,51.603,4295055,0
IWN.US,D,20050301,000000,51.765,52.134,51.618,52.108,888502,0
IWN.US,D,20050302,000000,51.849,52.347,51.716,51.88,649319,0
IWN.US,D,20050303,000000,52.037,52.279,51.693,52.068,1222704,0
IWN.US,D,20050304,000000,52.379,52.86,52.215,52.797,1135763,0
IWN.US,D,20050307,000000,52.803,53.026,52.648,52.716,1099807,0
IWN.US,D,20050308,000000,52.648,52.774,52.157,52.175,865395,0
IWN.US,D,20050309,000000,51.996,52.184,51.643,51.643,1483538,0
IWN.US,D,20050310,000000,51.618,51.772,51.208,51.414,834583,0
IWN.US,D,20050311,000000,51.534,51.78,51.179,51.342,967378,0
IWN.US,D,20050314,000000,51.586,51.831,51.414,51.831,567145,0
IWN.US,D,20050315,000000,51.969,52.166,51.379,51.519,614839,0
IWN.US,D,20050316,000000,51.438,51.502,51.036,51.208,1589554,0
IWN.US,D,20050317,000000,51.208,51.534,51.036,51.308,1013968,0
IWN.US,D,20050318,000000,51.37,51.37,50.913,51.045,1261591,0
IWN.US,D,20050321,000000,51.17,51.233,50.794,51.045,699582,0
IWN.US,D,20050322,000000,50.988,51.667,50.701,50.76,1467392,0
IWN.US,D,20050323,000000,50.62,50.62,50.202,50.253,1292037,0
IWN.US,D,20050324,000000,50.185,50.596,50.115,50.185,977651,0
IWN.US,D,20050328,000000,50.228,50.472,50.115,50.244,840817,0
IWN.US,D,20050329,000000,50.105,50.555,49.319,49.517,1898806,0
IWN.US,D,20050330,000000,49.615,50.253,49.615,50.228,1312583,0
IWN.US,D,20050331,000000,50.228,50.335,49.965,50.228,1137593,0
IWN.US,D,20050401,000000,50.399,50.76,49.738,49.965,1937691,0
IWN.US,D,20050404,000000,50.022,50.383,49.607,50.244,913087,0
IWN.US,D,20050405,000000,50.293,50.449,50.147,50.349,857693,0
IWN.US,D,20050406,000000,50.433,50.812,50.366,50.472,661795,0
IWN.US,D,20050407,000000,50.269,50.84,50.172,50.686,980948,0
IWN.US,D,20050408,000000,50.678,50.692,49.876,49.876,811101,0
IWN.US,D,20050411,000000,49.99,49.99,49.508,49.656,466998,0
IWN.US,D,20050412,000000,49.557,50.278,49.143,50.147,1413463,0
IWN.US,D,20050413,000000,50.03,50.139,49.264,49.411,699947,0
IWN.US,D,20050414,000000,49.335,49.477,48.461,48.533,2780343,0
IWN.US,D,20050415,000000,48.435,48.666,47.469,47.742,3242937,0
IWN.US,D,20050418,000000,47.675,48.198,47.318,48.003,1774074,0
IWN.US,D,20050419,000000,48.347,48.769,48.347,48.739,3372064,0
IWN.US,D,20050420,000000,48.839,48.839,47.895,47.977,1048450,0
IWN.US,D,20050421,000000,48.47,49.066,48.119,49.066,1427404,0
IWN.US,D,20050422,000000,49.066,49.066,47.825,48.33,1428142,0
IWN.US,D,20050425,000000,48.551,48.881,48.412,48.872,797527,0
IWN.US,D,20050426,000000,48.699,49.05,48.112,48.207,1152268,0
IWN.US,D,20050427,000000,47.977,48.533,47.613,48.275,1170610,0
IWN.US,D,20050428,000000,47.977,48.003,47.127,47.133,1003330,0
IWN.US,D,20050429,000000,47.488,47.683,46.781,47.613,2481727,0
IWN.US,D,20050502,000000,47.733,48.163,47.629,48.127,836413,0
IWN.US,D,20050503,000000,48.104,48.484,47.88,48.321,911255,0
IWN.US,D,20050504,000000,48.356,48.977,48.18,48.872,1394024,0
IWN.US,D,20050505,000000,48.926,49.222,48.568,48.904,1385218,0
IWN.US,D,20050506,000000,49.256,49.256,48.823,48.952,1253149,0
IWN.US,D,20050509,000000,48.986,49.458,48.778,49.458,677564,0
IWN.US,D,20050510,000000,49.214,49.494,48.769,48.926,396193,0
IWN.US,D,20050511,000000,49.066,49.135,48.356,48.961,1023870,0
IWN.US,D,20050512,000000,49.171,49.189,48.055,48.156,2469622,0
IWN.US,D,20050513,000000,48.347,48.347,47.357,47.85,1087336,0
IWN.US,D,20050516,000000,47.757,48.612,47.757,48.612,647858,0
IWN.US,D,20050517,000000,48.492,48.968,48.207,48.926,1170245,0
IWN.US,D,20050518,000000,49.148,49.911,49.148,49.785,1618167,0
IWN.US,D,20050519,000000,49.86,50.155,49.704,50.007,1239213,0
IWN.US,D,20050520,000000,50.007,50.039,49.615,49.902,1015434,0
IWN.US,D,20050523,000000,50.073,50.458,49.99,50.349,867595,0
IWN.US,D,20050524,000000,50.09,50.349,49.99,50.105,777720,0
IWN.US,D,20050525,000000,50.147,50.147,49.582,49.656,644920,0
IWN.US,D,20050526,000000,49.902,50.375,49.884,50.349,483504,0
IWN.US,D,20050527,000000,50.433,50.701,50.172,50.701,435446,0
IWN.US,D,20050531,000000,50.767,50.855,50.433,50.472,850722,0
IWN.US,D,20050601,000000,50.579,51.29,50.555,51.145,1649349,0
IWN.US,D,20050602,000000,51.249,51.397,50.975,51.241,1070831,0
IWN.US,D,20050603,000000,51.17,51.414,50.812,50.949,2049215,0
IWN.US,D,20050606,000000,50.881,51.257,50.826,51.202,1482432,0
IWN.US,D,20050607,000000,51.423,51.874,51.208,51.317,1492706,0
IWN.US,D,20050608,000000,51.379,51.595,51.005,51.005,1029743,0
IWN.US,D,20050609,000000,51.11,51.611,50.804,51.519,694078,0
IWN.US,D,20050610,000000,51.355,51.686,51.355,51.634,550029,0
IWN.US,D,20050613,000000,51.561,51.952,51.414,51.888,660816,0
IWN.US,D,20050614,000000,51.888,52.379,51.693,52.379,482652,0
IWN.US,D,20050615,000000,52.504,52.58,51.979,52.58,648587,0
IWN.US,D,20050616,000000,52.58,53.069,52.494,52.969,819416,0
IWN.US,D,20050617,000000,53.278,53.49,52.935,52.943,572039,0
IWN.US,D,20050620,000000,52.787,52.978,52.606,52.78,1593591,0
IWN.US,D,20050621,000000,52.787,52.91,52.562,52.665,651522,0
IWN.US,D,20050622,000000,52.91,53.077,52.513,52.852,1312951,0
IWN.US,D,20050623,000000,52.875,52.918,52.006,52.084,1102621,0
IWN.US,D,20050624,000000,51.969,52.051,50.489,51.603,2168195,0
IWN.US,D,20050627,000000,51.578,51.78,51.397,51.765,1152145,0
IWN.US,D,20050628,000000,51.969,52.809,51.911,52.809,1625623,0
IWN.US,D,20050629,000000,52.826,52.996,52.624,52.809,919565,0
IWN.US,D,20050630,000000,52.91,53.157,52.46,52.58,1982812,0
IWN.US,D,20050701,000000,52.665,53.026,52.544,52.952,709976,0
IWN.US,D,20050705,000000,52.756,53.646,52.716,53.646,832989,0
IWN.US,D,20050706,000000,53.728,53.802,53.204,53.237,794222,0
IWN.US,D,20050707,000000,52.747,53.402,52.47,53.278,1053955,0
IWN.US,D,20050708,000000,53.32,54.437,53.269,54.357,990978,0
IWN.US,D,20050711,000000,54.465,55.159,54.422,55.093,2124174,0
IWN.US,D,20050712,000000,55.034,55.371,54.751,54.947,1246551,0
IWN.US,D,20050713,000000,54.989,55.078,54.563,54.791,498180,0
IWN.US,D,20050714,000000,55.118,55.265,54.253,54.317,797650,0
IWN.US,D,20050715,000000,54.342,54.489,53.915,54.326,885208,0
IWN.US,D,20050718,000000,54.3,54.374,53.841,54.097,1070096,0
IWN.US,D,20050719,000000,54.399,54.915,54.186,54.83,786278,0
IWN.US,D,20050720,000000,54.626,55.623,54.563,55.533,1572920,0
IWN.US,D,20050721,000000,55.362,55.446,54.547,54.602,2044932,0
IWN.US,D,20050722,000000,54.668,55.587,54.659,55.52,1428018,0
IWN.US,D,20050725,000000,55.486,55.78,54.915,55.078,1014092,0
IWN.US,D,20050726,000000,55.242,55.543,54.947,55.405,849743,0
IWN.US,D,20050727,000000,55.486,55.493,54.838,55.462,1069119,0
IWN.US,D,20050728,000000,55.525,55.966,55.226,55.966,1226988,0
IWN.US,D,20050729,000000,55.983,56.148,55.502,55.756,2597284,0
IWN.US,D,20050801,000000,55.912,56.058,55.674,55.795,1439513,0
IWN.US,D,20050802,000000,55.812,56.321,55.812,56.271,1524623,0
IWN.US,D,20050803,000000,55.936,56.116,55.78,55.84,1452349,0
IWN.US,D,20050804,000000,55.649,55.724,54.838,54.957,1688233,0
IWN.US,D,20050805,000000,54.83,54.83,53.893,54.105,1510802,0
IWN.US,D,20050808,000000,54.342,54.437,53.702,53.893,1424718,0
IWN.US,D,20050809,000000,54.005,54.195,53.719,53.99,903178,0
IWN.US,D,20050810,000000,54.275,54.593,53.472,53.885,1499187,0
IWN.US,D,20050811,000000,53.833,54.391,53.711,54.333,1437311,0
IWN.US,D,20050812,000000,54.057,54.112,53.368,53.786,1119989,0
IWN.US,D,20050815,000000,53.728,54.446,53.472,54.22,713272,0
IWN.US,D,20050816,000000,54.097,54.097,53.294,53.359,592947,0
IWN.US,D,20050817,000000,53.425,53.77,53.197,53.303,1231389,0
IWN.US,D,20050818,000000,53.054,53.402,52.918,53.122,919687,0
IWN.US,D,20050819,000000,53.197,53.376,53.041,53.278,705447,0
IWN.US,D,20050822,000000,53.402,53.702,53.197,53.702,1552013,0
IWN.US,D,20050823,000000,53.794,53.81,53.14,53.656,767934,0
IWN.US,D,20050824,000000,53.533,54.057,53.157,53.417,668764,0
IWN.US,D,20050825,000000,53.605,53.867,53.472,53.794,591114,0
IWN.US,D,20050826,000000,53.77,53.77,52.885,52.91,630613,0
IWN.US,D,20050829,000000,52.826,53.572,52.58,53.524,676591,0
IWN.US,D,20050830,000000,53.32,53.441,52.996,53.294,873096,0
IWN.US,D,20050831,000000,53.359,54.446,53.14,54.446,1250831,0
IWN.US,D,20050901,000000,54.382,54.743,54.168,54.446,929838,0
IWN.US,D,20050902,000000,54.547,54.618,53.982,54.135,675365,0
IWN.US,D,20050906,000000,54.3,54.995,54.259,54.915,709731,0
IWN.US,D,20050907,000000,54.915,55.118,54.694,55.085,1472283,0
IWN.US,D,20050908,000000,54.957,54.995,54.456,54.668,859281,0
IWN.US,D,20050909,000000,54.83,55.11,54.76,54.995,576323,0
IWN.US,D,20050912,000000,55.034,55.552,54.847,55.274,977651,0
IWN.US,D,20050913,000000,55.201,55.201,54.659,54.797,987553,0
IWN.US,D,20050914,000000,54.915,54.995,54.135,54.259,513343,0
IWN.US,D,20050915,000000,54.382,54.431,54.03,54.195,502949,0
IWN.US,D,20050916,000000,54.547,54.813,54.266,54.694,1098832,0
IWN.US,D,20050919,000000,56.271,56.271,53.096,54.399,332852,0
IWN.US,D,20050920,000000,54.563,54.659,53.597,53.646,1525842,0
IWN.US,D,20050921,000000,53.646,53.646,52.797,52.797,1124269,0
IWN.US,D,20050922,000000,52.875,53.244,52.33,53.069,1581485,0
IWN.US,D,20050923,000000,52.747,53.294,52.452,53.252,720609,0
IWN.US,D,20050926,000000,53.441,53.743,53.223,53.524,612027,0
IWN.US,D,20050927,000000,53.481,53.665,52.952,53.32,674756,0
IWN.US,D,20050928,000000,53.481,53.481,52.724,53.077,761329,0
IWN.US,D,20050929,000000,53.113,53.841,52.78,53.794,925192,0
IWN.US,D,20050930,000000,53.85,54.039,53.597,53.915,1363574,0
IWN.US,D,20051003,000000,54.097,54.489,54.013,54.228,1944047,0
IWN.US,D,20051004,000000,54.415,54.497,53.402,53.402,2746223,0
IWN.US,D,20051005,000000,53.402,53.402,52.051,52.126,2514252,0
IWN.US,D,20051006,000000,52.091,52.513,51.233,51.866,1588327,0
IWN.US,D,20051007,000000,52.134,52.386,51.866,52.191,1507011,0
IWN.US,D,20051010,000000,52.337,52.337,51.618,51.765,1226745,0
IWN.US,D,20051011,000000,51.849,52.059,51.022,51.022,2430489,0
IWN.US,D,20051012,000000,51.029,51.241,49.99,50.349,2145816,0
IWN.US,D,20051013,000000,50.449,50.767,49.936,50.628,5406120,0
IWN.US,D,20051014,000000,51.084,51.438,50.366,51.397,1936466,0
IWN.US,D,20051017,000000,51.317,51.611,50.727,51.388,3251744,0
IWN.US,D,20051018,000000,51.325,51.561,50.661,50.751,1063128,0
IWN.US,D,20051019,000000,50.579,51.798,50.172,51.78,1548345,0
IWN.US,D,20051020,000000,51.849,51.866,50.48,50.949,1514472,0
IWN.US,D,20051021,000000,51.029,51.74,51.029,51.48,1258044,0
IWN.US,D,20051024,000000,51.447,52.544,51.447,52.544,1131356,0
IWN.US,D,20051025,000000,52.504,52.528,51.586,52.166,1138451,0
IWN.US,D,20051026,000000,51.969,52.556,51.611,51.7,695546,0
IWN.US,D,20051027,000000,51.643,51.667,50.67,50.855,1733234,0
IWN.US,D,20051028,000000,51.11,51.823,50.794,51.643,1642624,0
IWN.US,D,20051031,000000,52.175,52.817,52.134,52.134,2298792,0
IWN.US,D,20051101,000000,52.418,52.639,52.091,52.485,785300,0
IWN.US,D,20051102,000000,52.379,53.417,52.255,53.417,930568,0
IWN.US,D,20051103,000000,54.236,54.236,53.237,53.459,2051415,0
IWN.US,D,20051104,000000,53.524,53.572,52.978,53.376,2115245,0
IWN.US,D,20051107,000000,53.564,53.85,53.252,53.548,629511,0
IWN.US,D,20051108,000000,53.402,53.409,53.041,53.351,708871,0
IWN.US,D,20051109,000000,53.237,53.907,53.113,53.472,1205218,0
IWN.US,D,20051110,000000,53.564,54.013,52.826,53.841,2583096,0
