<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVQ.US,D,20201204,000000,25.61,25.91,25.595,25.839,5956,0
NVQ.US,D,20201207,000000,27.639,27.639,25.69,25.725,5274,0
NVQ.US,D,20201208,000000,25.86,25.864,25.86,25.864,658,0
NVQ.US,D,20201209,000000,25.91,25.91,25.65,25.659,743,0
NVQ.US,D,20201210,000000,25.64,25.65,25.56,25.649,621,0
NVQ.US,D,20201211,000000,25.61,25.61,25.396,25.396,1415,0
NVQ.US,D,20201214,000000,25.69,25.69,25.576,25.576,852,0
NVQ.US,D,20201215,000000,25.83,26.083,25.76,26.083,423,0
NVQ.US,D,20201216,000000,26.08,26.08,26.02,26.051,403,0
NVQ.US,D,20201217,000000,26.165,26.283,26.165,26.283,121,0
NVQ.US,D,20201218,000000,26.28,26.29,26.181,26.181,331,0
NVQ.US,D,20201221,000000,25.99,26.046,25.99,26.046,558,0
NVQ.US,D,20201222,000000,26.06,26.16,26.06,26.148,1244,0
NVQ.US,D,20201223,000000,26.42,26.42,26.349,26.349,592,0
NVQ.US,D,20201224,000000,26.277,26.277,26.277,26.277,41,0
NVQ.US,D,20201228,000000,26.425,26.425,26.3206,26.3206,212,0
NVQ.US,D,20201229,000000,26.36,26.42,26.05,26.0738,2391,0
NVQ.US,D,20201230,000000,26.3868,26.3868,26.3868,26.3868,182,0
NVQ.US,D,20201231,000000,26.26,26.56,26.26,26.5317,1000,0
NVQ.US,D,20210104,000000,26.65,26.65,26.3024,26.3024,2125,0
NVQ.US,D,20210105,000000,26.707,26.707,26.707,26.707,170,0
NVQ.US,D,20210106,000000,27.57,27.5845,27.57,27.5845,159,0
NVQ.US,D,20210107,000000,28.2005,28.2005,28.2005,28.2005,43,0
NVQ.US,D,20210108,000000,28.1771,28.1771,28.1771,28.1771,691,0
NVQ.US,D,20210111,000000,28.01,28.3273,28.01,28.3273,660,0
NVQ.US,D,20210112,000000,28.55,28.6889,28.55,28.6889,208,0
NVQ.US,D,20210113,000000,28.63,28.63,28.53,28.53,578,0
NVQ.US,D,20210114,000000,28.8302,28.8302,28.8302,28.8302,91,0
NVQ.US,D,20210115,000000,28.65,28.65,28.4845,28.4845,678,0
NVQ.US,D,20210119,000000,28.9699,28.9738,28.9699,28.9738,509,0
NVQ.US,D,20210120,000000,29.1284,29.1284,29.1284,29.1284,204,0
NVQ.US,D,20210121,000000,29.13,29.13,29.1244,29.1244,372,0
NVQ.US,D,20210122,000000,28.97,29.0492,28.91,29.0492,1555,0
NVQ.US,D,20210125,000000,28.82,28.9326,28.82,28.9326,312,0
NVQ.US,D,20210126,000000,28.7,28.7,28.6467,28.6467,206,0
NVQ.US,D,20210127,000000,27.88,27.9179,27.85,27.9179,441,0
NVQ.US,D,20210128,000000,28.14,28.238,28.14,28.238,261,0
NVQ.US,D,20210129,000000,28.0328,28.0328,27.8555,27.8555,1059,0
NVQ.US,D,20210201,000000,27.85,28.1867,27.85,28.1867,165,0
NVQ.US,D,20210202,000000,28.5721,28.5721,28.5721,28.5721,29,0
NVQ.US,D,20210203,000000,28.7915,28.7915,28.7915,28.7915,148,0
NVQ.US,D,20210204,000000,28.93,29.07,28.93,29.0431,727,0
NVQ.US,D,20210205,000000,29.14,29.4148,29.11,29.4148,1040,0
NVQ.US,D,20210208,000000,29.96,29.99,29.84,29.9351,2943,0
NVQ.US,D,20210209,000000,29.97,30.2684,29.97,30.2684,1145,0
NVQ.US,D,20210210,000000,30.32,30.38,29.9953,29.9953,914,0
NVQ.US,D,20210211,000000,30.02,30.1922,29.95,30.1922,521,0
NVQ.US,D,20210212,000000,30.48,30.52,30.47,30.4809,1028,0
NVQ.US,D,20210216,000000,30.7,30.7,30.3001,30.3001,2856,0
NVQ.US,D,20210217,000000,30.08,30.08,29.91,30.0078,2080,0
NVQ.US,D,20210218,000000,29.83,29.83,29.61,29.6753,928,0
NVQ.US,D,20210219,000000,30.0521,30.0521,30.0521,30.0521,76,0
NVQ.US,D,20210222,000000,29.93,29.93,29.77,29.77,731,0
NVQ.US,D,20210223,000000,29.02,29.5326,28.8,29.5326,652,0
NVQ.US,D,20210224,000000,29.74,30.29,29.74,30.2844,4066,0
NVQ.US,D,20210225,000000,30.4,30.4,29.3413,29.3413,963,0
NVQ.US,D,20210226,000000,29.72,29.72,29.511,29.511,173,0
NVQ.US,D,20210301,000000,30.23,30.3197,30.23,30.3197,379,0
NVQ.US,D,20210302,000000,30.29,30.29,29.9619,29.9619,979,0
NVQ.US,D,20210303,000000,29.8,29.8,29.7188,29.7188,250,0
NVQ.US,D,20210304,000000,29.6,29.6,28.8439,28.8439,592,0
NVQ.US,D,20210305,000000,29.905,29.905,28.91,29.6057,619,0
NVQ.US,D,20210308,000000,29.84,30.0999,29.7803,29.7803,1717,0
NVQ.US,D,20210309,000000,30,30.18,30,30.0328,1033,0
NVQ.US,D,20210310,000000,30.1646,30.1646,30.1646,30.1646,17,0
NVQ.US,D,20210311,000000,30.45,30.5325,30.45,30.5325,639,0
NVQ.US,D,20210312,000000,30.8503,30.8503,30.8503,30.8503,294,0
NVQ.US,D,20210315,000000,31.26,31.26,31.2323,31.2323,497,0
NVQ.US,D,20210316,000000,31.23,31.23,31.0867,31.0867,289,0
NVQ.US,D,20210317,000000,31.06,31.3973,31.06,31.3973,515,0
NVQ.US,D,20210318,000000,31.18,31.26,30.81,30.8181,1797,0
NVQ.US,D,20210319,000000,31.01,31.2,30.955,30.955,1230,0
NVQ.US,D,20210322,000000,30.84,31.03,30.81,30.9969,1601,0
NVQ.US,D,20210323,000000,30.94,30.95,29.9438,29.9438,2694,0
NVQ.US,D,20210324,000000,30.1,30.1,29.6986,29.6986,951,0
NVQ.US,D,20210325,000000,30.1753,30.1753,30.1753,30.1753,270,0
NVQ.US,D,20210326,000000,30.32,30.7475,30.32,30.7475,571,0
NVQ.US,D,20210329,000000,30.45,30.62,30.45,30.4549,473,0
NVQ.US,D,20210330,000000,30.44,30.6038,30.44,30.6038,732,0
NVQ.US,D,20210331,000000,30.86,30.86,30.74,30.7982,646,0
NVQ.US,D,20210401,000000,31,31.16,31,31.16,3383,0
NVQ.US,D,20210405,000000,31.49,31.6041,31.49,31.6041,591,0
NVQ.US,D,20210406,000000,31.59,31.59,31.5363,31.5363,753,0
NVQ.US,D,20210407,000000,31.3217,31.3217,31.3217,31.3217,108,0
NVQ.US,D,20210408,000000,31.59,31.59,31.4067,31.4067,155,0
NVQ.US,D,20210409,000000,31.35,31.5236,31.35,31.5236,1142,0
NVQ.US,D,20210412,000000,31.45,31.5529,31.45,31.5529,2828,0
NVQ.US,D,20210413,000000,31.33,31.36,31.255,31.3579,1923,0
NVQ.US,D,20210414,000000,31.6687,31.75,31.4514,31.4514,2833,0
NVQ.US,D,20210415,000000,31.59,31.59,31.4,31.54,10533,0
NVQ.US,D,20210416,000000,31.55,31.6099,31.54,31.565,3241,0
NVQ.US,D,20210419,000000,31.56,31.56,31.1,31.1029,3434,0
NVQ.US,D,20210420,000000,30.63,30.7247,30.59,30.7247,3050,0
NVQ.US,D,20210421,000000,30.91,31.3173,30.91,31.3173,908,0
NVQ.US,D,20210422,000000,31.38,31.38,30.9818,30.9818,963,0
NVQ.US,D,20210423,000000,31.34,31.585,31.34,31.514,530,0
NVQ.US,D,20210426,000000,31.72,31.72,31.6409,31.6409,446,0
NVQ.US,D,20210427,000000,31.805,31.9544,31.805,31.9544,2038,0
NVQ.US,D,20210428,000000,31.97,31.97,31.9364,31.9364,357,0
NVQ.US,D,20210429,000000,32.03,32.048,31.74,31.9524,1620,0
NVQ.US,D,20210430,000000,31.66,31.66,31.6155,31.6155,418,0
NVQ.US,D,20210503,000000,31.9935,32.06,31.9935,32.042,951,0
NVQ.US,D,20210504,000000,31.96,31.96,31.7,31.9313,572,0
NVQ.US,D,20210505,000000,32.2122,32.2122,32.2122,32.2122,4,0
NVQ.US,D,20210506,000000,32.21,32.3488,31.91,32.3488,1002,0
NVQ.US,D,20210507,000000,32.932,32.932,32.932,32.932,396,0
NVQ.US,D,20210510,000000,33.08,33.11,32.5783,32.5783,1473,0
NVQ.US,D,20210511,000000,31.95,32.2305,31.95,32.1436,901,0
NVQ.US,D,20210512,000000,31.96,31.96,31.2608,31.2608,480,0
NVQ.US,D,20210513,000000,31.89,31.94,31.57,31.7689,1739,0
NVQ.US,D,20210514,000000,32.605,32.61,32.5711,32.5711,588,0
NVQ.US,D,20210517,000000,32.57,32.9007,32.43,32.9007,2011,0
NVQ.US,D,20210518,000000,33.4,33.4,32.76,32.8205,11486,0
NVQ.US,D,20210519,000000,33.99,33.99,31.75,32.1505,4762,0
NVQ.US,D,20210520,000000,31.95,32.15,31.95,32.0978,1215,0
NVQ.US,D,20210521,000000,32.43,32.43,32.2277,32.2277,772,0
NVQ.US,D,20210524,000000,32.46,32.65,32.46,32.4684,639,0
NVQ.US,D,20210525,000000,32.3,32.34,32.18,32.2061,2047,0
NVQ.US,D,20210526,000000,32.5301,32.7,32.528,32.6979,1803,0
NVQ.US,D,20210527,000000,33.03,33.2,33.03,33.1946,3253,0
NVQ.US,D,20210528,000000,32.97,33.19,32.92,32.9952,3803,0
NVQ.US,D,20210601,000000,33.41,33.41,33.27,33.3617,1505,0
NVQ.US,D,20210602,000000,33.28,33.4323,33.28,33.4323,3952,0
NVQ.US,D,20210603,000000,33.16,33.4395,33.16,33.2033,3844,0
NVQ.US,D,20210604,000000,33.06,33.2271,33.05,33.2271,5468,0
NVQ.US,D,20210607,000000,33.26,33.311,33.22,33.311,1564,0
NVQ.US,D,20210608,000000,33.55,33.57,33.52,33.5495,1598,0
NVQ.US,D,20210609,000000,33.29,33.37,33.1441,33.1441,1771,0
NVQ.US,D,20210610,000000,33.01,33.01,32.7652,32.7652,2767,0
NVQ.US,D,20210611,000000,32.77,33.1111,32.77,33.1111,813,0
NVQ.US,D,20210614,000000,32.68,32.7495,32.68,32.7495,1096,0
NVQ.US,D,20210615,000000,32.55,32.8009,32.55,32.8009,461,0
NVQ.US,D,20210616,000000,32.49,32.7,32.49,32.6149,883,0
NVQ.US,D,20210617,000000,32.5499,32.5499,31.9,32.0066,1916,0
NVQ.US,D,20210618,000000,31.588,31.588,31.4467,31.4467,1218,0
NVQ.US,D,20210621,000000,32.27,32.27,31.9587,32.02,1111,0
NVQ.US,D,20210622,000000,32.059,32.205,32.059,32.1587,1511,0
NVQ.US,D,20210623,000000,32.34,32.38,32.23,32.2617,2601,0
NVQ.US,D,20210624,000000,32.2407,32.4776,32.2407,32.4776,1119,0
NVQ.US,D,20210625,000000,32.63,32.6401,32.5883,32.5883,319,0
NVQ.US,D,20210628,000000,32.53,32.53,32.23,32.3111,757,0
NVQ.US,D,20210629,000000,32.29,32.37,32.2082,32.2082,4236,0
NVQ.US,D,20210630,000000,32.4152,32.4152,32.4152,32.4152,67,0
NVQ.US,D,20210701,000000,32.4411,32.4411,32.4411,32.4411,311,0
NVQ.US,D,20210702,000000,32.355,32.355,32.2683,32.2683,336,0
NVQ.US,D,20210706,000000,32.05,32.05,31.59,31.7897,3139,0
NVQ.US,D,20210707,000000,31.62,31.62,31.6101,31.6101,406,0
NVQ.US,D,20210708,000000,31.12,31.399,30.831,31.19,3930,0
NVQ.US,D,20210709,000000,31.45,31.8532,31.45,31.8532,496,0
