<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSP.US,D,20061024,000000,12.974,13.007,12.961,12.998,178244,0
PSP.US,D,20061025,000000,13.007,13.08,12.998,13.08,256071,0
PSP.US,D,20061026,000000,13.153,13.272,13.084,13.256,311302,0
PSP.US,D,20061027,000000,13.235,13.256,13.163,13.163,100418,0
PSP.US,D,20061030,000000,13.139,13.272,13.126,13.251,61027,0
PSP.US,D,20061031,000000,13.335,13.335,13.233,13.279,133637,0
PSP.US,D,20061101,000000,13.335,13.34,13.03,13.046,44221,0
PSP.US,D,20061102,000000,13.024,13.05,12.884,12.998,526432,0
PSP.US,D,20061103,000000,13.08,13.084,12.946,13.041,61798,0
PSP.US,D,20061106,000000,13.126,13.251,13.126,13.204,32246,0
PSP.US,D,20061107,000000,13.272,13.335,13.246,13.246,207219,0
PSP.US,D,20061108,000000,13.215,13.371,13.188,13.324,38430,0
PSP.US,D,20061109,000000,13.266,13.266,13.119,13.148,65854,0
PSP.US,D,20061110,000000,13.153,13.227,13.107,13.227,87097,0
PSP.US,D,20061113,000000,13.246,13.303,13.246,13.282,63534,0
PSP.US,D,20061114,000000,13.313,13.401,13.246,13.401,32246,0
PSP.US,D,20061115,000000,13.416,13.5,13.412,13.474,70490,0
PSP.US,D,20061116,000000,13.479,13.521,13.453,13.515,112006,0
PSP.US,D,20061117,000000,13.463,13.515,13.412,13.51,59484,0
PSP.US,D,20061120,000000,13.521,13.556,13.463,13.474,100612,0
PSP.US,D,20061121,000000,13.506,13.535,13.479,13.515,74927,0
PSP.US,D,20061122,000000,13.567,13.567,13.521,13.562,41518,0
PSP.US,D,20061124,000000,13.525,13.567,13.489,13.546,20082,0
PSP.US,D,20061127,000000,13.54,13.54,13.292,13.292,80143,0
PSP.US,D,20061128,000000,13.303,13.335,13.22,13.324,102157,0
PSP.US,D,20061129,000000,13.39,13.479,13.355,13.474,96943,0
PSP.US,D,20061130,000000,13.468,13.583,13.428,13.551,70874,0
PSP.US,D,20061201,000000,13.573,13.573,13.374,13.468,36110,0
PSP.US,D,20061204,000000,13.515,13.655,13.515,13.655,80143,0
PSP.US,D,20061205,000000,13.72,13.783,13.651,13.755,75311,0
PSP.US,D,20061206,000000,13.751,13.78,13.702,13.72,117224,0
PSP.US,D,20061207,000000,13.743,13.783,13.72,13.733,52139,0
PSP.US,D,20061208,000000,13.76,13.809,13.702,13.711,71256,0
PSP.US,D,20061211,000000,13.72,13.764,13.695,13.733,51177,0
PSP.US,D,20061212,000000,13.743,13.764,13.677,13.751,71649,0
PSP.US,D,20061213,000000,13.799,13.799,13.672,13.695,63340,0
PSP.US,D,20061214,000000,13.715,13.776,13.715,13.755,172648,0
PSP.US,D,20061215,000000,13.683,13.687,13.624,13.651,136147,0
PSP.US,D,20061218,000000,13.667,13.695,13.562,13.592,108920,0
PSP.US,D,20061219,000000,13.583,13.64,13.551,13.62,61027,0
PSP.US,D,20061220,000000,13.667,13.733,13.667,13.72,69138,0
