<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QDEC.US,D,20201222,000000,19.96,19.96,19.762,19.89,374290,0
QDEC.US,D,20201223,000000,20.03,20.03,19.84,19.84,102920,0
QDEC.US,D,20201224,000000,19.84,19.905,19.84,19.9,71280,0
QDEC.US,D,20201228,000000,19.99,20.045,19.95,20.0269,18672,0
QDEC.US,D,20201229,000000,20.05,20.11,20.019,20.0375,158690,0
QDEC.US,D,20201230,000000,20.08,20.09,19.9601,20.0599,97514,0
QDEC.US,D,20201231,000000,20.05,20.08,19.96,20.08,81768,0
QDEC.US,D,20210104,000000,20.06,20.08,19.7,19.89,64855,0
QDEC.US,D,20210105,000000,19.866,19.97,19.81,19.935,383152,0
QDEC.US,D,20210106,000000,19.82,20.02,19.79,19.7954,82340,0
QDEC.US,D,20210107,000000,19.94,20.15,19.92,20.13,223638,0
QDEC.US,D,20210108,000000,20.2,20.3,20.12,20.18,218501,0
QDEC.US,D,20210111,000000,20.15,20.19,20.08,20.0898,87095,0
QDEC.US,D,20210112,000000,20.12,20.14,19.9601,20.0711,42844,0
QDEC.US,D,20210113,000000,20.16,20.19,20.0711,20.18,68310,0
QDEC.US,D,20210114,000000,20.1277,20.21,20.09,20.1125,25625,0
QDEC.US,D,20210115,000000,20.12,20.12,19.8969,20.02,49906,0
QDEC.US,D,20210119,000000,20.14,20.22,20.05,20.1489,67333,0
QDEC.US,D,20210120,000000,20.36,20.46,20.2711,20.3931,236008,0
QDEC.US,D,20210121,000000,20.42,20.51,20.415,20.4482,32472,0
QDEC.US,D,20210122,000000,20.4,20.46,20.3201,20.3891,72748,0
QDEC.US,D,20210125,000000,20.52,21.0599,20.3399,20.445,38581,0
QDEC.US,D,20210126,000000,20.53,21.56,20.4001,20.5,80871,0
QDEC.US,D,20210127,000000,20.38,20.39,20.0001,20.11,98305,0
QDEC.US,D,20210128,000000,20.19,20.35,20.13,20.1911,42751,0
QDEC.US,D,20210129,000000,20.24,20.24,19.83,19.99,204368,0
QDEC.US,D,20210201,000000,20.0223,20.28,19.965,20.13,47804,0
QDEC.US,D,20210202,000000,20.41,20.48,20.3201,20.42,34518,0
QDEC.US,D,20210203,000000,20.37,20.52,20.3481,20.4008,72512,0
QDEC.US,D,20210204,000000,20.49,20.575,20.4015,20.52,55363,0
QDEC.US,D,20210205,000000,20.6,20.65,20.49,20.62,52675,0
QDEC.US,D,20210208,000000,20.71,20.71,20.54,20.6308,37541,0
QDEC.US,D,20210209,000000,20.68,20.71,20.6001,20.684,40998,0
QDEC.US,D,20210210,000000,20.71,20.73,20.5327,20.63,52490,0
QDEC.US,D,20210211,000000,20.66,20.7499,20.5997,20.71,18292,0
QDEC.US,D,20210212,000000,20.73,20.74,20.623,20.7247,67227,0
QDEC.US,D,20210216,000000,20.83,20.83,20.59,20.59,30910,0
QDEC.US,D,20210217,000000,20.59,20.65,20.5,20.568,33838,0
QDEC.US,D,20210218,000000,20.54,20.64,20.4201,20.535,31325,0
QDEC.US,D,20210219,000000,20.67,20.68,20.56,20.585,51622,0
QDEC.US,D,20210222,000000,20.45,20.5,20.2207,20.2407,45519,0
QDEC.US,D,20210223,000000,19.97,20.33,19.83,20.2,115020,0
QDEC.US,D,20210224,000000,20.15,20.39,20.0699,20.3077,144069,0
QDEC.US,D,20210225,000000,20.27,20.36,19.86,19.96,104485,0
QDEC.US,D,20210226,000000,19.94,20.1982,19.87,19.96,23123,0
QDEC.US,D,20210301,000000,20.28,20.42,20.19,20.28,19606,0
QDEC.US,D,20210302,000000,20.47,20.47,20.1,20.23,68823,0
QDEC.US,D,20210303,000000,20.13,20.16,19.86,19.9,68220,0
QDEC.US,D,20210304,000000,19.81,19.9589,19.52,19.52,34925,0
QDEC.US,D,20210305,000000,19.76,19.95,19.43,19.81,155048,0
QDEC.US,D,20210308,000000,19.89,19.91,19.55,19.55,186720,0
QDEC.US,D,20210309,000000,19.83,20.09,19.83,20.08,62847,0
QDEC.US,D,20210310,000000,20.08,20.08,19.987,19.99,50660,0
QDEC.US,D,20210311,000000,20.26,20.35,20.136,20.34,30289,0
QDEC.US,D,20210312,000000,20.17,20.27,20.04,20.2,31153,0
QDEC.US,D,20210315,000000,20.16,20.32,20.0752,20.24,25415,0
QDEC.US,D,20210316,000000,20.435,20.51,20.32,20.4,28814,0
QDEC.US,D,20210317,000000,20.29,20.5,20.1709,20.33,30586,0
QDEC.US,D,20210318,000000,20.25,20.27,20,20,35069,0
QDEC.US,D,20210319,000000,20.075,20.19,20,20.02,95346,0
QDEC.US,D,20210322,000000,20.34,20.46,20.27,20.41,17464,0
QDEC.US,D,20210323,000000,20.3252,20.4794,20.2811,20.37,32809,0
QDEC.US,D,20210324,000000,20.41,20.41,20.03,20.03,12133,0
QDEC.US,D,20210325,000000,20.18,20.18,19.9465,20.1175,13449,0
QDEC.US,D,20210326,000000,20.19,20.2784,20.11,20.2784,10161,0
QDEC.US,D,20210329,000000,20.39,20.42,20.2,20.2,20778,0
QDEC.US,D,20210330,000000,20.21,20.319,20.2091,20.25,25328,0
QDEC.US,D,20210331,000000,20.4,20.54,20.4,20.51,24808,0
QDEC.US,D,20210401,000000,20.66,20.76,20.6033,20.76,23895,0
QDEC.US,D,20210405,000000,20.81,20.99,20.81,20.99,60073,0
QDEC.US,D,20210406,000000,20.9197,20.99,20.8797,20.8797,13812,0
QDEC.US,D,20210407,000000,20.97,20.99,20.92,20.96,26225,0
QDEC.US,D,20210408,000000,21.09,21.09,20.95,21.0285,18139,0
QDEC.US,D,20210409,000000,21.03,21.093,20.9511,21.0889,18461,0
QDEC.US,D,20210412,000000,21.0304,21.1399,21.02,21.02,10987,0
QDEC.US,D,20210413,000000,21.07,21.24,21.07,21.24,6647,0
QDEC.US,D,20210414,000000,21.22,21.22,21.08,21.1,18597,0
QDEC.US,D,20210415,000000,21.185,21.275,21.1101,21.255,8416,0
QDEC.US,D,20210416,000000,21.24,21.31,21.2,21.2842,6822,0
