<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QWLD.US,D,20140609,000000,52.14,52.14,52.14,52.14,115,0
QWLD.US,D,20140613,000000,52.082,54.444,52.082,54.352,463,0
QWLD.US,D,20140616,000000,52.721,52.721,51.977,52.055,2503,0
QWLD.US,D,20140617,000000,52.478,52.478,52.098,52.098,855,0
QWLD.US,D,20140618,000000,52.148,52.148,52.148,52.148,776,0
QWLD.US,D,20140619,000000,52.634,52.634,52.14,52.564,8465,0
QWLD.US,D,20140620,000000,52.661,52.661,52.609,52.609,2548,0
QWLD.US,D,20140623,000000,52.497,52.929,52.497,52.497,925,0
QWLD.US,D,20140624,000000,52.548,52.548,52.548,52.548,201,0
QWLD.US,D,20140625,000000,52.308,52.308,52.126,52.238,1086,0
QWLD.US,D,20140627,000000,52.298,52.298,52.298,52.298,232,0
QWLD.US,D,20140630,000000,52.98,52.98,52.479,52.479,949,0
QWLD.US,D,20140701,000000,52.738,52.738,52.738,52.738,1139,0
QWLD.US,D,20140702,000000,52.844,52.844,52.844,52.844,581,0
QWLD.US,D,20140703,000000,53.083,53.083,53.015,53.015,753,0
QWLD.US,D,20140707,000000,53.439,53.439,52.791,52.791,3371,0
QWLD.US,D,20140709,000000,52.661,52.661,52.661,52.661,232,0
QWLD.US,D,20140714,000000,52.756,52.756,52.748,52.748,1719,0
QWLD.US,D,20140715,000000,52.844,55.347,52.844,53.602,2199,0
QWLD.US,D,20140716,000000,52.886,52.886,52.886,52.886,397,0
QWLD.US,D,20140717,000000,52.464,52.464,52.464,52.464,516,0
QWLD.US,D,20140721,000000,52.532,52.532,52.532,52.532,541,0
QWLD.US,D,20140722,000000,52.756,52.901,52.756,52.851,6722,0
QWLD.US,D,20140723,000000,52.98,52.98,52.901,52.98,3108,0
QWLD.US,D,20140724,000000,53.005,53.005,52.999,52.999,4204,0
QWLD.US,D,20140725,000000,52.921,52.921,52.877,52.877,2989,0
QWLD.US,D,20140728,000000,52.835,52.835,52.791,52.825,2172,0
QWLD.US,D,20140729,000000,52.791,52.816,52.669,52.669,1889,0
QWLD.US,D,20140730,000000,52.661,52.669,52.661,52.661,1369,0
QWLD.US,D,20140731,000000,52.661,52.756,51.728,51.728,10940,0
QWLD.US,D,20140801,000000,51.712,52.099,51.59,51.651,3003,0
QWLD.US,D,20140804,000000,51.315,51.408,51.298,51.408,1949,0
QWLD.US,D,20140805,000000,51.59,51.59,51.329,51.329,5542,0
QWLD.US,D,20140806,000000,51.581,51.581,51.149,51.366,8763,0
QWLD.US,D,20140807,000000,51.798,56.754,51.023,51.082,14209,0
QWLD.US,D,20140808,000000,51.226,51.504,51.054,51.495,5281,0
QWLD.US,D,20140811,000000,52.273,52.273,51.651,51.704,8010,0
QWLD.US,D,20140812,000000,51.814,51.814,51.581,51.685,3843,0
QWLD.US,D,20140813,000000,51.798,51.953,51.771,51.901,4064,0
QWLD.US,D,20140814,000000,52.229,52.229,52.04,52.15,8339,0
QWLD.US,D,20140815,000000,51.91,52.142,51.91,52.142,2548,0
QWLD.US,D,20140818,000000,52.955,52.955,52.437,52.497,1778,0
QWLD.US,D,20140819,000000,52.548,52.791,52.54,52.791,1391,0
QWLD.US,D,20140820,000000,53.206,53.206,52.756,52.773,1239,0
QWLD.US,D,20140821,000000,52.937,52.937,52.921,52.921,948,0
QWLD.US,D,20140822,000000,52.921,52.955,52.921,52.955,849,0
QWLD.US,D,20140825,000000,53.005,53.033,52.86,53.023,2379,0
QWLD.US,D,20140826,000000,53.092,53.18,52.989,53.151,4846,0
QWLD.US,D,20140827,000000,53.005,53.199,53.005,53.199,581,0
QWLD.US,D,20140828,000000,52.877,53.075,52.877,53.066,3815,0
QWLD.US,D,20140829,000000,53.005,53.161,52.989,53.023,3565,0
QWLD.US,D,20140902,000000,53.11,53.11,53.11,53.11,977,0
QWLD.US,D,20140903,000000,52.877,52.877,52.877,52.877,224,0
QWLD.US,D,20140904,000000,53.11,54.388,52.973,53.033,4457,0
QWLD.US,D,20140905,000000,52.973,52.973,52.921,52.921,291,0
QWLD.US,D,20140908,000000,52.999,53.144,52.921,52.989,9249,0
QWLD.US,D,20140909,000000,52.877,52.877,52.558,52.695,2417,0
QWLD.US,D,20140910,000000,52.704,52.748,52.704,52.748,466,0
QWLD.US,D,20140911,000000,52.748,52.816,52.566,52.8,3315,0
QWLD.US,D,20140912,000000,52.601,52.601,52.601,52.601,288,0
QWLD.US,D,20140915,000000,52.504,52.669,52.504,52.645,1797,0
QWLD.US,D,20140916,000000,52.454,53.058,52.454,52.946,6152,0
QWLD.US,D,20140917,000000,52.636,52.877,52.636,52.877,625,0
QWLD.US,D,20140918,000000,52.704,52.764,52.704,52.704,35440,0
QWLD.US,D,20140919,000000,52.921,53.023,52.835,52.955,2638,0
QWLD.US,D,20140922,000000,52.669,52.677,52.626,52.677,449,0
QWLD.US,D,20140923,000000,52.445,52.445,52.238,52.238,1119,0
QWLD.US,D,20140924,000000,52.273,52.273,52.273,52.273,693,0
QWLD.US,D,20140925,000000,52.056,52.229,52.013,52.013,2831,0
QWLD.US,D,20140926,000000,51.971,51.971,51.971,51.971,115,0
QWLD.US,D,20140929,000000,51.798,52.005,51.798,52.005,531,0
QWLD.US,D,20140930,000000,51.798,51.885,51.798,51.86,697,0
QWLD.US,D,20141001,000000,51.375,51.737,51.366,51.436,3764,0
QWLD.US,D,20141002,000000,51.329,51.329,51.307,51.307,751,0
QWLD.US,D,20141003,000000,50.975,50.975,50.975,50.975,288,0
QWLD.US,D,20141006,000000,51.635,51.635,51.495,51.495,1552,0
QWLD.US,D,20141007,000000,51.272,51.495,51.236,51.461,2886,0
QWLD.US,D,20141009,000000,51.03,51.598,50.899,50.899,944,0
QWLD.US,D,20141010,000000,50.795,50.795,50.795,50.795,356,0
QWLD.US,D,20141013,000000,50.52,50.52,49.683,49.683,1365,0
QWLD.US,D,20141014,000000,50.002,50.002,50.002,50.002,262,0
QWLD.US,D,20141015,000000,49.882,49.882,49.312,49.312,894,0
QWLD.US,D,20141016,000000,49.138,49.518,48.552,49.518,1277,0
QWLD.US,D,20141017,000000,49.993,49.993,49.934,49.934,684,0
QWLD.US,D,20141020,000000,50.527,50.527,50.07,50.07,560,0
QWLD.US,D,20141021,000000,50.658,50.658,50.658,50.658,193,0
QWLD.US,D,20141023,000000,51.461,51.548,51.416,51.529,1424,0
QWLD.US,D,20141024,000000,50.937,50.937,50.937,50.937,203,0
QWLD.US,D,20141027,000000,50.937,51.607,50.937,51.607,514,0
QWLD.US,D,20141028,000000,51.487,51.487,51.487,51.487,173,0
QWLD.US,D,20141029,000000,52.205,52.205,51.962,52.16,1076,0
QWLD.US,D,20141030,000000,52.35,52.35,52.35,52.35,364,0
QWLD.US,D,20141107,000000,52.289,53.11,52.289,53.11,1194,0
QWLD.US,D,20141114,000000,52.781,52.781,52.781,52.781,695,0
QWLD.US,D,20141117,000000,53.092,53.092,52.781,53.092,1037,0
QWLD.US,D,20141118,000000,52.999,53.733,52.98,53.705,5560,0
QWLD.US,D,20141119,000000,53.005,53.005,53.005,53.005,283,0
QWLD.US,D,20141120,000000,52.723,52.731,52.723,52.731,369,0
QWLD.US,D,20141121,000000,53.11,53.11,53.083,53.083,565,0
QWLD.US,D,20141125,000000,53.405,53.405,53.405,53.405,173,0
QWLD.US,D,20141202,000000,53.325,53.325,53.325,53.325,288,0
QWLD.US,D,20141203,000000,54.103,54.103,54.103,54.103,278,0
QWLD.US,D,20141205,000000,53.463,53.463,53.463,53.463,117,0
QWLD.US,D,20141208,000000,53.912,53.912,53.81,53.912,403,0
QWLD.US,D,20141209,000000,52.592,52.592,52.592,52.592,259,0
QWLD.US,D,20141210,000000,52.677,52.965,52.677,52.965,392,0
QWLD.US,D,20141212,000000,51.798,51.804,51.798,51.798,695,0
QWLD.US,D,20141215,000000,51.754,51.754,51.754,51.754,139,0
QWLD.US,D,20141216,000000,51.85,51.85,51.85,51.85,403,0
QWLD.US,D,20141218,000000,52.323,52.323,52.323,52.323,144,0
QWLD.US,D,20141219,000000,53.101,53.101,53.042,53.042,688,0
QWLD.US,D,20141222,000000,52.299,53.755,52.299,53.755,757,0
QWLD.US,D,20141226,000000,53.691,53.691,53.691,53.691,114,0
QWLD.US,D,20141229,000000,53.311,53.311,53.17,53.17,3507,0
QWLD.US,D,20150105,000000,52.56,52.56,52.333,52.333,552,0
QWLD.US,D,20150106,000000,51.776,51.776,51.776,51.776,573,0
QWLD.US,D,20150107,000000,52.361,52.361,52.265,52.299,10573,0
QWLD.US,D,20150108,000000,52.482,52.56,52.447,52.543,2813,0
QWLD.US,D,20150109,000000,52.474,52.491,51.951,52.125,7328,0
QWLD.US,D,20150113,000000,53.964,53.964,53.964,53.964,241,0
QWLD.US,D,20150114,000000,52.211,52.211,52.211,52.211,474,0
QWLD.US,D,20150116,000000,53.18,53.18,53.17,53.17,372,0
QWLD.US,D,20150121,000000,52.474,52.474,52.474,52.474,472,0
QWLD.US,D,20150126,000000,52.944,52.944,52.944,52.944,544,0
QWLD.US,D,20150202,000000,51.437,51.437,51.402,51.437,493,0
QWLD.US,D,20150203,000000,53.231,53.449,53.231,53.449,427,0
QWLD.US,D,20150204,000000,53.501,53.501,53.38,53.38,413,0
QWLD.US,D,20150205,000000,53.746,53.746,53.746,53.746,350,0
QWLD.US,D,20150209,000000,53.214,53.214,53.214,53.214,478,0
QWLD.US,D,20150213,000000,54.132,54.132,54.132,54.132,190,0
QWLD.US,D,20150217,000000,54.172,54.25,54.172,54.25,307,0
QWLD.US,D,20150218,000000,54.549,54.549,54.549,54.549,193,0
QWLD.US,D,20150219,000000,54.408,54.408,54.408,54.408,240,0
QWLD.US,D,20150220,000000,54.461,54.742,54.461,54.742,1046,0
QWLD.US,D,20150223,000000,54.782,54.818,54.782,54.818,506,0
QWLD.US,D,20150224,000000,54.888,54.888,54.888,54.888,172,0
QWLD.US,D,20150226,000000,54.888,54.888,54.888,54.888,1033,0
QWLD.US,D,20150227,000000,54.888,54.991,54.888,54.991,708,0
QWLD.US,D,20150302,000000,54.967,54.967,54.959,54.959,1033,0
QWLD.US,D,20150304,000000,54.959,54.959,54.959,54.959,114,0
QWLD.US,D,20150305,000000,54.704,54.704,54.704,54.704,229,0
QWLD.US,D,20150306,000000,54.016,54.016,53.956,53.956,229,0
QWLD.US,D,20150317,000000,54.043,54.043,54.043,54.043,346,0
QWLD.US,D,20150320,000000,55.037,55.193,55.037,55.193,917,0
QWLD.US,D,20150323,000000,55.174,55.219,55.174,55.219,346,0
