<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWK.US,D,20080222,000000,22.24,22.336,22.24,22.24,8033,0
RWK.US,D,20080226,000000,23.108,23.358,23.108,23.358,36136,0
RWK.US,D,20080228,000000,22.743,22.743,22.743,22.743,2229,0
RWK.US,D,20080229,000000,22.336,22.336,22.147,22.147,12043,0
RWK.US,D,20080305,000000,21.925,21.925,21.925,21.925,8927,0
RWK.US,D,20080311,000000,21.761,21.761,21.028,21.028,892,0
RWK.US,D,20080312,000000,21.942,21.942,21.942,21.942,446,0
RWK.US,D,20080313,000000,20.894,21.567,20.894,21.567,23419,0
RWK.US,D,20080317,000000,20.83,20.83,20.83,20.83,5797,0
RWK.US,D,20080318,000000,21.269,21.279,21.26,21.26,3567,0
RWK.US,D,20080320,000000,21.199,21.612,21.116,21.612,18064,0
RWK.US,D,20080326,000000,21.995,22.077,21.995,22.077,7137,0
RWK.US,D,20080331,000000,21.746,21.746,21.746,21.746,446,0
RWK.US,D,20080401,000000,21.98,22.274,21.98,22.274,28995,0
RWK.US,D,20080402,000000,22.685,22.743,22.685,22.743,892,0
RWK.US,D,20080403,000000,22.498,22.498,22.498,22.498,6688,0
RWK.US,D,20080404,000000,22.714,22.714,22.714,22.714,670,0
RWK.US,D,20080408,000000,22.559,22.724,22.559,22.579,9369,0
RWK.US,D,20080409,000000,22.326,22.326,22.326,22.326,219,0
RWK.US,D,20080411,000000,22.193,22.274,22.193,22.274,6688,0
RWK.US,D,20080414,000000,21.952,21.952,21.899,21.908,5184,0
RWK.US,D,20080415,000000,21.952,21.971,21.889,21.908,9039,0
RWK.US,D,20080416,000000,22.463,22.579,22.463,22.579,1450,0
RWK.US,D,20080417,000000,22.463,22.543,22.42,22.543,19183,0
RWK.US,D,20080421,000000,22.819,22.912,22.819,22.912,3680,0
RWK.US,D,20080422,000000,22.704,22.704,22.685,22.685,3793,0
RWK.US,D,20080423,000000,22.552,22.559,22.552,22.559,10773,0
RWK.US,D,20080424,000000,22.743,22.912,22.743,22.912,670,0
RWK.US,D,20080425,000000,23.028,23.028,23.028,23.028,1117,0
RWK.US,D,20080428,000000,23.358,23.358,23.268,23.268,702,0
RWK.US,D,20080429,000000,23.19,23.217,23.136,23.217,12959,0
RWK.US,D,20080430,000000,23.35,23.486,23.295,23.387,23820,0
RWK.US,D,20080501,000000,23.578,23.604,23.578,23.604,5353,0
RWK.US,D,20080502,000000,23.689,23.689,23.56,23.56,8365,0
RWK.US,D,20080505,000000,23.457,23.612,23.447,23.578,2451,0
RWK.US,D,20080506,000000,23.476,23.637,23.476,23.621,6198,0
RWK.US,D,20080507,000000,23.689,23.698,23.654,23.698,15612,0
RWK.US,D,20080508,000000,23.295,23.431,23.295,23.423,8033,0
RWK.US,D,20080509,000000,23.523,23.523,23.416,23.439,11377,0
RWK.US,D,20080512,000000,23.578,23.68,23.578,23.671,19072,0
RWK.US,D,20080513,000000,23.76,23.908,23.76,23.908,2007,0
RWK.US,D,20080514,000000,24.211,24.211,24.07,24.07,1565,0
RWK.US,D,20080515,000000,24.033,24.211,24.033,24.211,9142,0
RWK.US,D,20080516,000000,24.353,24.353,24.169,24.178,25874,0
RWK.US,D,20080519,000000,24.391,24.519,24.256,24.256,4454,0
RWK.US,D,20080520,000000,24.141,24.161,24.07,24.07,25203,0
RWK.US,D,20080521,000000,24.281,24.281,24.07,24.141,12930,0
RWK.US,D,20080522,000000,23.825,23.872,23.825,23.872,7764,0
