<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHB.US,D,20091103,000000,20.625,20.633,19.998,20.273,611211,0
SCHB.US,D,20091104,000000,22.276,22.276,20.211,20.297,196866,0
SCHB.US,D,20091105,000000,20.559,20.699,20.399,20.69,136220,0
SCHB.US,D,20091106,000000,20.708,20.79,20.559,20.75,200764,0
SCHB.US,D,20091109,000000,21.113,21.217,20.899,21.217,128308,0
SCHB.US,D,20091110,000000,21.171,21.277,21.087,21.171,129877,0
SCHB.US,D,20091111,000000,21.361,21.451,21.217,21.318,317164,0
SCHB.US,D,20091112,000000,21.311,21.376,21.019,21.061,141270,0
SCHB.US,D,20091113,000000,21.156,21.269,21.036,21.186,708974,0
SCHB.US,D,20091116,000000,21.385,21.609,21.327,21.499,215810,0
SCHB.US,D,20091117,000000,21.49,21.549,21.376,21.542,165630,0
SCHB.US,D,20091118,000000,21.576,21.576,21.409,21.525,117730,0
SCHB.US,D,20091119,000000,21.394,21.394,21.079,21.217,154664,0
SCHB.US,D,20091120,000000,21.121,21.186,21.054,21.14,111885,0
SCHB.US,D,20091123,000000,21.409,21.549,21.37,21.4,123524,0
SCHB.US,D,20091124,000000,21.443,21.443,21.251,21.4,135996,0
SCHB.US,D,20091125,000000,21.468,21.508,21.416,21.49,197957,0
SCHB.US,D,20091127,000000,20.973,21.286,20.853,21.14,186293,0
SCHB.US,D,20091130,000000,21.13,21.225,21.027,21.217,192602,0
SCHB.US,D,20091201,000000,21.434,21.532,21.376,21.468,146538,0
SCHB.US,D,20091202,000000,21.483,21.624,21.434,21.516,104453,0
SCHB.US,D,20091203,000000,21.576,21.674,21.318,21.318,283031,0
SCHB.US,D,20091204,000000,21.674,21.717,21.26,21.483,339198,0
SCHB.US,D,20091207,000000,21.542,21.576,21.4,21.443,262402,0
SCHB.US,D,20091208,000000,21.286,21.344,21.156,21.225,328923,0
SCHB.US,D,20091209,000000,21.201,21.318,21.104,21.294,825692,0
SCHB.US,D,20091210,000000,21.451,21.483,21.352,21.385,199227,0
SCHB.US,D,20091211,000000,21.49,21.516,21.4,21.483,200299,0
SCHB.US,D,20091214,000000,21.699,21.699,21.567,21.691,269941,0
SCHB.US,D,20091215,000000,21.647,21.681,21.549,21.567,197915,0
SCHB.US,D,20091216,000000,21.699,21.74,21.602,21.647,202350,0
SCHB.US,D,20091217,000000,21.525,21.525,21.37,21.4,190804,0
SCHB.US,D,20091218,000000,21.525,21.525,21.327,21.516,191904,0
SCHB.US,D,20091221,000000,21.674,21.797,21.631,21.757,230941,0
SCHB.US,D,20091222,000000,21.844,21.87,21.775,21.827,298688,0
SCHB.US,D,20091223,000000,21.907,21.907,21.765,21.889,222040,0
SCHB.US,D,20091224,000000,21.915,21.977,21.889,21.969,104830,0
SCHB.US,D,20091228,000000,22.035,22.068,21.915,21.986,223765,0
SCHB.US,D,20091229,000000,22.051,22.051,21.962,21.977,144649,0
SCHB.US,D,20091230,000000,21.907,21.969,21.87,21.969,152812,0
SCHB.US,D,20091231,000000,22.035,22.035,21.749,21.749,266938,0
SCHB.US,D,20100104,000000,21.986,22.136,21.947,22.111,327511,0
SCHB.US,D,20100105,000000,22.161,22.185,22.059,22.185,273657,0
SCHB.US,D,20100106,000000,22.202,22.233,22.153,22.202,205005,0
SCHB.US,D,20100107,000000,22.185,22.299,22.077,22.276,201405,0
SCHB.US,D,20100108,000000,22.242,22.369,22.169,22.343,128965,0
SCHB.US,D,20100111,000000,22.481,22.488,22.315,22.401,261130,0
SCHB.US,D,20100112,000000,22.251,22.276,22.086,22.153,207315,0
SCHB.US,D,20100113,000000,22.233,22.401,22.118,22.369,243767,0
SCHB.US,D,20100114,000000,22.343,22.438,22.324,22.416,150993,0
SCHB.US,D,20100115,000000,22.411,22.411,22.068,22.179,309210,0
SCHB.US,D,20100119,000000,22.193,22.446,22.185,22.446,346152,0
SCHB.US,D,20100120,000000,22.289,22.289,22.027,22.233,247051,0
SCHB.US,D,20100121,000000,22.276,22.315,21.82,21.835,381671,0
SCHB.US,D,20100122,000000,21.775,21.803,21.327,21.344,424772,0
SCHB.US,D,20100125,000000,21.558,21.567,21.385,21.443,338568,0
SCHB.US,D,20100126,000000,21.376,21.567,21.327,21.352,147209,0
SCHB.US,D,20100127,000000,21.352,21.49,21.165,21.468,556855,0
SCHB.US,D,20100128,000000,21.549,21.549,21.07,21.217,196097,0
SCHB.US,D,20100129,000000,21.286,21.451,20.957,21.011,349235,0
SCHB.US,D,20100201,000000,21.13,21.302,21.113,21.302,191162,0
SCHB.US,D,20100202,000000,21.361,21.592,21.286,21.583,255581,0
SCHB.US,D,20100203,000000,21.49,21.567,21.37,21.476,146922,0
SCHB.US,D,20100204,000000,21.311,21.311,20.766,20.79,346129,0
SCHB.US,D,20100205,000000,20.814,20.853,20.408,20.853,318400,0
SCHB.US,D,20100208,000000,20.839,20.941,20.674,20.674,161551,0
SCHB.US,D,20100209,000000,20.909,21.104,20.737,20.925,191904,0
SCHB.US,D,20100210,000000,20.951,21.005,20.708,20.917,225653,0
SCHB.US,D,20100211,000000,20.882,21.14,20.783,21.14,74682,0
SCHB.US,D,20100212,000000,20.957,21.14,20.831,21.14,163403,0
SCHB.US,D,20100216,000000,21.327,21.508,21.243,21.476,133060,0
SCHB.US,D,20100217,000000,21.602,21.616,21.508,21.592,158200,0
SCHB.US,D,20100218,000000,21.609,21.749,21.576,21.734,136139,0
SCHB.US,D,20100219,000000,21.681,21.844,21.616,21.789,85961,0
SCHB.US,D,20100222,000000,21.915,21.915,21.724,21.757,190240,0
SCHB.US,D,20100223,000000,21.74,21.775,21.468,21.483,106142,0
SCHB.US,D,20100224,000000,21.583,21.724,21.516,21.691,98180,0
SCHB.US,D,20100225,000000,21.409,21.681,21.352,21.681,170543,0
SCHB.US,D,20100226,000000,21.734,21.749,21.576,21.708,154302,0
SCHB.US,D,20100301,000000,21.803,21.962,21.803,21.962,168187,0
SCHB.US,D,20100302,000000,22.068,22.118,21.995,22.027,232541,0
SCHB.US,D,20100303,000000,22.111,22.179,22.019,22.051,139840,0
SCHB.US,D,20100304,000000,22.096,22.136,22.013,22.127,139600,0
SCHB.US,D,20100305,000000,22.267,22.438,22.193,22.43,306014,0
SCHB.US,D,20100308,000000,22.481,22.488,22.401,22.438,208097,0
SCHB.US,D,20100309,000000,22.401,22.593,22.359,22.481,201289,0
SCHB.US,D,20100310,000000,22.514,22.637,22.496,22.609,348555,0
SCHB.US,D,20100311,000000,22.514,22.684,22.446,22.684,171004,0
SCHB.US,D,20100312,000000,22.806,22.806,22.637,22.692,605441,0
SCHB.US,D,20100315,000000,22.677,22.692,22.521,22.677,186884,0
SCHB.US,D,20100316,000000,22.738,22.892,22.692,22.883,124942,0
SCHB.US,D,20100317,000000,22.961,23.1,22.934,23.021,255586,0
SCHB.US,D,20100318,000000,23.044,23.051,22.917,22.997,155199,0
SCHB.US,D,20100319,000000,23.082,23.082,22.764,22.832,220743,0
SCHB.US,D,20100322,000000,22.637,22.942,22.585,22.9,207951,0
SCHB.US,D,20100323,000000,22.951,23.082,22.866,23.058,209099,0
SCHB.US,D,20100324,000000,22.989,23.044,22.909,22.951,156234,0
SCHB.US,D,20100325,000000,23.133,23.194,22.866,22.866,151702,0
SCHB.US,D,20100326,000000,22.951,23.044,22.815,22.892,161085,0
SCHB.US,D,20100329,000000,23.021,23.066,22.961,23.036,135667,0
SCHB.US,D,20100330,000000,23.116,23.126,22.942,23.044,152394,0
SCHB.US,D,20100331,000000,22.951,23.082,22.892,22.961,104082,0
SCHB.US,D,20100401,000000,23.082,23.194,22.997,23.116,140188,0
SCHB.US,D,20100405,000000,23.24,23.35,23.169,23.35,528034,0
SCHB.US,D,20100406,000000,23.307,23.462,23.263,23.413,245793,0
SCHB.US,D,20100407,000000,23.405,23.405,23.186,23.272,457461,0
SCHB.US,D,20100408,000000,23.201,23.388,23.133,23.356,445036,0
SCHB.US,D,20100409,000000,23.421,23.498,23.356,23.489,282477,0
SCHB.US,D,20100412,000000,23.54,23.595,23.506,23.548,137648,0
SCHB.US,D,20100413,000000,23.548,23.585,23.396,23.556,153100,0
SCHB.US,D,20100414,000000,23.67,23.852,23.637,23.852,328413,0
SCHB.US,D,20100415,000000,23.835,23.91,23.809,23.859,385087,0
SCHB.US,D,20100416,000000,23.778,23.809,23.373,23.498,279351,0
SCHB.US,D,20100419,000000,23.396,23.57,23.272,23.548,291488,0
SCHB.US,D,20100420,000000,23.712,23.792,23.628,23.778,235193,0
SCHB.US,D,20100421,000000,23.835,23.835,23.628,23.762,194631,0
SCHB.US,D,20100422,000000,23.603,23.875,23.454,23.859,195987,0
SCHB.US,D,20100423,000000,23.86,24.041,23.793,24.026,177007,0
SCHB.US,D,20100426,000000,24.048,24.098,23.927,23.942,222988,0
SCHB.US,D,20100427,000000,23.835,23.927,23.325,23.38,692256,0
SCHB.US,D,20100428,000000,23.506,23.562,23.307,23.506,513342,0
SCHB.US,D,20100429,000000,23.688,23.859,23.637,23.818,135428,0
SCHB.US,D,20100430,000000,23.852,23.852,23.388,23.413,357559,0
SCHB.US,D,20100503,000000,23.532,23.762,23.506,23.712,184681,0
SCHB.US,D,20100504,000000,23.471,23.471,23.028,23.15,468123,0
SCHB.US,D,20100505,000000,22.924,23.178,22.815,23.006,360008,0
SCHB.US,D,20100506,000000,22.892,29.701,18.312,22.242,765147,0
SCHB.US,D,20100507,000000,22.233,22.351,21.525,21.844,628773,0
SCHB.US,D,20100510,000000,22.781,23.021,22.567,22.832,1018083,0
SCHB.US,D,20100511,000000,22.631,23.074,22.577,22.79,175705,0
SCHB.US,D,20100512,000000,22.909,23.169,22.875,23.15,197995,0
SCHB.US,D,20100513,000000,23.126,23.201,22.852,22.892,394117,0
SCHB.US,D,20100514,000000,22.738,22.738,22.251,22.43,294098,0
SCHB.US,D,20100517,000000,22.481,22.585,22.013,22.481,184992,0
SCHB.US,D,20100518,000000,22.677,22.71,22.068,22.153,203309,0
SCHB.US,D,20100519,000000,22.051,22.218,21.74,22.013,279005,0
SCHB.US,D,20100520,000000,21.549,21.616,21.156,21.156,759008,0
SCHB.US,D,20100521,000000,20.807,21.508,20.75,21.451,784925,0
SCHB.US,D,20100524,000000,21.37,21.516,21.171,21.179,208993,0
SCHB.US,D,20100525,000000,20.625,21.209,20.512,21.171,488199,0
SCHB.US,D,20100526,000000,21.302,21.558,21.036,21.121,367481,0
SCHB.US,D,20100527,000000,21.558,21.827,21.451,21.827,405031,0
SCHB.US,D,20100528,000000,21.862,21.862,21.476,21.567,279645,0
SCHB.US,D,20100601,000000,21.434,21.656,21.148,21.165,129275,0
SCHB.US,D,20100602,000000,21.294,21.708,21.201,21.708,263455,0
SCHB.US,D,20100603,000000,21.835,21.889,21.602,21.835,316220,0
SCHB.US,D,20100604,000000,21.434,21.542,20.982,21.079,352416,0
SCHB.US,D,20100607,000000,21.13,21.193,20.744,20.744,231289,0
SCHB.US,D,20100608,000000,20.79,20.963,20.573,20.951,331075,0
SCHB.US,D,20100609,000000,21.097,21.294,20.79,20.863,172467,0
SCHB.US,D,20100610,000000,21.225,21.49,21.171,21.468,157793,0
SCHB.US,D,20100611,000000,21.302,21.609,21.269,21.583,216778,0
SCHB.US,D,20100614,000000,21.812,21.922,21.576,21.592,848218,0
SCHB.US,D,20100615,000000,21.775,22.111,21.724,22.077,212074,0
SCHB.US,D,20100616,000000,22.003,22.179,21.947,22.059,464884,0
SCHB.US,D,20100617,000000,22.179,22.179,21.898,22.102,256299,0
SCHB.US,D,20100618,000000,22.136,22.193,22.042,22.096,174677,0
SCHB.US,D,20100621,000000,22.324,22.333,21.835,21.947,262393,0
SCHB.US,D,20100622,000000,21.947,22.051,21.549,21.567,217608,0
SCHB.US,D,20100623,000000,21.567,21.656,21.344,21.49,416197,0
SCHB.US,D,20100624,000000,21.425,21.425,21.113,21.14,321167,0
SCHB.US,D,20100625,000000,21.225,21.352,21.036,21.269,116351,0
SCHB.US,D,20100628,000000,21.335,21.352,21.13,21.193,196083,0
SCHB.US,D,20100629,000000,20.917,20.917,20.408,20.526,562275,0
SCHB.US,D,20100630,000000,20.457,20.674,20.26,20.326,286724,0
SCHB.US,D,20100701,000000,20.297,20.362,19.898,20.229,772243,0
SCHB.US,D,20100702,000000,20.338,20.354,19.991,20.139,617284,0
