<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDEI.US,D,20210108,000000,21,21,20.7873,20.7873,1200,0
SDEI.US,D,20210111,000000,20.92,20.9745,20.92,20.9745,278,0
SDEI.US,D,20210113,000000,21.1602,21.25,21.1602,21.1655,359,0
SDEI.US,D,20210114,000000,21.46,21.46,21.3322,21.3322,6842,0
SDEI.US,D,20210115,000000,21.21,21.28,21.0205,21.0205,285,0
SDEI.US,D,20210119,000000,21.2044,21.2044,21.2044,21.2044,10,0
SDEI.US,D,20210120,000000,21.1769,21.1769,21.1769,21.1769,4,0
SDEI.US,D,20210121,000000,21.0258,21.0258,21.0258,21.0258,1,0
SDEI.US,D,20210122,000000,20.9372,20.9372,20.9372,20.9372,3,0
SDEI.US,D,20210125,000000,20.9785,20.9785,20.9785,20.9785,3,0
SDEI.US,D,20210126,000000,21.15,21.15,21.1067,21.1067,4327,0
SDEI.US,D,20210127,000000,20.86,21.24,20.86,21.027,581,0
SDEI.US,D,20210128,000000,21.1,21.1,20.8396,20.8396,1961,0
SDEI.US,D,20210129,000000,20.87,20.87,20.4196,20.4196,7858,0
SDEI.US,D,20210201,000000,20.6376,20.6376,20.6376,20.6376,11,0
SDEI.US,D,20210202,000000,20.83,20.96,20.7646,20.7646,4183,0
SDEI.US,D,20210203,000000,20.96,20.9978,20.96,20.9978,169,0
SDEI.US,D,20210204,000000,21.15,21.31,21.13,21.31,9444,0
SDEI.US,D,20210205,000000,21.4406,21.54,21.4358,21.4358,564,0
SDEI.US,D,20210208,000000,21.69,21.84,21.66,21.7925,6841,0
SDEI.US,D,20210209,000000,21.93,22,21.8851,21.8851,8272,0
SDEI.US,D,20210210,000000,21.9087,21.9087,21.9087,21.9087,4,0
SDEI.US,D,20210211,000000,21.86,21.86,21.8183,21.8183,161,0
SDEI.US,D,20210212,000000,22.03,22.03,21.9361,21.9361,400,0
SDEI.US,D,20210216,000000,22.0763,22.0763,22.0763,22.0763,89,0
SDEI.US,D,20210217,000000,22.07,22.07,22.0108,22.0108,7527,0
SDEI.US,D,20210218,000000,21.9174,21.9174,21.9174,21.9174,3,0
SDEI.US,D,20210219,000000,22.1953,22.1953,22.1953,22.1953,96,0
SDEI.US,D,20210222,000000,22.16,22.84,22.16,22.6941,1293,0
SDEI.US,D,20210223,000000,22.68,22.91,22.68,22.91,9039,0
SDEI.US,D,20210224,000000,23.1674,23.1674,23.1674,23.1674,32,0
SDEI.US,D,20210225,000000,23.08,23.2,22.83,22.9,10351,0
SDEI.US,D,20210226,000000,22.5556,22.5556,22.5556,22.5556,159,0
SDEI.US,D,20210301,000000,23.07,23.07,23.0104,23.0104,6191,0
SDEI.US,D,20210302,000000,23.0348,23.0348,23.0348,23.0348,188,0
SDEI.US,D,20210303,000000,23.2233,23.2233,23.2233,23.2233,3,0
SDEI.US,D,20210304,000000,23.03,23.19,22.822,23.04,8324,0
SDEI.US,D,20210305,000000,23.125,23.4812,23.09,23.4812,4883,0
SDEI.US,D,20210308,000000,23.81,24.26,23.81,24.19,8177,0
SDEI.US,D,20210309,000000,24.11,24.11,23.7172,23.7172,9314,0
SDEI.US,D,20210310,000000,24.04,24.1489,24.04,24.1489,1028,0
SDEI.US,D,20210311,000000,24.29,24.35,24.21,24.22,7033,0
SDEI.US,D,20210312,000000,24.559,24.559,24.559,24.559,33,0
SDEI.US,D,20210315,000000,24.6666,24.6666,24.6666,24.6666,49,0
SDEI.US,D,20210316,000000,24.525,24.57,24.31,24.4665,23894,0
SDEI.US,D,20210317,000000,24.3,24.63,24.3,24.5227,2555,0
SDEI.US,D,20210318,000000,24.46,24.82,24.15,24.271,10314,0
SDEI.US,D,20210319,000000,24.12,24.41,24.12,24.2315,5824,0
SDEI.US,D,20210322,000000,23.98,24.0919,23.98,24.0919,258,0
SDEI.US,D,20210323,000000,23.86,23.86,23.5136,23.5136,8036,0
SDEI.US,D,20210324,000000,23.85,23.85,23.5034,23.5034,535,0
SDEI.US,D,20210325,000000,23.28,23.94,23.25,23.8925,1500,0
SDEI.US,D,20210326,000000,24.19,24.3018,24.095,24.3018,3783,0
SDEI.US,D,20210329,000000,24.29,24.29,24.208,24.208,445,0
SDEI.US,D,20210330,000000,24.3002,24.3002,24.3002,24.3002,115,0
SDEI.US,D,20210331,000000,24.29,24.29,24.2709,24.2709,3304,0
SDEI.US,D,20210401,000000,24.4572,24.4572,24.4572,24.4572,162,0
SDEI.US,D,20210405,000000,24.59,24.66,24.59,24.635,3563,0
SDEI.US,D,20210406,000000,24.54,24.5962,24.54,24.5962,235,0
SDEI.US,D,20210407,000000,24.54,24.54,24.5243,24.5243,5825,0
SDEI.US,D,20210408,000000,24.53,24.53,24.4764,24.4764,5122,0
SDEI.US,D,20210409,000000,24.52,24.72,24.48,24.72,7755,0
SDEI.US,D,20210412,000000,24.7398,24.7398,24.7398,24.7398,12,0
SDEI.US,D,20210413,000000,24.38,24.55,24.35,24.5489,4387,0
SDEI.US,D,20210414,000000,24.81,24.81,24.64,24.724,1612,0
SDEI.US,D,20210415,000000,24.77,24.86,24.68,24.7602,3894,0
SDEI.US,D,20210416,000000,24.88,25.03,24.87,25.03,1180,0
SDEI.US,D,20210419,000000,24.865,24.98,24.865,24.98,5051,0
SDEI.US,D,20210420,000000,24.58,24.58,24.557,24.557,11496,0
SDEI.US,D,20210421,000000,25.06,25.06,24.9898,24.9898,207,0
SDEI.US,D,20210422,000000,24.79,24.96,24.57,24.6474,3916,0
SDEI.US,D,20210423,000000,24.85,24.9372,24.85,24.9372,587,0
SDEI.US,D,20210426,000000,25.12,25.17,25.015,25.015,1521,0
SDEI.US,D,20210427,000000,25.115,25.2499,25.055,25.1011,2613,0
SDEI.US,D,20210428,000000,25.265,25.265,25.265,25.265,45,0
SDEI.US,D,20210429,000000,25.39,25.4651,25.28,25.4651,5064,0
SDEI.US,D,20210430,000000,25.36,25.39,25.2042,25.2042,3596,0
SDEI.US,D,20210503,000000,25.56,25.61,25.47,25.5879,4810,0
SDEI.US,D,20210504,000000,25.44,25.77,25.44,25.7271,13601,0
SDEI.US,D,20210505,000000,25.955,26.0854,25.955,26.0854,401,0
SDEI.US,D,20210506,000000,25.72,26.2314,25.68,26.2314,5130,0
SDEI.US,D,20210507,000000,26.26,26.38,26.26,26.38,4930,0
SDEI.US,D,20210510,000000,26.65,26.65,26.388,26.388,3266,0
SDEI.US,D,20210511,000000,26,26,25.83,25.9052,6469,0
SDEI.US,D,20210512,000000,25.7,25.7,25.455,25.455,691,0
SDEI.US,D,20210513,000000,25.83,25.9121,25.83,25.9121,441,0
SDEI.US,D,20210514,000000,26.248,26.3789,26.22,26.3789,11733,0
SDEI.US,D,20210517,000000,26.42,26.5254,26.42,26.5254,11358,0
SDEI.US,D,20210518,000000,26.46,26.46,26.1825,26.1825,625,0
SDEI.US,D,20210519,000000,25.7812,25.7812,25.7812,25.7812,177,0
SDEI.US,D,20210520,000000,25.85,25.9077,25.85,25.9077,239,0
SDEI.US,D,20210521,000000,26.14,26.14,26.0612,26.0612,286,0
SDEI.US,D,20210524,000000,26.42,26.42,26.06,26.0804,10141,0
SDEI.US,D,20210525,000000,25.8,25.908,25.64,25.6675,4492,0
SDEI.US,D,20210526,000000,25.56,25.861,25.56,25.8142,1998,0
SDEI.US,D,20210527,000000,26,26.077,26,26.077,6077,0
SDEI.US,D,20210528,000000,25.84,25.9,25.58,25.9,3903,0
SDEI.US,D,20210601,000000,25.93,25.93,25.9203,25.9203,346,0
SDEI.US,D,20210602,000000,25.73,25.9146,25.73,25.9146,387,0
SDEI.US,D,20210603,000000,26.1,26.1,25.99,25.99,3098,0
SDEI.US,D,20210604,000000,26.1278,26.1278,26.1278,26.1278,17,0
SDEI.US,D,20210607,000000,25.97,25.97,25.97,25.97,36,0
SDEI.US,D,20210608,000000,25.98,26.1433,25.98,26.1433,3723,0
SDEI.US,D,20210609,000000,25.9802,25.9802,25.9802,25.9802,24,0
SDEI.US,D,20210610,000000,25.98,26,25.98,26,8782,0
SDEI.US,D,20210611,000000,26.07,26.1602,26.06,26.1602,1598,0
SDEI.US,D,20210614,000000,25.75,25.77,25.53,25.77,9062,0
SDEI.US,D,20210615,000000,25.92,25.92,25.805,25.805,1174,0
SDEI.US,D,20210616,000000,25.66,25.7446,25.66,25.7446,3952,0
SDEI.US,D,20210617,000000,25.11,25.11,25.105,25.105,4700,0
SDEI.US,D,20210618,000000,24.85,24.87,24.67,24.67,6685,0
SDEI.US,D,20210621,000000,25.12,25.23,25.12,25.23,1912,0
SDEI.US,D,20210622,000000,25.12,25.26,25.12,25.2,2433,0
SDEI.US,D,20210623,000000,25.04,25.15,25.04,25.08,1317,0
SDEI.US,D,20210624,000000,25.08,25.21,25,25.1935,7580,0
SDEI.US,D,20210625,000000,25.22,25.29,25.22,25.2855,4266,0
SDEI.US,D,20210628,000000,25.37,25.37,24.935,24.935,3852,0
SDEI.US,D,20210629,000000,24.9,24.9,24.869,24.869,2149,0
SDEI.US,D,20210630,000000,24.74,25.0011,24.74,25.0011,3039,0
SDEI.US,D,20210701,000000,25.1,25.155,25.1,25.1005,4757,0
SDEI.US,D,20210702,000000,24.97,25.0975,24.97,25.0975,2741,0
SDEI.US,D,20210706,000000,25.19,25.19,24.65,24.75,506,0
SDEI.US,D,20210707,000000,24.59,24.8375,24.59,24.7724,3281,0
SDEI.US,D,20210708,000000,24.4687,24.6348,24.4687,24.6348,5619,0
SDEI.US,D,20210709,000000,24.81,24.955,24.81,24.955,9086,0
