<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHM.US,D,20071015,000000,40.297,40.297,40.297,40.297,562,0
SHM.US,D,20071016,000000,40.569,40.569,39.395,39.395,562,0
SHM.US,D,20071018,000000,40.569,40.569,40.473,40.473,896,0
SHM.US,D,20071019,000000,40.493,40.586,40.493,40.586,8288,0
SHM.US,D,20071022,000000,40.751,40.751,40.533,40.533,9227,0
SHM.US,D,20071023,000000,40.569,40.569,40.513,40.513,3736,0
SHM.US,D,20071024,000000,40.55,40.569,40.493,40.493,5682,0
SHM.US,D,20071026,000000,40.586,40.586,40.513,40.513,1385,0
SHM.US,D,20071029,000000,40.586,40.586,40.55,40.55,1385,0
SHM.US,D,20071030,000000,40.55,40.55,40.533,40.533,7340,0
SHM.US,D,20071031,000000,40.604,40.64,40.604,40.64,1281,0
SHM.US,D,20071101,000000,40.66,40.676,40.586,40.64,4220,0
SHM.US,D,20071102,000000,40.569,40.569,40.569,40.569,203,0
SHM.US,D,20071105,000000,40.493,40.55,40.493,40.55,319,0
SHM.US,D,20071106,000000,40.569,40.569,40.569,40.569,613,0
SHM.US,D,20071107,000000,40.569,40.569,40.569,40.569,1220,0
SHM.US,D,20071108,000000,40.569,40.604,40.569,40.604,11846,0
SHM.US,D,20071109,000000,40.64,40.64,40.604,40.604,1832,0
SHM.US,D,20071112,000000,40.623,40.788,40.623,40.788,1001,0
SHM.US,D,20071113,000000,40.788,40.788,40.55,40.66,2890,0
SHM.US,D,20071114,000000,40.66,40.66,40.66,40.66,3570,0
SHM.US,D,20071115,000000,40.751,40.751,40.676,40.676,1169,0
SHM.US,D,20071116,000000,40.842,40.861,40.715,40.732,3334,0
SHM.US,D,20071119,000000,40.676,40.676,40.676,40.676,1281,0
SHM.US,D,20071120,000000,40.66,40.732,40.66,40.732,441,0
SHM.US,D,20071121,000000,40.768,40.896,40.404,40.715,4513,0
SHM.US,D,20071123,000000,40.715,40.768,40.715,40.751,19022,0
SHM.US,D,20071126,000000,40.825,40.842,40.788,40.788,5794,0
SHM.US,D,20071127,000000,40.788,40.861,40.695,40.751,10280,0
SHM.US,D,20071128,000000,40.732,40.861,40.715,40.768,114777,0
SHM.US,D,20071129,000000,40.861,40.861,40.842,40.842,25316,0
SHM.US,D,20071130,000000,40.896,40.896,40.877,40.877,3512,0
SHM.US,D,20071203,000000,40.877,40.896,40.768,40.768,12794,0
SHM.US,D,20071204,000000,43.789,43.789,40.473,40.807,4142,0
SHM.US,D,20071205,000000,40.877,40.877,40.877,40.877,5794,0
SHM.US,D,20071206,000000,40.732,40.842,40.732,40.842,4844,0
SHM.US,D,20071207,000000,40.877,40.877,40.807,40.807,1614,0
SHM.US,D,20071210,000000,40.751,40.861,40.751,40.842,4056,0
SHM.US,D,20071211,000000,41.04,41.04,40.896,40.966,28206,0
SHM.US,D,20071212,000000,40.861,40.95,40.861,40.95,1669,0
SHM.US,D,20071213,000000,40.877,40.932,40.066,40.932,3002,0
SHM.US,D,20071214,000000,40.493,40.842,40.493,40.842,1669,0
SHM.US,D,20071217,000000,40.807,40.913,40.807,40.913,2281,0
SHM.US,D,20071218,000000,40.95,40.95,40.913,40.913,18587,0
SHM.US,D,20071219,000000,40.95,40.95,40.95,40.95,441,0
SHM.US,D,20071220,000000,41.002,41.02,41.002,41.02,4326,0
SHM.US,D,20071221,000000,40.913,40.95,40.493,40.95,14179,0
SHM.US,D,20071224,000000,40.861,40.913,40.788,40.788,947,0
SHM.US,D,20071226,000000,40.877,40.877,40.842,40.842,4056,0
SHM.US,D,20071227,000000,40.877,40.877,40.877,40.877,3512,0
SHM.US,D,20071228,000000,40.877,40.877,40.825,40.825,7845,0
SHM.US,D,20071231,000000,40.861,40.861,40.842,40.842,8234,0
SHM.US,D,20080102,000000,40.877,40.896,40.807,40.896,3793,0
SHM.US,D,20080103,000000,40.842,40.877,40.457,40.877,3512,0
SHM.US,D,20080104,000000,40.896,41.002,40.676,40.95,65037,0
SHM.US,D,20080107,000000,40.966,41.002,40.966,40.966,4815,0
SHM.US,D,20080108,000000,41.002,41.002,40.95,40.95,8716,0
SHM.US,D,20080109,000000,39.361,41.113,39.343,41.002,19136,0
SHM.US,D,20080110,000000,41.076,41.164,41.04,41.164,12356,0
SHM.US,D,20080111,000000,41.146,41.202,41.06,41.146,2239,0
SHM.US,D,20080114,000000,41.146,41.257,41.146,41.238,5116,0
SHM.US,D,20080115,000000,41.257,41.326,41.183,41.183,27983,0
SHM.US,D,20080116,000000,44.791,44.791,41.291,41.377,18417,0
SHM.US,D,20080117,000000,41.291,41.486,41.291,41.414,142534,0
SHM.US,D,20080118,000000,41.397,41.466,41.362,41.448,13963,0
SHM.US,D,20080122,000000,41.627,41.642,41.432,41.642,10579,0
SHM.US,D,20080123,000000,41.747,41.784,41.642,41.747,8687,0
SHM.US,D,20080124,000000,41.727,41.727,41.573,41.642,10852,0
SHM.US,D,20080125,000000,41.66,41.8,41.59,41.8,19251,0
SHM.US,D,20080128,000000,41.727,41.727,41.519,41.727,13178,0
SHM.US,D,20080129,000000,41.876,41.913,41.711,41.784,15845,0
SHM.US,D,20080130,000000,41.727,41.913,41.696,41.893,16637,0
SHM.US,D,20080131,000000,41.747,41.876,41.747,41.856,14858,0
SHM.US,D,20080201,000000,41.66,41.8,41.66,41.784,30931,0
SHM.US,D,20080204,000000,41.747,41.8,41.727,41.747,10743,0
SHM.US,D,20080205,000000,41.893,41.893,41.784,41.784,6280,0
SHM.US,D,20080206,000000,41.696,41.8,41.696,41.8,7462,0
SHM.US,D,20080207,000000,43.143,43.143,41.362,41.727,37610,0
SHM.US,D,20080208,000000,41.678,41.818,41.627,41.818,21255,0
SHM.US,D,20080211,000000,41.8,41.987,41.573,41.913,22533,0
SHM.US,D,20080212,000000,41.747,41.893,41.66,41.876,17382,0
SHM.US,D,20080213,000000,41.747,42.116,41.747,41.967,186747,0
SHM.US,D,20080214,000000,41.856,41.93,41.8,41.838,27704,0
SHM.US,D,20080215,000000,41.727,41.893,41.66,41.766,21142,0
SHM.US,D,20080219,000000,41.539,41.818,41.539,41.539,22258,0
SHM.US,D,20080220,000000,41.608,41.838,41.608,41.747,16241,0
SHM.US,D,20080221,000000,41.727,41.727,41.397,41.678,22808,0
SHM.US,D,20080222,000000,41.747,41.747,41.377,41.539,17633,0
SHM.US,D,20080225,000000,41.505,41.766,41.326,41.696,12128,0
SHM.US,D,20080226,000000,41.448,41.818,41.04,41.04,14293,0
SHM.US,D,20080227,000000,41.345,41.486,41.202,41.291,13691,0
SHM.US,D,20080228,000000,41.218,41.362,41.002,41.183,22907,0
SHM.US,D,20080229,000000,40.768,41.838,37.64,40.676,74969,0
SHM.US,D,20080303,000000,41.202,41.218,40.333,41.218,35111,0
SHM.US,D,20080304,000000,41.02,41.202,40.768,41.002,16596,0
SHM.US,D,20080305,000000,41.326,41.466,41.164,41.377,28428,0
SHM.US,D,20080306,000000,41.345,41.466,40.877,41.397,40226,0
SHM.US,D,20080307,000000,39.849,41.747,39.849,41.608,10214,0
SHM.US,D,20080310,000000,41.573,41.573,41.218,41.559,8626,0
SHM.US,D,20080311,000000,41.519,44.791,41.345,41.466,22448,0
SHM.US,D,20080312,000000,41.448,41.573,41.414,41.573,33215,0
SHM.US,D,20080313,000000,43.269,43.269,41.326,41.838,37871,0
SHM.US,D,20080314,000000,41.432,41.784,41.432,41.627,19807,0
SHM.US,D,20080317,000000,41.519,41.711,41.238,41.414,16286,0
SHM.US,D,20080318,000000,41.66,42.166,41.505,41.987,17247,0
SHM.US,D,20080319,000000,41.466,41.608,40.422,41.608,17584,0
SHM.US,D,20080320,000000,41.505,41.711,41.31,41.559,24922,0
SHM.US,D,20080324,000000,41.66,41.696,41.291,41.59,283969,0
