<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPUC.US,D,20200909,000000,24.499,24.499,24.499,24.499,4,0
SPUC.US,D,20200910,000000,24.702,24.702,24.003,24.003,101,0
SPUC.US,D,20200914,000000,24.434,24.434,24.218,24.218,3699,0
SPUC.US,D,20200915,000000,24.464,24.464,24.424,24.424,101,0
SPUC.US,D,20200916,000000,24.314,24.314,24.314,24.314,3,0
SPUC.US,D,20200917,000000,24.065,24.065,24.065,24.065,1,0
SPUC.US,D,20200918,000000,23.819,23.819,23.808,23.808,101,0
SPUC.US,D,20200921,000000,23.204,23.461,23.204,23.461,101,0
SPUC.US,D,20200922,000000,23.772,23.772,23.772,23.772,3,0
SPUC.US,D,20200923,000000,23.141,23.141,23.141,23.141,3,0
SPUC.US,D,20200924,000000,23.236,23.236,23.236,23.236,1,0
SPUC.US,D,20200925,000000,23.637,23.637,23.637,23.637,3,0
SPUC.US,D,20200928,000000,24.023,24.023,24.023,24.023,213,0
SPUC.US,D,20200929,000000,23.936,23.936,23.936,23.936,3,0
SPUC.US,D,20200930,000000,24.19,24.19,24.19,24.19,93,0
SPUC.US,D,20201001,000000,24.291,24.291,24.291,24.291,3,0
SPUC.US,D,20201002,000000,24.082,24.082,24.082,24.082,3,0
SPUC.US,D,20201005,000000,24.521,24.521,24.521,24.521,3,0
SPUC.US,D,20201006,000000,24.169,24.169,24.169,24.169,3,0
SPUC.US,D,20201007,000000,24.624,24.624,24.624,24.624,3,0
SPUC.US,D,20201008,000000,24.814,24.814,24.814,24.814,2,0
SPUC.US,D,20201009,000000,25.079,25.079,25.023,25.023,101,0
SPUC.US,D,20201012,000000,25.466,25.516,25.466,25.5,1466,0
SPUC.US,D,20201013,000000,25.314,25.314,25.314,25.314,4,0
SPUC.US,D,20201014,000000,25.089,25.089,25.089,25.089,2,0
SPUC.US,D,20201015,000000,24.901,25.018,24.901,25.018,212,0
SPUC.US,D,20201016,000000,25.054,25.054,25.054,25.054,50,0
SPUC.US,D,20201019,000000,24.574,24.574,24.574,24.574,4,0
SPUC.US,D,20201020,000000,24.742,24.742,24.742,24.742,50,0
SPUC.US,D,20201021,000000,24.663,24.663,24.663,24.663,2,0
SPUC.US,D,20201023,000000,24.78,24.827,24.78,24.827,1304,0
SPUC.US,D,20201026,000000,24.327,24.327,24.327,24.327,2,0
SPUC.US,D,20201027,000000,24.279,24.279,24.279,24.279,2,0
SPUC.US,D,20201028,000000,23.396,23.396,23.396,23.396,10,0
SPUC.US,D,20201029,000000,23.561,23.729,23.561,23.729,161,0
SPUC.US,D,20201030,000000,23.289,23.289,23.289,23.289,2,0
SPUC.US,D,20201102,000000,23.627,23.627,23.627,23.627,2,0
SPUC.US,D,20201103,000000,24.164,24.164,24.164,24.164,2,0
SPUC.US,D,20201104,000000,24.484,24.682,24.484,24.68,1927,0
SPUC.US,D,20201105,000000,25.337,25.337,25.22,25.22,8565,0
SPUC.US,D,20201106,000000,25.209,25.209,25.209,25.209,8,0
SPUC.US,D,20201109,000000,25.903,25.992,25.535,25.535,3650,0
SPUC.US,D,20201110,000000,25.445,25.445,25.445,25.445,2,0
SPUC.US,D,20201111,000000,25.66,25.66,25.66,25.66,2,0
SPUC.US,D,20201112,000000,25.377,25.377,25.375,25.375,5242,0
SPUC.US,D,20201113,000000,25.615,25.778,25.615,25.778,4128,0
SPUC.US,D,20201116,000000,26.066,26.066,26.066,26.066,4,0
SPUC.US,D,20201117,000000,25.984,25.984,25.984,25.984,2,0
SPUC.US,D,20201118,000000,26.012,26.012,25.67,25.67,918,0
SPUC.US,D,20201119,000000,26.062,26.062,25.719,25.719,1156,0
SPUC.US,D,20201120,000000,25.545,25.545,25.545,25.545,123,0
SPUC.US,D,20201123,000000,25.655,25.655,25.655,25.655,61,0
SPUC.US,D,20201124,000000,26.141,26.141,26.135,26.135,701,0
SPUC.US,D,20201125,000000,26.092,26.092,26.08,26.08,162,0
SPUC.US,D,20201127,000000,26.138,26.138,26.138,26.138,61,0
SPUC.US,D,20201130,000000,25.975,25.975,25.975,25.975,63,0
SPUC.US,D,20201201,000000,26.351,26.351,26.351,26.351,3,0
SPUC.US,D,20201202,000000,26.387,26.387,26.387,26.387,3,0
SPUC.US,D,20201203,000000,26.331,26.331,26.331,26.331,3,0
SPUC.US,D,20201204,000000,26.617,26.617,26.617,26.617,3,0
SPUC.US,D,20201207,000000,26.556,26.556,26.556,26.556,10,0
SPUC.US,D,20201209,000000,26.436,26.436,26.436,26.436,1,0
SPUC.US,D,20201210,000000,26.3,26.387,26.3,26.387,113,0
SPUC.US,D,20201211,000000,26.304,26.304,26.304,26.304,10,0
SPUC.US,D,20201214,000000,26.5,26.5,26.2,26.2229,103040,0
SPUC.US,D,20201215,000000,26.5303,26.5303,26.5303,26.5303,10,0
SPUC.US,D,20201216,000000,26.619,26.619,26.619,26.619,31,0
SPUC.US,D,20201217,000000,26.7565,26.7565,26.7565,26.7565,10,0
SPUC.US,D,20201218,000000,26.57,26.6976,26.5,26.6976,1808,0
SPUC.US,D,20201221,000000,26.5253,26.5253,26.5253,26.5253,3,0
SPUC.US,D,20201222,000000,26.4787,26.4787,26.4787,26.4787,10,0
SPUC.US,D,20201223,000000,26.5255,26.5255,26.5255,26.5255,15,0
SPUC.US,D,20201224,000000,26.5693,26.5693,26.5693,26.5693,2,0
SPUC.US,D,20201228,000000,26.8332,26.8332,26.8332,26.8332,2,0
SPUC.US,D,20201229,000000,26.9,26.9,26.7814,26.7814,105,0
SPUC.US,D,20201230,000000,26.8355,26.8355,26.8355,26.8355,2,0
SPUC.US,D,20201231,000000,27.0035,27.0035,27.0035,27.0035,3,0
SPUC.US,D,20210104,000000,26.5735,26.5735,26.5735,26.5735,42,0
SPUC.US,D,20210105,000000,26.83,26.83,26.7633,26.7633,9713,0
SPUC.US,D,20210106,000000,26.9528,26.9528,26.9528,26.9528,38,0
SPUC.US,D,20210107,000000,27.39,27.4302,27.39,27.3947,1316,0
SPUC.US,D,20210108,000000,27.47,27.5736,27.47,27.5736,518,0
SPUC.US,D,20210111,000000,27.45,27.55,27.3907,27.3907,685,0
SPUC.US,D,20210112,000000,27.4246,27.4246,27.4246,27.4246,6,0
SPUC.US,D,20210113,000000,27.42,27.4738,27.39,27.4738,1400,0
SPUC.US,D,20210114,000000,27.55,27.55,27.3349,27.3349,260,0
SPUC.US,D,20210115,000000,27.1011,27.11,27.1,27.1062,601,0
SPUC.US,D,20210119,000000,27.3568,27.3568,27.3568,27.3568,2,0
SPUC.US,D,20210120,000000,27.8,27.8287,27.8,27.8287,120,0
SPUC.US,D,20210121,000000,27.85,27.8556,27.85,27.8556,105,0
SPUC.US,D,20210122,000000,27.72,27.7755,27.72,27.7755,307,0
SPUC.US,D,20210125,000000,27.85,27.8673,27.85,27.8673,3942,0
SPUC.US,D,20210126,000000,28,28,27.8345,27.8345,47380,0
SPUC.US,D,20210127,000000,27.1187,27.1187,27.1187,27.1187,80,0
SPUC.US,D,20210128,000000,27.6601,27.6601,27.4237,27.4237,203,0
SPUC.US,D,20210129,000000,26.88,26.9004,26.88,26.9004,3841,0
SPUC.US,D,20210201,000000,27.04,27.37,27.03,27.3252,184342,0
SPUC.US,D,20210202,000000,27.88,27.88,27.7309,27.7309,479,0
SPUC.US,D,20210203,000000,27.785,27.785,27.7416,27.7416,3528,0
SPUC.US,D,20210204,000000,27.92,28.0203,27.92,28.0203,520,0
SPUC.US,D,20210205,000000,28.198,28.2099,28.15,28.2029,2971,0
SPUC.US,D,20210208,000000,28.36,28.4111,28.34,28.4111,30829,0
SPUC.US,D,20210209,000000,28.39,28.4211,28.38,28.42,21491,0
SPUC.US,D,20210210,000000,28.4101,28.5099,28.4085,28.4085,2010,0
SPUC.US,D,20210211,000000,28.56,28.56,28.483,28.483,3531,0
SPUC.US,D,20210212,000000,28.6509,28.6509,28.6509,28.6509,68,0
SPUC.US,D,20210216,000000,28.6608,28.6608,28.6608,28.6608,101,0
SPUC.US,D,20210217,000000,28.69,28.69,28.6481,28.6481,239,0
SPUC.US,D,20210218,000000,28.22,28.4676,28.22,28.4676,827,0
SPUC.US,D,20210219,000000,28.3212,28.3212,28.3212,28.3212,90,0
SPUC.US,D,20210222,000000,28.0638,28.0638,28.0638,28.0638,15,0
SPUC.US,D,20210223,000000,28.0912,28.0912,28.0912,28.0912,100,0
SPUC.US,D,20210224,000000,28.415,28.4805,28.415,28.4805,510,0
SPUC.US,D,20210225,000000,28.08,28.15,27.7755,27.7755,1142,0
SPUC.US,D,20210226,000000,27.65,27.67,27.49,27.5391,16888,0
SPUC.US,D,20210301,000000,28.21,28.21,28.1287,28.1287,2702,0
SPUC.US,D,20210302,000000,28.01,28.01,27.9845,27.9845,546,0
SPUC.US,D,20210303,000000,27.81,27.81,27.5304,27.5304,433,0
SPUC.US,D,20210304,000000,27.0329,27.0329,27.0329,27.0329,5,0
SPUC.US,D,20210305,000000,27.22,27.6531,27.22,27.6531,862,0
SPUC.US,D,20210308,000000,27.4939,27.4939,27.4939,27.4939,45,0
SPUC.US,D,20210309,000000,27.9821,28.09,27.8921,27.946,1167,0
SPUC.US,D,20210310,000000,28.2,28.2,28.1594,28.1594,671,0
SPUC.US,D,20210311,000000,28.5282,28.5282,28.5282,28.5282,53,0
SPUC.US,D,20210312,000000,28.58,28.6034,28.58,28.6034,236,0
SPUC.US,D,20210315,000000,28.7647,28.7647,28.7647,28.7647,116,0
SPUC.US,D,20210316,000000,28.735,28.735,28.7264,28.7264,274,0
SPUC.US,D,20210317,000000,28.7509,28.7541,28.7509,28.7541,405,0
SPUC.US,D,20210318,000000,28.43,28.43,28.299,28.299,335,0
SPUC.US,D,20210319,000000,28.3,28.3,28.2018,28.2018,2037,0
SPUC.US,D,20210322,000000,28.44,28.44,28.3311,28.3311,897,0
SPUC.US,D,20210323,000000,28.0233,28.0233,28.0233,28.0233,1,0
SPUC.US,D,20210324,000000,28.2,28.2,27.8841,27.8841,771,0
SPUC.US,D,20210325,000000,27.99,28.0175,27.99,28.0175,383,0
SPUC.US,D,20210326,000000,28.2,28.55,28.2,28.5436,4152,0
SPUC.US,D,20210329,000000,28.33,28.5267,28.33,28.5267,1147,0
SPUC.US,D,20210330,000000,28.2927,28.2927,28.2927,28.2927,34,0
SPUC.US,D,20210331,000000,28.41,28.5368,28.41,28.5368,226,0
SPUC.US,D,20210401,000000,28.8681,28.8681,28.8681,28.8681,79,0
SPUC.US,D,20210405,000000,29.33,29.4408,29.33,29.4408,291,0
SPUC.US,D,20210406,000000,29.56,29.56,29.38,29.4346,933,0
SPUC.US,D,20210407,000000,29.5094,29.5299,29.43,29.4777,2940,0
SPUC.US,D,20210408,000000,29.6941,29.6941,29.6941,29.6941,2,0
SPUC.US,D,20210409,000000,29.74,30.0681,29.74,30.0681,1041,0
SPUC.US,D,20210412,000000,30.1784,30.1784,29.97,30.0968,1219,0
SPUC.US,D,20210413,000000,30.21,30.2295,30.21,30.2295,379,0
SPUC.US,D,20210414,000000,30.2,30.2,30.0157,30.0157,2480,0
SPUC.US,D,20210415,000000,30.45,30.45,30.326,30.4315,1225,0
SPUC.US,D,20210416,000000,30.65,30.6543,30.65,30.6543,403,0
SPUC.US,D,20210419,000000,30.36,30.3745,30.36,30.3745,127,0
SPUC.US,D,20210420,000000,30.04,30.0922,30.04,30.0922,497,0
SPUC.US,D,20210421,000000,30,30.4351,29.99,30.4351,3611,0
SPUC.US,D,20210422,000000,30.42,30.42,30.02,30.1104,354,0
SPUC.US,D,20210423,000000,30.4689,30.4689,30.4689,30.4689,44,0
SPUC.US,D,20210426,000000,30.27,30.7,30.11,30.11,1242,0
SPUC.US,D,20210427,000000,30.7,30.7,30.5815,30.6296,374,0
SPUC.US,D,20210428,000000,30.6131,30.65,30.5367,30.5367,1266,0
SPUC.US,D,20210429,000000,30.86,30.86,30.6986,30.6986,147,0
SPUC.US,D,20210430,000000,31.26,31.26,30.5284,30.5466,826,0
SPUC.US,D,20210503,000000,30.66,30.66,30.5995,30.5995,310,0
SPUC.US,D,20210504,000000,30.17,30.3206,30.15,30.3206,255,0
SPUC.US,D,20210505,000000,30.1822,30.55,30.1822,30.3435,266,0
SPUC.US,D,20210506,000000,30.6514,30.6514,30.6514,30.6514,46,0
SPUC.US,D,20210507,000000,31.02,31.022,30.995,30.995,318,0
SPUC.US,D,20210510,000000,30.68,30.68,30.618,30.618,175,0
SPUC.US,D,20210511,000000,30.2,30.2,30.12,30.197,416,0
SPUC.US,D,20210512,000000,29.4439,29.4439,29.4439,29.4439,10,0
SPUC.US,D,20210513,000000,30,30.02,29.8897,29.8897,949,0
SPUC.US,D,20210514,000000,30.3863,30.3863,30.3863,30.3863,142,0
SPUC.US,D,20210517,000000,30.2,30.2275,30.2,30.2275,104,0
SPUC.US,D,20210518,000000,30,30,29.9503,29.9503,174,0
SPUC.US,D,20210519,000000,29.55,29.7583,29.43,29.7583,1602,0
SPUC.US,D,20210520,000000,30.2882,30.2882,30.1698,30.1698,730,0
SPUC.US,D,20210521,000000,30.1,30.1536,30.1,30.1536,2934,0
SPUC.US,D,20210524,000000,30.5303,30.5303,30.5303,30.5303,2,0
SPUC.US,D,20210525,000000,30.6059,30.6059,30.3601,30.4086,346,0
SPUC.US,D,20210526,000000,30.4137,30.4137,30.4137,30.4137,66,0
SPUC.US,D,20210527,000000,30.4463,30.4463,30.4463,30.4463,193,0
SPUC.US,D,20210528,000000,30.4494,30.4494,30.4494,30.4494,4,0
SPUC.US,D,20210601,000000,30.45,30.45,30.4274,30.4274,548,0
SPUC.US,D,20210602,000000,30.37,30.4743,30.37,30.4743,2514,0
SPUC.US,D,20210603,000000,30.41,30.41,30.3466,30.3466,482,0
SPUC.US,D,20210604,000000,30.695,30.695,30.63,30.6887,1570,0
SPUC.US,D,20210607,000000,30.6625,30.6625,30.6625,30.6625,56,0
SPUC.US,D,20210608,000000,30.5,30.6312,30.5,30.6312,345,0
SPUC.US,D,20210609,000000,30.68,30.68,30.5869,30.5869,138,0
SPUC.US,D,20210610,000000,30.6442,30.6442,30.6442,30.6442,29,0
SPUC.US,D,20210611,000000,30.6631,30.6631,30.645,30.6514,1002,0
SPUC.US,D,20210614,000000,30.6589,30.7503,30.645,30.7503,791,0
SPUC.US,D,20210615,000000,30.67,30.6962,30.67,30.6962,919,0
SPUC.US,D,20210616,000000,30.4567,30.4567,30.4567,30.4567,2,0
SPUC.US,D,20210617,000000,30.46,30.46,30.4267,30.4267,920,0
SPUC.US,D,20210618,000000,30,30,29.9448,29.9448,332,0
SPUC.US,D,20210621,000000,30.39,30.3947,30.39,30.3947,601,0
SPUC.US,D,20210622,000000,30.68,30.68,30.6135,30.6135,633,0
SPUC.US,D,20210623,000000,30.55,30.55,30.5351,30.5351,400,0
SPUC.US,D,20210624,000000,30.79,30.79,30.754,30.7585,948,0
SPUC.US,D,20210625,000000,30.86,30.9385,30.86,30.9385,2888,0
SPUC.US,D,20210628,000000,30.7,30.8659,30.7,30.8659,761,0
SPUC.US,D,20210629,000000,30.9,30.9294,30.9,30.9294,425,0
SPUC.US,D,20210630,000000,31.0111,31.0111,31.0111,31.0111,35,0
SPUC.US,D,20210701,000000,31.16,31.2246,31.16,31.2246,240,0
SPUC.US,D,20210702,000000,31.44,31.6671,31.44,31.6671,227,0
SPUC.US,D,20210706,000000,31.5488,31.5488,31.5488,31.5488,114,0
