<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOKE.US,D,20190726,000000,23.169,23.435,23.073,23.292,19138,0
TOKE.US,D,20190729,000000,23.633,23.633,22.7,22.998,23284,0
TOKE.US,D,20190730,000000,22.983,23.15,22.577,23.036,8520,0
TOKE.US,D,20190731,000000,23.308,23.322,23.05,23.113,17974,0
TOKE.US,D,20190801,000000,23.337,23.337,22.308,22.359,33576,0
TOKE.US,D,20190802,000000,22.818,23.429,22.56,23.283,13063,0
TOKE.US,D,20190805,000000,23.216,23.308,22.751,22.844,22231,0
TOKE.US,D,20190806,000000,23.235,23.633,23.067,23.277,9407,0
TOKE.US,D,20190807,000000,23.095,23.208,22.818,23.208,7536,0
TOKE.US,D,20190808,000000,23.763,23.763,23.231,23.6,6391,0
TOKE.US,D,20190809,000000,23.661,23.704,23.216,23.704,54489,0
TOKE.US,D,20190812,000000,24.559,24.559,23.244,23.426,55059,0
TOKE.US,D,20190813,000000,23.504,23.724,23.298,23.661,18639,0
TOKE.US,D,20190814,000000,23.169,23.271,22.354,22.429,30806,0
TOKE.US,D,20190815,000000,22.308,22.308,21.326,21.386,26188,0
TOKE.US,D,20190816,000000,21.585,21.929,21.567,21.729,11520,0
TOKE.US,D,20190819,000000,22.039,22.039,21.604,21.626,8756,0
TOKE.US,D,20190820,000000,21.534,21.749,21.534,21.612,5297,0
TOKE.US,D,20190821,000000,21.761,21.778,21.548,21.662,5851,0
TOKE.US,D,20190822,000000,21.724,21.724,21.102,21.297,14560,0
TOKE.US,D,20190823,000000,21.205,21.224,20.772,20.807,13070,0
TOKE.US,D,20190826,000000,20.861,20.965,20.481,20.647,14212,0
TOKE.US,D,20190827,000000,20.834,20.834,19.75,19.779,30762,0
TOKE.US,D,20190828,000000,19.731,20.177,19.462,20.026,10123,0
TOKE.US,D,20190829,000000,20.314,20.389,20.176,20.182,5852,0
TOKE.US,D,20190830,000000,20.306,20.343,19.926,19.966,21555,0
TOKE.US,D,20190903,000000,19.926,20.454,19.926,20.401,15239,0
TOKE.US,D,20190904,000000,20.65,20.65,20.065,20.306,18706,0
TOKE.US,D,20190905,000000,20.427,20.899,20.427,20.899,6235,0
TOKE.US,D,20190906,000000,20.926,21.354,20.8,21.224,6089,0
TOKE.US,D,20190909,000000,21.558,21.558,20.62,20.62,12959,0
TOKE.US,D,20190910,000000,20.574,20.871,20.389,20.829,4581,0
TOKE.US,D,20190911,000000,20.854,21.056,20.844,20.902,3577,0
TOKE.US,D,20190912,000000,20.714,20.714,20.412,20.412,8900,0
TOKE.US,D,20190913,000000,20.444,20.444,20.352,20.352,14377,0
TOKE.US,D,20190916,000000,20.314,20.314,19.935,19.953,6189,0
TOKE.US,D,20190917,000000,19.926,19.935,19.462,19.527,13905,0
TOKE.US,D,20190918,000000,19.61,19.657,19.515,19.631,2802,0
TOKE.US,D,20190919,000000,19.671,19.671,19.462,19.462,46289,0
TOKE.US,D,20190920,000000,19.37,19.462,19.277,19.323,6343,0
