<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULVM.US,D,20171027,000000,48.17,48.52,48.17,48.51,13218,0
ULVM.US,D,20171030,000000,48.51,48.51,48.302,48.392,65781,0
ULVM.US,D,20171031,000000,48.402,48.472,48.392,48.422,449373,0
ULVM.US,D,20171101,000000,48.702,48.702,48.412,48.412,104053,0
ULVM.US,D,20171102,000000,48.558,48.575,48.342,48.472,57602,0
ULVM.US,D,20171103,000000,48.566,48.566,48.377,48.5,39072,0
ULVM.US,D,20171106,000000,48.954,48.954,48.624,48.769,54627,0
ULVM.US,D,20171107,000000,48.906,48.906,48.624,48.683,107145,0
ULVM.US,D,20171108,000000,48.76,48.818,48.614,48.778,6650,0
ULVM.US,D,20171109,000000,48.53,48.619,48.431,48.585,3144,0
ULVM.US,D,20171110,000000,48.566,48.595,48.548,48.595,416227,0
ULVM.US,D,20171113,000000,48.52,48.778,48.52,48.75,2733,0
ULVM.US,D,20171114,000000,48.614,48.731,48.614,48.731,5767,0
ULVM.US,D,20171115,000000,48.566,48.634,48.296,48.538,7701,0
ULVM.US,D,20171116,000000,48.683,48.991,48.683,48.886,6945,0
ULVM.US,D,20171117,000000,48.866,48.963,48.866,48.916,54755,0
ULVM.US,D,20171120,000000,48.991,49.098,48.944,49.078,4022,0
ULVM.US,D,20171121,000000,49.28,49.378,49.28,49.328,3840,0
ULVM.US,D,20171122,000000,49.395,49.395,49.165,49.165,9044,0
ULVM.US,D,20171124,000000,49.358,49.358,49.28,49.28,5547,0
ULVM.US,D,20171127,000000,49.348,49.348,49.27,49.27,59049,0
ULVM.US,D,20171128,000000,49.358,49.802,49.328,49.783,3093,0
ULVM.US,D,20171129,000000,50.006,50.006,49.773,49.802,6103,0
ULVM.US,D,20171130,000000,50.035,50.244,50.035,50.045,345445,0
ULVM.US,D,20171201,000000,50.264,50.264,49.328,49.937,5205,0
ULVM.US,D,20171204,000000,50.254,50.254,49.749,49.754,101178,0
ULVM.US,D,20171205,000000,49.754,49.754,49.462,49.481,4476,0
ULVM.US,D,20171206,000000,49.405,49.462,49.395,49.405,14342,0
ULVM.US,D,20171207,000000,49.395,49.812,49.395,49.667,59342,0
ULVM.US,D,20171208,000000,49.899,49.99,49.802,49.967,3460,0
ULVM.US,D,20171211,000000,50.102,50.12,50.006,50.12,7702,0
ULVM.US,D,20171212,000000,50.197,50.197,50.035,50.035,6374,0
ULVM.US,D,20171213,000000,50.102,50.14,49.908,49.908,2895,0
ULVM.US,D,20171214,000000,50.016,50.016,49.618,49.648,6110,0
ULVM.US,D,20171215,000000,49.764,50.13,49.764,50.006,5195,0
ULVM.US,D,20171218,000000,50.235,50.341,50.235,50.322,10507,0
ULVM.US,D,20171219,000000,50.456,50.456,50.13,50.13,13189,0
ULVM.US,D,20171220,000000,50.38,50.38,50.178,50.178,10071,0
ULVM.US,D,20171221,000000,50.37,50.37,50.197,50.197,267675,0
ULVM.US,D,20171222,000000,50.136,50.221,50.108,50.211,3375,0
ULVM.US,D,20171226,000000,50.203,50.309,50.174,50.25,5639,0
ULVM.US,D,20171227,000000,50.298,50.358,50.241,50.289,6708,0
ULVM.US,D,20171228,000000,50.423,50.473,50.299,50.473,6460,0
ULVM.US,D,20171229,000000,50.677,50.677,50.203,50.203,8452,0
ULVM.US,D,20180102,000000,50.443,50.532,50.308,50.532,17369,0
ULVM.US,D,20180103,000000,50.878,50.878,50.627,50.821,18272,0
ULVM.US,D,20180104,000000,50.967,51.044,50.928,50.957,10334,0
ULVM.US,D,20180105,000000,51.111,51.267,51.044,51.208,9365,0
ULVM.US,D,20180108,000000,51.457,51.467,51.179,51.457,13786,0
ULVM.US,D,20180109,000000,51.583,51.739,51.506,51.506,9086,0
ULVM.US,D,20180110,000000,51.497,51.497,51.305,51.41,7411,0
ULVM.US,D,20180111,000000,51.622,51.912,51.603,51.873,135496,0
ULVM.US,D,20180112,000000,52.095,52.26,51.991,52.213,8405,0
ULVM.US,D,20180116,000000,52.53,52.53,51.788,51.912,22499,0
ULVM.US,D,20180117,000000,52.124,52.627,52.056,52.52,690119,0
ULVM.US,D,20180118,000000,52.598,52.598,52.307,52.38,16821,0
ULVM.US,D,20180119,000000,52.511,52.773,52.501,52.773,32511,0
ULVM.US,D,20180122,000000,52.907,52.957,52.82,52.957,7233,0
ULVM.US,D,20180123,000000,53.138,53.152,52.957,53.118,8088,0
ULVM.US,D,20180124,000000,53.253,53.253,52.724,52.937,4801,0
ULVM.US,D,20180125,000000,53.166,53.166,52.724,52.858,31551,0
ULVM.US,D,20180126,000000,53.118,53.33,52.964,53.33,34549,0
ULVM.US,D,20180129,000000,53.292,53.292,52.81,52.81,57937,0
ULVM.US,D,20180130,000000,52.53,52.53,52.114,52.289,31194,0
ULVM.US,D,20180131,000000,52.452,52.453,52.124,52.27,37292,0
ULVM.US,D,20180201,000000,52.104,52.327,52.04,52.154,31303,0
ULVM.US,D,20180202,000000,52.056,52.056,51.082,51.082,51077,0
ULVM.US,D,20180205,000000,50.716,51.053,49.382,49.382,39176,0
