<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGT.US,D,20050225,000000,39.938,40.162,39.938,40.162,778,0
VGT.US,D,20050228,000000,40.318,40.318,40.121,40.121,1219,0
VGT.US,D,20050301,000000,40.443,40.505,40.283,40.487,2329,0
VGT.US,D,20050302,000000,40.362,40.756,40.362,40.399,1442,0
VGT.US,D,20050303,000000,40.477,40.477,39.964,40.216,2440,0
VGT.US,D,20050304,000000,40.523,40.523,40.345,40.399,1331,0
VGT.US,D,20050307,000000,40.523,41.02,40.523,40.841,5543,0
VGT.US,D,20050308,000000,40.886,40.96,40.599,40.599,1996,0
VGT.US,D,20050309,000000,40.443,40.748,40.399,40.523,8094,0
VGT.US,D,20050310,000000,40.513,40.513,40.067,40.443,5543,0
VGT.US,D,20050311,000000,40.399,40.399,39.805,39.874,2883,0
VGT.US,D,20050314,000000,39.973,40.085,39.947,40.085,554,0
VGT.US,D,20050315,000000,40.019,40.019,39.77,39.77,1442,0
VGT.US,D,20050316,000000,39.695,39.798,39.245,39.245,2218,0
VGT.US,D,20050317,000000,39.389,39.507,39.272,39.341,5324,0
VGT.US,D,20050318,000000,39.109,39.2,38.992,38.992,49680,0
VGT.US,D,20050321,000000,39.21,39.219,38.938,39.119,1331,0
VGT.US,D,20050322,000000,39.191,39.272,38.776,38.776,1552,0
VGT.US,D,20050323,000000,38.848,39.053,38.848,39.001,13641,0
VGT.US,D,20050324,000000,39.144,39.316,39.072,39.29,1442,0
VGT.US,D,20050328,000000,39.281,39.281,39.028,39.028,554,0
VGT.US,D,20050329,000000,38.892,39.053,38.623,38.623,5435,0
VGT.US,D,20050330,000000,38.911,39.254,38.911,39.254,3436,0
VGT.US,D,20050331,000000,39.236,39.308,39.135,39.182,12754,0
VGT.US,D,20050401,000000,39.469,39.469,38.81,38.911,5767,0
VGT.US,D,20050404,000000,38.81,39.053,38.675,39.053,1000,0
VGT.US,D,20050405,000000,39.091,39.091,38.947,38.956,1219,0
VGT.US,D,20050406,000000,39.135,39.2,39.018,39.018,5100,0
VGT.US,D,20050407,000000,39.082,39.333,39.082,39.333,1996,0
VGT.US,D,20050408,000000,39.37,39.406,39.119,39.119,1777,0
VGT.US,D,20050411,000000,39.182,39.182,38.793,38.884,1777,0
VGT.US,D,20050412,000000,38.565,38.947,38.369,38.947,3105,0
VGT.US,D,20050413,000000,38.713,38.713,38.369,38.386,667,0
VGT.US,D,20050414,000000,38.326,38.326,37.89,37.9,7654,0
VGT.US,D,20050415,000000,37.132,37.317,36.619,36.619,5767,0
VGT.US,D,20050418,000000,36.612,36.855,36.612,36.847,2329,0
VGT.US,D,20050419,000000,37.158,37.233,36.991,37.233,6986,0
VGT.US,D,20050420,000000,37.466,37.466,36.971,36.971,3213,0
VGT.US,D,20050421,000000,37.485,37.972,37.485,37.955,3659,0
VGT.US,D,20050422,000000,37.758,37.758,37.261,37.261,2218,0
VGT.US,D,20050425,000000,37.864,37.89,37.82,37.82,1996,0
VGT.US,D,20050426,000000,37.685,37.955,37.547,37.547,4436,0
VGT.US,D,20050427,000000,37.158,37.512,37.158,37.512,554,0
VGT.US,D,20050428,000000,37.326,37.326,37.001,37.001,7654,0
VGT.US,D,20050429,000000,37.307,37.422,36.935,37.422,10202,0
VGT.US,D,20050502,000000,37.587,37.587,37.396,37.396,442,0
VGT.US,D,20050503,000000,37.567,37.801,37.537,37.537,1109,0
VGT.US,D,20050504,000000,37.782,38.082,37.782,38.035,4658,0
VGT.US,D,20050505,000000,38.044,38.162,37.955,38.019,1777,0
VGT.US,D,20050506,000000,38.168,38.206,38.1,38.206,3105,0
VGT.US,D,20050509,000000,38.162,38.261,37.972,38.168,3659,0
VGT.US,D,20050510,000000,38.144,38.144,37.801,37.801,2659,0
VGT.US,D,20050511,000000,37.838,38.216,37.758,38.216,1442,0
VGT.US,D,20050512,000000,38.423,38.497,38.035,38.035,1219,0
VGT.US,D,20050513,000000,38.433,38.865,38.433,38.658,9313,0
VGT.US,D,20050516,000000,38.73,39.045,38.658,39.045,5878,0
VGT.US,D,20050517,000000,38.902,39.144,38.784,39.082,2440,0
VGT.US,D,20050518,000000,39.478,39.947,39.397,39.831,6765,0
VGT.US,D,20050519,000000,39.814,40.085,39.814,40.085,3105,0
VGT.US,D,20050520,000000,40.037,40.246,39.964,40.246,1662,0
VGT.US,D,20050523,000000,40.291,40.443,40.255,40.443,3330,0
VGT.US,D,20050524,000000,40.246,40.607,40.246,40.607,7096,0
VGT.US,D,20050525,000000,40.399,40.408,40.112,40.371,14198,0
VGT.US,D,20050526,000000,40.572,40.896,40.572,40.896,7654,0
VGT.US,D,20050527,000000,40.803,40.813,40.685,40.722,5100,0
VGT.US,D,20050531,000000,40.803,40.915,40.636,40.669,3105,0
VGT.US,D,20050601,000000,40.572,41.146,40.572,40.866,3436,0
VGT.US,D,20050602,000000,41.048,41.137,41.01,41.094,5543,0
VGT.US,D,20050603,000000,41.03,41.03,40.607,40.685,8318,0
VGT.US,D,20050606,000000,40.685,40.748,40.533,40.694,2553,0
VGT.US,D,20050607,000000,40.739,41.1,40.654,40.669,4545,0
VGT.US,D,20050608,000000,40.739,40.765,40.424,40.443,10643,0
VGT.US,D,20050609,000000,40.469,40.685,40.399,40.685,2659,0
VGT.US,D,20050610,000000,40.774,40.774,40.328,40.433,5324,0
VGT.US,D,20050613,000000,40.748,40.823,40.694,40.73,2553,0
VGT.US,D,20050614,000000,40.694,40.694,40.415,40.424,6765,0
VGT.US,D,20050615,000000,40.694,40.694,40.112,40.415,8762,0
VGT.US,D,20050616,000000,40.73,40.866,40.722,40.756,4878,0
VGT.US,D,20050617,000000,40.942,41.01,40.739,40.866,5767,0
