<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLSR.US,D,20190408,000000,29.657,29.661,29.657,29.661,310,0
XLSR.US,D,20190409,000000,29.461,29.461,29.461,29.461,39,0
XLSR.US,D,20190411,000000,29.492,29.53,29.492,29.53,174,0
XLSR.US,D,20190412,000000,29.597,29.617,29.597,29.614,1314,0
XLSR.US,D,20190415,000000,29.607,29.667,29.557,29.654,1797,0
XLSR.US,D,20190416,000000,29.544,29.544,29.544,29.544,34,0
XLSR.US,D,20190417,000000,29.398,29.398,29.398,29.398,39,0
XLSR.US,D,20190418,000000,29.339,29.478,29.339,29.478,1233,0
XLSR.US,D,20190422,000000,29.472,29.492,29.451,29.489,2493,0
XLSR.US,D,20190423,000000,29.86,29.86,29.86,29.86,25,0
XLSR.US,D,20190424,000000,29.838,29.838,29.838,29.838,25,0
XLSR.US,D,20190425,000000,29.89,29.978,29.85,29.859,5050,0
XLSR.US,D,20190426,000000,29.87,29.946,29.87,29.946,1129,0
XLSR.US,D,20190429,000000,30.047,30.047,29.992,29.992,2068,0
XLSR.US,D,20190430,000000,29.984,29.984,29.984,29.984,60,0
XLSR.US,D,20190501,000000,30.115,30.251,29.838,29.838,9376,0
XLSR.US,D,20190502,000000,29.803,29.813,29.773,29.778,2683,0
XLSR.US,D,20190503,000000,30.095,30.095,30.095,30.095,343,0
XLSR.US,D,20190506,000000,29.992,29.992,29.992,29.992,15,0
XLSR.US,D,20190507,000000,29.509,29.509,29.324,29.421,934,0
XLSR.US,D,20190508,000000,29.432,29.432,29.432,29.432,1,0
XLSR.US,D,20190509,000000,29.318,29.318,29.318,29.318,15,0
XLSR.US,D,20190510,000000,29.321,29.321,29.321,29.321,15,0
XLSR.US,D,20190513,000000,28.564,28.799,28.458,28.533,117780,0
XLSR.US,D,20190514,000000,28.731,28.974,28.662,28.855,206630,0
XLSR.US,D,20190515,000000,28.915,29.062,28.905,29.016,8745,0
XLSR.US,D,20190516,000000,29.13,29.383,29.13,29.235,8405,0
XLSR.US,D,20190517,000000,29.022,29.258,29.022,29.087,18274,0
XLSR.US,D,20190520,000000,28.925,28.925,28.799,28.833,4329,0
XLSR.US,D,20190521,000000,29.324,29.324,29.108,29.114,6516,0
XLSR.US,D,20190522,000000,29.052,29.14,28.994,29.058,18971,0
XLSR.US,D,20190523,000000,28.769,28.769,28.549,28.69,2908,0
XLSR.US,D,20190524,000000,28.886,28.886,28.748,28.748,1965,0
XLSR.US,D,20190528,000000,28.856,28.902,28.533,28.533,8865,0
XLSR.US,D,20190529,000000,28.242,28.322,28.193,28.303,2438,0
XLSR.US,D,20190530,000000,28.477,28.477,28.389,28.434,4607,0
XLSR.US,D,20190531,000000,28.262,28.265,28.112,28.112,4127,0
XLSR.US,D,20190603,000000,27.95,28.018,27.864,27.959,3529,0
