<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XSLV.US,D,20130221,000000,20.969,20.993,20.883,20.9,10095,0
XSLV.US,D,20130222,000000,20.969,21.017,20.969,21.017,39140,0
XSLV.US,D,20130225,000000,21.49,21.591,20.763,20.763,10841,0
XSLV.US,D,20130226,000000,20.736,20.812,20.709,20.786,61947,0
XSLV.US,D,20130227,000000,20.883,21.036,20.883,21.036,5298,0
XSLV.US,D,20130228,000000,21.084,21.084,20.993,21.002,724,0
XSLV.US,D,20130301,000000,21.294,21.294,20.861,21.111,16572,0
XSLV.US,D,20130304,000000,21.141,21.285,21.036,21.148,5738,0
XSLV.US,D,20130305,000000,21.317,21.369,21.309,21.335,4828,0
XSLV.US,D,20130306,000000,21.369,21.774,21.345,21.353,27572,0
XSLV.US,D,20130307,000000,21.751,21.751,21.361,21.4,21523,0
XSLV.US,D,20130308,000000,21.458,21.517,21.441,21.508,16725,0
XSLV.US,D,20130311,000000,21.559,21.559,21.382,21.467,6057,0
XSLV.US,D,20130312,000000,21.441,21.441,21.382,21.39,5270,0
XSLV.US,D,20130313,000000,21.758,21.758,21.382,21.517,8066,0
XSLV.US,D,20130314,000000,21.591,21.668,21.584,21.668,9560,0
XSLV.US,D,20130315,000000,21.694,21.777,21.694,21.745,4760,0
XSLV.US,D,20130318,000000,21.672,21.808,21.645,21.654,5758,0
XSLV.US,D,20130319,000000,21.738,21.745,21.561,21.672,5572,0
XSLV.US,D,20130320,000000,21.8,21.8,21.77,21.785,2165,0
XSLV.US,D,20130321,000000,21.785,21.818,21.738,21.785,33250,0
XSLV.US,D,20130322,000000,21.77,21.808,21.754,21.808,6404,0
XSLV.US,D,20130325,000000,21.826,21.887,21.777,21.835,27658,0
XSLV.US,D,20130326,000000,21.934,21.934,21.868,21.925,16668,0
XSLV.US,D,20130327,000000,21.887,21.976,21.794,21.976,28124,0
XSLV.US,D,20130328,000000,22.159,22.159,21.957,22.035,21827,0
XSLV.US,D,20130401,000000,21.957,22.018,21.77,21.835,6941,0
XSLV.US,D,20130402,000000,21.925,21.967,21.835,21.835,66160,0
XSLV.US,D,20130403,000000,21.854,21.951,21.662,21.754,11591,0
XSLV.US,D,20130404,000000,21.672,21.785,21.654,21.777,3881,0
XSLV.US,D,20130405,000000,21.636,21.835,21.549,21.745,9869,0
XSLV.US,D,20130408,000000,21.785,21.901,21.785,21.901,5349,0
XSLV.US,D,20130409,000000,22.001,22.001,21.862,21.919,5961,0
XSLV.US,D,20130410,000000,22.001,22.127,22.001,22.104,5193,0
XSLV.US,D,20130411,000000,22.182,22.218,22.136,22.151,4572,0
XSLV.US,D,20130412,000000,22.201,22.201,22.027,22.035,23202,0
XSLV.US,D,20130415,000000,21.901,21.957,21.626,21.626,5294,0
XSLV.US,D,20130416,000000,21.672,21.835,21.672,21.835,12172,0
XSLV.US,D,20130417,000000,21.654,21.703,21.393,21.561,13343,0
XSLV.US,D,20130418,000000,21.688,21.688,21.469,21.503,7878,0
XSLV.US,D,20130419,000000,21.503,21.8,21.503,21.8,11360,0
XSLV.US,D,20130422,000000,21.636,21.8,21.636,21.8,1552,0
XSLV.US,D,20130423,000000,21.976,22.009,21.934,22.009,60773,0
XSLV.US,D,20130424,000000,22.159,22.159,22.001,22.077,17856,0
XSLV.US,D,20130425,000000,22.095,22.182,22.051,22.068,21332,0
XSLV.US,D,20130426,000000,22.027,22.068,21.909,21.934,11957,0
XSLV.US,D,20130429,000000,22.001,22.095,22.001,22.068,14885,0
XSLV.US,D,20130430,000000,22.083,22.171,22.074,22.163,6977,0
XSLV.US,D,20130501,000000,22.151,22.151,21.785,21.785,44333,0
XSLV.US,D,20130502,000000,21.845,22.068,21.845,22.001,7413,0
XSLV.US,D,20130503,000000,22.227,22.383,22.227,22.311,24743,0
XSLV.US,D,20130506,000000,22.383,22.383,22.32,22.357,17512,0
XSLV.US,D,20130507,000000,22.417,22.575,22.401,22.566,35438,0
XSLV.US,D,20130508,000000,22.594,22.637,22.518,22.551,8693,0
XSLV.US,D,20130509,000000,22.645,22.645,22.443,22.451,19011,0
XSLV.US,D,20130510,000000,22.512,22.542,22.476,22.526,6296,0
XSLV.US,D,20130513,000000,22.469,22.585,22.461,22.502,6268,0
XSLV.US,D,20130514,000000,22.575,22.86,22.575,22.757,12770,0
XSLV.US,D,20130515,000000,22.719,22.95,22.719,22.869,12826,0
XSLV.US,D,20130516,000000,22.825,22.95,22.825,22.877,16234,0
XSLV.US,D,20130517,000000,22.981,23.057,22.95,23.057,7791,0
XSLV.US,D,20130520,000000,23.018,23.15,23.018,23.109,8100,0
XSLV.US,D,20130521,000000,23.14,23.168,23.109,23.15,9558,0
XSLV.US,D,20130522,000000,23.282,23.282,22.645,22.747,15248,0
XSLV.US,D,20130523,000000,22.585,22.668,22.469,22.619,43693,0
XSLV.US,D,20130524,000000,22.502,22.653,22.461,22.645,19519,0
XSLV.US,D,20130528,000000,22.933,23.075,22.757,22.818,24046,0
XSLV.US,D,20130529,000000,22.709,22.709,22.399,22.432,14991,0
XSLV.US,D,20130530,000000,22.535,22.594,22.518,22.535,4587,0
