<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACND-WS.US,D,20200916,000000,1.47,1.47,1.2,1.3,32942,0
ACND-WS.US,D,20200917,000000,1.45,1.45,1.3,1.35,37687,0
ACND-WS.US,D,20200918,000000,1.4,1.725,1.35,1.42,82419,0
ACND-WS.US,D,20200921,000000,1.5,1.6,1.35,1.48,70042,0
ACND-WS.US,D,20200922,000000,1.5188,1.6685,1.46,1.55,59030,0
ACND-WS.US,D,20200923,000000,1.46,1.465,1.35,1.35,15236,0
ACND-WS.US,D,20200924,000000,1.32,1.47,1.3,1.4,15861,0
ACND-WS.US,D,20200925,000000,1.44,1.44,1.44,1.44,2099,0
ACND-WS.US,D,20200928,000000,1.45,1.45,1.35,1.44,7747,0
ACND-WS.US,D,20200929,000000,1.45,1.63,1.4104,1.55,47354,0
ACND-WS.US,D,20200930,000000,1.52,1.59,1.45,1.48,2609,0
ACND-WS.US,D,20201001,000000,1.41,1.44,1.28,1.37,42198,0
ACND-WS.US,D,20201002,000000,1.36,1.4,1.3,1.35,8234,0
ACND-WS.US,D,20201005,000000,1.3751,1.39,1.335,1.335,3090,0
ACND-WS.US,D,20201006,000000,1.4,1.4,1.25,1.2822,8316,0
ACND-WS.US,D,20201007,000000,1.25,1.37,1.2499,1.37,25160,0
ACND-WS.US,D,20201008,000000,1.335,1.335,1.29,1.29,14456,0
ACND-WS.US,D,20201009,000000,1.41,1.4199,1.4,1.4199,1750,0
ACND-WS.US,D,20201012,000000,1.4199,1.42,1.25,1.25,4496,0
ACND-WS.US,D,20201013,000000,1.32,1.32,1.24,1.24,1356,0
ACND-WS.US,D,20201014,000000,1.2,1.2,1.2,1.2,26700,0
ACND-WS.US,D,20201015,000000,1.25,1.25,1.2,1.21,39592,0
ACND-WS.US,D,20201016,000000,1.21,1.37,1.21,1.35,8698,0
ACND-WS.US,D,20201019,000000,1.26,1.33,1.15,1.3,38824,0
ACND-WS.US,D,20201020,000000,1.25,1.3,1.25,1.29,150425,0
ACND-WS.US,D,20201021,000000,1.16,1.25,1.12,1.12,4776,0
ACND-WS.US,D,20201022,000000,1.22,1.22,1.11,1.12,18650,0
ACND-WS.US,D,20201023,000000,1.12,1.12,1.11,1.12,3400,0
ACND-WS.US,D,20201026,000000,1.205,1.205,0.99,1.015,27785,0
ACND-WS.US,D,20201028,000000,0.99,1.03,0.93,1.03,19571,0
ACND-WS.US,D,20201029,000000,1.12,1.15,1.12,1.15,2667,0
ACND-WS.US,D,20201030,000000,1.01,1.04,1,1.04,57075,0
ACND-WS.US,D,20201102,000000,1.01,1.16,1,1.04,9865,0
ACND-WS.US,D,20201103,000000,1.01,1.01,1,1,10085,0
ACND-WS.US,D,20201104,000000,1,1.12,1,1.12,4274,0
ACND-WS.US,D,20201105,000000,1.1202,1.16,1.12,1.16,3527,0
ACND-WS.US,D,20201106,000000,1.15,1.27,1.15,1.235,9688,0
ACND-WS.US,D,20201109,000000,1.135,1.28,1.135,1.28,2404,0
ACND-WS.US,D,20201110,000000,1.12,1.18,1.03,1.15,18467,0
ACND-WS.US,D,20201111,000000,1.15,1.15,1.01,1.11,1866,0
ACND-WS.US,D,20201112,000000,1.1,1.1,1.1,1.1,720,0
ACND-WS.US,D,20201113,000000,1.125,1.15,1.125,1.15,238,0
ACND-WS.US,D,20201116,000000,1.1227,1.23,1.1,1.15,27023,0
ACND-WS.US,D,20201117,000000,1.23,1.23,1.23,1.23,852,0
ACND-WS.US,D,20201118,000000,1.23,1.24,1.23,1.24,5100,0
ACND-WS.US,D,20201119,000000,1.23,1.304,1.23,1.304,700,0
ACND-WS.US,D,20201120,000000,1.17,1.24,1.17,1.24,4837,0
ACND-WS.US,D,20201123,000000,1.278,1.3,1.18,1.22,7973,0
ACND-WS.US,D,20201124,000000,1.22,1.25,1.08,1.25,206612,0
ACND-WS.US,D,20201125,000000,1.255,1.365,1.255,1.29,10950,0
ACND-WS.US,D,20201127,000000,1.2901,1.2901,1.19,1.2,18820,0
ACND-WS.US,D,20201130,000000,1.26,1.34,1.25,1.3198,12981,0
ACND-WS.US,D,20201201,000000,1.31,1.3298,1.2301,1.2547,5321,0
ACND-WS.US,D,20201202,000000,1.22,1.3098,1.22,1.3,8889,0
ACND-WS.US,D,20201203,000000,1.3,1.31,1.255,1.31,46356,0
ACND-WS.US,D,20201204,000000,1.33,1.33,1.25,1.305,44667,0
ACND-WS.US,D,20201207,000000,1.27,1.41,1.1,1.34,44237,0
ACND-WS.US,D,20201208,000000,1.325,1.44,1.325,1.44,58230,0
ACND-WS.US,D,20201209,000000,1.5,1.55,1.45,1.45,108865,0
ACND-WS.US,D,20201210,000000,1.5,1.56,1.25,1.46,31637,0
ACND-WS.US,D,20201211,000000,1.5,1.5,1.32,1.4,29316,0
ACND-WS.US,D,20201214,000000,1.4,1.54,1.328,1.4,81445,0
ACND-WS.US,D,20201215,000000,1.36,1.4,1.27,1.39,128596,0
ACND-WS.US,D,20201216,000000,1.4535,1.51,1.3133,1.4,14902,0
ACND-WS.US,D,20201217,000000,1.4,1.42,1.3443,1.365,106622,0
ACND-WS.US,D,20201218,000000,1.37,1.42,1.3,1.42,78808,0
ACND-WS.US,D,20201221,000000,1.33,1.3798,1.32,1.34,76337,0
ACND-WS.US,D,20201222,000000,1.35,1.57,1.343,1.5,427389,0
ACND-WS.US,D,20201223,000000,1.45,1.535,1.4347,1.535,42416,0
ACND-WS.US,D,20201224,000000,1.6999,1.7,1.31,1.49,29049,0
ACND-WS.US,D,20201228,000000,1.7,1.7,1.44,1.5,79989,0
ACND-WS.US,D,20201229,000000,1.5,1.5525,1.32,1.51,82858,0
ACND-WS.US,D,20201230,000000,1.6,1.76,1.42,1.69,123284,0
ACND-WS.US,D,20201231,000000,1.545,1.76,1.5424,1.71,27581,0
ACND-WS.US,D,20210104,000000,1.62,1.66,1.35,1.53,88456,0
ACND-WS.US,D,20210105,000000,1.6,1.6,1.44,1.51,27437,0
ACND-WS.US,D,20210106,000000,1.6,1.6098,1.4,1.55,53911,0
ACND-WS.US,D,20210107,000000,1.6001,1.65,1.6,1.6,32412,0
ACND-WS.US,D,20210108,000000,1.65,1.71,1.5,1.68,77220,0
ACND-WS.US,D,20210111,000000,1.72,1.72,1.52,1.65,48784,0
ACND-WS.US,D,20210112,000000,1.73,2.11,1.7,2.11,293217,0
ACND-WS.US,D,20210113,000000,2,2.15,1.81,2.15,154602,0
ACND-WS.US,D,20210114,000000,2.16,2.25,1.92,1.92,184317,0
ACND-WS.US,D,20210115,000000,2.1,2.1,1.68,1.71,333047,0
ACND-WS.US,D,20210119,000000,1.8,1.99,1.73,1.91,149873,0
ACND-WS.US,D,20210120,000000,1.77,1.9,1.71,1.9,28300,0
ACND-WS.US,D,20210121,000000,1.96,2,1.8,1.87,41083,0
ACND-WS.US,D,20210122,000000,1.8601,1.9556,1.85,1.87,33244,0
ACND-WS.US,D,20210125,000000,1.89,1.95,1.71,1.75,171565,0
ACND-WS.US,D,20210126,000000,1.79,1.82,1.5802,1.5944,228962,0
ACND-WS.US,D,20210127,000000,1.64,1.64,1.35,1.4799,157605,0
ACND-WS.US,D,20210128,000000,1.65,1.65,1.31,1.46,72343,0
ACND-WS.US,D,20210129,000000,1.4,1.61,1.3966,1.47,111319,0
ACND-WS.US,D,20210201,000000,1.65,1.69,1.48,1.51,64118,0
ACND-WS.US,D,20210202,000000,1.67,1.68,1.5603,1.6502,130282,0
ACND-WS.US,D,20210203,000000,1.65,1.895,1.62,1.75,116060,0
ACND-WS.US,D,20210204,000000,1.8,1.85,1.75,1.8,48924,0
ACND-WS.US,D,20210205,000000,2,2,1.7775,1.85,57710,0
ACND-WS.US,D,20210208,000000,1.94,1.99,1.58,1.74,218395,0
ACND-WS.US,D,20210209,000000,1.87,1.9003,1.76,1.88,44468,0
ACND-WS.US,D,20210210,000000,1.94,1.94,1.8,1.89,43144,0
ACND-WS.US,D,20210211,000000,1.9,1.9,1.8085,1.83,49967,0
ACND-WS.US,D,20210212,000000,1.84,1.9501,1.78,1.94,77961,0
ACND-WS.US,D,20210216,000000,1.95,2,1.85,1.9,122683,0
ACND-WS.US,D,20210217,000000,2.05,2.05,1.88,1.94,70500,0
ACND-WS.US,D,20210218,000000,2.03,2.74,1.94,2.49,117332,0
ACND-WS.US,D,20210219,000000,2.4,2.5,2.22,2.265,64540,0
ACND-WS.US,D,20210222,000000,2.42,2.42,2.09,2.29,31085,0
ACND-WS.US,D,20210223,000000,2.2,2.2,1.9,2.19,65222,0
ACND-WS.US,D,20210224,000000,2.03,2.28,2.03,2.09,34919,0
ACND-WS.US,D,20210225,000000,2.01,2.01,1.61,1.87,127006,0
ACND-WS.US,D,20210226,000000,1.98,2.28,1.57,1.7,68739,0
ACND-WS.US,D,20210301,000000,1.95,1.95,1.8,1.93,34396,0
ACND-WS.US,D,20210302,000000,1.3,1.4,1.1,1.14,5719239,0
ACND-WS.US,D,20210303,000000,1.15,1.35,1,1.1,1220027,0
ACND-WS.US,D,20210304,000000,1.1,1.2,0.99,1.05,547384,0
ACND-WS.US,D,20210305,000000,1.04,1.18,1,1.1799,265515,0
ACND-WS.US,D,20210308,000000,1.2,1.2,1.11,1.15,66773,0
ACND-WS.US,D,20210309,000000,1.1566,1.17,1.1,1.1,78865,0
ACND-WS.US,D,20210310,000000,1.1,1.13,1.03,1.11,53898,0
ACND-WS.US,D,20210311,000000,1.125,1.25,1.1,1.13,398275,0
ACND-WS.US,D,20210312,000000,1.2,1.2,1.08,1.15,51805,0
ACND-WS.US,D,20210315,000000,1.25,1.25,1,1.1,489652,0
ACND-WS.US,D,20210316,000000,1.02,1.1,1.02,1.04,34046,0
ACND-WS.US,D,20210317,000000,1.04,1.04,0.95,1.04,95732,0
ACND-WS.US,D,20210318,000000,1.05,1.07,1,1.02,24545,0
ACND-WS.US,D,20210319,000000,1.02,1.11,0.97,1.11,175150,0
ACND-WS.US,D,20210322,000000,1.03,1.125,1.03,1.125,890127,0
ACND-WS.US,D,20210323,000000,1.1,1.1,1.0101,1.02,39435,0
ACND-WS.US,D,20210324,000000,1.01,1.02,0.97,0.97,32703,0
ACND-WS.US,D,20210325,000000,0.985,1.07,0.94,1.07,120915,0
ACND-WS.US,D,20210326,000000,1.09,1.09,0.95,0.95,2236,0
ACND-WS.US,D,20210329,000000,0.95,1.04,0.95,1.01,121144,0
ACND-WS.US,D,20210330,000000,0.96,1,0.93,0.94,39367,0
ACND-WS.US,D,20210331,000000,0.95,1.01,0.95,1.01,102446,0
ACND-WS.US,D,20210401,000000,1.0199,1.18,1.0199,1.15,211411,0
ACND-WS.US,D,20210405,000000,1.03,1.25,1.03,1.22,26773,0
ACND-WS.US,D,20210406,000000,1.22,1.28,1.22,1.27,36336,0
ACND-WS.US,D,20210407,000000,1.27,1.27,1.21,1.215,3300,0
ACND-WS.US,D,20210408,000000,1.2,1.26,1.1214,1.19,28802,0
ACND-WS.US,D,20210409,000000,1.24,1.24,1.18,1.23,18720,0
ACND-WS.US,D,20210412,000000,1.3,1.3,1.2,1.2501,74627,0
ACND-WS.US,D,20210413,000000,1.29,1.3,1.12,1.28,106540,0
ACND-WS.US,D,20210414,000000,1.17,1.275,1.13,1.1806,7247,0
ACND-WS.US,D,20210415,000000,1.1799,1.2999,1.1799,1.1801,280527,0
ACND-WS.US,D,20210416,000000,1.2,1.25,1.2,1.25,11506,0
ACND-WS.US,D,20210419,000000,1.19,1.19,1.04,1.08,165568,0
ACND-WS.US,D,20210420,000000,1.08,1.08,0.9999,1,38265,0
ACND-WS.US,D,20210421,000000,1.0001,1.0651,1,1.05,66477,0
ACND-WS.US,D,20210422,000000,1.0401,1.1301,1.0401,1.05,16455,0
ACND-WS.US,D,20210423,000000,1.11,1.1101,1.1,1.1,1480,0
ACND-WS.US,D,20210426,000000,1.15,1.17,1.14,1.14,188229,0
ACND-WS.US,D,20210427,000000,1.15,1.15,1.14,1.145,121085,0
ACND-WS.US,D,20210428,000000,1.15,1.155,1.078,1.078,25531,0
ACND-WS.US,D,20210429,000000,1.1,1.19,1.1,1.15,155476,0
ACND-WS.US,D,20210430,000000,1.19,1.19,1.19,1.19,130,0
ACND-WS.US,D,20210503,000000,1.19,1.25,1.19,1.25,88526,0
ACND-WS.US,D,20210504,000000,1.24,1.24,1.15,1.2,20973,0
ACND-WS.US,D,20210505,000000,1.11,1.24,1.11,1.2,17356,0
ACND-WS.US,D,20210506,000000,1.24,1.34,1.24,1.3,63532,0
ACND-WS.US,D,20210507,000000,1.3035,1.357,1.3,1.3088,14061,0
ACND-WS.US,D,20210510,000000,1.25,1.32,1.25,1.3,28589,0
ACND-WS.US,D,20210511,000000,1.25,1.3001,1.18,1.3,13041,0
ACND-WS.US,D,20210512,000000,1.25,1.3008,1.21,1.3008,43920,0
ACND-WS.US,D,20210513,000000,1.29,1.335,1.22,1.32,52203,0
ACND-WS.US,D,20210514,000000,1.3,1.4,1.3,1.39,11668,0
ACND-WS.US,D,20210517,000000,1.325,1.325,1.325,1.325,500,0
ACND-WS.US,D,20210518,000000,1.29,1.44,1.29,1.38,134818,0
ACND-WS.US,D,20210519,000000,1.2988,1.37,1.2988,1.3,3250,0
ACND-WS.US,D,20210520,000000,1.24,1.37,1.24,1.315,7880,0
ACND-WS.US,D,20210521,000000,1.3608,1.37,1.35,1.35,13784,0
ACND-WS.US,D,20210524,000000,1.26,1.4001,1.26,1.4001,64515,0
ACND-WS.US,D,20210525,000000,1.33,1.44,1.33,1.4,45452,0
ACND-WS.US,D,20210526,000000,1.4,1.6,1.4,1.43,71350,0
ACND-WS.US,D,20210527,000000,1.4,1.4,1.4,1.4,1200,0
ACND-WS.US,D,20210528,000000,1.4,1.4501,1.36,1.45,29043,0
ACND-WS.US,D,20210601,000000,1.45,1.57,1.45,1.56,37469,0
ACND-WS.US,D,20210602,000000,1.55,1.56,1.51,1.51,111949,0
ACND-WS.US,D,20210603,000000,1.41,1.62,1.41,1.6,111839,0
ACND-WS.US,D,20210604,000000,1.58,1.67,1.09,1.63,134184,0
ACND-WS.US,D,20210607,000000,1.68,1.7,1.5,1.7,37654,0
ACND-WS.US,D,20210608,000000,1.52,1.7,1.51,1.7,43022,0
ACND-WS.US,D,20210609,000000,1.616,1.64,1.5,1.55,33724,0
ACND-WS.US,D,20210610,000000,1.59,1.59,1.565,1.565,5938,0
ACND-WS.US,D,20210611,000000,1.6,1.6,1.5,1.525,71969,0
ACND-WS.US,D,20210614,000000,1.54,1.6,1.54,1.6,103019,0
ACND-WS.US,D,20210615,000000,1.65,1.65,1.6,1.6,3100,0
ACND-WS.US,D,20210616,000000,1.5601,1.57,1.53,1.56,17422,0
ACND-WS.US,D,20210617,000000,1.49,1.57,1.48,1.57,14356,0
ACND-WS.US,D,20210618,000000,1.46,1.53,1.46,1.53,7353,0
ACND-WS.US,D,20210621,000000,1.53,1.53,1.45,1.48,9000,0
ACND-WS.US,D,20210622,000000,1.4101,1.5391,1.4101,1.44,11138,0
ACND-WS.US,D,20210623,000000,1.5,1.51,1.48,1.51,37460,0
ACND-WS.US,D,20210625,000000,1.51,1.6862,1.51,1.6862,24525,0
ACND-WS.US,D,20210628,000000,1.59,1.59,1.59,1.59,647,0
ACND-WS.US,D,20210629,000000,1.66,1.66,1.6032,1.62,5800,0
ACND-WS.US,D,20210630,000000,1.6,1.63,1.6,1.63,9133,0
ACND-WS.US,D,20210701,000000,1.55,1.55,1.55,1.55,230,0
ACND-WS.US,D,20210702,000000,1.52,1.57,1.48,1.5599,31884,0
ACND-WS.US,D,20210706,000000,1.57,1.57,1.53,1.53,103349,0
ACND-WS.US,D,20210707,000000,1.57,1.61,1.53,1.53,25338,0
ACND-WS.US,D,20210708,000000,1.555,1.61,1.35,1.61,117029,0
ACND-WS.US,D,20210709,000000,1.59,1.68,1.59,1.67,92855,0
