<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AJG.US,D,20050225,000000,21.96,22.182,21.922,22.144,468765,0
AJG.US,D,20050228,000000,22.072,22.152,21.945,22.078,672174,0
AJG.US,D,20050301,000000,22.078,22.182,21.96,22.165,796330,0
AJG.US,D,20050302,000000,22.165,22.353,22.04,22.262,453890,0
AJG.US,D,20050303,000000,22.337,22.367,22.144,22.301,377743,0
AJG.US,D,20050304,000000,22.293,22.588,22.293,22.538,546124,0
AJG.US,D,20050307,000000,22.477,22.516,22.239,22.404,580611,0
AJG.US,D,20050308,000000,22.41,22.492,22.36,22.41,595622,0
AJG.US,D,20050309,000000,22.41,22.427,22.115,22.159,638903,0
AJG.US,D,20050310,000000,22.13,22.253,22.034,22.182,435493,0
AJG.US,D,20050311,000000,22.253,22.353,22.072,22.115,341906,0
AJG.US,D,20050314,000000,22.123,22.47,22.123,22.284,408174,0
AJG.US,D,20050315,000000,22.253,22.323,21.968,22.072,440640,0
AJG.US,D,20050316,000000,22.107,22.107,21.872,22.011,414127,0
AJG.US,D,20050317,000000,22.011,22.072,21.813,21.914,394375,0
AJG.US,D,20050318,000000,21.96,21.995,21.517,21.666,495949,0
AJG.US,D,20050321,000000,21.554,21.636,21.308,21.44,774424,0
AJG.US,D,20050322,000000,21.517,21.568,21.198,21.221,429953,0
AJG.US,D,20050323,000000,21.221,21.381,21.111,21.182,419533,0
AJG.US,D,20050324,000000,21.133,21.42,21.133,21.258,331088,0
AJG.US,D,20050328,000000,21.297,21.554,21.258,21.289,476475,0
AJG.US,D,20050329,000000,21.389,21.539,21.258,21.34,633501,0
AJG.US,D,20050330,000000,21.34,21.666,21.289,21.604,427786,0
AJG.US,D,20050331,000000,21.604,21.643,21.258,21.297,472826,0
AJG.US,D,20050401,000000,21.297,21.554,21.126,21.249,518535,0
AJG.US,D,20050404,000000,21.234,21.317,20.888,21.212,281852,0
AJG.US,D,20050405,000000,21.221,21.221,21.009,21.037,524895,0
AJG.US,D,20050406,000000,21.037,21.249,21.029,21.161,374093,0
AJG.US,D,20050407,000000,21.161,21.176,20.918,21.133,720458,0
AJG.US,D,20050408,000000,21.071,21.096,20.784,21.001,626598,0
AJG.US,D,20050411,000000,21.071,21.176,20.83,20.888,439822,0
AJG.US,D,20050412,000000,20.882,21.029,20.642,20.918,628225,0
AJG.US,D,20050413,000000,21.001,21.08,20.533,20.588,547617,0
AJG.US,D,20050414,000000,20.601,20.671,20.385,20.601,360977,0
AJG.US,D,20050415,000000,20.601,20.717,20.413,20.413,341087,0
AJG.US,D,20050418,000000,20.437,20.65,20.413,20.479,452128,0
AJG.US,D,20050419,000000,20.516,20.564,20.413,20.524,320941,0
AJG.US,D,20050420,000000,20.665,20.694,20.256,20.35,354757,0
AJG.US,D,20050421,000000,20.516,20.629,20.186,20.629,538688,0
AJG.US,D,20050422,000000,20.629,21.037,20.43,20.702,722757,0
AJG.US,D,20050425,000000,20.702,21.029,20.665,20.852,609288,0
AJG.US,D,20050426,000000,20.852,20.874,20.572,20.746,640666,0
AJG.US,D,20050427,000000,20.516,20.694,19.759,20.217,1437535,0
AJG.US,D,20050428,000000,20.224,20.702,20.141,20.508,1103615,0
AJG.US,D,20050429,000000,20.694,20.888,20.408,20.588,915755,0
AJG.US,D,20050502,000000,20.557,20.752,20.452,20.629,529493,0
AJG.US,D,20050503,000000,20.516,20.888,20.516,20.717,416290,0
AJG.US,D,20050504,000000,20.815,21.182,20.761,20.939,762926,0
AJG.US,D,20050505,000000,20.837,20.922,20.493,20.752,804585,0
AJG.US,D,20050506,000000,20.752,20.791,20.524,20.694,378417,0
AJG.US,D,20050509,000000,20.694,20.784,20.524,20.594,399926,0
AJG.US,D,20050510,000000,20.594,20.594,20.209,20.336,821624,0
AJG.US,D,20050511,000000,20.336,20.452,20.132,20.422,427517,0
AJG.US,D,20050512,000000,20.422,20.422,20.045,20.051,666092,0
AJG.US,D,20050513,000000,20.178,20.178,19.837,20.007,356785,0
AJG.US,D,20050516,000000,19.963,20.229,19.949,20.083,537877,0
AJG.US,D,20050517,000000,20.083,20.083,19.904,20.037,488919,0
AJG.US,D,20050518,000000,20.186,20.572,20.141,20.499,862062,0
AJG.US,D,20050519,000000,20.499,20.687,20.486,20.65,464572,0
AJG.US,D,20050520,000000,20.65,20.65,20.312,20.601,442258,0
AJG.US,D,20050523,000000,20.524,20.524,20.126,20.385,640931,0
AJG.US,D,20050524,000000,20.391,20.422,20.028,20.321,878159,0
AJG.US,D,20050525,000000,20.329,20.329,20.074,20.279,670960,0
AJG.US,D,20050526,000000,20.265,20.437,20.186,20.399,573447,0
AJG.US,D,20050527,000000,20.336,20.516,20.235,20.508,601847,0
AJG.US,D,20050531,000000,20.549,20.557,20.295,20.422,644724,0
AJG.US,D,20050601,000000,20.479,20.671,20.422,20.621,494058,0
AJG.US,D,20050602,000000,20.588,20.588,20.256,20.295,502712,0
AJG.US,D,20050603,000000,20.303,20.336,20.122,20.329,483508,0
AJG.US,D,20050606,000000,20.235,20.379,20.186,20.329,527328,0
AJG.US,D,20050607,000000,20.295,20.357,20.074,20.097,793086,0
AJG.US,D,20050608,000000,20.051,20.224,19.89,19.912,977699,0
AJG.US,D,20050609,000000,19.919,19.963,19.667,19.955,1176510,0
AJG.US,D,20050610,000000,20.037,20.209,19.803,20.083,518669,0
AJG.US,D,20050613,000000,20.091,20.169,19.935,20.037,330541,0
AJG.US,D,20050614,000000,20.002,20.391,19.97,20.336,582912,0
AJG.US,D,20050615,000000,20.371,20.408,20.186,20.186,565199,0
AJG.US,D,20050616,000000,20.194,20.616,20.194,20.557,494733,0
AJG.US,D,20050617,000000,20.658,20.702,20.408,20.65,779967,0
AJG.US,D,20050620,000000,20.58,20.588,20.279,20.287,556677,0
AJG.US,D,20050621,000000,20.295,20.312,20.051,20.186,636339,0
AJG.US,D,20050622,000000,20.279,20.279,20.06,20.235,548560,0
AJG.US,D,20050623,000000,20.235,20.235,19.795,19.822,994335,0
AJG.US,D,20050624,000000,19.822,19.83,19.58,19.595,614019,0
AJG.US,D,20050627,000000,19.667,19.85,19.595,19.844,476607,0
