<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AON.US,D,20050225,000000,21.958,22.281,21.931,22.238,1320269,0
AON.US,D,20050228,000000,22.147,22.246,21.84,22.031,1161173,0
AON.US,D,20050301,000000,21.95,22.174,21.77,21.976,1866647,0
AON.US,D,20050302,000000,21.931,22.077,21.663,21.787,1404267,0
AON.US,D,20050303,000000,21.797,21.868,21.643,21.726,990728,0
AON.US,D,20050304,000000,22.112,22.624,21.84,21.976,1904917,0
AON.US,D,20050307,000000,22.2,22.65,22.2,22.42,1919377,0
AON.US,D,20050308,000000,22.506,22.559,21.815,21.84,1707553,0
AON.US,D,20050309,000000,21.787,21.931,21.552,21.607,1244619,0
AON.US,D,20050310,000000,21.616,21.84,21.526,21.735,848880,0
AON.US,D,20050311,000000,21.77,21.885,21.393,21.402,721271,0
AON.US,D,20050314,000000,21.526,21.875,21.466,21.735,529910,0
AON.US,D,20050315,000000,21.751,21.903,21.402,21.526,959358,0
AON.US,D,20050316,000000,21.303,21.419,20.957,21.185,1142264,0
AON.US,D,20050317,000000,21.213,21.213,20.818,20.844,1376344,0
AON.US,D,20050318,000000,20.765,20.889,20.352,20.495,2590587,0
AON.US,D,20050321,000000,20.537,20.835,20.495,20.783,1340853,0
AON.US,D,20050322,000000,20.861,21.099,20.395,20.468,1532546,0
AON.US,D,20050323,000000,20.421,20.783,20.315,20.369,973486,0
AON.US,D,20050324,000000,20.458,20.545,20.125,20.153,1281107,0
AON.US,D,20050328,000000,20.333,20.664,20.179,20.502,1182645,0
AON.US,D,20050329,000000,20.502,20.755,20.395,20.511,2309221,0
AON.US,D,20050330,000000,20.582,20.755,20.458,20.72,1354761,0
AON.US,D,20050331,000000,20.765,20.792,20.478,20.527,1171300,0
AON.US,D,20050401,000000,20.702,20.957,20.134,20.25,1045806,0
AON.US,D,20050404,000000,20.449,20.562,20.081,20.315,2335257,0
AON.US,D,20050405,000000,20.315,20.449,19.955,19.98,1345635,0
AON.US,D,20050406,000000,20.034,20.231,19.98,20.187,3411323,0
AON.US,D,20050407,000000,20.143,20.352,20.025,20.296,1158504,0
AON.US,D,20050408,000000,20.296,20.43,20.221,20.359,882259,0
AON.US,D,20050411,000000,20.449,20.729,20.449,20.552,1950425,0
AON.US,D,20050412,000000,20.582,20.818,20.315,20.664,1210461,0
AON.US,D,20050413,000000,20.654,20.765,20.143,20.17,914295,0
AON.US,D,20050414,000000,20.25,20.43,19.811,19.89,1230041,0
AON.US,D,20050415,000000,19.684,19.758,19.244,19.252,1326279,0
AON.US,D,20050418,000000,19.262,19.514,19.107,19.398,833304,0
AON.US,D,20050419,000000,19.405,19.441,19.137,19.299,771442,0
AON.US,D,20050420,000000,19.217,19.325,19.07,19.155,1209573,0
AON.US,D,20050421,000000,19.29,19.63,19.043,19.576,2161696,0
AON.US,D,20050422,000000,19.504,19.722,19.235,19.334,888819,0
AON.US,D,20050425,000000,19.524,19.748,19.371,19.674,700911,0
AON.US,D,20050426,000000,19.684,19.89,19.414,19.414,1496497,0
AON.US,D,20050427,000000,19.414,19.461,19.07,19.217,1077511,0
AON.US,D,20050428,000000,19.227,19.227,18.923,18.932,1580162,0
AON.US,D,20050429,000000,18.967,19.127,18.607,18.739,2341264,0
AON.US,D,20050502,000000,18.739,19.155,18.551,19.017,3162998,0
AON.US,D,20050503,000000,19.08,19.398,18.831,19.117,2737336,0
AON.US,D,20050504,000000,20.673,23.46,20.673,21.976,8638666,0
AON.US,D,20050505,000000,21.976,22.326,21.751,21.976,3144194,0
AON.US,D,20050506,000000,21.996,22.181,21.735,21.77,1556799,0
AON.US,D,20050509,000000,21.84,22.506,21.787,22.42,1884781,0
AON.US,D,20050510,000000,22.335,22.411,21.986,22.181,1525758,0
AON.US,D,20050511,000000,22.238,22.55,22.112,22.447,1381013,0
AON.US,D,20050512,000000,22.65,23.056,22.023,22.077,2881294,0
AON.US,D,20050513,000000,22.218,22.218,21.176,21.562,2154469,0
AON.US,D,20050516,000000,21.635,22.156,21.616,21.735,1549790,0
AON.US,D,20050517,000000,21.751,21.996,21.552,21.84,1651481,0
AON.US,D,20050518,000000,22.059,22.246,21.894,22.023,2481445,0
AON.US,D,20050519,000000,22.077,22.21,21.976,22.21,1302693,0
AON.US,D,20050520,000000,22.382,22.471,22.13,22.298,1381130,0
AON.US,D,20050523,000000,22.382,22.577,22.289,22.531,2067020,0
AON.US,D,20050524,000000,22.471,22.669,22.298,22.669,3792924,0
AON.US,D,20050525,000000,22.66,22.66,22.42,22.43,1581833,0
AON.US,D,20050526,000000,22.498,22.66,22.326,22.382,1724353,0
AON.US,D,20050527,000000,22.438,22.471,22.246,22.471,1364552,0
AON.US,D,20050531,000000,22.43,22.559,22.402,22.411,1350760,0
AON.US,D,20050601,000000,22.316,22.65,22.039,22.307,1636455,0
AON.US,D,20050602,000000,22.281,22.463,22.014,22.447,2387213,0
AON.US,D,20050603,000000,22.298,22.298,22.031,22.19,1118453,0
AON.US,D,20050606,000000,22.095,22.104,21.903,22.039,915072,0
AON.US,D,20050607,000000,22.014,22.272,21.967,21.996,1916822,0
AON.US,D,20050608,000000,22.039,22.298,21.903,22.13,1841059,0
AON.US,D,20050609,000000,22.077,22.2,21.868,22.147,1068498,0
AON.US,D,20050610,000000,22.147,22.246,21.976,22.2,1074841,0
AON.US,D,20050613,000000,22.156,22.411,21.976,22.068,951124,0
AON.US,D,20050614,000000,22.2,22.471,22.068,22.253,1024997,0
AON.US,D,20050615,000000,22.253,22.272,22.049,22.174,1098091,0
AON.US,D,20050616,000000,22.156,22.2,22.039,22.095,896382,0
AON.US,D,20050617,000000,22.316,22.455,22.156,22.326,1066943,0
