<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATCO_E.US,D,20200302,000000,23.9,25.19,23.01,24.0688,51731,0
ATCO_E.US,D,20200303,000000,24.49,24.749,24.0965,24.2656,35749,0
ATCO_E.US,D,20200304,000000,24.71,24.92,24.376,24.81,19727,0
ATCO_E.US,D,20200305,000000,24.75,24.878,24.6,24.85,47220,0
ATCO_E.US,D,20200306,000000,24.6,24.62,23.98,24.135,19962,0
ATCO_E.US,D,20200309,000000,23.17,23.17,21.117,21.4864,48015,0
ATCO_E.US,D,20200310,000000,22.48,22.6,21.21,21.651,40632,0
ATCO_E.US,D,20200311,000000,20.98,21.5519,20.97,21.25,40753,0
ATCO_E.US,D,20200312,000000,20,20,14.09,16,76612,0
ATCO_E.US,D,20200313,000000,16.4,20.1,16.4,18.45,64899,0
ATCO_E.US,D,20200316,000000,17,17,15.3,15.8953,32447,0
ATCO_E.US,D,20200317,000000,16,16,15.0101,15.19,45969,0
ATCO_E.US,D,20200318,000000,14.76,15.925,7.4902,8.74,65728,0
ATCO_E.US,D,20200319,000000,8.75,15.66,8.75,14.48,58023,0
ATCO_E.US,D,20200320,000000,14.48,17.15,14.45,15.2,41728,0
ATCO_E.US,D,20200323,000000,14.7,14.7,11.27,12.5872,26648,0
ATCO_E.US,D,20200324,000000,12.6,16,12.6,15.11,39177,0
ATCO_E.US,D,20200325,000000,16.62,17.8248,15.62,16.5,35724,0
ATCO_E.US,D,20200326,000000,17.68,21.94,17.4191,19.99,62742,0
ATCO_E.US,D,20200327,000000,21,21.4578,19,21.15,40555,0
ATCO_E.US,D,20200330,000000,19.75,21.3,19.675,19.82,31339,0
ATCO_E.US,D,20200331,000000,21.1,21.97,17.79,18.96,20403,0
ATCO_E.US,D,20200401,000000,17.07,18.07,15.5,16.34,31672,0
ATCO_E.US,D,20200402,000000,15.55,16.5485,15.55,15.8162,16248,0
ATCO_E.US,D,20200403,000000,15.9,16.43,15.87,16.43,31526,0
ATCO_E.US,D,20200406,000000,17.07,17.07,15.8,15.8,50034,0
ATCO_E.US,D,20200407,000000,16.22,17.288,16.16,16.78,25424,0
ATCO_E.US,D,20200408,000000,17.05,18.55,17.05,18,20477,0
ATCO_E.US,D,20200409,000000,19.49,19.49,18,18.8,41373,0
ATCO_E.US,D,20200413,000000,18.89,18.89,18.15,18.54,13418,0
ATCO_E.US,D,20200414,000000,18.67,20.49,18.6,19.55,29724,0
ATCO_E.US,D,20200415,000000,19.5,19.8,19,19.63,9962,0
ATCO_E.US,D,20200416,000000,20.025,20.33,19.7715,20.2299,12432,0
ATCO_E.US,D,20200417,000000,20.27,20.85,20.27,20.7,18191,0
ATCO_E.US,D,20200420,000000,19.82,21.015,19.8,20.9,19258,0
ATCO_E.US,D,20200421,000000,18.85,20.92,17.1,20.4,14289,0
ATCO_E.US,D,20200422,000000,20.4,21.57,20.4,21.2226,12810,0
