<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AYI.US,D,20050225,000000,21.196,21.642,21.099,21.642,364588,0
AYI.US,D,20050228,000000,21.432,21.927,21.339,21.908,357129,0
AYI.US,D,20050301,000000,21.87,22.053,21.396,21.996,478478,0
AYI.US,D,20050302,000000,21.796,22.149,21.709,22.111,299444,0
AYI.US,D,20050303,000000,22.158,22.376,22.111,22.244,451372,0
AYI.US,D,20050304,000000,22.206,22.617,22.149,22.559,210346,0
AYI.US,D,20050307,000000,22.511,22.783,22.396,22.661,243336,0
AYI.US,D,20050308,000000,22.661,22.793,22.588,22.708,249640,0
AYI.US,D,20050309,000000,22.625,22.793,22.617,22.661,270344,0
AYI.US,D,20050310,000000,22.625,22.793,22.55,22.716,476693,0
AYI.US,D,20050311,000000,22.661,22.755,22.625,22.745,168217,0
AYI.US,D,20050314,000000,22.745,22.964,22.708,22.889,133331,0
AYI.US,D,20050315,000000,22.889,23.032,22.617,22.774,282315,0
AYI.US,D,20050316,000000,22.774,22.936,22.661,22.783,278008,0
AYI.US,D,20050317,000000,22.745,22.803,22.357,22.474,216021,0
AYI.US,D,20050318,000000,22.661,22.841,22.186,22.484,353347,0
AYI.US,D,20050321,000000,22.33,22.493,22.044,22.425,123560,0
AYI.US,D,20050322,000000,22.33,22.455,21.633,21.853,848007,0
AYI.US,D,20050323,000000,21.861,22.024,21.689,21.796,157077,0
AYI.US,D,20050324,000000,21.835,21.947,21.558,21.623,295868,0
AYI.US,D,20050328,000000,21.623,21.996,21.558,21.615,200573,0
AYI.US,D,20050329,000000,21.558,21.908,21.196,21.348,226317,0
AYI.US,D,20050330,000000,21.358,21.671,21.358,21.567,228313,0
AYI.US,D,20050331,000000,21.47,21.558,21.176,21.396,255105,0
AYI.US,D,20050401,000000,21.518,21.633,21.128,21.396,352820,0
AYI.US,D,20050404,000000,21.633,22.455,21.623,21.996,696180,0
AYI.US,D,20050405,000000,21.396,21.786,20.768,21.089,556651,0
AYI.US,D,20050406,000000,21.08,21.758,21.08,21.424,439820,0
AYI.US,D,20050407,000000,21.396,21.586,21.043,21.396,283368,0
AYI.US,D,20050408,000000,21.396,21.567,21.119,21.176,140896,0
AYI.US,D,20050411,000000,21.186,21.263,20.655,20.693,171260,0
AYI.US,D,20050412,000000,20.721,21.109,20.415,20.986,167791,0
AYI.US,D,20050413,000000,20.532,20.88,20.444,20.542,188704,0
AYI.US,D,20050414,000000,20.405,20.665,19.863,19.956,362799,0
AYI.US,D,20050415,000000,19.986,20.074,19.623,19.72,559070,0
AYI.US,D,20050418,000000,19.595,19.662,18.826,19.527,437398,0
AYI.US,D,20050419,000000,19.566,20.005,19.425,20.005,471653,0
AYI.US,D,20050420,000000,20.005,20.054,19.417,19.576,212974,0
AYI.US,D,20050421,000000,19.576,20.005,19.368,19.863,181140,0
AYI.US,D,20050422,000000,19.662,19.662,19.152,19.397,177255,0
AYI.US,D,20050425,000000,19.313,19.795,19.255,19.776,227053,0
AYI.US,D,20050426,000000,19.623,19.843,19.218,19.293,183869,0
AYI.US,D,20050427,000000,19.255,19.483,18.98,19.161,165377,0
AYI.US,D,20050428,000000,19.017,19.017,18.692,18.779,147936,0
AYI.US,D,20050429,000000,18.941,19.056,18.51,18.951,181034,0
AYI.US,D,20050502,000000,18.951,19.027,18.749,18.902,365846,0
AYI.US,D,20050503,000000,18.912,19.104,18.702,18.921,170317,0
AYI.US,D,20050504,000000,18.912,19.322,18.912,19.181,148779,0
AYI.US,D,20050505,000000,19.056,19.352,18.844,19.218,115997,0
AYI.US,D,20050506,000000,19.378,19.5,19.123,19.388,238818,0
AYI.US,D,20050509,000000,19.417,19.613,19.104,19.566,136378,0
AYI.US,D,20050510,000000,19.454,19.603,19.332,19.417,225369,0
AYI.US,D,20050511,000000,19.378,19.483,19.104,19.434,157810,0
AYI.US,D,20050512,000000,19.378,19.417,19.017,19.218,164643,0
AYI.US,D,20050513,000000,18.462,18.989,18.396,18.902,787275,0
AYI.US,D,20050516,000000,18.826,19.152,18.779,19.036,239764,0
AYI.US,D,20050517,000000,18.941,19.104,18.941,18.96,201836,0
AYI.US,D,20050518,000000,18.97,19.671,18.951,19.518,232835,0
AYI.US,D,20050519,000000,19.417,19.795,19.368,19.72,138064,0
AYI.US,D,20050520,000000,19.72,19.815,19.368,19.492,121038,0
AYI.US,D,20050523,000000,19.483,19.613,19.303,19.313,183869,0
AYI.US,D,20050524,000000,19.143,19.444,19.027,19.247,185027,0
AYI.US,D,20050525,000000,19.218,19.342,18.921,18.989,142473,0
AYI.US,D,20050526,000000,19.056,19.527,18.951,19.152,209612,0
AYI.US,D,20050527,000000,19.104,19.701,19.056,19.492,119672,0
AYI.US,D,20050531,000000,19.417,19.671,19.313,19.454,246493,0
AYI.US,D,20050601,000000,19.454,19.928,19.417,19.776,206877,0
AYI.US,D,20050602,000000,19.776,19.928,19.766,19.825,137846,0
AYI.US,D,20050603,000000,19.766,19.938,19.208,19.359,101181,0
AYI.US,D,20050606,000000,19.293,19.293,18.97,19.208,182712,0
AYI.US,D,20050607,000000,19.075,19.603,19.075,19.181,289357,0
AYI.US,D,20050608,000000,19.255,19.434,18.989,19.036,83108,0
AYI.US,D,20050609,000000,19.056,19.492,18.941,19.474,104437,0
AYI.US,D,20050610,000000,19.388,19.527,19.075,19.152,124608,0
AYI.US,D,20050613,000000,19.056,19.208,18.941,19.181,140159,0
AYI.US,D,20050614,000000,19.255,19.72,19.208,19.72,211395,0
AYI.US,D,20050615,000000,19.757,20.074,19.388,20.054,197318,0
AYI.US,D,20050616,000000,20.005,20.435,19.956,20.435,255841,0
AYI.US,D,20050617,000000,20.768,21.109,20.627,20.957,561378,0
AYI.US,D,20050620,000000,20.804,20.814,20.581,20.768,100234,0
AYI.US,D,20050621,000000,20.674,20.87,20.532,20.729,202360,0
AYI.US,D,20050622,000000,20.749,20.88,20.729,20.768,492244,0
AYI.US,D,20050623,000000,20.6,20.627,20.102,20.131,194695,0
AYI.US,D,20050624,000000,20.054,20.054,19.509,19.766,391378,0
AYI.US,D,20050627,000000,19.72,19.873,19.623,19.776,156450,0
AYI.US,D,20050628,000000,19.825,20.177,19.825,20.102,379716,0
AYI.US,D,20050629,000000,20.131,20.796,20.131,20.646,250272,0
AYI.US,D,20050630,000000,20.627,20.721,20.196,20.357,225578,0
AYI.US,D,20050701,000000,20.357,20.367,19.986,20.292,135120,0
AYI.US,D,20050705,000000,20.206,20.674,20.206,20.674,167690,0
AYI.US,D,20050706,000000,19.73,20.425,19.671,19.928,375198,0
AYI.US,D,20050707,000000,19.652,20.083,19.595,20.034,570099,0
AYI.US,D,20050708,000000,19.995,20.464,19.815,20.331,332858,0
AYI.US,D,20050711,000000,20.196,20.768,20.149,20.721,231046,0
AYI.US,D,20050712,000000,20.665,20.995,20.591,20.768,231469,0
AYI.US,D,20050713,000000,20.729,21.08,20.627,21.043,217070,0
AYI.US,D,20050714,000000,20.729,20.995,20.581,20.788,423217,0
AYI.US,D,20050715,000000,20.683,21.489,20.683,21.224,254370,0
AYI.US,D,20050718,000000,21.138,21.451,21.034,21.234,152348,0
AYI.US,D,20050719,000000,21.263,22.044,21.234,21.966,222849,0
AYI.US,D,20050720,000000,21.758,22.091,21.642,21.947,190281,0
AYI.US,D,20050721,000000,21.918,22.101,21.47,22.044,318884,0
AYI.US,D,20050722,000000,21.966,22.396,21.87,22.396,278850,0
AYI.US,D,20050725,000000,22.263,22.568,22.12,22.206,268134,0
AYI.US,D,20050726,000000,22.234,22.33,22.139,22.214,243027,0
AYI.US,D,20050727,000000,22.186,22.745,22.186,22.745,137743,0
AYI.US,D,20050728,000000,22.735,23.26,22.661,23.25,141317,0
AYI.US,D,20050729,000000,23.133,23.29,22.936,23.124,128395,0
AYI.US,D,20050801,000000,23.06,23.374,22.983,23.163,167478,0
AYI.US,D,20050802,000000,23.107,23.374,23.06,23.374,151507,0
AYI.US,D,20050803,000000,23.221,23.422,23.098,23.404,102653,0
AYI.US,D,20050804,000000,23.26,23.337,23.07,23.319,140584,0
AYI.US,D,20050805,000000,23.25,23.25,22.755,22.993,162121,0
AYI.US,D,20050808,000000,22.993,23.06,22.661,22.983,209296,0
AYI.US,D,20050809,000000,22.983,23.116,22.755,22.983,181034,0
AYI.US,D,20050810,000000,22.955,23.051,22.745,22.917,317411,0
AYI.US,D,20050811,000000,22.822,22.983,22.698,22.898,306797,0
AYI.US,D,20050812,000000,22.889,22.973,22.348,22.832,161592,0
AYI.US,D,20050815,000000,22.898,22.993,22.464,22.755,123349,0
AYI.US,D,20050816,000000,22.698,22.822,22.511,22.735,172417,0
AYI.US,D,20050817,000000,22.735,22.983,22.521,22.822,164539,0
AYI.US,D,20050818,000000,22.661,22.793,22.311,22.735,195214,0
AYI.US,D,20050819,000000,22.716,22.86,22.661,22.708,55057,0
AYI.US,D,20050822,000000,22.661,22.983,22.661,22.973,92879,0
AYI.US,D,20050823,000000,22.973,22.983,22.531,22.735,102334,0
AYI.US,D,20050824,000000,22.716,23.098,22.568,22.851,142473,0
AYI.US,D,20050825,000000,22.812,22.936,22.708,22.86,80797,0
AYI.US,D,20050826,000000,22.783,22.793,22.33,22.406,106960,0
AYI.US,D,20050829,000000,22.206,22.425,22.111,22.311,246493,0
AYI.US,D,20050830,000000,22.139,22.889,22.139,22.822,140371,0
AYI.US,D,20050831,000000,22.87,23.51,22.783,23.404,192064,0
AYI.US,D,20050901,000000,23.299,23.815,23.26,23.796,190590,0
AYI.US,D,20050902,000000,23.26,23.777,23.26,23.66,139213,0
AYI.US,D,20050906,000000,23.728,24.129,23.728,23.937,190696,0
AYI.US,D,20050907,000000,23.757,23.834,23.577,23.652,206567,0
AYI.US,D,20050908,000000,23.577,23.89,23.461,23.728,148356,0
AYI.US,D,20050909,000000,23.728,24.052,23.634,23.757,205934,0
AYI.US,D,20050912,000000,23.558,23.873,23.558,23.777,168528,0
AYI.US,D,20050913,000000,23.737,23.815,23.481,23.577,277698,0
AYI.US,D,20050914,000000,23.577,23.777,23.461,23.634,130179,0
AYI.US,D,20050915,000000,23.698,23.863,23.413,23.53,204359,0
AYI.US,D,20050916,000000,23.577,23.577,23.29,23.413,425527,0
AYI.US,D,20050919,000000,23.329,23.374,23.051,23.192,100652,0
