<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGS.US,D,20070523,000000,7.7668,8.0816,7.489,7.6268,11593221,0
BGS.US,D,20070524,000000,7.6852,7.9391,7.6612,7.8804,1539550,0
BGS.US,D,20070525,000000,7.8863,7.9458,7.7708,7.8238,431304,0
BGS.US,D,20070529,000000,7.8238,8.0005,7.7077,7.8863,337080,0
BGS.US,D,20070530,000000,7.8238,7.828,7.7135,7.7945,502055,0
BGS.US,D,20070531,000000,7.814,7.8712,7.7488,7.7756,409574,0
BGS.US,D,20070601,000000,7.8523,7.8863,7.7191,7.8863,172798,0
BGS.US,D,20070604,000000,7.9899,7.9899,7.7668,7.8523,198011,0
BGS.US,D,20070605,000000,7.8523,7.9391,7.7668,7.9028,152458,0
BGS.US,D,20070606,000000,7.9028,7.9094,7.7561,7.8804,109693,0
BGS.US,D,20070607,000000,7.9028,7.9142,7.7756,7.8919,320915,0
BGS.US,D,20070608,000000,7.8919,7.9955,7.7756,7.9674,585155,0
BGS.US,D,20070611,000000,8.0194,8.0194,7.7561,7.7708,637307,0
BGS.US,D,20070612,000000,7.7668,7.8523,7.5415,7.6222,1373356,0
BGS.US,D,20070613,000000,7.7368,7.7815,7.5591,7.7422,977690,0
BGS.US,D,20070614,000000,7.7993,7.9094,7.6676,7.7561,506407,0
BGS.US,D,20070615,000000,7.7561,7.8451,7.6323,7.8451,458073,0
BGS.US,D,20070618,000000,7.7488,7.8068,7.6389,7.7668,408873,0
BGS.US,D,20070619,000000,7.8205,8.0005,7.6444,7.9955,490063,0
BGS.US,D,20070620,000000,7.8238,7.8238,7.7191,7.7815,355160,0
BGS.US,D,20070621,000000,7.8238,7.8238,7.7422,7.8205,313264,0
BGS.US,D,20070622,000000,7.8376,7.8712,7.7561,7.8712,452513,0
BGS.US,D,20070625,000000,7.8451,7.8451,7.6797,7.6797,509010,0
BGS.US,D,20070626,000000,7.6797,7.7368,7.65,7.7077,85704,0
BGS.US,D,20070627,000000,7.7368,7.7368,7.5993,7.65,347512,0
BGS.US,D,20070628,000000,7.65,7.65,7.5297,7.5646,146202,0
BGS.US,D,20070629,000000,7.5646,7.593,7.42,7.593,365415,0
BGS.US,D,20070702,000000,7.593,7.7191,7.5297,7.6222,243373,0
BGS.US,D,20070703,000000,7.6268,7.6733,7.5535,7.6323,276412,0
BGS.US,D,20070705,000000,7.65,7.7561,7.6048,7.6797,350643,0
BGS.US,D,20070706,000000,7.7191,7.7618,7.6444,7.7246,163409,0
BGS.US,D,20070709,000000,7.7561,7.8376,7.65,7.6557,243552,0
BGS.US,D,20070710,000000,7.7191,7.9209,7.6612,7.7945,384718,0
BGS.US,D,20070711,000000,7.8638,7.8863,7.7422,7.814,543954,0
BGS.US,D,20070712,000000,7.9094,8.0251,7.8068,7.8238,371504,0
BGS.US,D,20070713,000000,7.8238,7.96,7.7708,7.8804,165846,0
BGS.US,D,20070716,000000,7.9276,7.9458,7.8581,7.9094,189141,0
BGS.US,D,20070717,000000,7.9549,7.9955,7.8712,7.9342,223915,0
BGS.US,D,20070718,000000,7.9722,7.9722,7.8863,7.9094,130212,0
BGS.US,D,20070719,000000,7.9491,7.9674,7.8712,7.9094,69708,0
BGS.US,D,20070720,000000,7.8523,8.0884,7.8523,8.0884,81708,0
BGS.US,D,20070723,000000,8.0884,8.0884,7.8804,7.9458,157156,0
BGS.US,D,20070724,000000,7.9458,7.979,7.828,7.8376,38941,0
BGS.US,D,20070725,000000,7.9209,8.0649,7.8863,7.9391,188795,0
BGS.US,D,20070726,000000,7.8969,7.8969,7.7021,7.7618,60839,0
BGS.US,D,20070727,000000,7.6268,7.828,7.6268,7.7756,85358,0
BGS.US,D,20070730,000000,7.9674,7.9674,7.7368,7.7668,75627,0
BGS.US,D,20070731,000000,7.6852,7.814,7.5867,7.6557,1134326,0
BGS.US,D,20070801,000000,7.6852,7.7708,7.6852,7.7561,156977,0
BGS.US,D,20070802,000000,7.8804,7.9028,7.7422,7.7422,66578,0
BGS.US,D,20070803,000000,7.9342,7.9342,7.6268,7.65,58588,0
BGS.US,D,20070806,000000,7.7668,7.8068,7.593,7.7021,201138,0
BGS.US,D,20070807,000000,7.7561,7.9549,7.6797,7.7077,224951,0
BGS.US,D,20070808,000000,7.8238,7.8328,7.6176,7.7422,131600,0
BGS.US,D,20070809,000000,7.7561,7.7668,7.4789,7.4828,169152,0
BGS.US,D,20070810,000000,7.5241,7.6112,7.4036,7.574,233641,0
BGS.US,D,20070813,000000,7.788,7.8638,7.5867,7.6444,35984,0
BGS.US,D,20070814,000000,7.7077,7.7561,7.2365,7.2365,57023,0
BGS.US,D,20070815,000000,7.4789,7.8804,7.42,7.4313,800893,0
BGS.US,D,20070816,000000,7.5353,7.5591,6.8449,7.2129,925710,0
BGS.US,D,20070817,000000,7.6222,7.6965,7.0639,7.2078,1001162,0
BGS.US,D,20070820,000000,7.2471,7.3735,6.9876,7.1552,684067,0
BGS.US,D,20070821,000000,7.1552,7.2078,7.0861,7.1612,126211,0
BGS.US,D,20070822,000000,7.2412,7.2471,7.1552,7.2303,408702,0
BGS.US,D,20070823,000000,7.2471,7.3285,7.168,7.3061,109343,0
BGS.US,D,20070824,000000,7.3061,7.3337,7.2659,7.3061,121341,0
BGS.US,D,20070827,000000,7.3636,7.3636,7.1911,7.2024,100998,0
BGS.US,D,20070828,000000,7.2192,7.253,7.1911,7.1911,37375,0
BGS.US,D,20070829,000000,7.2765,7.2826,7.1552,7.2192,148637,0
BGS.US,D,20070830,000000,7.2765,7.3231,7.168,7.2885,200610,0
BGS.US,D,20070831,000000,7.3285,7.4089,7.3061,7.3572,159936,0
BGS.US,D,20070904,000000,7.3919,7.5052,7.3572,7.5052,199568,0
BGS.US,D,20070905,000000,7.4727,7.5487,7.4487,7.5353,65884,0
BGS.US,D,20070906,000000,7.5353,7.65,7.4313,7.5353,74232,0
BGS.US,D,20070907,000000,7.4789,7.7561,7.4789,7.6557,184104,0
BGS.US,D,20070910,000000,7.7246,7.7368,7.5353,7.5591,139245,0
BGS.US,D,20070911,000000,7.6389,7.7618,7.5415,7.6048,103090,0
BGS.US,D,20070912,000000,7.5993,7.6557,7.5415,7.6176,46770,0
BGS.US,D,20070913,000000,7.6176,7.6612,7.5535,7.593,70402,0
BGS.US,D,20070914,000000,7.6222,7.6612,7.5646,7.65,112129,0
BGS.US,D,20070917,000000,7.5867,7.6612,7.5867,7.6444,36508,0
BGS.US,D,20070918,000000,7.6222,7.7135,7.5415,7.6048,99612,0
BGS.US,D,20070919,000000,7.5993,7.7668,7.5993,7.6797,94397,0
BGS.US,D,20070920,000000,7.7368,7.7368,7.6222,7.6797,86919,0
BGS.US,D,20070921,000000,7.6797,7.7246,7.593,7.7077,165846,0
BGS.US,D,20070924,000000,7.7135,7.7135,7.6268,7.7077,77364,0
BGS.US,D,20070925,000000,7.6557,7.7077,7.5993,7.6176,71271,0
BGS.US,D,20070926,000000,7.5353,7.5535,7.3974,7.4789,107956,0
BGS.US,D,20070927,000000,7.4727,7.4959,7.3919,7.4089,104826,0
BGS.US,D,20070928,000000,7.3636,7.4152,7.1911,7.3636,134551,0
BGS.US,D,20071001,000000,7.3919,7.5353,7.2471,7.339,185841,0
BGS.US,D,20071002,000000,7.339,7.4036,7.2471,7.3061,63455,0
