<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHE.US,D,20050225,000000,20.011,20.287,19.789,20.269,364680,0
BHE.US,D,20050228,000000,19.993,20.232,19.883,20.003,1003476,0
BHE.US,D,20050301,000000,20.041,20.214,19.946,20.102,911129,0
BHE.US,D,20050302,000000,20.102,20.232,19.873,20.003,719116,0
BHE.US,D,20050303,000000,20.011,20.178,19.66,19.993,564822,0
BHE.US,D,20050304,000000,20.102,20.159,19.954,20.031,576039,0
BHE.US,D,20050307,000000,20.049,20.509,20.031,20.297,757649,0
BHE.US,D,20050308,000000,20.297,20.37,20.031,20.085,639775,0
BHE.US,D,20050309,000000,20.085,20.269,20.049,20.139,447599,0
BHE.US,D,20050310,000000,20.178,20.197,19.863,19.928,395570,0
BHE.US,D,20050311,000000,19.993,20.085,19.66,19.77,272006,0
BHE.US,D,20050314,000000,19.77,19.964,19.717,19.928,456215,0
BHE.US,D,20050315,000000,20.021,20.066,19.55,19.64,451988,0
BHE.US,D,20050316,000000,19.624,19.624,19.013,19.108,715052,0
BHE.US,D,20050317,000000,19.108,19.108,18.73,18.932,897960,0
BHE.US,D,20050318,000000,19.005,19.161,18.673,19.072,1503430,0
BHE.US,D,20050321,000000,19.098,19.457,19.098,19.384,580917,0
BHE.US,D,20050322,000000,19.376,19.587,18.995,19.005,897634,0
BHE.US,D,20050323,000000,19.013,19.475,18.913,19.273,844957,0
BHE.US,D,20050324,000000,19.273,19.494,19.256,19.328,542872,0
BHE.US,D,20050328,000000,19.346,19.439,19.032,19.032,657333,0
BHE.US,D,20050329,000000,19.032,19.208,18.73,18.764,582870,0
BHE.US,D,20050330,000000,18.821,19.161,18.793,19.116,423861,0
BHE.US,D,20050331,000000,19.116,19.751,19.013,19.579,1118588,0
BHE.US,D,20050401,000000,19.77,19.918,19.439,19.531,554905,0
BHE.US,D,20050404,000000,19.494,19.531,19.217,19.457,316879,0
BHE.US,D,20050405,000000,19.457,19.717,19.457,19.494,478163,0
BHE.US,D,20050406,000000,19.587,19.789,19.531,19.531,517998,0
BHE.US,D,20050407,000000,19.531,19.77,19.273,19.744,1036810,0
BHE.US,D,20050408,000000,19.744,19.837,19.08,19.098,1009005,0
BHE.US,D,20050411,000000,19.052,19.089,17.723,17.964,2026464,0
BHE.US,D,20050412,000000,17.964,17.964,17.576,17.759,1102328,0
BHE.US,D,20050413,000000,17.769,17.945,17.205,17.363,600429,0
BHE.US,D,20050414,000000,17.454,17.557,17.344,17.392,642701,0
BHE.US,D,20050415,000000,17.334,17.334,16.1,16.488,1331573,0
BHE.US,D,20050418,000000,16.488,16.921,16.468,16.542,1041197,0
BHE.US,D,20050419,000000,16.514,16.725,16.303,16.617,1416444,0
BHE.US,D,20050420,000000,16.857,16.874,16.386,16.488,762527,0
BHE.US,D,20050421,000000,16.478,16.597,15.396,16.405,5141928,0
BHE.US,D,20050422,000000,16.56,16.578,16.154,16.449,1441806,0
BHE.US,D,20050425,000000,16.449,16.542,16.303,16.432,1134034,0
BHE.US,D,20050426,000000,16.432,16.857,16.413,16.542,1181507,0
BHE.US,D,20050427,000000,16.422,16.874,16.211,16.617,1222967,0
BHE.US,D,20050428,000000,16.488,16.617,16.312,16.357,1091598,0
BHE.US,D,20050429,000000,16.44,16.718,16.238,16.634,736837,0
BHE.US,D,20050502,000000,16.634,16.867,16.617,16.837,920722,0
BHE.US,D,20050503,000000,16.837,16.956,16.735,16.772,418496,0
BHE.US,D,20050504,000000,16.791,16.93,16.607,16.8,490032,0
BHE.US,D,20050505,000000,16.809,17.06,16.617,17.002,864631,0
BHE.US,D,20050506,000000,17.152,17.319,16.986,17.3,736024,0
BHE.US,D,20050509,000000,17.3,17.501,17.197,17.437,433940,0
BHE.US,D,20050510,000000,17.437,17.454,17.188,17.326,468245,0
BHE.US,D,20050511,000000,17.31,17.483,17.06,17.409,311838,0
BHE.US,D,20050512,000000,17.437,17.982,17.437,17.594,701231,0
BHE.US,D,20050513,000000,17.639,17.769,17.539,17.576,580593,0
BHE.US,D,20050516,000000,17.52,17.741,17.464,17.741,460768,0
BHE.US,D,20050517,000000,17.75,17.852,17.557,17.834,617337,0
BHE.US,D,20050518,000000,17.898,18.333,17.898,18.222,739762,0
BHE.US,D,20050519,000000,18.295,18.562,18.238,18.507,417681,0
BHE.US,D,20050520,000000,18.48,18.619,18.157,18.6,407441,0
BHE.US,D,20050523,000000,18.543,18.774,18.534,18.609,335578,0
BHE.US,D,20050524,000000,18.886,19.298,18.721,19.291,851784,0
BHE.US,D,20050525,000000,19.291,19.318,19.126,19.237,510843,0
BHE.US,D,20050526,000000,19.282,19.595,19.282,19.513,581079,0
BHE.US,D,20050527,000000,19.521,19.595,19.356,19.484,445321,0
BHE.US,D,20050531,000000,19.466,19.531,19.366,19.475,732284,0
BHE.US,D,20050601,000000,19.56,19.698,19.337,19.521,660098,0
BHE.US,D,20050602,000000,19.439,19.66,19.346,19.66,573439,0
BHE.US,D,20050603,000000,19.67,19.67,19.394,19.403,585796,0
BHE.US,D,20050606,000000,19.403,19.513,18.995,19.052,997463,0
BHE.US,D,20050607,000000,19.089,19.291,18.811,18.857,907716,0
BHE.US,D,20050608,000000,18.976,19.108,18.895,18.995,501738,0
BHE.US,D,20050609,000000,19.005,19.376,18.942,19.328,1109483,0
BHE.US,D,20050610,000000,19.282,19.346,19.072,19.291,244694,0
BHE.US,D,20050613,000000,19.256,19.595,19.256,19.466,516534,0
BHE.US,D,20050614,000000,19.439,19.494,19.291,19.494,269893,0
BHE.US,D,20050615,000000,19.678,19.678,19.052,19.475,333300,0
BHE.US,D,20050616,000000,19.439,19.55,18.913,19.143,524664,0
BHE.US,D,20050617,000000,19.217,19.217,18.755,18.995,656846,0
BHE.US,D,20050620,000000,19.005,19.013,18.774,18.803,323871,0
BHE.US,D,20050621,000000,18.867,18.995,18.673,18.721,406626,0
BHE.US,D,20050622,000000,18.821,18.932,18.59,18.867,429876,0
BHE.US,D,20050623,000000,18.848,18.857,18.277,18.304,596526,0
BHE.US,D,20050624,000000,18.313,18.341,18.147,18.341,754722,0
BHE.US,D,20050627,000000,18.341,18.423,18.138,18.212,630670,0
BHE.US,D,20050628,000000,18.238,18.562,18.238,18.525,731958,0
BHE.US,D,20050629,000000,18.572,18.784,18.525,18.644,330210,0
BHE.US,D,20050630,000000,18.73,18.838,18.663,18.711,525476,0
BHE.US,D,20050701,000000,18.711,18.755,18.59,18.711,318992,0
BHE.US,D,20050705,000000,18.663,19.282,18.663,19.282,382725,0
BHE.US,D,20050706,000000,19.217,19.376,19.181,19.227,466298,0
BHE.US,D,20050707,000000,19.126,19.189,18.755,19.022,265341,0
BHE.US,D,20050708,000000,19.032,19.291,18.952,19.126,445646,0
BHE.US,D,20050711,000000,19.181,19.376,19.161,19.376,486294,0
BHE.US,D,20050712,000000,19.366,19.678,19.256,19.466,209571,0
BHE.US,D,20050713,000000,19.403,19.531,19.246,19.376,343868,0
BHE.US,D,20050714,000000,19.403,19.587,19.318,19.346,450525,0
BHE.US,D,20050715,000000,19.337,19.42,19.198,19.318,329561,0
BHE.US,D,20050718,000000,19.328,19.384,18.923,19.072,696842,0
BHE.US,D,20050719,000000,19.189,19.678,19.189,19.624,340779,0
BHE.US,D,20050720,000000,19.494,20.463,19.429,20.252,612620,0
BHE.US,D,20050721,000000,20.252,20.252,19.521,19.688,1351246,0
BHE.US,D,20050722,000000,19.688,19.688,18.683,19.356,1074040,0
BHE.US,D,20050725,000000,19.403,20.085,19.403,19.587,868043,0
BHE.US,D,20050726,000000,19.605,19.808,19.466,19.569,388093,0
BHE.US,D,20050727,000000,19.65,19.808,19.282,19.494,492796,0
BHE.US,D,20050728,000000,19.55,19.67,19.346,19.624,270705,0
BHE.US,D,20050729,000000,19.56,19.77,19.494,19.678,404351,0
BHE.US,D,20050801,000000,19.65,19.946,19.615,19.751,261925,0
BHE.US,D,20050802,000000,19.77,20.093,19.624,20.093,430690,0
BHE.US,D,20050803,000000,20.093,20.139,19.909,19.909,396872,0
BHE.US,D,20050804,000000,19.928,20.021,19.67,19.678,311026,0
BHE.US,D,20050805,000000,19.65,19.678,19.282,19.356,240139,0
BHE.US,D,20050808,000000,19.42,19.531,18.952,18.986,323383,0
BHE.US,D,20050809,000000,19.032,19.126,18.811,18.962,331674,0
BHE.US,D,20050810,000000,19.005,19.072,18.248,18.453,770493,0
BHE.US,D,20050811,000000,18.453,18.764,18.36,18.755,1081357,0
BHE.US,D,20050812,000000,18.702,18.821,18.423,18.609,469384,0
BHE.US,D,20050815,000000,18.543,18.6,18.396,18.443,616037,0
BHE.US,D,20050816,000000,18.443,18.498,18.082,18.1,700257,0
BHE.US,D,20050817,000000,18.147,18.267,17.778,17.816,832436,0
BHE.US,D,20050818,000000,17.843,17.888,17.713,17.816,528564,0
BHE.US,D,20050819,000000,17.816,17.888,17.629,17.648,396872,0
BHE.US,D,20050822,000000,17.769,17.907,17.576,17.769,614084,0
BHE.US,D,20050823,000000,17.713,17.723,17.188,17.188,1003640,0
BHE.US,D,20050824,000000,17.188,17.474,17.077,17.162,1137934,0
BHE.US,D,20050825,000000,17.17,17.188,16.966,17.002,452312,0
BHE.US,D,20050826,000000,17.051,17.225,16.966,17.114,866906,0
BHE.US,D,20050829,000000,17.077,17.474,17.077,17.419,841705,0
BHE.US,D,20050830,000000,17.454,17.667,17.409,17.614,621727,0
