<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOH_A.US,D,20210621,000000,25.46,25.5,25.36,25.4,117943,0
BOH_A.US,D,20210622,000000,25.41,25.6,25.4,25.52,401459,0
BOH_A.US,D,20210623,000000,25.58,25.7,25.57,25.61,232254,0
BOH_A.US,D,20210624,000000,25.7,25.75,25.65,25.67,343578,0
BOH_A.US,D,20210625,000000,25.7,25.73,25.54,25.68,131403,0
BOH_A.US,D,20210628,000000,25.68,25.68,25.55,25.59,152829,0
BOH_A.US,D,20210629,000000,25.43,25.63,25.43,25.59,174743,0
BOH_A.US,D,20210630,000000,25.6,25.65,25.48,25.48,1045741,0
BOH_A.US,D,20210701,000000,25.48,25.55,25.45,25.45,168374,0
BOH_A.US,D,20210702,000000,25.48,25.55,25.45,25.5,155868,0
BOH_A.US,D,20210706,000000,25.53,25.53,25.45,25.52,136077,0
BOH_A.US,D,20210707,000000,25.45,25.59,25.45,25.59,101210,0
BOH_A.US,D,20210708,000000,25.5,25.59,25.5,25.55,126825,0
BOH_A.US,D,20210709,000000,25.62,25.62,25.535,25.6,117052,0
