<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BXMX.US,D,20050225,000000,9.506,9.572,9.473,9.506,204149,0
BXMX.US,D,20050228,000000,9.572,9.647,9.4651,9.527,322302,0
BXMX.US,D,20050301,000000,9.543,9.588,9.502,9.583,270009,0
BXMX.US,D,20050302,000000,9.572,9.588,9.4976,9.538,230839,0
BXMX.US,D,20050303,000000,9.538,9.568,9.511,9.511,199335,0
BXMX.US,D,20050304,000000,9.527,9.6,9.511,9.543,361471,0
BXMX.US,D,20050307,000000,9.588,9.6,9.511,9.523,296704,0
BXMX.US,D,20050308,000000,9.519,9.527,9.4779,9.519,278109,0
BXMX.US,D,20050309,000000,9.506,9.506,9.4199,9.4415,255570,0
BXMX.US,D,20050310,000000,9.4612,9.515,9.3815,9.4327,271105,0
BXMX.US,D,20050311,000000,9.4327,9.4415,9.3005,9.3373,212680,0
BXMX.US,D,20050314,000000,9.3325,9.3697,9.3179,9.3697,209398,0
BXMX.US,D,20050315,000000,9.3913,9.4071,9.2763,9.2919,206992,0
BXMX.US,D,20050316,000000,9.2687,9.2919,9.1902,9.197,242000,0
BXMX.US,D,20050317,000000,9.197,9.2763,9.1902,9.2232,121214,0
BXMX.US,D,20050318,000000,9.2561,9.2861,9.1653,9.2328,214868,0
BXMX.US,D,20050321,000000,9.2512,9.2638,9.1387,9.1681,342875,0
BXMX.US,D,20050322,000000,9.1178,9.1624,9.0599,9.0733,329088,0
BXMX.US,D,20050323,000000,9.0599,9.1178,8.9529,9.1178,369124,0
BXMX.US,D,20050324,000000,9.1349,9.1349,9.0485,9.0733,176141,0
BXMX.US,D,20050328,000000,9.0733,9.095,9.0277,9.0694,231937,0
BXMX.US,D,20050329,000000,9.0694,9.0884,8.9808,8.9808,118809,0
BXMX.US,D,20050330,000000,9.0315,9.0789,8.9808,9.0599,249442,0
BXMX.US,D,20050331,000000,9.0733,9.1349,9.0315,9.1093,145727,0
BXMX.US,D,20050401,000000,9.1387,9.1653,9.0343,9.0789,185767,0
BXMX.US,D,20050404,000000,9.0789,9.095,9.004,9.095,129318,0
BXMX.US,D,20050405,000000,9.0789,9.1902,9.0789,9.1681,134566,0
BXMX.US,D,20050406,000000,9.1653,9.2058,9.1492,9.1757,191669,0
BXMX.US,D,20050407,000000,9.1681,9.2445,9.1681,9.2096,204805,0
BXMX.US,D,20050408,000000,9.2609,9.2609,9.1795,9.197,126905,0
BXMX.US,D,20050411,000000,9.1851,9.197,9.1387,9.1851,128003,0
BXMX.US,D,20050412,000000,9.1851,9.201,9.095,9.197,100866,0
BXMX.US,D,20050413,000000,9.17,9.17,9.095,9.1045,145071,0
BXMX.US,D,20050414,000000,9.1435,9.1435,9.0733,9.0733,118809,0
BXMX.US,D,20050415,000000,9.0733,9.1235,9.0277,9.115,114216,0
BXMX.US,D,20050418,000000,9.1178,9.1178,9.0315,9.0599,126030,0
BXMX.US,D,20050419,000000,9.0694,9.1235,9.0694,9.1093,101306,0
BXMX.US,D,20050420,000000,9.115,9.1178,9.0485,9.0884,159293,0
BXMX.US,D,20050421,000000,9.1349,9.1387,9.0485,9.1093,212243,0
BXMX.US,D,20050422,000000,9.1093,9.1387,9.0656,9.0733,156886,0
BXMX.US,D,20050425,000000,9.095,9.1178,9.0485,9.0656,164986,0
BXMX.US,D,20050426,000000,9.095,9.1045,9.0343,9.0733,203280,0
BXMX.US,D,20050427,000000,9.0485,9.1387,9.0485,9.0989,159507,0
BXMX.US,D,20050428,000000,9.1293,9.1349,9.0599,9.0599,137415,0
BXMX.US,D,20050429,000000,9.0599,9.1293,9.0533,9.1293,147474,0
BXMX.US,D,20050502,000000,9.1293,9.1387,9.0827,9.1178,210491,0
BXMX.US,D,20050503,000000,9.1349,9.1387,9.1093,9.1293,136973,0
BXMX.US,D,20050504,000000,9.1387,9.2058,9.115,9.1492,228872,0
BXMX.US,D,20050505,000000,9.1851,9.2096,9.1492,9.1757,191894,0
BXMX.US,D,20050506,000000,9.1624,9.2096,9.1293,9.2096,166076,0
BXMX.US,D,20050509,000000,9.2232,9.2328,9.1902,9.2232,188178,0
BXMX.US,D,20050510,000000,9.2328,9.2512,9.1851,9.2126,240248,0
BXMX.US,D,20050511,000000,9.1387,9.1681,9.0989,9.1349,199335,0
BXMX.US,D,20050512,000000,9.1653,9.1851,9.115,9.1293,206992,0
BXMX.US,D,20050513,000000,9.1557,9.2096,9.1264,9.2096,199335,0
BXMX.US,D,20050516,000000,9.197,9.2126,9.1492,9.1757,164108,0
BXMX.US,D,20050517,000000,9.2096,9.2096,9.115,9.1653,300863,0
BXMX.US,D,20050518,000000,9.2058,9.2058,9.1492,9.1757,177668,0
BXMX.US,D,20050519,000000,9.1653,9.2058,9.1435,9.1795,168698,0
BXMX.US,D,20050520,000000,9.1435,9.1757,9.1235,9.1757,136973,0
BXMX.US,D,20050523,000000,9.1851,9.1851,9.0989,9.1653,198240,0
BXMX.US,D,20050524,000000,9.1653,9.17,9.1045,9.1387,181611,0
BXMX.US,D,20050525,000000,9.1178,9.1387,9.077,9.115,192117,0
BXMX.US,D,20050526,000000,9.095,9.1653,9.0656,9.1624,191669,0
BXMX.US,D,20050527,000000,9.1492,9.1681,9.1235,9.1653,128875,0
BXMX.US,D,20050531,000000,9.1387,9.197,9.1387,9.1795,133033,0
BXMX.US,D,20050601,000000,9.201,9.2174,9.1681,9.2058,164545,0
BXMX.US,D,20050602,000000,9.1653,9.228,9.1653,9.2174,159949,0
BXMX.US,D,20050603,000000,9.228,9.228,9.1851,9.2058,162795,0
BXMX.US,D,20050606,000000,9.2232,9.2387,9.1851,9.2387,158195,0
BXMX.US,D,20050607,000000,9.2561,9.2987,9.2096,9.2803,264540,0
BXMX.US,D,20050608,000000,9.2919,9.3325,9.2445,9.3228,227779,0
BXMX.US,D,20050609,000000,9.3093,9.3228,9.2561,9.2763,187297,0
BXMX.US,D,20050610,000000,9.2609,9.3276,9.2561,9.3276,200433,0
BXMX.US,D,20050613,000000,9.2763,9.2987,9.2058,9.2445,238505,0
BXMX.US,D,20050614,000000,9.2328,9.2445,9.1624,9.1902,221433,0
BXMX.US,D,20050615,000000,9.2058,9.2058,9.1681,9.17,235881,0
BXMX.US,D,20050616,000000,9.1851,9.2561,9.1492,9.197,180517,0
BXMX.US,D,20050617,000000,9.1851,9.2512,9.1851,9.2512,187519,0
BXMX.US,D,20050620,000000,9.2328,9.2348,9.17,9.1795,139816,0
BXMX.US,D,20050621,000000,9.1757,9.2328,9.1435,9.1902,217713,0
BXMX.US,D,20050622,000000,9.2126,9.2328,9.1653,9.1757,184671,0
BXMX.US,D,20050623,000000,9.2174,9.228,9.1492,9.1492,204149,0
BXMX.US,D,20050624,000000,9.1492,9.1851,9.1178,9.1795,272854,0
BXMX.US,D,20050627,000000,9.1624,9.1851,9.1264,9.1795,236751,0
BXMX.US,D,20050628,000000,9.1795,9.2058,9.1624,9.1851,171982,0
BXMX.US,D,20050629,000000,9.17,9.2387,9.1557,9.2387,168483,0
BXMX.US,D,20050630,000000,9.2512,9.2725,9.1902,9.2561,147256,0
BXMX.US,D,20050701,000000,9.2725,9.2725,9.2096,9.2561,106121,0
BXMX.US,D,20050705,000000,9.2763,9.2803,9.2328,9.2638,114003,0
BXMX.US,D,20050706,000000,9.2609,9.3131,9.2387,9.3131,158195,0
BXMX.US,D,20050707,000000,9.3005,9.3697,9.2763,9.3658,131723,0
BXMX.US,D,20050708,000000,9.3618,9.4159,9.3276,9.3658,126696,0
BXMX.US,D,20050711,000000,9.3658,9.3697,9.3228,9.345,112688,0
BXMX.US,D,20050712,000000,9.3325,9.4809,9.3131,9.4415,154914,0
BXMX.US,D,20050713,000000,9.3766,9.4366,9.3431,9.3766,171762,0
BXMX.US,D,20050714,000000,9.3766,9.4327,9.3559,9.4071,201307,0
BXMX.US,D,20050715,000000,9.3766,9.4474,9.3766,9.4199,161918,0
BXMX.US,D,20050718,000000,9.4228,9.4415,9.3726,9.4327,207210,0
BXMX.US,D,20050719,000000,9.4513,9.4582,9.3726,9.4582,297360,0
BXMX.US,D,20050720,000000,9.4228,9.4582,9.3913,9.4474,298455,0
BXMX.US,D,20050721,000000,9.4937,9.4937,9.3913,9.3913,197148,0
BXMX.US,D,20050722,000000,9.4071,9.4513,9.3874,9.411,158633,0
BXMX.US,D,20050725,000000,9.3913,9.4277,9.3697,9.3874,193207,0
BXMX.US,D,20050726,000000,9.3697,9.411,9.2328,9.3618,438490,0
BXMX.US,D,20050727,000000,9.3559,9.3815,9.2987,9.3726,169356,0
BXMX.US,D,20050728,000000,9.3815,9.3913,9.3228,9.3618,157541,0
BXMX.US,D,20050729,000000,9.3766,9.3815,9.3131,9.3431,174606,0
BXMX.US,D,20050801,000000,9.3658,9.3874,9.3131,9.3431,194075,0
BXMX.US,D,20050802,000000,9.3697,9.4277,9.3325,9.4002,131063,0
BXMX.US,D,20050803,000000,9.4366,9.4474,9.35,9.4327,245285,0
BXMX.US,D,20050804,000000,9.4002,9.4513,9.3913,9.4002,154479,0
BXMX.US,D,20050805,000000,9.4199,9.4415,9.3913,9.4366,183583,0
BXMX.US,D,20050808,000000,9.4612,9.4651,9.411,9.4513,132596,0
BXMX.US,D,20050809,000000,9.4513,9.4976,9.4228,9.4582,156886,0
BXMX.US,D,20050810,000000,9.4651,9.4779,9.4199,9.4779,191239,0
BXMX.US,D,20050811,000000,9.4159,9.4366,9.3726,9.4002,181174,0
BXMX.US,D,20050812,000000,9.4159,9.4159,9.35,9.3913,140474,0
BXMX.US,D,20050815,000000,9.3874,9.4071,9.3373,9.3726,129972,0
BXMX.US,D,20050816,000000,9.3913,9.4002,9.3325,9.3618,234789,0
BXMX.US,D,20050817,000000,9.3658,9.411,9.3373,9.3559,170454,0
BXMX.US,D,20050818,000000,9.3963,9.4002,9.3131,9.3963,165417,0
BXMX.US,D,20050819,000000,9.4002,9.4159,9.3131,9.3228,204368,0
BXMX.US,D,20050822,000000,9.3093,9.3373,9.2609,9.2861,215526,0
BXMX.US,D,20050823,000000,9.3054,9.3697,9.2919,9.3325,189924,0
BXMX.US,D,20050824,000000,9.3276,9.3874,9.2725,9.2763,154260,0
BXMX.US,D,20050825,000000,9.2687,9.345,9.2638,9.3093,144852,0
BXMX.US,D,20050826,000000,9.3228,9.345,9.2638,9.3131,161038,0
BXMX.US,D,20050829,000000,9.3131,9.3431,9.2763,9.3228,115094,0
BXMX.US,D,20050830,000000,9.3005,9.3618,9.2861,9.345,142661,0
BXMX.US,D,20050831,000000,9.3228,9.3697,9.3005,9.345,139595,0
BXMX.US,D,20050901,000000,9.3658,9.3697,9.2987,9.3325,130191,0
BXMX.US,D,20050902,000000,9.3276,9.3913,9.3276,9.3697,89275,0
BXMX.US,D,20050906,000000,9.3913,9.4327,9.3697,9.4002,147256,0
BXMX.US,D,20050907,000000,9.3815,9.4228,9.3618,9.3815,146384,0
BXMX.US,D,20050908,000000,9.4002,9.4002,9.3325,9.3618,221214,0
BXMX.US,D,20050909,000000,9.3815,9.4159,9.3559,9.3697,141569,0
BXMX.US,D,20050912,000000,9.3559,9.4199,9.35,9.4159,79868,0
BXMX.US,D,20050913,000000,9.3658,9.3697,9.2609,9.3697,223405,0
BXMX.US,D,20050914,000000,9.3963,9.3963,9.2609,9.2987,180738,0
BXMX.US,D,20050915,000000,9.3228,9.3228,9.1624,9.1757,268477,0
BXMX.US,D,20050916,000000,9.1851,9.2387,9.1795,9.2348,247910,0
BXMX.US,D,20050919,000000,9.2445,9.2512,9.1435,9.1851,214212,0
BXMX.US,D,20050920,000000,9.197,9.2174,9.1349,9.1795,200865,0
BXMX.US,D,20050921,000000,9.2232,9.2232,9.1387,9.1624,215968,0
BXMX.US,D,20050922,000000,9.1624,9.1653,9.0989,9.1293,168698,0
BXMX.US,D,20050923,000000,9.1653,9.2058,9.0989,9.1624,168266,0
BXMX.US,D,20050926,000000,9.1387,9.1387,9.0733,9.0884,138290,0
BXMX.US,D,20050927,000000,9.095,9.095,8.8784,8.9157,289704,0
BXMX.US,D,20050928,000000,8.9259,8.9379,8.8738,8.9194,196494,0
BXMX.US,D,20050929,000000,8.9128,8.9529,8.8784,8.9529,158857,0
BXMX.US,D,20050930,000000,8.9631,9.1293,8.9529,9.0827,133257,0
BXMX.US,D,20051003,000000,9.1178,9.201,9.0884,9.1387,117276,0
BXMX.US,D,20051004,000000,9.2096,9.2096,9.1349,9.1492,153167,0
BXMX.US,D,20051005,000000,9.2561,9.2561,9.1435,9.1653,208522,0
BXMX.US,D,20051006,000000,9.2096,9.2096,9.1492,9.1653,144852,0
BXMX.US,D,20051007,000000,9.2096,9.2096,9.1492,9.2096,90370,0
BXMX.US,D,20051010,000000,9.2096,9.2232,9.1653,9.201,153604,0
BXMX.US,D,20051011,000000,9.1851,9.2096,9.1557,9.1851,124065,0
BXMX.US,D,20051012,000000,9.1387,9.1795,9.0789,9.115,156886,0
BXMX.US,D,20051013,000000,9.0884,9.1349,9.0372,9.0656,115969,0
BXMX.US,D,20051014,000000,9.0694,9.115,8.9984,9.0533,145511,0
BXMX.US,D,20051017,000000,9.0533,9.1349,9.0162,9.0485,138725,0
BXMX.US,D,20051018,000000,9.095,9.095,8.9352,8.9808,201961,0
BXMX.US,D,20051019,000000,8.9585,8.9706,8.8431,8.9445,201741,0
BXMX.US,D,20051020,000000,8.9128,8.9938,8.8374,8.8477,103937,0
BXMX.US,D,20051021,000000,8.8682,8.9315,8.8477,8.8942,121435,0
BXMX.US,D,20051024,000000,8.8644,9.004,8.8644,8.9194,150544,0
BXMX.US,D,20051025,000000,8.9379,8.9445,8.8644,8.9315,280731,0
BXMX.US,D,20051026,000000,8.9035,8.9585,8.8431,8.8634,200649,0
BXMX.US,D,20051027,000000,8.8477,8.8644,8.7518,8.8128,135878,0
BXMX.US,D,20051028,000000,8.7617,8.8374,8.7617,8.8017,78772,0
BXMX.US,D,20051031,000000,8.7799,8.8942,8.7736,8.7736,191894,0
BXMX.US,D,20051101,000000,8.7972,8.8292,8.6824,8.7189,162137,0
BXMX.US,D,20051102,000000,8.7653,8.7653,8.6376,8.6824,250753,0
BXMX.US,D,20051103,000000,8.6824,8.7736,8.6563,8.7736,162137,0
BXMX.US,D,20051104,000000,8.7289,8.8644,8.7289,8.8164,172422,0
BXMX.US,D,20051107,000000,8.8634,8.8886,8.7736,8.8431,102621,0
BXMX.US,D,20051108,000000,8.8644,8.8682,8.8017,8.8431,134790,0
BXMX.US,D,20051109,000000,8.8292,8.8644,8.7617,8.7736,112901,0
BXMX.US,D,20051110,000000,8.7289,8.7572,8.6411,8.6651,211157,0
BXMX.US,D,20051111,000000,8.708,8.7289,8.6161,8.6376,134129,0
BXMX.US,D,20051114,000000,8.6376,8.6518,8.5604,8.5874,178983,0
BXMX.US,D,20051115,000000,8.5874,8.6464,8.5443,8.5443,220123,0
BXMX.US,D,20051116,000000,8.5443,8.5919,8.4544,8.5649,304361,0
BXMX.US,D,20051117,000000,8.538,8.5443,8.4631,8.5282,351839,0
BXMX.US,D,20051118,000000,8.4825,8.4958,8.4095,8.4419,306554,0
BXMX.US,D,20051121,000000,8.4226,8.4323,8.218,8.2983,690338,0
BXMX.US,D,20051122,000000,8.3909,8.3909,8.0065,8.2128,872828,0
BXMX.US,D,20051123,000000,8.3036,8.3036,8.1134,8.2222,631916,0
BXMX.US,D,20051125,000000,8.2222,8.4544,8.218,8.4544,210705,0
BXMX.US,D,20051128,000000,8.3494,8.3733,8.2257,8.2818,369352,0
BXMX.US,D,20051129,000000,8.3287,8.3633,8.2257,8.2628,406319,0
BXMX.US,D,20051130,000000,8.2818,8.3556,8.2577,8.3494,323396,0
BXMX.US,D,20051201,000000,8.3633,8.4323,8.2257,8.2515,303486,0
BXMX.US,D,20051202,000000,8.2577,8.2958,8.0676,8.1184,375697,0
BXMX.US,D,20051205,000000,8.1348,8.2983,8.1348,8.2222,323619,0
BXMX.US,D,20051206,000000,8.2257,8.2758,8.179,8.2758,302832,0
BXMX.US,D,20051207,000000,8.2343,8.2672,8.1364,8.1585,247910,0
BXMX.US,D,20051208,000000,8.1585,8.2044,8.0257,8.0676,405892,0
BXMX.US,D,20051209,000000,8.0526,8.0845,7.9155,7.9808,352279,0
BXMX.US,D,20051212,000000,7.9808,8.0375,7.8352,7.9155,452931,0
BXMX.US,D,20051213,000000,7.8146,7.8146,7.5959,7.6727,852037,0
BXMX.US,D,20051214,000000,7.5729,7.7842,7.5729,7.7178,790774,0
BXMX.US,D,20051215,000000,7.7178,7.9416,7.6872,7.7881,712440,0
BXMX.US,D,20051216,000000,7.7785,7.8793,7.7065,7.7744,700618,0
BXMX.US,D,20051219,000000,7.8425,7.8843,7.691,7.7517,507852,0
BXMX.US,D,20051220,000000,7.7688,7.7842,7.5863,7.7486,617693,0
BXMX.US,D,20051221,000000,7.6783,7.7646,7.5863,7.6094,631038,0
BXMX.US,D,20051222,000000,7.6419,7.7486,7.5911,7.7178,499973,0
BXMX.US,D,20051223,000000,7.6727,7.7517,7.6552,7.7438,500197,0
BXMX.US,D,20051227,000000,7.7227,7.8425,7.6141,7.6141,586186,0
BXMX.US,D,20051228,000000,7.6824,7.7105,7.5815,7.6007,568898,0
BXMX.US,D,20051229,000000,7.6054,7.8508,7.5959,7.793,716372,0
BXMX.US,D,20051230,000000,7.793,7.9416,7.7688,7.9416,985508,0
BXMX.US,D,20060103,000000,7.9757,8.1313,7.9757,8.1313,275043,0
BXMX.US,D,20060104,000000,8.1364,8.218,8.1348,8.172,246377,0
BXMX.US,D,20060105,000000,8.179,8.2257,8.1024,8.1638,357969,0
